key,value
solarsystem,solar system
runnynose,runny nose
1place,place
butocks,buttocks
glas,glad
wilerness,wilderness
enginge,engine
hotwater,hot water
therfore,therefore
tastey,tasty
feedom,freedom
germanshepard,german shepherd
lifejacket,life jacket
startrek,star trek
rehabilition,rehabilitation
peanutbutter,peanut butter
ammendment,amendment
mentakl,mental
hgustle,hustle
mullato,mulatto
limebeans,lima beans
hikinkg,hiking
michaelmoore,michael moore
debty,debt
dista,distal
sucide,suicide
competetive,competitive
joles,holes
chikcen,chicken
portehouse,porterhouse
wale,whale
dectective,detective
camoflauge,camouflage
vegtables,vegetables
addidas,adidas
maintnence,maintenance
quarternote,quarter note
ignot,ingot
responsiblity,responsibility
hurrican,hurricane
tv]\\,tv
casette,cassette
bullrushes,bulrushes
toneup,tone up
relaxt,relax
hannukah,hanukkah
seista,siesta
vegatables,vegetables
believing.,believing
cherrytree,cherry tree
occured,occurred
plauge,plague
famil,family
consitution,constitution
partical,particle
frieds,friends
antartica,antarctica
tabulature,tablature
abusve,abusive
hbonow,hbo now
hosipital,hospital
collistion,collision
crossingguard,crossing guard
chating,chatting
delte,delete
playfull,playful
pigglet,piglet
fragrence,fragrance
excitment,excitement
usanbolt,usain bolt
aggrivated,aggravated
lemonaide,lemonade
stethescope,stethoscope
azalia,azalia (plant)
prestine,pristine
panoc,panic
beatiful,beautiful
powersupply,power supply
liptstick,lipstick
ches,chess
redwine,red wine
whell,wheel
liquip,liquid
excipition,exception
teerrible,terrible
chuch,church
triagnle,triangle
bigbangtherorey,big bang theory
neecklace,necklace
potatos,potatoes
chirstmas,christmas
waite,waiter
syballince,sibilance
pilliow,pillow
pinacoloda,pina colada
facism,fascism
controler,controller
bodysurf,body surf
surup,syrup
rollex,rolex
freind,friend
irragation,irrigation
precieve,perceive
facist,fascist
pagaegent,pageant
coolwater,cool water
coronovirus,corona virus
alcohal,alcohol
desertwine,dessert wine
lilypad\\,lilypad
careal,cereal
responsabilities,responsibilities
vynil,vinyl
musix,music
workk,work
mountian,mountain
uptrend,trend
sping,spring
livingroom,living room
optimusprime,optimus prime
millenia,millennia
champagn,champagne
universalserialbus,universal serial bus
pictureframe,picture frame
aquire,acquire
stardew,stardew valley
nestegg,nest egg
retraint,restraint
vacatio,vacation
traditonal,traditional
hospita,hospital
semblence,semblance
liquar,liquor
privlage,privilage
soun,sound
legsd,legs
murdder,murder
visiage,visage
arguements,arguments
sandwhich,sandwich
lacefront,lace front
protractor,protector
strengh,strength
weiners,wieners
quarintine,quarantine
enterainment,entertainment
pinealgland,pineal gland
tinsle,tinsel
bakc,back
beachs,beaches
feloney,felony
reax,relax
salda,salad
shakines,shakiness
cofeee,coffee
beggining,beginning
pharoh,pharaoh
thristy,thirsty
decie,decide
thunde,thunder
perservere,persevere
mutder,murder
populart,popular
genereous,generous
yello,yellow
redcircle,red circle
shrit,shirt
neckless,necklace
backyar,backyard
passanger,passenger
wishkey,whiskey
assualt,assault
percieve,perceive
seperate,separate
eatingout,eating out
fundmental,fundamental
artest,artist
paymeny,payment
neveroussystem,nervous system
delibitate,debilitate
spaceshuttle,space shuttle
burgler,burglar
talkshow,talk show
truecrime,true crime
cheifs,chiefs
throughts,thoughts
sodone,so done
psycology,psychology
electricty,electricity
moive,movie
deoderant,deodorant
marshmellow,marshmallow
isreal,is real
turbulance,turbulence
apsaragus,asparagus
agression,aggression
newyork,new york
survet,survey
bigapple,big apple
decieve,deceive
happines,happiness
dribe,drive
sumer,summer
swiumsuit,swimsuit
janito,janitor
pomegranete,pomegranate
cantalope,cantaloupe
boredome,boredom
think\\,think
cassarole,casserole
innundate,inundate
kourtney,courtney
downbed,down bed
juristiction,jurisdiction
googl,google
signlanguage,sign language
freshair,fresh air
ecstacy,ecstasy
rannge,range
batj,bath
guitair,guitar
blackbean,black bean
beautoful,beautiful
manhatten,manhattan
rythm,rhythm
lgiths,lights
octagenarion,octogenarian
goerge,george
antisceptic,antiseptic
serioussam,serious sam
calvinjohnson,calvin johnson
acedmics,academics
echinechea,echinacea
accomplises,accomplices
ofwheat,of wheat
comfortor,comforter
excercize,exercise
diesal,diesel
geolegy,geology
earings,earrings
infinate,infinite
conffused,confused
amusmentpark,amusement park
bathingsuit,bathing suit
daiseis,daisies
halarious,hilarious
happpy,happy
biscits,biscuits
distute,dispute
hotsauce,hot sauce
tvguide,tv guide
millkchocolate,milk chocolate
doubtfire,doubt fire
restaraunt,restaurant
diamonds',diamonds
muscian,musician
unkown,unknown
notepade,notepad
consistant,consistent
sound\\,sound
forsee,foresee
fastfood,fast food
potatoe,potato
persuit,pursuit
chrisrock,chris rock
devestation,devastation
sause,sauce
drawdown,draw down
weakne,weaken
untrustowrthy,untrustworthy
packae,package
comtroller,controller
noddles,noodles
hampster,hamster
presssure,pressure
austraila,australia
forigen,foreign
frappucino,frappuccino
welcom,welcome
allergie,allergy
retirment,retirement
scateboard,skateboard
daubber,dauber
temperture,temperature
dipolma,diploma
alzheimers,alzheimer's
blosson,blossom
nuturing,nurturing
buffett,buffet
trsvel,travel
disect,dissect
sugat,sugar
sleepingbag,sleeping bag
cemetary,cemetery
sentance,sentence
solft,soft
vitamons,vitamins
noval,novel
kambucha,kombucha
confortable,comfortable
brocoli,broccoli
corona!,corona
cocacola,coca cola
coronavirus,corona virus
thoughtfull,thoughtful
voiting,voting
xenophobia,xenophobic
stopsign,stop sign
consciouness,consciousness
creame,cream
lettece,lettuce
itchess,itches
sandles,sandals
asprin,aspirin
nyc,new york
gullitine,guillotine
perscription,prescription
breakfest,breakfast
strenghten,strengthen
tounge,tongue
restles,restless
yatch,yacht
then',then
milage,mileage
\\she,she
generou,generous
suger,sugar
boquet,bouquet
sunshin,sunshine
frontallob,frontal lobe
cacaphony,cacophony
spider-man,spider man
recieve,receive
theif,thief
forgeifn,foreign
feul,fuel
reivew,review
orbi,orbit
wsoftball,softball
whitewine,white wine
yo-yo,yoyo
liqied,liquid
preformance,performance
hemerhoids,hemorrhoids
koolaid,kool-aid
lougrant,lou grant
preasents,presents
caffiene,caffeine
turquise,turquoise
exercize,exercise
medival,medical
omlette,omelette
chairity,charity
bunyon,bunion
respiratorysystem,respiratory system
boureugh,borough
vegertables,vegetables
loosing,losing
moeny,money
apendix,appendix
creamcheese,cream cheese
missle,missile
creditcard,credit card
loevrs,lovers
buriel,burial
mashedpotatos,mashed potatos
deadsea,dead sea
liqiud,liquid
timer',timer
puppu,puppy
saltlake,salt lake
marvelous3,marvelous
greenpeas,green peas
blackhole,black hole
allmighty,almighty
pamanderson,pam anderson
trex,t-rex
clarint,clarinet
payment*,payment
badd,bad
ceaser,caesar
mohammedali,muhammad ali
nosecheeks,nose cheeks
tatoo,tattoo
dangeous,dangerous
mvp\\,mvp
algorithim,algorithm
boullion,bouillon
spahetti,spaghetti
frenchfries,french fries
usainbolt,usain bolt
curiousity,curiosity
lanudry,laundry
realitytv,reality tv
cheersgirls,cheers girls
bluray,blu ray
allignment,alignment
milkway,milkyway
bananna,banana
polution,pollution
tamberine,tambourine
knive,knife
whitecap,white cap
whitepeople,white people
whitehouse,white house
airplain,airplane
sernity,serenity
bestbuy,best buy
plantrs,planters
destress,distress
footrest,foot rest
commericial,commercial
that\\,that
netfix,netflix
percipitation,precipitation
mentionn,mention
bacterior,bacteria
tequilla,tequila
mayonaise,mayonnaise
papertowel,paper towel
mcdonalds,mcdonald's
awsesome,awesome
gulblatter,gallbladder
watert,water
