participantID,timestamp,current_double_press_count,time_since_last_word_start,word_count,word_text,word_key_onsets,word_key_chars,word_key_codes,word_double_press_count
1004,130111,1.0,1263,52,,[],[],[],1
1056,61564,1.0,1274,18,,[],[],[],1
1056,114731,2.0,1383,34,,[],[],[],1
1056,127970,3.0,1703,38,,[],[],[],1
1063,14525,1.0,950,2,,[],[],[],1
1063,46280,2.0,720,8,,[],[],[],1
1063,70797,3.0,837,12,,[],[],[],1
1063,91461,4.0,5425,15,air,"[2345, 753, 1158]","['A', 'I', 'R']","[65, 73, 82]",1
1063,125280,5.0,5899,19,stove,"[1754, 631, 1203, 385, 914]","['S', 'T', 'O', 'V', 'E']","[83, 84, 79, 86, 69]",1
1063,163061,6.0,4113,26,pan,"[1662, 1187, 853]","['P', 'A', 'N']","[80, 65, 78]",1
1063,181898,7.0,6648,28,plate,"[1652, 354, 1276, 390, 1805]","['P', 'L', 'A', 'T', 'E']","[80, 76, 65, 84, 69]",1
1082,8126,1.0,1089,3,,[352],['\x10'],[16],1
1082,21086,2.0,1840,8,,"[391, 509, 30, 31, 31, 47, 31, 31, 31, 30, 32, 31, 31, 47, 31, 30, 32, 31, 31, 30, 47, 31]","['\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10']","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",1
1082,38294,3.0,1464,13,,[],[],[],1
1082,40254,4.0,3424,13,,"[1975, 506, 30, 39, 40, 31, 31, 31, 32, 31, 30, 31, 47, 33, 28, 31, 29, 31, 31, 47, 30, 31]","['\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10', '\x10']","[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",2
1082,58054,5.0,2592,18,,[1967],['\x10'],[16],1
1082,66822,6.0,448,21,,[],[],[],1
1082,76630,7.0,512,24,,[],[],[],1
1082,103223,8.0,1352,31,,[521],['\x10'],[16],1
1082,139078,9.0,1032,41,,[],[],[],1
1082,148070,10.0,368,43,,[],[],[],1
1126,8626,1.0,3207,1,,[],[],[],1
1126,76155,2.0,4560,13,,[],[],[],1
1233,10121,1.0,580,5,,[],[],[],1
1233,35300,2.0,810,16,,[],[],[],1
1233,89796,3.0,742,38,,[],[],[],1
1234,34093,1.0,1286,14,,[],[],[],1
1234,128470,2.0,3330,48,,[],[],[],1
1235,5580,1.0,2313,1,,[],[],[],1
1235,35536,2.0,751,6,,[],[],[],1
1235,45102,3.0,3329,7,,[],[],[],1
