participantID,wcg_diff_explanation,wcg_diff_explanation_group
1004,I felt a wee bit more somber. ,
1056,I didn't feel any significant changes. I was just more determine to concentrate on playing the word games.,
1063,"Felt fine. I just wanted to stick within the parameters of my directions, so I push the button twice every time I thought about different things.",
1082,"I noticed I was more happier while thinking where the story would go. I was also thinking why would they just leave the body there. I was constantly fighting thinking of words and thinking of the story, so I was thinking about it more.",
1126,I felt more involved in the game after the story.,
1233,I didn't feel a change. I focused on the items around me in order to complete the task.,
1234,I was only bored with coming up with new words,
1235,after reading the story i noticed we should be vigilant at all times,
1236,"I thought of more gruesome words, like murder. It set my mind in a darker place. I wouldn't say it was too noticeable of a change though, because I'm naturally a pessimist. ",
1237,After reading the story I felt a sense of grief and sadness and perhaps this reflected in some of my word choices.,
1247,I did not feel very many changes during the chain game. I kept my same strategy during both rounds. The story was on my mind a bit so I think some words can be reflective of that.,
1248,I felt frustrated,
1249,I simply felt like I had more recent experience to go off of after reading the story.  ,
1250,I think it was harder to come up with words because I was trying not to use the same words as the first time. I also thought of words from the story sometimes. ,
1251,"I felt uneasy after reading the story and it was hard to concentrate. I specifically kept thinking about how her husband and his friends found the body, and how Claire must have felt about her husband. It was hard for me to think of new words without associating them with the story because I wanted to know how it ended.",
1252,"I followed the story but it was not until the after questions that I realized that she was accusing him of the murder. I followed the story, but as I use mostly images in interpreting it, I couldn't understand what was happening.  I tend to read things that way, very visually, and sometimes don't follow the story. So I was in that ""visualize"" mode and it was more challenging for me to think of words.",
1253,"The first chain word game was all exciting, the reading part to me because confusing almost as bored when it comes to pressing enter whenever you finish a sentence. The second word chain game wasn't as exciting, I could not think of food.",
1254,I did not experience any specific changes.,
1255,I was thinking about the story after reading it. And some words from it came to my mind.,
1256,One of the changes I felt was aggravated. As much as I wanted to do well on the second chain game my mind wouldn't let me. I kept thinking about the story. I desperately wanted to know if Stuart was the killer.,
1257,I was more likely to think of outdoor scenes. I was more likely to recall words that had to do with nature.,
1258,I was more distracted,
1259,I just felt more bored and frustrated trying to come up with new words.,
1260,I felt that it was harder to come up with words with the story in the back of my mind.,
1261,"I FELT PREOCCUPIED AFTER READING THE STORY, MAKING IT MORE DIFFICULT TO COME UP WITH WORDS.",
1262,"I felt a complete change in tone in myself. A carefree study suddenly became something where the story weighed heavily on my heart. Even though I assumed it was fiction, I couldn't stop thinking about it.",
1263,The word generator task was less boring because there was something running in the background. ,
1264,I felt very interested in the word game throughout. ,
1265,"I didn't feel any changes of emotions while playing the word chain game the second time, it's just since I don't know the ending of the story, I felt so curious, like something was hanging, not completed. I tried to start the word chain the second time with topics that were unrelated to the story but found myself unintentionally making a relation between the words that I typed to the story. ",
1266,I just felt like I had another thing on my mind the story. so I guess it was a little easier to come up with words because I had more on my mind.,
1267,"I would say that in the first minute or so of the word chain game I was very relieved to have something different to focus on after that story, which as I have said before, I felt revulsion after having read the story and, as I've said before, I thought it was quite disturbing. Sometimes elements of the story would intrude as I was picking words. When I was thinking of words that evoke landscapes, for instance, my mind returned to the discovery of the girl's body, for instance. I think that putting some effort into coming up with words in this game helped me to put the story out of my mind somewhat so that there was a noticeable difference at the end for me.",
1268,"My mind did begin to think about the topics of the story more than I expected them to. However, I do not feel that it had a large impact on how I played the game. Some words I used in the game were words that I typically would have not thought of if it wasn't for the story.",
1269,"It felt easier to come up with words in the second round, but it was much more difficult to follow the rule and not think of the story. The game was a more engaging experience as well. There was no boredom and the time seemed to pass a lot quicker.",
1270,"The story made me feel sad generally. It affected my mental consciousness. In all, i enjoyed playing the game. ",
1271,"This was a new exercise and I found myself having trouble creating the word chain out of random thoughts. The rules that were put forth created a mental roadblock. In addition, I found myself hitting this block, then having to start up my mental momentum again and restart the chain of thoughts and words. It became tiring. ",
