participantID,wcg_diff_general,wcg_diff_general_group
1247,I had the story on my mind during the second round.,lingering
1319,After reading the story I was trying to not think of the story and also to not use words from the story.,concentrate
1263,I didn't think about food at all during the first game and I did think about the story some during the second. ,lingering
1320,"I didn't really feel any difference, except once, I remembered a part of the story while playing the word game.",lingering
1339,I felt a little uncomfortable after reading the story. My mind couldn't focus on anything but the story.,"emotion,harder"
1495,"I didn't think of very many food items because I was able to pretty much block them from my mind. However, I couldn't think block the story out in the second word chain.","lingering,harder"
1248,"being creative, imaginative and the ability to recall",improvement
1264,"During the 2nd word chain game, i felt more inclined to press the space bar when i thought of the story since i was very interested in what happened next. ",harder
1321,The differences I felt playing the word game before versus after were: before I was able to come up with random words that had no direct correlation to anything. After reading the story many words came to mind that were relevant to the story. ,lingering
1322,"My attitude was more somber, but other than that, not really.",emotion
1323,"The main words and images of the story were still fresh in my mind, so I tried to think of others.  ","lingering,concentrate"
1265,"I found myself thinking about the story in my mind, even when I tried to focus on doing the task, it just popped up in the middle. ","harder,lingering"
1255,I was thinking about the story while doing the second word chain.,lingering
1249,I felt a bit more inspired as if I had more ideas fresh in my mind after reading the story compared to before.  ,easier
1250,No difference really except maybe a few words from the story were in my head.,lingering
1266,"After the story, I used more words related to the story and I felt like I had to press the space bar more often.",lingering
1267,"It was more difficult to stay focused after reading the story. I thought the story was very disturbing and it was very unpleasant to read. I tried to disassociate myself from the story and its characters as much as possible, and so I tried to use the word chain game to think of pleasant landscapes and other imagery. ","emotion,harder,concentrate"
1256,It was harder to do the second chain game because I couldn't stop thinking about the story.,"lingering,harder"
1268,I do not believe there were many differences. I suppose there were slightly more words that came to mind after reading the story.,improvement
1257,Maybe thought of outdoor terms more after the story.,other
1324,After the story it was much harder to concentrate on the game.  The story kept popping up in my head.,"harder,lingering"
1496,It was easy to form words in the first round. The second round was quite hard as my mind was full of the story I read,"lingering,harder"
1497,I was more tired after playing.  ,emotion
1269,The main difference I experienced in playing the game after reading the story was that I had to make a real effort to not think about what I'd read. It was very present in the back of my mind.,"concentrate,lingering"
1340,didn't feel much different at all,no_effect
1251,"Before the story I was thinking mainly of school and things in my life, I felt fine but after the story I felt uneasy and curious",emotion
1270,The main difference i noticed was that i subconsciously thought about the story while playing the word chain game ,lingering
1271,"I felt that in round one, I walked into the activity with an empty slate. Round 2, I was trying to avoid elements of the story, but found myself thinking of them instead. ",lingering
1252,"For the first game, it was easier to try to block ""food"" out of my mind. For the second game, it was more challenging because the story was emotional.","harder,emotion"
1341,The differences I felt was the second time I kept having thoughts about the story. So I was thinking of the story and the words at the same time.,lingering
1342,The story was on my mind the second time,lingering
1325,The story was on my mind more in the second word chain game. I pressed the double space more times,lingering
1343,only could think about the story second time playin,lingering
1498,"After reading the story, I felt myself wanting to associate the words that I entered for the word chain game with the story. Whereas, before reading the story I didn't have anything in mind while coming up with words.",lingering
1082,I was thinking of the story more often.,lingering
1253,"On the second word chain game it is hard for me to think of food other than fish, breakfast and mostly drinks such as beer. I was definitely thinking more of the story during the word chain game.","lingering,harder"
1233,had to focus more ,"harder,concentrate"
1234,"Because I enjoyed reading the story, I found it hard to avoid words that were in the story. I didn't have much issue not thinking of food the first time around because I'm not hungry.","lingering,harder"
1258,i was more distracted,harder
1259,There were no differences.,no_effect
1272,I felt it a little harder right at the beginning to get the story out of my mind.,harder
1273,No differences.,no_effect
1344,not any change,no_effect
1326,"I thought of words from the story during the second round, and thus, double tapped the space bar",lingering
