participantID,wcg_diff_explanation,wcg_diff_explanation_group
1005,Thank you ,
1023,I just felt it was harder to come up with words after reading the story because I was trying not to think of anything in the story but there were so many words that would make me think of the story.,
1041,During the second word game it was hard to not think of the story and words associated with the story.  It was much easier to not think about food.,
1081,"I think the food was an intentionally boring topic so it was easier to put it out of my mind. There are endless things in my room that I can type so when I ran out of things that came to mind naturally, I looked around for things in my eyesight and used those. So it was essentially an endless stream of non-food words. The story was a little different because it was more interesting and more difficult to suppress thoughts of. But it still was not something that came to my thoughts often.",
1085,"I didn't notice any specific changes.  I have played other ""timed language puzzle challenge"" games in the past and my brain feels similar to how it feels after playing one of those.  Perhaps more energized and focused in the moment, but more tired in terms of how much energy I have until my next break.  ",
1229,"There was a feeling of melancholy that came over me after reading the story. While I was once excited playing the word chain game, after reading the story, I was more calm. ",
1230,By the end of the word chains it was beginning to feel tedious.,
1231,i felt like i could supress thoughts better the second time- because I was able to follow directions and do it previously.,
1232,I felt that it was easier to come up with words that were not food than the story because I felt that several words I chose could have somehow been related to the story.,
1238,I felt easy and calm,
1239,Words are powerful and can make you imagine the reality of what is being said or described,
1240,,
1241,I felt changes in the words that I thought of. It was harder to come up with them and each time I did it seemed like it could tie back to the story.,
1242,my experience was great and there was no really specifice change.,
1243,"Seems like i kept coming back to words that were related to the story, like car or kid.",
1244,"Honestly at the beginning of each round it was much easy but as you progress, you start running out of words and that's when different emotions starts setting in.",
1245,"Honestly, I didn't notice much change because I just thought of completely random words for both games",
1246,I was touched by the story and fully immersed in it.,
1279,I felt fixated on the details of the murder. But I was able to put it aside during the second exercise. ,
1280,The changes I felt were to come up with a word that would be a starting point that was obviously different from food or for the story I had read.,
1281,I didn't really feel any changes other than my mind wandering to the story that one time. ,
1282,I didn't really feel any changes. What do you want me to say? ,
1283,"After reading the story, I felt anxious and curious because of how the story ended. It became harder for me to think about the positive moments that I had experienced in my life while playing the game because of the story that I just read.",
1284,My emotions were more sad after the story and playing the word chain game in the second game.,
1285,"The changes I felt were thinking about items that related to the story.  I apparently could not get those out of my head.  BUT I also felt like I shouldn't just repeat all of the words I used in the first game.  So I was pretty much scraping the bottom of the barrel for random words, if that makes sense.",
1286,I did not feel any specific changes. I read the story and really liked it when I was typing I would sometimes think of the story because I had just read it.,
1287,"Throughout the game, I was really calm.  I enjoyed the story but I was equally quick to cast it aside when I needed to focus on something else.  I was really absorbed in the story because I find it quite interesting.  I wasn't disturbed by the murder in the story because I knew it was fiction.  So didn't have much emotion other than being intrigued.",
1288,Not any specific changes. Just reflections of the story I read,
1289,I felt a little bit bewildered at the actions of the people in the story.  A little angry at some of the men's decisions and the guy who followed Claire.  My mood got gloomy.,
1290,"nothing note worthy just that with the story something like breakfast could be seen as related or even grass,lake,mountain etc.",
1291,"My mood was slightly more pensive I guess, due to the story",
1292,It felt more tense on the second round because it was more difficult to avoid thinking about the story.  I wouldn't say I felt different playing it other than that.,
1293,I used the same strategy for both word chain games. The second time it was a little harder to come up with words that doesn't make me think of the story.,
1294,I HAVE A CLEAR IMAGE OF THIS HAPPENING WHY ISN'T THIS OVER,
1295,,
1296,I felt engaged in the story. it made me want to know more. i had a lot more curiosity and I also felt sad by what could have happened to the girl and how claire was being treated,
1297,"None really, I just focused differently, using an affirmative rather than a negative.",
1298,No changes in how i felt,
1299,I don't feel any significant changes after reading the story. Only some small and random details came to my mind while playing the world chain game after reading the story. ,
1300,there werent any changes ,
1301,I did not feel any significant difference between the two rounds of the word game.,
1302,I felt like the game became more serious and less fun. It also made me feel like it was more emotionally charged.,
1303,I felt as if I was under pressure to avoid certain topics. I kept second guessing myself with topics and words to come up with.,
1304,It was more free flowing the first time around coming up with words and ddn't think twice about the words. But second time around certain words made me think of the story and make me want to keep reading;.,
