participantID,wcg_diff_general,wcg_diff_general_group
1005,I was thinking about story ,lingering
1023,I felt it was much harder not to think of the topic I was told not to think of after reading the story.,harder
1041,My mind definitely wanted to use words from the story during the second round.  I had to suppress them.,concentrate
1081,"It was easier not to type fruit than it was to forget what I just read. I mean, i JUST read it. So it was difficult not to think of it. I didn't think of it a lot though surprisingly. ",easier
1085,"I felt slightly more focused after reading the story.  Because I had just been focusing intensely, it was easier to allow my mind to wander.  ",concentrate
1229,"If anything, I felt a little sad. That was a depressing story.",emotion
1230,The thinks I thought of were different,other
1231,i felt like it was easier to come up with words,easier
1232,"It was easier to not use food items than it was to not think about the story, I felt like I was using words that could have related to the story.",easier
1238,no differences,no_effect
1239,I came up with more words,concentrate
1240,none in particular,no_effect
1241,i was thinking about the story more than the food after being told not to think about it.,lingering
1242,no difference,no_effect
1243,i had a vivid story that was disturbing and couldn't get it out of my mind.,lingering
1244,"Before, l had a clear head and it was quite easy playing the word chain game but after reading the story , it was quite because l just couldn't get the story from my head.",lingering
1245,I found it easier to suppress thoughts of food than to suppress thoughts of the story after reading it,easier
1246,It all pretty much felt the same to me.,no_effect
1279,,other
1280,I feel like it was easier to keep my mind off the story when choosing words as opposed to the first time I played the word game.,easier
1281,Maybe that the story was more prominent in my memory but it's easy to keep my mind on other things. ,easier
1282,,other
1283,"Before the story, I did not have much problem playing the first word chain because I was not thinking about anything and I was very focused on the game. After reading the story, it became harder to me to do the second word chain without thinking about the story I just read. I was very engaged with the story that I kept thinking about it while playing the game.",harder
1284,Different words popped into my mind after reading the story.,other
1285,I felt the second game had more words to avoid due to the story covering a wider range of topics than just food like the first game.,harder
1286,I felt it was a little harder to keep the story out of my mind.,harder
1287,I didn't have any major differences.  I did slip up once in the first round thinking of a food item.  Then I realized that I needed to change my strategy.  So I started to empty my mind and just staring at the keyboard instead.  It works for me.  So continue the same strategy in the second round.,no_effect
1288,I felt a bit indifferent about the killing,emotion
1289,"The word game was a lot easier before reading the story.  After the story, my mind wandered to words related to the story quite a bit.  ",easier
1290,not much of a difference except once or twice i noticed a word that could be tied to the story came to mind.,lingering
1291,Just the don't-think-about-it thing. ,concentrate
1292,It was much more difficult to avoid thinking about the story than it was food.,harder
1293,it was harder to suppress story-related thoughts than food,harder
1294,HATED THE SECOND GAME,emotion
1295,I did not feel any differences,no_effect
1296,I was very sad and felt morbid. The first time it was a fun game the second time i really wanted to know more about the story,emotion
1297,"It was a bit harder to not think about it, but I chose to think about what I ws told not to think about in the first session: food.",harder
1298,"I didn't have any differences, but it was harder to not think about the story.",harder
1299,I don't feel any differences before and after reading the story. ,no_effect
1300,it was harder not to think of the story,harder
1301,The word game did not feel any different after reading the story.,no_effect
1302,"Before I felt that it was easier and more pleasant. Afterwards it was more disturbing, unsettling and serious.",emotion
1303,"The story made it a bit harder to memorize stuff since you're trying think of words, but also trying to remember the story for future reference.",harder
1304,I felt less restricted the first time around. The second time there was just so many words that could be related to the storyl.,harder
1305,"I was much more at ease before reading the story, and my mind was much clearer.",lingering
1306,I didn't really feel much of a difference,no_effect
1307,The word chain made me think more and reason more,concentrate
1308,No difference,no_effect
1309,I think the words I chose on the second round were more negative,emotion
1310,"The story was still really fresh in my mind after reading it, so it was hard not to think about it. I watch a lot of true crime videos and found myself trying to solve the crime.",lingering
1311,I focused on the word game in both instances although my mind thought back to the story.,lingering
1312,No difference,no_effect
1313,"I was a little distressed after reading the story, it made me emotional a bit ",emotion
1314,i definitely thought about the story more than food,lingering
1315,no differences,no_effect
1316,"After reading the story, I have a hard time not to think about the story",lingering
1317,none,no_effect
1318,"I felt like it was easier to come up with words, but I was also thinking about the story more than I thought about food in the first round.",easier
1379,none,no_effect
1380,It was much easier to black out one group of things (Food) vs a passage from a story about a murder where they were camping.,easier
1381,After I read the story the word chain game was a bit harder for some reason.,harder
1382,It was harder not to think about the forbidden topic ,harder
1383,It was a bit harder doing the one after since it said to not think of the story that I had just read when it was still fresh in my mind.,harder
1384,none,no_effect
1385,the suppression was more difficult during the second round,harder
1386,I was more agitated after reading the story because it was so affecting to me.,emotion
1387,I thought of more words related to mountains and woods. Easier to avoid thinking of food.,lingering
1388,It was a lot harder not thinking about something after reading the story. ,harder
1389,the story came to mind more often than food had,lingering
1390,"Any thoughts that came to mine. After, I was trying not to use words from the story. The story was on my mine. ",lingering
1391,"Though I was hungry, it was far easier to suppress thoughts of food. ",harder
1392,"I fouhd my thoughts to be more intense, if not darker, after the story due to the emotional nature",emotion
1393,I never felt any differences,no_effect
1394,"Before the story, I was a little annoyed because I've done surveys that seemed to be based on weird, food restricting ""health"" concepts. After the story, I was a little creeped out and concerned",emotion
1395,"the story resonated in a dark way and was easier to suppress than food. food is nice, and good, and harder to suppress.",easier
1396,there was no differences between the two for me.,no_effect
1397,I felt I was more used to it and had more experience. ,improvement
1398,I was able to process more words,easier
1399,I found the story nerve wracking so the first word chain game was very easy but the second one was difficult because I don't normally read stuff like that or want it in my head.,harder
1400,NO DIFFERENCE,no_effect
1401,none,no_effect
1402,It was harder to do the word chain after reading the story and trying to not think about the story.,harder
1403,I felt a little less pressure after reading the story,improvement
1404,The word game was fun but the story was captivating and very interesting and need to focus and imagine what I was reading. There was a lot of differences.,lingering
1405,I tried harder to use related words in the second round,concentrate
1406,my thinking was much more clearer and my word choices meant more,easier
1407,I felt sort of sick after the story. Before the story I felt just fine and normal.,emotion
1408,It was harder to not recall the story,harder
1409,It was harder after the story because I was thinking about the story while playing more often.,harder
1410,"I felt light hearted and carefree before the story. After the story, I felt more emotional, distracted, and sad.",emotion
1411,I felt more pressure to keep focused on what I was doing in the second word chain.,concentrate
1412,After reading the story more words related to the story kept coming to mind but I was not supposed to think about it so that made it hard.  Beforehand I felt like my words were a bit more random. ,lingering
1413,It was harder to not think about the story I had just read.,harder
1414,"no differences, I had no trouble not thinking about the suppressed",no_effect
1415,"Yes, the story make me more conscious and emotional. ",emotion
1416,"Not much difference, just a different topic to try to avoid thinking about. ",no_effect
1417,2nd round was harder.,
1418,"I felt more willingness to suppress the story, but also more willingness to acknowledge that I could not.",
1419,story stuck in my head,
1420,I was annoyed before because it did not make much sense in the first round,
1421,I had a lot of words in mind after reading the story ,
1422,"No real differences, just needed to avoid more things than just food.",
1423,"After the story, it was really hard to keep my mind off of questions about the plot. It wasn't hard not thinking of food.",
1424,"I did it properly the second time, as I noticed I wasn't supposed to be writing sentences",
1425,none,
1426,"Before I felt I could think clearer and could come up with words easier, after I had trouble not thinking about the story and how it would end.",
1427,I was better at it the second time around since I had practice the first time.,
1428,"After I found it harder to not associate something I was typing with the story I'd read, no matter how disparate.",
1429,"The difference was huge. In the first part of the game, it was easier to block out any word relating to food but the second part wasn't that easier because the events in the story i read kept coming to mind",
1430,"i didn't really feel any difference, I just repeated some words",
1431,was more aware what to expect part two if it,
1432,After I was able to come up with more words,
1433,I did not feel any differences in particular,
1434,After the story was more difficult because the story popped up on my head a few times,
1435,The only difference is what we were told not to think about;,
1436,Before I was amused but after I felt tense,
1437,It was more difficult to not think about the story and it affected the words I came up with,
1438,"I felt that food never entered into my mind, but the story did because I wasn't thinking about food, but was thinking about the story here and there.",
1439,"I kept wanting to put things such as murder, son, driving, etc down because it was fresh in my mind and I wanted to know who killed her for real.",
1440,I felt comfortable doing the word chain game after reading the story,
1441,none,
