participantID,wcg_strategy,wcg_strategy_group
1005,Simply ,
1023,I just tried to keep thinking of words.  If I got stuck I looked for an item around me and tried to just keep thinking of related words.,
1041,I just thought of the first word that came to mind.  I looked at my surroundings to find words. ,
1081,"I just said whatever came to mind. Then when nothing came to mind, I looked around my room and used things I saw. ",
1085,"I tried to think of settings, subcultures, and above all else, categories of words, that are completely unrelated to the thing that I'm supposed to not think about.  I first started typing many words, ignoring how the box ignored my single spacebar input to separate the words, so perhaps a character limit on that field could be useful, just in case any future participant makes the same mistake.  I have a friend who practices the art of freestyle rap, and I have spent many hours doing this activity myself, so the ""No Food Words"" requirement was not new to me.  Thus, it's difficult to say exactly how my background may affect my word choices in this study.  ",
1229,I visually pictured the words I typed and the next word I selected was usually something that could be seen near the original word.,
1230,I tried to chain words by following my thoughts,
1231,"rhyming works, words that start with same letter. ",
1232,I focused on things that were around me and tried to come up with categories that were not restricted.,
1238,no strategy. I just think of it,
1239,I could have used word sequence to track words,
1240,just think freely of any words that come to mind,
1241,i tried not to think of the story and just random words and then go off from those words to other words that include same letters,
1242,scrabble strategy,
1243,Just tried to think of a word that matched the other word.  Sometimes my mind would go blank though or go in a circle so i had to start somewhere else.,
1244,"Didn't use any particular strategy, l just stuck to the given instructions and wrote the words.",
1245,I looked at things around me in my room or I used word associations to find words that were similar to each other,
1246,I didn't use any strategy,
1279,Avoiding the things I wasn't supposed to think about. ,
1280,"I tried to think of words that had some association to each other, but would not form a sentence when combined.",
1281,"I focused on a thing with many parts or words. Like a computer, or body, And I also focused on themes. Like colors and planets. ",
1282,I just wrote random words,
1283,"I just kept putting in the words that come to my mind, and I tried to think about any positive moments that I have experienced in my life to help me put in more words.",
1284,I thought of different alphabet letters and things that interest me.,
1285,"No strategy, I just looked around the room for something that gave me a word and then thought about words related to that object.",
1286,I just typed the first word that came to mind,
1287,"I stare at the keyboard, select a key and think of words that start with that letter.",
1288,I just entered a word that came in mind,
1289,I would think of a word and then think of other words closely associated with it. ,
1290,i used words of things near me or rhyming words. ,
1291,"I looked around the room, came up with connected words that didn't form sentences, tried to get into a state of flow",
1292,Related words came to mind.  Those were strung together unless I came to a dead end and had to come up with another starter.,
1293,I looked around my surroundings and named things I saw.,
1294,WHATEVER CAME TO MIND. I HAVE MEMORIES OF VIOLENCE AND PTSD. YOU SHOULD HAVE WARNED,
1295,I had no strategy,
1296,Look around my room and identify these objects. These objects had a theme that was not food nor about the story location.,
1297,I just tried to think of things currently on my mind in real life.,
1298,I didn't have any.,
1299,I don't have any strategies; I just entered any words that came to my mind. ,
1300,i just used whatever was near me ,
1301,"I interpreted it as a single player version of ""word association"" so I typed the first word that came to mind when I entered each previous word.",
1302,I tried to use things from around my room that I was working in. I also tried to think of words in alphabetical order.,
1303,I just thought of stuff I saw around my room or outside my house.,
1304,sometimes I looked at my surroundings and named off stufff and other times it was words that were spelled similar.,
1305,I looked for objects around my space and thought of words related to them.,
1306,At times I looked around the room I'm in for ideas for words to type.,
1307,I had to think through very well,
1308,Just thing about anything and also things i can see that surrounds me,
1309,"I imagined a scene and then wrote things I saw in the scene, then I would let the scene play out a bit and move onto the next one",
1310,"When I thought of one word, I continued to think of as many words related to it as I could before thinking of a new topic.",
1311,Finding words that rhymed. ,
1312,,
1313,Looking at objects around me and chaining words from those until I drew a blank or got distracted by the story or food,
1314,"switched topics, like animals, food, or random words",
1315,just thinking anything aside the words that are not allow,
1316,look around to type things that I see to try not to think about what the rule said not to think,
1317,whatever comes first to my mind,
1318,I was using object in the room around me to come up with words or areas near me that I could mentally visualize,
1379,,
1380,"Thought of one item such as dog, then select the opposite, then group then, then body parts.  Sky, breeze, birds, etc.  At times when I got stuck I'd look around my room for an object and do the same thing with that.",
1381,I took the words that came to my mind and used synonyms of those words.,
1382,"During the first round of the word chain game, I just typed the first words that came into my head because I wasn't thinking much about food. During the second round, I was having a hard time not thinking of the story, so I used mostly rhyming words to give myself something else to think about. Eventually I was able to use more random words because I wasn't thinking about the story as much ",
1383,"I didn't really use any, but sometimes thinking of one word would lead to me thinking automatically of related words.",
1384,"Typed what I saw in the room, and whatever thoughts those led into",
1385,"I was beginning to create a ""buffer"" of words to use during the instructions, before the game properly began. I also would preemptively conjure more words before I had finished typing the current one. Focusing on a related series of words would help me avoid thinking about the undesired thoughts.",
1386,"I thought of related words as quickly as I could like 'dog, cat, mouse'",
1387,"Looking around the room, work related words.",
1388,"I tend to only think about sounds (like fah, duh, etc.) when playing word chain games and I form words from these. I also think of locations. ",
1389,sometimes things around me.,
1390,"I was thinking about outside, inside my home and traveling to new york. ",
1391,"I tried to go to something slightly connected when I could, whether in letters, or definition",
1392,"None, I tried to let my thoughts come and go naturally",
1393,No strategy ,
1394,"I just wrote the words that came to mind while keeping my thumb on the space bar. After I started having trouble with new words, I started looking at the keys to come up with ideas based on starting letter.",
1395,"besides avoiding the directed topics, just letting my mind wander and picking words from the scenes/scenarios that emerged",
