participantID,wcg_strategy,wcg_strategy_group
1239,I could have used word sequence to track words,no_strategy
1279,Avoiding the things I wasn't supposed to think about. ,no_strategy
1240,just think freely of any words that come to mind,no_strategy
1085,"I tried to think of settings, subcultures, and above all else, categories of words, that are completely unrelated to the thing that I'm supposed to not think about.  I first started typing many words, ignoring how the box ignored my single spacebar input to separate the words, so perhaps a character limit on that field could be useful, just in case any future participant makes the same mistake.  I have a friend who practices the art of freestyle rap, and I have spent many hours doing this activity myself, so the ""No Food Words"" requirement was not new to me.  Thus, it's difficult to say exactly how my background may affect my word choices in this study.  ","categories,other"
1241,i tried not to think of the story and just random words and then go off from those words to other words that include same letters,"no_strategy,categories"
1280,"I tried to think of words that had some association to each other, but would not form a sentence when combined.",no_strategy
1242,scrabble strategy,other
1298,I didn't have any.,no_strategy
1243,Just tried to think of a word that matched the other word.  Sometimes my mind would go blank though or go in a circle so i had to start somewhere else.,no_strategy
1281,"I focused on a thing with many parts or words. Like a computer, or body, And I also focused on themes. Like colors and planets. ",categories
1282,I just wrote random words,no_strategy
1283,"I just kept putting in the words that come to my mind, and I tried to think about any positive moments that I have experienced in my life to help me put in more words.","concerns,no_strategy"
1672,I would think of an apartment of a friend and I would list objects in the apartment. ,other
1023,I just tried to keep thinking of words.  If I got stuck I looked for an item around me and tried to just keep thinking of related words.,"no_strategy,surroundings"
1081,"I just said whatever came to mind. Then when nothing came to mind, I looked around my room and used things I saw. ","no_strategy,surroundings"
1244,"Didn't use any particular strategy, l just stuck to the given instructions and wrote the words.",no_strategy
1284,I thought of different alphabet letters and things that interest me.,categories
1245,I looked at things around me in my room or I used word associations to find words that were similar to each other,"no_strategy,surroundings"
1285,"No strategy, I just looked around the room for something that gave me a word and then thought about words related to that object.","surroundings,no_strategy"
1286,I just typed the first word that came to mind,no_strategy
1287,"I stare at the keyboard, select a key and think of words that start with that letter.",categories
1379,,other
1299,I don't have any strategies; I just entered any words that came to my mind. ,no_strategy
1041,I just thought of the first word that came to mind.  I looked at my surroundings to find words. ,surroundings
1300,i just used whatever was near me ,surroundings
1301,"I interpreted it as a single player version of ""word association"" so I typed the first word that came to mind when I entered each previous word.",no_strategy
1288,I just entered a word that came in mind,no_strategy
1619,take my time,no_strategy
1246,I didn't use any strategy,no_strategy
1289,I would think of a word and then think of other words closely associated with it. ,no_strategy
1302,I tried to use things from around my room that I was working in. I also tried to think of words in alphabetical order.,"surroundings,categories"
1380,"Thought of one item such as dog, then select the opposite, then group then, then body parts.  Sky, breeze, birds, etc.  At times when I got stuck I'd look around my room for an object and do the same thing with that.","categories,other"
1381,I took the words that came to my mind and used synonyms of those words.,no_strategy
1290,i used words of things near me or rhyming words. ,"surroundings,rhyming"
1230,I tried to chain words by following my thoughts,no_strategy
1382,"During the first round of the word chain game, I just typed the first words that came into my head because I wasn't thinking much about food. During the second round, I was having a hard time not thinking of the story, so I used mostly rhyming words to give myself something else to think about. Eventually I was able to use more random words because I wasn't thinking about the story as much ","rhyming,no_strategy"
1303,I just thought of stuff I saw around my room or outside my house.,surroundings
1291,"I looked around the room, came up with connected words that didn't form sentences, tried to get into a state of flow",surroundings
1383,"I didn't really use any, but sometimes thinking of one word would lead to me thinking automatically of related words.",no_strategy
1292,Related words came to mind.  Those were strung together unless I came to a dead end and had to come up with another starter.,no_strategy
1231,"rhyming works, words that start with same letter. ","rhyming,categories"
1293,I looked around my surroundings and named things I saw.,surroundings
1294,WHATEVER CAME TO MIND. I HAVE MEMORIES OF VIOLENCE AND PTSD. YOU SHOULD HAVE WARNED,no_strategy
1304,sometimes I looked at my surroundings and named off stufff and other times it was words that were spelled similar.,"surroundings,categories"
1384,"Typed what I saw in the room, and whatever thoughts those led into",surroundings
