participantID,wcg_diff_general,wcg_diff_general_group
1069,"I rhymed words more in the second half when I was trying not to repeat words on my mind, like pizza.",
1150,I didn't notice any differences.,
1194,Diferent wors came to mind,
1200,My chain after the story was definitely darker and more focused on things from the story than the random words I tried to come up with before the story.,
1223,No significant difference.,
1224,Nothing special,
1225,It was easy,
1226,It seemed easier to come up with words after reading the story,
1227,No differences,
1228,"At first, I did not really have any feelings, but after reading the story, it felt a bit more morbid and it felt a bit more sad. Not as happy as when I first started.",
1229,I didn't feel any differences,
1230,After I did feel like I was tending to start to think of negative words or at least words that were popping into my head that were negative after reading the story.,
1231,I didn't feel like I could look around the room. I felt like I had to keep my mind focused on one thing (my keyboard) after reading that passage. I wasn't too disturbed by it but my mind was still trying to process what I just read.,
1232,Before reading the story word came to mind more freely. It was difficult to erase the mental images from the story afterwards and come up with lots of words. ,
1233,After the story I was trying to actively not think about the story,
1234,First round I was just pulling words from head after I pulled words I read ,
1235,I think the second featured more death and cops because I had read the story.,
1236,"After reading the story, I felt like it took me longer to think of words to type.",
1237,I tried after to make sure the words had nothing to do with the story I had just read,
1238,"I got stuck a few more times during the second round, meaning that the next word to type didn't instantly pop into my head.",
1239,"I tried to use a slightly different strategy, which was to use words that are either related phonetically or with similar spelling",
1240,I was just thinking of words that I dont want to repeat. Plus I think i made it more challenging by only using the last letter as the starting letter. The second time I was using words related to the story.,
1241,I read an interesting story and found it easier to use words mentioned in the story.,
1242,It was harder to think of words not related to the story which are negative and felt wrong but I had just read.,
1243,I felt change beacuse i do number count word,
1244,easier the second tme,
1245,nice,
1246,Not much really to be honest. I guess I was thinking about the story I just read a bit but I'm not sure if it really changed how I choose what words I did. Maybe more grim words came to mind but not sure.,
1247,Hoping it wouldn't last as long.,
1248,Nothing special,
1249,nothing,
1250,"I thought word choices became easier. The thought of the story remained with me. Naturally, I came up with many words associated with the story.",
1251,I felt that I started putting more words into categories rather than just avoiding making sentences. ,
1252,Nothing special,
1253,nothing really....I didn't think to use the words I saw in the story as the words I selected,
1254,I was somehow thinking about the whole thing and how interesting it is.,
1255,confused ,
1256,Words from the story came into my mind,
1257,"It brought my focus to humans and things around humans, especially non living things.",
1258,"As I previously noted, I felt more emotional on the second round, and although now I cannot remember the words I chose, I think the story impacted some of them.",
1259,none at all ,
1260,"I definitely thought of more words related to death and water after reading the story. Before reading the story, I used words that described things around me or just random words that came to mind.",
1261,"Well, i was kinda more ready than the first time",
1262,I didn't notice any differences. ,
1263,"The first time I played, I was primarily naming objects in my basement where I work, as well as concepts and items related to those objects. The second time I played, I was almost entirely naming concepts and items from the story I just read. Normally, each item I remembered triggered another memory of a related item, such as the truck and highway, or the tent and the lake.",
1264,It was a little easier to think of words the second time.,
1265,No differences - ,
1266,I did not notice any differences. I simply wrote whatever word came to mind.,
1267,I liked the first round of the word chain game more than the second round. I was confused by the directions of the second round.,
1268,I may have been thinking more about water because of the story.,
1269,No differences at all really...was just trying to come up with words in my head to input there.,
1270,none,
1271,I recognize that some of the words that I chose after reading the story were in response to the story read.,
1272,before i was thinking of objects around me and after i was thinking of the story ,
1273,"The main difference i felt playing the word chain game after, versus before, reading the story was having an idea of what i wanted to think/write about. I had the story as a baseline for my initial words, and as i thought deeply on the story i just typed random words that came up. For example, my words contained casket, little, girl, apathy, criminal, mother, etc. Before the short story, I had just come up with words at random and by looking around my room.",
1274,"The firs round i was finding it difficult to come up with words and felt like the time took longer, the second time the story was fresh in my  mind and the words flowed more easily. ",
1275, After reading the story I didn't experience any differences when playing the chain game.  ,
1276,"Some words I thought of when they were pertinent to the story, like dirt, sand, water, things like that. But I purposely tried to keep my words irrelevant to the story to better show off my creativity instead of taking the easy way out and just thinking of words that would have something to do with the story.",
1277,Nothing in particular,
1278,I was a bit more hungry.,
1279,"The word chain game I could just put words that came to mind, whereas with reading the story I had to memorize more aspects",
1280,"I did notice I thought of sad words a little more in the second round, but I tried not to let them dominate me word chain.",
1281,,
1282,I was reflecting on the story during the second word chain game. I felt more conscious of my word choices after reading the story than before.,
1283,"I thought of more words related to the story after reading it (water, death, etc.)",
1284,I was much more aware of where the words came from and why I was thinking about them in the second round.,
1285,I felt so immense with the story,
1286,I felt pretty much the same.  There was not difference to me that I noticed myself.,
1287,no difference,
1288,There was no difference. I tried my best both times.,
1289,I did not feel any different playing the word chain game after reading the story. Both experiences were the same for me.,
1290,"I think I was trying to think of a particular scene more after reading the story and was trying to think of a place that brings me calm, such as the beach after I read the story.",
1291,none,
1292,Before the game I used my own wards and after reading the story I was focused the words I read ,
1293,I used the words that I read in the story in the second part. ,
1294,I did not have much difference,
1295,there was no significant difference ,
1296,"I did notice words just popping in from the story. Like ""lake"" ""road"" ""drink"". ",
1297,My words were more related to the feelings the story brought out in my mind,
1298,Non,
1299,Just more aware of what words I'm picking. ,
1300,I felt that the mood was different after reading the story,
1301,After the story I felt I used more rhyming words in the word chain game during the second time.,
1302,"maybe I might have used words like related to death or something,",
1303,"Some of the story did effect my word usage however, I did kind of push the story aside when doing the 2nd word chain.",
1304,"It was more or less the same, just did my best to be attentive. The story was unexpectedly dark, however.",
1305,I felt like I was more focused on the story,
1306,No difference,
1307,My mind was quite occupied by the story I had just read with the second word chain play which is not the case with the first word chain play.,
1308,I used words that were in the story after I had read the story.,
1309,after reading the story I thought of more words related to the events in the story,
1310,I felt that I was able to come up with more words during the word chain game after reading the story. ,
1311,No differences,
1312,I found the second word game harder to concentrate on because I was thinking about the story still.,
1313,I felt like I had more strategy the second time around,
1314,before i had to think  hard after reading alot of words came to mind because of the story,
1315,"In the first round, before the story, my thoughts seemed to be more random and effected by my surrounds. In the second round my thoughts were still lingering on the story I read, so the first few words were a result of that.",
1316,"There were no differences for me. Like I said, I just looked around my room for objects, or if I saw a DVD/Blu-ray used keywords from that movie or show.",
1317,I did not feel any difference after ready the story. ,
1318,The second round felt a bit more difficult because I was purposefully trying to remember key words from the story,
1319,none I felt the same,
1320,I felt a bit sharper during the second one. I think it was because I was so locked in during the story. ,
1321,I didn't need to come up with an arbitrary method to think up words. I just focused on different subjects that came up during the story.,
1322,No change really. I seem to be the same regardless of playing the game before and after.,
1323,,
1324,"I know that some of the words I chose were based on the topics discussed in the story, because it was so fresh in my mind. ",
1325,The second part seemed a lot more vivid and it was a lot harder to come up with more original words. I also kept thinking of the words in the story which greatly influenced the words I was thinking of. It kept me stuck in the story setting and I tried hard to think of other settings but it was just going back to the story setting and what I pictured while reading the story with Claire.,
1326,My words were probably effected by the story,
1327,I didnt feel any real differences other than more prepared for the word game as its the second time playing,
1328,"It was pretty much the same feeling I had, no differences changed between the story.",
1329,Nothing everything look cool,
1330,"I noticed I wanted to use words from the story somewhat more after reading, like ""river,"" ""whiskey,"" ""can.""",
1331,I was still thinking about the story when I did the second round of the word chain game,
1332,I used the same strategy and chose similar words as the first round,
1333,"The second time, I did think of more words that I had just read in the story.",
1334,There wasnt any differences what so ever.,
1335,I felt that the second time was much easier because I had words to think about related to the story.,
1336,"I was still trying to remember the story, and doing the second word game felt distracting because I had to constantly think of words while also thinking about the story at the same time.",
1337,"Playing the word chain before reading, i was really relaxed and my mind was free. While after reading the story i felt really  tired as the mine was already occupied by the story.",
1338,They felt the same to me.,
1339,"I didn't feel any differences in the second round of the word chain game however, when I thought of a word that I remember from the story, I did recall that part of the story. ",
1340,My thoughts were darker and more violent,
1341,I felt that is was easier on the after part. For some reason I was thinking about the creepy story and how the men just sat there drinking and doing nothing after they saw the body of the little girl. I was also thinking how could Claire be with someone like her husband and his trashy friends. I think I was stuck on those to elements of the story.,
1342,There was no differences,
1343,There was no difference. I played it the same way.,
