participantID,wcg_diff_general,wcg_diff_general_group
1505,No differences,
1506,"I was less enthusiastic about playing the word chain game after reading the story, not because of the story but because it was the second time doing the game. I wasn't sure that you could use words from the first word chain game in the second word chain game. Also, it seemed to be a long time doing the game, and I started running out of potential words to write.",
1507,"I fel that my mind dwelled on the story after reading it, so I had words related to the story come up in the word chain. I also felt tense due to the content of the story ",
1508,"I didn't feel much of a difference playing before vs after, except that I had less ideas come to my mind the second time around, because I did not want to use the same words twice.",
1509,"After reading the story, a lot of the words related to what I read.",
1510,Before reading the story I felt like I needed to think of a lot of different words and did not try to pull words together. After reading I was feeling like I could create more connections between words to create new words.,
1511,"I definitely felt I was pulling more from the story the second time around, whereas the first time was more word association and looking around for objects/ things in my room. ",
1512,none,
1513,"After reading the story, I feel like the words came to me faster than the previous game.",
1514,I tried to do the exact same thing I did during the first version of the game.  Occasionally I thought of a word that I read.,
1515,I didn't really feel any difference.,
1516,I didn't feel any diff,
1517,"While both times I was looking around the room for objects, I had a much harder time during the game after due to the fact that I was thinking about the story.",
1518,I was more distracted afterwards because I was thinking about the story. The shape was different and triangles were harder to find.,
1519,"I was more efficient in writing words and coming up with them, I felt like.",
1520,I incorporated words from the passage.,
1521,it was easier to come up with words during the second story because the story created extensive imagery,
1522,I felt like I started in a dark mode with some more sinister starting words.,
1523,I had more of a variety of words pop into my head.,
1524,It was easier to recall words that reappeared in the story.,
1525,I felt more relaxed after reading the story.,
1526,my second round I added words that were related to the story.,
1527,"The story was fresh in my mind so I used words from things that were in the story. When I couldn't think of any more words from the story, I reverted back to random thoughts and objects from my surroundings.",
1528,"the word chain game felt more difficult before reading the story. after the story, it felt easier, as if i had been primed to deal with words and language in general",
1529,none,
1530,Felt depressed,
1531,I was more focused on trying not to repeat words that I used the first time.,
1532,"Seeing that it was after already reading the start of a story that had a darker theme to it, going into a word chain game in the middle of it when things were being hinted at slowly threw me off a loop for a moment. Because of that, the time it took to think of words was slightly more longer than the first round since my head was split between the story and finishing the game with enough words in time.",
1533,i felt the need to include words describing how i felt after reading the story,
1534,I didn't feel any major difference. I was ready to play,
1535,i could not particularly focus on writing down words because the story was on my mind ,
1536,i could come up with more words,
1537,It was very difficult for me to recall what i read,
1538,I didn't have any differences,
1539,I think with the second round I was more comfortable just letting the words flow.,
1540,I tried to concentrate on the words but also doing my best to not forget the story.,
1541,"Different words, more depressing words",
1542,I understood the words chain game better and it went by smoother the second time.,
1543,I didn't feel much different just tried to think of different items.,
1544,Felt easier the second time and could focus for longer,
1545,"No difference, I used the same strategy.",
1546,I felt like my headspace was more negative due to the melancholic contents of the story.,
1547,"Before I just types random words that came to my mind, after I was thinking of the story a lot more and a good amount of the words probably related to the story in some way as that is what i was thinking of. ",
1548,There wasn't a difference.,
1549,The story really didn't make any difference in the way I play the word chain game. I was trying to focus on not repeating words from the first game. ,
1550,no comment,
1551,"After reading the story, I was still trying to recall the story while I was playing the game, as I was 99% sure that there would be questions asked about the story after I was finished playing the game. My associative words became more vague, I feel, after reading the story.",
1552,The words I used in the second word chain were from the passage I read.,
1553,The word game was a little easier after reading the story.,
1554,I felt like I should include some words somewhat related to the story after reading.,
1555,A lot of the words that came to mind were dark ,
1556,"i struggled a bit more to get started, but employed the same strategies to get back into the groove",
1557,After the story it seemed like my words correlated with the story some. ,
1558,My mind was in a darker place from what I read. Some small details triggered memories of my own traumas thus the language and word choices were related to those memories.,
1559,"I felt much more sad after reading the story. Like there was a weight on me. This definitely influenced the words that I used in the second round of the chain game as it was fresh on my mind. So, my thoughts were more doom and gloom than the first round. ",
1560,I didn't experience any major differences besides the story lingering in my head. I just went from one mode to the next.,
1561,No difference at all,
1562,I really didn't feel any difference,
1563,it was easier to think of words ,
1564,It was easier to come up with words and I feel the words we slightly more complex,
1565,i didnt,
1566,it was an easy challenge ,
1567,"I had less trouble with the first word-chain game the first time because I had nothing in my mind except the overarching task of mowing that was looming for later today. I could randomly come up with words, such as animals and relate a few of them together. After reading the story, I only tried not to be influenced by the repetitive words from what I had read. The story felt vivid enough to me that the words used in the descriptions were too fresh to concentrate fully on the word chain as well, but I tried to use that as a challenge. I attempted to think of words that were not related to the story, but I'm not certain that I succeeded in doing so. I was preoccupied with the story while doing the second word-chain game.",
1568,the time feels longer and I got tired early,
1569,I had to switch between being so emotional and solving the mathematical problems,
1570,I kept reliving the story I had just read. Most words I came up with are related to the story.,
1571,No difference. Maybe a little more tired.,
1572,Felt more relaxed and words rhymed easily than the first one,
1573,"After the story, its terms were on my mind, though they didn't really enter into the association. ",
1574,I didn't really feel much of a difference. I mostly felt the need to get as many words as possible.,
1575,I didn't have any differences.  I probably used words from the story on the second chain game.,
1576,"The story did come to mind while doing the word chain game after reading it. I used some words based on the story themes. Before reading the story, I only used random words that came to mind.",
1577,The words that came into my head were more about the storu,
1578,"I felt a bit slower and it was more challenging to connect the words, likely because I was still focusing on the story and trying to think about what was gonna happen next in the story.",
1579,No real differences. Didnt want to reuse words.,
1580,I felt more excited playing the word chain game after reading the story than before.,
1581,i felt great before the reading now i feel a bit tensed,
1582,there wasn't much differnce,
1583,It was almost the same and didn't notice any massive difference between the 2 rounds,
