participantID,wcg_diff_general,wcg_diff_general_group
1505,No differences,no_effect
1506,"I was less enthusiastic about playing the word chain game after reading the story, not because of the story but because it was the second time doing the game. I wasn't sure that you could use words from the first word chain game in the second word chain game. Also, it seemed to be a long time doing the game, and I started running out of potential words to write.","harder,other"
1507,"I fel that my mind dwelled on the story after reading it, so I had words related to the story come up in the word chain. I also felt tense due to the content of the story ","lingering,emotion"
1508,"I didn't feel much of a difference playing before vs after, except that I had less ideas come to my mind the second time around, because I did not want to use the same words twice.",harder
1509,"After reading the story, a lot of the words related to what I read.",lingering
1510,Before reading the story I felt like I needed to think of a lot of different words and did not try to pull words together. After reading I was feeling like I could create more connections between words to create new words.,easier
1511,"I definitely felt I was pulling more from the story the second time around, whereas the first time was more word association and looking around for objects/ things in my room. ",lingering
1512,none,no_effect
1513,"After reading the story, I feel like the words came to me faster than the previous game.",easier
1514,I tried to do the exact same thing I did during the first version of the game.  Occasionally I thought of a word that I read.,lingering
1515,I didn't really feel any difference.,no_effect
1516,I didn't feel any diff,no_effect
1517,"While both times I was looking around the room for objects, I had a much harder time during the game after due to the fact that I was thinking about the story.","harder,lingering"
1518,I was more distracted afterwards because I was thinking about the story. The shape was different and triangles were harder to find.,lingering
1519,"I was more efficient in writing words and coming up with them, I felt like.",easier
1520,I incorporated words from the passage.,lingering
1521,it was easier to come up with words during the second story because the story created extensive imagery,lingering
1522,I felt like I started in a dark mode with some more sinister starting words.,emotion
1523,I had more of a variety of words pop into my head.,easier
1524,It was easier to recall words that reappeared in the story.,"easier,lingering"
1525,I felt more relaxed after reading the story.,other
1526,my second round I added words that were related to the story.,lingering
1527,"The story was fresh in my mind so I used words from things that were in the story. When I couldn't think of any more words from the story, I reverted back to random thoughts and objects from my surroundings.",lingering
1528,"the word chain game felt more difficult before reading the story. after the story, it felt easier, as if i had been primed to deal with words and language in general",easier
1529,none,no_effect
1530,Felt depressed,emotion
1531,I was more focused on trying not to repeat words that I used the first time.,concentrate
1532,"Seeing that it was after already reading the start of a story that had a darker theme to it, going into a word chain game in the middle of it when things were being hinted at slowly threw me off a loop for a moment. Because of that, the time it took to think of words was slightly more longer than the first round since my head was split between the story and finishing the game with enough words in time.","lingering,harder"
1533,i felt the need to include words describing how i felt after reading the story,emotion
1534,I didn't feel any major difference. I was ready to play,no_effect
1535,i could not particularly focus on writing down words because the story was on my mind ,lingering
1536,i could come up with more words,easier
1537,It was very difficult for me to recall what i read,other
1538,I didn't have any differences,no_effect
1539,I think with the second round I was more comfortable just letting the words flow.,easier
1540,I tried to concentrate on the words but also doing my best to not forget the story.,concentrate
1541,"Different words, more depressing words",emotion
1542,I understood the words chain game better and it went by smoother the second time.,easier
1543,I didn't feel much different just tried to think of different items.,no_effect
1544,Felt easier the second time and could focus for longer,easier
1545,"No difference, I used the same strategy.",no_effect
1546,I felt like my headspace was more negative due to the melancholic contents of the story.,emotion
