participantID,wcg_strategy,wcg_strategy_group
1505,"Words that were related to each other (e.g., blood and cell).",
1506,"I tried to think of another word along the same theme, for example animals, eating utensils, etc.",
1507,"to pick a word and find as many words in the same cateogry, then move on to a separate word and category ",
1508,"I looked at the stuff around me and started listing that, and going off on associations with those items",
1509,"No strategies, just words that popped into my head. Sometimes I would use synonyms of words, right after the word.",
1510,"The only strategy I used was to rhyme, use synonyms, or related words for words that came to me.",
1511,"it was a lot of random recall, but also observed things around me and then used word association",
1512,i picked a topic and listed words around that topic,
1513,I closed my eyes and imagined a screen in which words popped up.  ,
1514,I just opened my mind and wrote words that came to mind.,
1515,Each word I typed was similar to the next or previous one based on its pronunciation,
1516,I didnt,
1517,I looked around the room and named nearby objects.,
1518,I tried to think randomly to avoid connecting words in sentences but often picked related words anyway.,
1519,"I just used words that popped into my mind, sometimes words that rhymed and sometimes words that were related to what I just typed.",
1520,"I typed random words that popped in my head.  Occasionally, there were corresponding words that would match the previous word.",
1521,thinking of things in the story i had just read; thinking of things around me in the room i am currently in.,
1522,I didn't use specific strategies I just typed what came to my mind.,
1523,Looked around the room and thought of similar words to what I was observing.,
1524,related words or spellings,
1525,I just let my mind run blank and then looked around as i typed.,
1526,thought of specific categories and named things/places that belonged.,
1527,I named random things that just popped into my head and then as words became harder to conjure I stated objects from my surroundings.,
1528,"I occasionally used the ending letters of one word to inform the next word. In most cases, though, it was completely random",
1529,words that comes to mind,
1530,Thought of words that went along with the story.   Tried to remain light hearted;,
1531,The objects around me. The things from places I visited recently. Things from tv shows I just watched.,
1532,"More often than not, I started off with a more general word that could be broadened out and then from there, used words that were more specific and related to it. Then up to a certain point where I had enough of those words used, I restarted again using another general word or phrase to keep the chain going.",
1533,"i used words that pop up ,and the meaning of words",
1534,Randomly tried to remember familiar words,
1535,i wrote down the names of random item i saw and include items that starts with the same letter,
1536,focus,
1537,I LOOKED AT THE THINGS AROUND ME,
1538,"None in particular. I did mention most of may words to fit certain categories once I got started, or I mentioned words based on the names of things around me.",
1539,"I just typed words as I thought of them, sometimes I had to look around to decide the next word.",
1540,I tried to plan 1 word ahead,
1541,"Picked a topic and ran off of that. Like a typical mom living room, nature, etc.",
1542,I typed words that were related to a concept of thing. ,
1543,Just my memory,
1544,"Thought about the story, looked around the room, thought about work",
1545,"I used words that related to each other such as animal and goat, kitchen and cooking, bedroom and dresser, etc.",
1546,The only method used in my word game was that it might have related to my personal experience when my brain made connections to other words.,
1547,"no strategy, just wrote whatever words came into my mind",
1548,I just wrote out random words.,
1549,"I was looking at random things around the room on a lot of words. All the other words were just random, no strategies involved.",
1550,words that start with the first later and sounds,
1551,I was just thinking of associating words and trying to keep the words closely enough related to each other where the researcher(s) would understand where my mind was going with my chain.,
1552,Consistent words pertaining to a field.,
1553,"I didn't really have a strategy in mind. I typed words that I associated with each other, and also words of no relation that popped into mind.",
1554,I wrote down a lot of words associated with the previous word that I wrote down. I also looked around my room to think of words.,
1555,"I don't think i really used any strategy, i just let whatever came to mind come",
1556,"looking around at the room i was in for objects, adding words to the chain that were related",
1557,First word that came to mind ,
1558,Creative word association- we did this in Acting classes as a warm-up sometimes.,
