participantID,wcg_strategy,wcg_strategy_group
1505,"Words that were related to each other (e.g., blood and cell).",categories
1506,"I tried to think of another word along the same theme, for example animals, eating utensils, etc.",categories
1507,"to pick a word and find as many words in the same cateogry, then move on to a separate word and category ",categories
1508,"I looked at the stuff around me and started listing that, and going off on associations with those items","categories,surroundings"
1509,"No strategies, just words that popped into my head. Sometimes I would use synonyms of words, right after the word.",no_strategy
1510,"The only strategy I used was to rhyme, use synonyms, or related words for words that came to me.","rhyming,categories"
1511,"it was a lot of random recall, but also observed things around me and then used word association","surroundings"
1512,i picked a topic and listed words around that topic,categories
1513,I closed my eyes and imagined a screen in which words popped up.  ,other
1514,I just opened my mind and wrote words that came to mind.,no_strategy
1515,Each word I typed was similar to the next or previous one based on its pronunciation,rhyming
1516,I didnt,no_strategy
1517,I looked around the room and named nearby objects.,surroundings
1518,I tried to think randomly to avoid connecting words in sentences but often picked related words anyway.,no_strategy
1519,"I just used words that popped into my mind, sometimes words that rhymed and sometimes words that were related to what I just typed.","rhyming,categories"
1520,"I typed random words that popped in my head.  Occasionally, there were corresponding words that would match the previous word.",no_strategy
1521,thinking of things in the story i had just read; thinking of things around me in the room i am currently in.,surroundings
1522,I didn't use specific strategies I just typed what came to my mind.,no_strategy
1523,Looked around the room and thought of similar words to what I was observing.,surroundings
1524,related words or spellings,categories
1525,I just let my mind run blank and then looked around as i typed.,surroundings
1526,thought of specific categories and named things/places that belonged.,categories
1527,I named random things that just popped into my head and then as words became harder to conjure I stated objects from my surroundings.,surroundings
1528,"I occasionally used the ending letters of one word to inform the next word. In most cases, though, it was completely random",categories
1529,words that comes to mind,no_strategy
1530,Thought of words that went along with the story.   Tried to remain light hearted;,other
1531,The objects around me. The things from places I visited recently. Things from tv shows I just watched.,"surroundings,concerns"
1532,"More often than not, I started off with a more general word that could be broadened out and then from there, used words that were more specific and related to it. Then up to a certain point where I had enough of those words used, I restarted again using another general word or phrase to keep the chain going.",other
1533,"i used words that pop up ,and the meaning of words",no_strategy
1534,Randomly tried to remember familiar words,no_strategy
1535,i wrote down the names of random item i saw and include items that starts with the same letter,"surroundings,categories"
1536,focus,other
1537,I LOOKED AT THE THINGS AROUND ME,surroundings
1538,"None in particular. I did mention most of may words to fit certain categories once I got started, or I mentioned words based on the names of things around me.","categories,surroundings"
1539,"I just typed words as I thought of them, sometimes I had to look around to decide the next word.",surroundings
1540,I tried to plan 1 word ahead,other
1541,"Picked a topic and ran off of that. Like a typical mom living room, nature, etc.",categories
1542,I typed words that were related to a concept of thing. ,categories
1543,Just my memory,no_strategy
1544,"Thought about the story, looked around the room, thought about work","surroundings,concerns"
1545,"I used words that related to each other such as animal and goat, kitchen and cooking, bedroom and dresser, etc.",categories
1546,The only method used in my word game was that it might have related to my personal experience when my brain made connections to other words.,concerns
1547,"no strategy, just wrote whatever words came into my mind",no_strategy
1548,I just wrote out random words.,no_strategy
1549,"I was looking at random things around the room on a lot of words. All the other words were just random, no strategies involved.",surroundings
1550,words that start with the first later and sounds,categories
1551,I was just thinking of associating words and trying to keep the words closely enough related to each other where the researcher(s) would understand where my mind was going with my chain.,other
1552,Consistent words pertaining to a field.,other
1553,"I didn't really have a strategy in mind. I typed words that I associated with each other, and also words of no relation that popped into mind.",no_strategy
1554,I wrote down a lot of words associated with the previous word that I wrote down. I also looked around my room to think of words.,"categories,surroundings"
1555,"I don't think i really used any strategy, i just let whatever came to mind come",no_strategy
1556,"looking around at the room i was in for objects, adding words to the chain that were related",surroundings
1557,First word that came to mind ,no_strategy
1558,Creative word association- we did this in Acting classes as a warm-up sometimes.,other
1559,"I just allowed my mind to wander from word to word, the first word that popped into my head after the prior, was what I entered.",no_strategy
1560,I used the words I typed to inspire me to think of other words in relation to it so if I typed apple I might also type tree,other
1561,Nothing like more efforts. Just playing,other
1562,I wrote any word that came in mind,no_strategy
1563,first word that came to my mind ,no_strategy
1564,At first I thought of things around me.  Then i started looking at the keys and imagine a word that started with random letters on the keyboard.,"surroundings,categories"
1565,just keep naming stuff,no_strategy
1566,i used the words that comes to mind ,no_strategy
1567,"I really had no strategy when playing the word chain game, but I began with the most prominent thought I had because I have to mow the grass today. The birds are chirping outside and the dog barked. I just tried to come up with random words that would not form a sentence, which was challenging. The second game was more difficult because of the words from the story that stuck in my mind. By then, a lawn mower had begun outside, which made plenty of noise that I could not ""turn off"" or affect in any way. I also tried very hard to think of words that might not have occurred in the story, and I began thinking of music for the second game. Since I'm sort of a word nut, the idea that the words were not supposed to make sentences affected my thinking. As soon as I wanted to connect the word to the next, I tried to shift to another subject. I did not use the strategies listed in the following two questions because I tried to focus on a subject such as music, which created a mental image in my mind of people performing on a stage. When that subject became empty, I was still thinking of the story, so wanted to choose words that were not involved, if possible because I did not want to let it influence my thinking. ","categories,surroundings,concerns,other"
1568,whatever came to mind,no_strategy
1569,I try to remember spontaneous word and think along words that are related.,no_strategy
1570,I thought of words that I associate with the previous word.,no_strategy
1571,Looking at objects around me and using related words.,surroundings
1572,Follow words that have the same rhythm,rhyming
1573,"Rhyming, association, spelling",rhyming
1574,"I tried looking around the room first, then I tried to think of words in categories such as food, utensils, musical instruments, books, people, places, feelings.","surroundings,categories"
1575,Cleared my mind and thought of words.,no_strategy
1576,I used the plurals of words and I also tried using words that relate to each other.,categories
1577,thought about words that went together ,other
1578,I just related each word to the next word. If I got stuck for more than a few seconds I would start fresh with the first word that came to mind.,categories
1579,I just thought of random words and looked at thinks around me.,surroundings
1580,I thought of specific categories,categories
1581,to determine how people understand reading,other
1582,i mostly started the next word with the last alphabet,categories
1583,I used the sound of the words,rhyming
1584,rhyming words,rhyming
1585,I would type out the last letter and try to think of a letter that follows that to think of a word.,categories
1586,picturing the scenes,other
1587,,no_strategy
1588,"i looked around the room i'm in and listed things i saw. after the story, i picked words from the story and also things in the room i'm in.",surroundings
1589,word association with the previous word and also things that popped into my head from the story,no_strategy
1590,"connect the words to each other, use patterns, ",other
1591,short words that were easy to type,no_strategy
1592,I used words of objects around me and in my yard. ,surroundings
1593,"Kept thinking of my all-time favorite TV series ""Star Trek The Original Series""",other
1594,"none, I chose at random",no_strategy
1595,Finding a word and then listing words that were similar to it. ,no_strategy
1596,I tried to look at the objects around me and things I have seen recently.,surroundings
1597,"My main strategy was using words that heavily correlated with each other, such as trees and branches. I would also sometimes find words that rhyme.","categories,rhyming"
1598,I was mostly typing the things I could see around me because when I tried to think of words I couldn't.,surroundings
1599,The first round I was just listing things as i went along looked around my room a little bit but for the most part it was off the cuff. And then the second round it was just like *OH GOD DID HE MURDER THAT GIRL WHAT HAPPENED DID THAT RANDOM CAR PERSON DO A NOT GREAT THING TO CLAIR* and then was like well im gonna pick words that match my mood for the most part before going random,surroundings
1600,I always think of words ahead in order to get more words,other
1601,just typed every word that came to mind,no_strategy
1602,I just typed whatever word came to mind.,no_strategy
1603,"Just followed my brain. If I went blank, I just looked up at an object in my house and went with it",surroundings
1604,"I did use some rhyme to come up with words, but I also picked categories while going along. Sometimes it was just random words that I thought about, then I would add to them from the same category, switching it up as I went along. ","categories,rhyming"
1605,Categories that are currently relevant to my life personally. ,"categories,concerns"
1606,I used words that rhyme and belong to the same group.,"rhyming,categories"
1607,"no strategy, just what comes to mind.",no_strategy
1608,I chose words that corresponded to the letter that caught my eye on the keyboard.,categories
