participantID,wcg_diff_explanation,wcg_diff_explanation_group
1014,"I was emotionally vested, so even putting the story out of my mind, it was there. Words from the story kept popping into my head.",
1015,the seocnd game felt more easy time went by faster and it was easier for me to come up with words ,
1016,"I felt more tired and saddened by thinking of the character Claire. It also made me angry at the husband and his group of friends, so I was frustrated and irritated when doing the second word chain. ",
1017,"After reading the story, I noticed that many of the words and topics that came to mind while playing the word chain game were heavily associated with the story.",
1018,the chain game went form a simple put what i could think of to a way i could more put how i was feeling in it,
1019,"After the story, I felt more solemn, a little more tired, and not bored at all. It was easy to come up with words versus before the story when it was a little more challenging. ",
1020,"I felt more connected to the story I was writing and it certainly had more of a theme than the first word chain. I could also picture what I was writing as I was typing and could also anticipate more of what I was about to write in advance. The story felt soft and somber compared to the first one I wrote, which was very random.",
1021,The story had no impact on the experience of the game or any of the above topics.,
1022,I was more engaged in the game. I was less bored.,
1023,"It was much easier for me to come up with words in the second round, I felt much more interested when playing, and my thoughts were more focused on the topics from the story. ",
1024,"I mostly felt like I really wanted to finish the story. Other than that, I did not feel any changes.",
1025,I FELT SAD ABOUT WHAT HAPPENED IN THE STORY,
1026,I felt like the words that were coming to my mind were less positive than the words before I read the story.,
1027,It was a little difficult for me to focus on the story because my mind was trying to think of words for the word game. I couldn't recall some of the stuff that happened in the story because of this distraction. So my main focus got shifted to the word game instead of the story.,
1028,I just felt like writing a few words that were included in the story I read.,
1029,I didnt experaince many changes except the topics I were thinking of ,
1030,I just felt the same and thought about the story I read.,
1031,I just felt more comfortable about my strategies.,
1032,I think having just read the passage some of the words that I had just read were more top of mind than they were previously. This meant that when doing word recall I selected some words that came from the story in addition to words that just appeared in my mind. ,
1033,N/a,
1034,I felt much more tired and bored whilst playing the second game after the story. It was not very conducive to how I wanted to feel.,
1035,"I felt more negative emotions like fear and stress. It was easier to come up with words since the story was in my mind, so I would just type out words related to the story. The topics that came to mind were more dark and morbid since the story dealt with death. I was less tired and bored after the story since the story woke me up and preoccupied my brain so that my mind was more active.",
1036,"I don't know that I felt any real change between the two word chain games. I think the second chain did have more to do with the story just because words that pertained to it came to my head because the story was fresh in my mind, but otherwise, I proceeded pretty much the same in both rounds.",
1037,I felt bored when reading the story but the word chain game made me active again,
1038,It was easier to do the game the second time. This was because I was not having to just think of words but had a theme when thinking back over the story.,
1039,I suppose I felt a little more melancholy after the story. It was easier to come up with words from the story.,
1040,i felt more intrigued,
1041,did not feel motivated to do the chain game,
