participantID,wcg_strategy,wcg_strategy_group
1014,entered words that entered my mind,no_strategy
1015,i would type things I saw around me and also remember things about the story ,surroundings
1016,"In the first half, I thought about my average day to think of words. In the second, it was almost exclusively just from the story. ",other
1017,,no_strategy
1018,the first time i didn't have a strategy opting more for rhyming then the second part i felt like i was still in the mind set of the story and wrote the things i thought  ,rhyming
1019,,no_strategy
1020,"The use of connecting words to avoid ending a sentence (like ""and"" or ""also""). Being descriptive and detailed to lengthen the sentence.",other
1021,"Started with one word that may have had categories included like colors, pink, red, blue, purple etc.",categories
1022,I tried to avoid getting stuck in certain patterns or ideas. I would try to change up the words I was using so I wouldn't think of too many words of the same category. I tried to think of a diverse words.,no_strategy
1023,"I would picture certain events or images during the game, and I would write down words that were connected to these events. ",other
1024,I wrote down any word that came to mind.,no_strategy
1025,I USED WORDS THAT ARE FAMILIAR TO ME,no_strategy
1026,Just typed whatever words came to my mind that I thought was related to the previous one,no_strategy
1027,Just think of any random words that comes to my mind and one word lead to another.,no_strategy
1028,I tried to think of some objects that were around me for ideas.,surroundings
1029,I thought of what i recently read and what was around me. ,surroundings
1030,I just typed whatever word popped into my head.,no_strategy
1031,"Just trying to retain as much of it as possible.. It was interesting, but I prefer paragraph format.",other
1032,"I just typed the first thing that came into my head. Sometimes the things were related, but not always. ",no_strategy
1033,Just thinking of words that popped in my head.,no_strategy
1034,Looking around me at objects,surroundings
1035,"I was thinking of the story and things that were around me. Once I came up with a word, I would type out other related words.",surroundings
1036,"I think I was trying to picture things in my head to start and then whatever word popped into my head next, I would type and so on. If I came into another ""blank"" space, then I would try to will some picture or scene in my head to type a word I saw from that and go on.",other
1037,I just made up words that came to my mind,no_strategy
1038,The first round was more association with the prior word and the second round was more associated with the story.,no_strategy
1039,i had none. I was completely random.,no_strategy
1040,just be focused and type what word that comes in mind,no_strategy
1041,used words of whatever is around me,surroundings
1042,I was looking around at items nearby.,surroundings
1043,I used words describing objects in my room.,surroundings
1044,rhyming,rhyming
1045,"I was actively trying to avoid saying anything that could be put into a coherent sentence, or reference anything from the story",no_strategy
1046,Not let my mind be tied down to any one genre. Let it wander and type whatever came to mind.,no_strategy
1047,I didn't really used any strategy. I mainly just typed whatever word came to mind.,no_strategy
1048,I just thought about what was on my mind.  I focused on the area of the word and what was near it.  ,no_strategy
1049,I just wrote anything that came up,no_strategy
1050,I  type the word that comes in mind,no_strategy
1051,i just tried to chain words together that were related to each othe rin some way,no_strategy
1052,words that were close to each other ,other
1053,I used words that related to each other until I changed topics. ,categories
1054,rhyme,rhyming
1055,I didn't use any strategies I just wrote words that came to mind,no_strategy
1056,I tried to things directly related in the first part. Words that fed off the previous choice. In the second part I tried to think of groups of words off a few main ones. ,categories
1057,"First round no strategy just thinking of words that came to mind. In the second round, I used words that rhyme then the second word changed the word but used the same letter. ","rhyming,categories"
1058,just typing what came to mind,no_strategy
1059,"At first I just thought of random words and words related to them. I then looked around my room and listed what I saw and any words related to the objects. After the story, I thought of words that related to the story ",surroundings
1060,"I looked at my keyboard and tried to make words out of different letters than I had used, when I couldn't think of a word to associate with the last one. I tried not to repeat words.",categories
