participantID,wcg_diff_general,wcg_diff_general_group
1254,"The word chain game was easier after reading the story because I was thinking about what I had just read. It was still in my mind. At the same time, I feel like I had to think about the words more, if that makes sense? I was trying to recall distinct words I could use while also coming up with some new ones. Playing the word chain game before, I was just trying to come up with whatever I could across a broad range of categories. ",lingering
1255,"The first session seemed longer, so much so that I thought maybe there was a glitch and it just kept going and going instead of ending. The second session seemed to go faster, and I did find myself turning to words from the story as options for content, i.e. whiskey. ",lingering
1256,I was thinking about themes and ideas that the story brought up while doing the word generation game after,lingering
1257,"Before reading the story I was using words relevant to my own life for inspiration. I would look around the room and use those words and other words that are common to me. After reading the story, I used a lot of themes and words related to the story as it was easy to come up with words and ideas from the theme and content of the story. ",lingering
1258,"I was a little slower and my mind wandered a bit more than I expected it to. I was only focusing on ONE word, and for some reason it became a bit more difficult. Even though I wasn't actively thinking about the short story, it clearly had some sort affect on my ability to process information, at least temporarily.",harder
1259,harder to concentrate ,harder
1260,I felt like some of my words the second time were more related to what I was visualizing while reading the story.,lingering
1261,no differences. i found myself using some of the same words,no_effect
1262,Right away i listed off things related to murder and the story after reading it. The first word chain wasn't influenced by that.,lingering
1263,"No differences, emotionally. The story was a separate entity for me and didn't influence me in the word game. ",no_effect
1264,more access to words after reading as compared to before,easier
1265,Understood the objectives more,other
1266,I felt a little stressed out,other
1267,"The first time, words came to mind easily. The second time, I had to concentrate a little more to bring a word to mind. ",harder
1268,"After reading the story, I was actually more focused on the chain game in that I tried to pick words with a follow up chain in mind.",concentrate
1269,well i never really felt any different.,no_effect
1270,"After reading the story, I felt like the word that came to mind were darker and more negative. ","lingering,emotion"
1271,It was actually easier after because I was stressed out because I wanted to remember the story and for some reason the words just kept flowing out of frustration. I think I used more related words the second time than the first. It seemed to go by faster.,"easier,lingering"
1272,I had more thoughts about the story the second time around.,lingering
1273,"before, I felt disinterested. But in the 2nd time, I was still related to the story, so most of the words I used were coming from the story. ",lingering
1285,none,no_effect
1286,I don't think I really did feel any differences between the two. I was just trying not to use the same words I did the first time. I was focusing on that task and not the story anymore.,no_effect
1287,I think I could come up with more words after reading the story than before. I could not think of a lot of words but the story gave me some more to use.,"easier,lingering"
1288,"I really didn't feel any differences, in both cases I looked around the room for inspiration",no_effect
