participantID,wcg_diff_explanation,wcg_diff_explanation_group
1084,"I felt a lot more distracted in thought during the second word game, not necessarily boredom but just distracted. I also felt my mood was a bit darker so my words were much more mundane.  ",
1085,It was very interesting to see the change in my thoughts and the words that I wrote down. The story did dampen my mood and caused me to create more sad words. I was less bored the second time with the word game as well. ,
1086,It was easier to come up with words after reading the story.  I didn't realize that the time was up as I never struggled to come up with words like I did the first time. ,
1087,,
1088,"I felt more sad. Even though this story had nothing to do with my real life experiences, I felt bad for Claire.",
1089,was getting boring,
1090,I felt like it took longer for me to come up with words for the chain. My mind kept drifting back to the story unintentionally and I felt distracted.,
1091,,
1092,"Again, I felt a great deal of nerves and anxiety during the second game that I did not feel during the first game. I felt a lot more focused during the second story because the content forced me to interact and respond - not out of curiosity but rather sadness and anger. ",
1093,I felt that I could play the word game better by just finishing the long story. I was more energized at playing the second-word game as opposed to the first. I couldn't stop referencing the story in the second half of the word game.,
1094,"I felt a change in the tone of my thoughts. They went from happy and nostalgic to brooding and anxious. I felt like the first story was about new beginnings, summer, friends, and the good old days. The second story felt like a broken marriage, suspicion, abuse, and unhappiness. I think the words I wrote reflected those things. ",
1095,I did not feel any changes playing the game before and after the story.,
1096,I felt tired reading that long story and trying to remember the words,
1097,I felt changes in the way that I was trying to avoid using certain words related to the story.  I had a better idea of what was expected but a harder time actually completing the task. ,
1098,"It was easier to come up with words after reading the stories, and then add some words associated with them. My emotions were felt less strongly during the game, since I was focused on coming up with words. I was less tired because I was focused on coming up with words. ",
1099,"i didn't feel any specific changes playing the game before or after reading the story, i used a lot of the same strategies and maybe even some of the same words because of that",
1100,I did not feel any emotional changes.  I didn't consider the story to be a part of the word chain game.,
1101,In the first one words came quickly then slowed down.  In the second one the words did the same thing but then I started getting sleepy and wished it could be over.,
1102,,
1103,I tried to empty my mind during this exercise.,
1104,"I felt sadder and felt darker, somber emotions.",
1105,Detailed in previous section - generally felt like I wanted out of the situation. ,
1106,i enjoyed the stories for what it was,
1107,no changes,
1108,,
1109,"I was much more excited at the start of the word games, and very excited to do it after the stories. Although towards the end of the game I found it dull and hard to come up with things.",
1110,I did feel sad emotions from the story and was trying not to think about the story during the game,
1111,no changes,
1112,"I felt more tired after the second game, and more prone to linger on disturbing topics on the second round. I felt heavier and more apprehensive as well. ",
1113,The biggest changes I felt were the tone of the words The words i kept thinking of were more sad and depressing after reading the story,
1114,I felt almost annoyed at the word chain game the second time because I just wanted to return to the story for some resolution,
1115,It was easier to come up with words in the second round of the game. The emotions raised by the story made it memorable.,
1116,"In the first round of the game, it felt more like pure word association where it was just random, sometimes silly words floating around in my mind. I think my first word was ""pizza"" which is a pretty random and non-serious word. After reading the story, my mood was a little more serious and the themes of the story were in my mind, which I think is reflected in the words I came up with as they're maybe more serious and have a smaller range.",
1117,"There are a personal experiences, emotions, or changes involved in my responses",
1118,"While reading the second story, I felt a sense of dread which continued through the second story and the second word game",
1119,When playing the word game the second time I was a bit overwhelmed. Mostly with trying to figure out what to write for 3 minutes. ,
1120,I didn't feel any strong changes.,
1121,I feel like the biggest change was I had a harder time coming up with words having just played that game a few minutes earlier. ,
1122,There were certainly specific emotional changes I would feel when playing the word chain game. One such chain had to do with heat. Not until this chain started did I even notice that today is very hot and that I had been trying to beat the heat. So there was a respective response to this change that led me to think of the cooler things to hopefully get my mind and body back to a cooler overall temperature.,
1123,"It felt darker. The first game, it felt like a word puzzle that I would play with my morning coffee. The second game, it felt like I was part of a psychological study that someone was trying to play on my emotions. ",
1124,I remember feeling good about the word chain game which lead me to feeling better about memorizing details of the story and following along. ,
1125,"I'm not sure I felt any specific changes in relation to the word game after reading the story, besides I didn't feel as good",
1126,I felt a little more anxious. I also felt more depressed after reading the story.,
1127,I felt like the 2nd time was easier because I had used words from the story.,
1128,I felt my mind was in a darker place. I was chewing on the story and the clues laid during it.,
