participantID,wcg_strategy,wcg_strategy_group
1084,"Thinking of words that were similar to each other. For example, if I put an animal in the chain then I could follow up with another animal.",no_strategy
1085,Objects around me or that I have interacted with recently. ,surroundings
1086,tried to think of things that were related in some way to the previous word that was used. ,no_strategy
1087,No strategies.,no_strategy
1088,"I tried to link a few words together, max 3. Such as burger, shake, fries then move onto a new topic.",categories
1089,guessing ,no_strategy
1090,I did not have a specific strategy. I just tried to keep it going as long as possible.,no_strategy
1091,,no_strategy
1092,I allowed myself to think of any and all words and feelings that came to mind. ,no_strategy
1093,looking around my room when I had no other thought in my head. thinking about short words that are easy to type.,surroundings
1094,"I would think about different parts of the story and write words associated with that part. Things like water, river, camping, dead, girl, etc. ",other
1095,I just typed any objects that were physically nearby. ,surroundings
1096,tried remembering the nouns,categories
1097,I would repeat the first word in my head until coming up with a second word to type. ,no_strategy
1098,"Trying to let words flow naturally, some of them from my physical surroundings. Typing blank when I couldn't think of a specific word. Rocking my head side to side. Closing my eyes.",surroundings
1099,i primarily used the strategy of looking at things around me and then the things that came to mind based on those,surroundings
1100,I didn't use any specific strategy.  I free associated.,no_strategy
1101,"I had none, just stream of consciousness but word by word",no_strategy
1102,none,no_strategy
1103,"tried to be somewhat random, yet connected.",no_strategy
1104,The strategy I used was to visualize the words and to type what I saw next.,other
1105,"Used categories to jump from one string of words to the next (e.g., colors > green > grass > lawn mowing > weeds > pests, etc.). More prevalent in the second run. ",categories
1106,i used a bunch of rhyming words,rhyming
1107,doesn't take strategy,no_strategy
1108,I looked around the room for objects to inspire words. I used words that were related to one another.,surroundings
1109,Looked at things around me and thought of what happened in the story.,surroundings
1110,"I would think of one word that would lead to the next. For example, I would think of the beach and items that fit within that category.",categories
1111,Pick some words from the story,other
1112,I tried to think of different words if I had already used them. I also tried to get my mind away from the darker words. I used words that sounded similar or began with the same letter. ,"categories,rhyming"
1113,"None, i just wrote the first thing I thought of in relation to the current word",no_strategy
1114,"Word relations, themes, alliterations, rhymes","rhyming,categories"
1115,"In round two, I used words related to one of the stories",no_strategy
1116,"I just typed in whatever came up in my head. Sometimes after typing in a word, the next word I thought of was related in context/meaning (e.g., beach, shore, water) or sometimes because they sound alike.",rhyming
1117,"These strategies can vary depending on the rules and goals of the specific Word chain game being played, but they generally involve leveraging language skills, creativity, and cognitive flexibility to keep the chain going.   These strategies can vary depending on the rules and goals of the specific Word chain game being played, but they generally involve leveraging language skills, creativity, and cognitive flexibility to keep the chain going.     ",no_strategy
1118,"Depending on the first word I thought of, I would think of more words that went with it and try to stay with a similar theme",no_strategy
1119,I would just think about what is going on either in the moment and for the second reading I was focused on areas that I remember reading. ,other
1120,taking in my surroundings and also using words i remembered from the passage,surroundings
1121,use a word starting with a letter i saw on my keyboard. ,categories
