participantID,wcg_diff_explanation,wcg_diff_explanation_group
1384,"I felt mildly disturbed after the story. Honestly the way the story was written was the weirdest to me. Because of how the text was presented I often had a hard time understanding who was talking and that made it even creepier. Though, I did not feel any more weird about the game itself, just about the story.",
1385,"I felt a bit tired playing the word game after reading the story. The first time around, it was easier, and I was less tired. The second time I had bouts of words and longer pauses between these bouts. ",
1386,,
1387,Change was just wanting to use or being drawn to darker words. It felt like I wanted to keep talking about sickness and death.,
1388,I felt that I was coming up with more words relating to the story but intentionally not using the words that I came up with because of the story.,
1389,I felt horrified by the story. I felt the word game was meaningless. But I also was able to do it faster the second time. I,
1390,"When I read above the statement on being bored, I realized that I was in fact less bored the second time!  That made me recall how long it seemed the first time when I played the game.  In fact, it was so long (boringish) that I wondered if I was doing something wrong.  The second time it FLEW past.  My mind may have been filled with the story and causing me trouble in my task, but the time didnt seem hard or slow...I wasnt bored!",
1391,I had a more grim feeling. I felt some sadness.,
1392,There were no changes in my thoughts.,
1393,I felt slightly more melancholy and at easy,
1394,I did not feel any change except I found it easier to play the game because I had done it before.,
1395,Darker thoughts and ideas of topics,
1396,The emotion was flowing - I was finding it hard to not create sentences because I found myself typing out my reactions to the story!,
1397,"Initially, I felt a little saddened that I couldn't get more of the story but after a minute I just focused on the word chain game.",
1398,"I went from being sort of left hanging on a cliffhanger since I did not read the end of the story, so having that feeling of incompletion and 'fiction anxiety' to a more general chaos thinking that I usually have. ",
1399,I think after reading I specifically felt like it was easier to come up with words. I also felt like I have been unintentionally picking violent words. I was noticing the influence the story had on my word choosing while playing the word chain game. During the second round I also noticed I mistyped a couple of times.,
1400,I felt like I was trying to figure out the ending to the story,
1401,I THINK IT WAS A LEARNING PROCESS AND I DID ENJOY IT AND THATS ALL I CAN SAY,
1402,"I felt myself thinking about the story and how it would end. Story related words were coming to mind, but I stopped myself from writing them all down. ",
1403,I did feel a little tired knowing how long I was going to have to type words and there was a solemness from what I had read but overall I didn't feel a lot of change. ,
1404,none change,
1405,i felt like my brain was at alert much more,
1406,Just a darker overall mindset. A little more sad and weirded out. ,
1407,"I felt like my mind was expanded; Calmer, less jittery, but more active when it came to latching onto related words. It was much easier the second time around. Topic-wise, I thought of more verbs than nouns. I felt more tired after the story, but not with regards to waking, just more calm.",
1408,I didn't feel anything. I really just wrote random words that came to my mind. Whatever came to mind I wrote. ,
1409,It felt easier to come up with words ,
1410,My emotions changed a bit because the story had me a bit confused. I was also a bit depressed by how the story unfolded. Coming up with words was a bit more challenging during the second time around because I didn't want to say the same word twice.,
1411,I felt like I couldn't think of as many words after reading the story as quickly as I could do before reading it. ,
1412,The 2nd round I was trying to remember words so it was slightly more difficult at times compared to the first round but the other hand there were moments it seemed like things were going rather quickly with the amount of words I was entering. I guess I could of felt a little more on edge trying to remember.,
1413,"I had a more focused feeling during the second word chain game. Throughout the day, your mind wanders and in the first one, I don't even know where I came up with 'monkey' - because it was so random, I found it more difficult to continue coming up with words to chain into it. During the second one, I found that having read the story, my mind was already honed into a more specific topic, and one that I'm quite passionate about. This may not have been the intended goal of the story and I may be a specific case, but the story found me thinking about the broader experience of women - both in relationships where there is a huge (physical/mental/aggression) imbalance, but also the ways that women move through the world and are expected to behave in general. So it was easier for me to complete the word chain task, but also a bit harder because it is a difficult experience to think about and string together.",
1414,I felt more objective with my approach the 2nd round because I had tried not to reuse any words from the previous round. This helped me focus more.,
1415,"I specifically felt front loaded with dark imagery immediately following the story. I then felt a shift mid game where I kind of ran out of dark steam, I recognized this change, and then intentionally doubled down on the macabre word associations. ",
1416,"The story was horrible, and very depressing and sad, not to mention scary. So of course that had an impact on me. I was focusing on playing the word chain game after reading the story, but my mood had changed and that influenced how I played the game the second time around.",
1417,"The most specific change that I felt after reading the story and playing the second part of the word chain game was unease. I felt uneasy after reading the story, mainly because there were still a lot of unanswered questions in my mind. Other than that, it was very easy for me to recall words, as opposed to the first time playing the game, and that was a big change. ",
1418,"My mood shifted, it was more heavy after reading the story",
1419,I did not experience a change in feelings,
1420,,
1421,I felt marginally less bored.,
1422,I noticed that after the story it was harder to focus on the word chain game but I didn't want to let it affect the words,
1423,,
1424,I think I explained it pretty well in my prior written response. The story seemed to influence only a few words towards the middle of the game. Then I was able to put the story out of my mind.,
1425,"I understand that this test was to see whether the words from reading a passage would subconsciously influence how my answers in the second chain game, but I don't feel like the story influenced my words because I only focused on getting as many words as fast a possible.",
1426,"I'm not one for detective/crime stories, so my interest in the story was more trying to remember details to which I may have to relate when answering questions about the story.  I also wasn't a fan of the writing style - so 1940/1950s machismo in Hemingway-like sentences - so that feeling was a bit of a distraction.  I was hoping that the passage would soon end the longer it went on!",
1427,"I was more excited to play the word chain game the first time. It was easy to think of random words. The second time, I felt distracted by thoughts of the story, and it was harder to focus. ",
1428,"No, there is no such kind of changes on my mind",
1429,i became more interested,
1430,My mind flowed easier around vocabulary so it became easier to think of more complex words versus the four/five letter words I used when I completed the word chain the first time around. It felt like reading the story warmed up my brain.,
1431,"no, everything is good",
1432,Nothing really,
1433,"I felt more pressure toy come up with words to type and not repeat myself, I have no advanced feelings on the task beyond this.",
1434,"I felt like it was slightly easier to come up with words during the word chain game the second time around, especially when I was exposed to a story.",
1435,I felt like I had more in my head the second time around. nut i also felt more bored,
1436,Definitely felt tired and more drained emotionally. I am using my standing desk and was standing throughout but eventually had to sit down.,
1437,"More thinking with my imagination, visually. I was seeing scenes. ",
1438,Nothing really changed.,
1439,"After reading the story, I noticed that I tended to focus on the overall plot of the story using specific words like boy, murder, river, water, etc. I found that it was easier to come up with words when associating related to the story than when free associating. After reading the story,  I felt a little more negative and so tried to do more positive associations.",
1440,I enjoyed partaking in this study. It was like a rollercoaster ride,
1441,no changes,
1442,"Transitioning from reading, the tendency was to use words that were just read or the images",
1443,"My mind did wander back to it repeatedly, sometimes words I couldn't use because they started to 'make a sentence'",
1444,CURIOUS AND INTEREST,
1445,"I suppose the changes were I was a little more focused on the story and how it played out. On the first chain, I didn't have this story on my mind so it was the only thing I thought of. Specifically, I felt like my mind going back to the story more the second time.",
1446,"I was still tired throughout the entirety of this experience, but I did gather that immersion from the story that lead me in a darker mood and putting me at interest in wanting to read a little more. It very much capture my attention reading this story as the characters had similar characteristics to some off of old movies I've watched.",
