participantID,wcg_diff_general,wcg_diff_general_group
1384,"I just felt slightly disturbed afterwards compared to before, and I think it did have a slight impact on the words I chose, such as being more crime-related.","emotion,lingering"
1385,"I think more words connected to the story came to mind after reading it, as before that, more words just from my everyday life and things around me would come to mind. ",lingering
1386,"It put ideas in my head for words to use, but I forgot a lot of it. I have a terrible memory.",lingering
1387,"I felt like the 2nd round I wanted more ""dark"" words, words that didn't exhibit happiness. ",lingering
1388,"After reading the story didn't feel much different than before, maybe darker.",emotion
1389,It was easier the second time. My mind was focused but I also didn't put too much pressure on myself the second time because it felt meaningless.,easier
1390,My mind kept drifting back to the story so I had to work a little harder to clear my mind. I'd find it drift whenever a word I came up with had something to do with the story.  Then I'd have to pull my mind back. ,"lingering,concentrate"
1391,I was more down because of the story and not being fast enough to answer the purple question.,emotion
1392,It felt like it was easier the second time.,easier
1393,I felt I  was able to more quickly type words.,other
1394,I did not feel any difference when I played the first time verses the next time. They seemed equal to me.,no_effect
1395,I had some darker words in my thoughts,emotion
1396,"Beforehand, I was thinking about words in my surroundings; the second time around, I used more words from the story I read, particularly more from nature.",lingering
1397,Honestly I didn't really feel any different after reading the story and then doing the word chain game.,no_effect
1398,"I did feel some expectation of what I thought I might be expected to write and I didn't necessarily try to temper what my chain of thought words were based on that to some degree, but mostly I just went with whatever came up. ",no_effect
1399,"Before reading the story the word chain game made my brain feel a little like it was scrambling trying to come up with words, after reading it felt as though I had a little more influence in my word choices. ",concentrate
1400,I probably used more words geared towards the story,lingering
1401,they all appeared in their unique way,other
1402,"I remembered most of what I wrote the first time, so this time I used similar words, but used more words relating to the story that I just read. I was mindful to not have every word be related, but some words were influenced. ",lingering
1403,"Some of the words that came to mind were slightly inspired by the story (grave, funeral) but then I got back into the groove of random words and what was around me. I don't think there were any big differences otherwise.",lingering
1404,,no_effect
1405,no difference but quite easier because we have endless words,easier
1406,I typed more words that were associated with the story. My mindset was different after reading that slightly disturbing story ,lingering
1407,I felt like I picked words that were more creative overall than the first time.,other
1408,Nothing changed I did the same as before I read the story.,no_effect
1409,I felt like it was a little easier the second time. i knew what to expect and I just started thinking of random things and listing similar wards,easier
1410,I felt more tripped up the second time because I was trying to come up with entirely different words than what I said the first time.,harder
1411,probably felt the story more on my mind and thus had more words from the story pop into my mind.,lingering
1412,"I felt it was easier to find words the second time after reading the story, whereas the first part was kind of random words I was entering.",easier
1413,"After reading the story, my mind was still on Claire and the perception I had of her experience throughout the story. That led me to think about the general female experience. The word chain game after the story was certainly influenced by the storyline for me.",lingering
1414,"On the 2nd round of the word chain game, I made an effort to not repeat the words I used in the first round.",no_effect
1415,"Before was almost frivolous rhyme making. After reading the story, my mind was still stuck in the ""murder mystery"" gear and I wrote words that were much more darkly colored by the story and its theme/subject matter. ",lingering
1416,I felt the story had put me in a certain mood (kind of dark) and that it influenced the words and images that went through my mind while playing the game.,"lingering,emotion"
1417,"The main difference I felt playing the word chain game after reading the story was that the words from the story were in the forefront of my mind. Words like ""body"", ""killer"", ""beer"", and other words that were featured heavily in the story made me more apt to type those in the word chain game immediately. In the first part of the game before I read the story, I simply just typed in random words or the words for things that were in my immediate surroundings. The main difference was that after reading the story, the story and its words were heavily on my mind, which made is easier to get all these words out in the word chain game. ",lingering
1418,"Before I just let it flow, after my mind was filled with dark thoughts and that is how it began",lingering
1419,I did not feel there was any difference,no_effect
1420,i didn't feel any different,no_effect
1421,There were no differences to me.,no_effect
1422,maybe it was a bit harder to focus on generating random words after reading the story,harder
1423,I didn't really feel any differences. ,no_effect
1424,I didn't notice any difference in how I felt during the word chain game after I read the story.,no_effect
1425,the second time was much more intense even though there was no progress that I could see,other
1426,"It was difficult to keep generating random words both times.  However, the story did spur some of my word choices for the second chain (e.g., water).",lingering
1427,I felt less focused on thinking about words to write down. I was thinking about the story still.,lingering
1428,"no, i don't think so.",no_effect
1429,it was able to gather words,other
1430,I used longer words when I played the word chain game after reading the story,other
1431,the story impacted in the second word game.,lingering
1432,No difference,no_effect
1433,More pressure to think of things to type,other
1434,I found myself gravitating towards words that were more associated with the story. I started off words related to a couple going through their marriage and starting a family.,lingering
1435,A lot of the words the second time were words from the story. At first they were more random,lingering
1436,Not much differences,no_effect
1437,"After reading the story, I feel like I used my imagination more. ",other
1438,It was the same honestly.,no_effect
1439,"Before reading the story, I typed free associations to previous words. After reading the story, I typed about half free associations to previous words and half associations related to the story that I was presented with.",lingering
1440,I enjoyed the story bits and words a lot,other
1441,no difference,no_effect
1442,The words in the chain tended to flow towards what was in the story,lingering
1443,"the second time, passages of the story kept coming to mind first, and couldn't write them because they made sentences",lingering
1444,I WAS FOCUSED BEFORE THE STORY BUT AFTER THE STORY MY MIND AND CURIOSITY WERE ON THE GAME,other
1445,I used some words that I thought related to the story in the second word chain like murder and truck.,lingering
1446,"I was actually doing some physical activity before all of this, so I just typed out how I was feeling for a bit. As soon as I immersed myself with the story, it drifted to a little more on the dark side.",lingering
1447,I felt the words after the story were more connected and related to the story while before it was more words that randomly came to mind as time went along.,lingering
1448,"The only difference I felt playing the word chain game was that after reading the story, my words were more ""dark"" compared to before. I felt that a few choices of words were more negative than the ones beforehand.",lingering
1449,I tried to avoid works that were used numerous times in the story that i read,concentrate
1450,I felt it was the same both times.,no_effect
1451,The only difference between the first and second round that I noticed was that during the second round I started picking a letter and trying to think of words that started with that letter. ,no_effect
1452,I payed more attention,concentrate
1453,I think that some of the words I'd just read kept 'popping' up.  I seemed to have 'more words' in my mind.,lingering
1454,"I know it felt different, but I can't say exactly why it felt different. I was still thinking about that story when I was playing the game. It felt slower, and maybe more difficult.","lingering,harder"
1455,no differences,no_effect
1456,I don't think I approached it any differently.,no_effect
1457,i felt i could not concentrate as well,harder
1458,I didn't notice anything different the second time. I was able to focus on the task independently and put the story out of my mind during it. At least it felt like that.,no_effect
1459,"I used some of the words that I seen in the story, but not too much. I did wonder how the story ended after the cut off.",lingering
1460,Was thinking of items in the story. Otherwise basically the same.,lingering
1461,"When I played the word chain game for the second time, I realized that I was using some of the imagery from the story. I believe one of my first words was river. That being said after I got into it for a while, I went back to going from word to word using natural connections.",lingering
1462,I was trying not to use the same words I used in the first round. ,no_effect
1463,I had the story swirling around in my head so my words started out directly stemming from that,lingering
1464,things related to the story would come into my head,lingering
1465,It was harder to clear my mind and think of random words because I was distracted by the story and thinking about what would happen next.,lingering
1466,I'm not sure what happened but I only played the game once.,other
1467,"I was more ""sad"" than before. Was also kinda in ""shock""....My mood changed from happy to tense.",emotion
1468,"It was a little harder to focus on the word game after reading the story, but not too much. It was a good way to clear my mind.",harder
1469,my thoughts were darker,emotion
1470,"The only difference is that in the 2nd round, I was thinking about the story and used some words from the story. ",lingering
1471,I FELT VERY ENGROSSED.,other
1472,"There was not much of a difference, because I used the same strategy to do both.",no_effect
1473,No big differences ,no_effect
1474,I was overly aware when the words I put in word chain game strayed towards the story after I read it.,lingering
1475,I didn't feel any difference in playing the word game before versus after reading the story.,no_effect
