participantID,wcg_strategy,wcg_strategy_group
1384,"I just thought of words associated with the last word I chose. For example, fruit: apple, pear, peach, fruit.",
1385,I quieted my mind and just wrote the first word that would come to me. ,
1386,,
1387,I just went with what I felt came first into my mind.,
1388,I just let my mind wander,
1389,I just really wrote down words as they came to me or used words in my environment,
1390,I let my mind drift into words and try to stay one word ahead so I could keep coming up with words. Mostly I just relaxed my mind.,
1391,Just letting my mind wander.,
1392,I just wrote whatever word came to mind.,
1393,I thought of a letter first then went with it.,
1394,I chose the new word based on the old word. It's what came to my mind next.,
1395,looked around the room and let my brain wander,
1396,"I tried to pull words from the story moreso after reading the section, and tried to make sure there was no too much pattern in the phrasing to create a sentence. I did find that I pulled more words for nature in the second word game.",
1397,"I tried writing themes, and then I picked a letter and wrote out every word I could.",
1398,"I just tried to keep typing whatever popped into my head, but did take some cues from unavoidable surroundings like the items in my living room and my own body and computer and things of that sort.   I didn't really have any strategy beyond that.  I guess I did try not to get stuck on the same exact thread of words though and intentionally skipped around rather than, for example, a string of rhyming words or a string of words that were all related.  I did the latter primarily because it seemed like the best way to avoid anything like a sentence.  ",
1399,During the word chain game I was using my surroundings to assist in thinking of words and once I got a word others would often follow. ,
1400,just whtever i could think of and by using the letters of the keyboard to think of words,
1401,i don't think there were but only a guess game,
1402,"When a certain category of items came to mind, i'd list a few in that category before moving on. Household items, food, etc.",
1403,For some I used similar kinds of words (i.e. more animals after I thought of an animal) and some were inspired by things in my direct line of sight but some just randomly came to mind. ,
1404,,
1405,speaking out,
1406,No strategy was used. I typed whatever words came to mind. ,
1407,I just wanted to keep it going by finding words that came to mind chaining from the previous without being related to it in the sense that it created a sentence,
1408,No strategies I just wrote what came to my head. ,
1409,I would try to think of something and then list a bunch of characteristics about it/words related to it ,
1410,I tried to just type the words that I thought of and I tried to do words that were related to the previous word that I had typed.,
1411,Just kept thinking of things that were related and connected and then i would go off into different topics,
1412,"I just thought of random words, things I saw around me, things in the story. Did some rhyming as it helps get more words out there faster. ",
1413,I struggled with the word chain game - it was difficult for me to refrain from forming sentences while continually thinking of new words.,
1414,I looked at my keyboard and derived words from the letters I saw first.,
1415,"I used rhyming words at first, then progressed into thematic elements/groupings while more or less following the same rhyme scheme. ",
1416,"No strategies. I just wrote whatever word came to mind, one after the other.",
1417,"For the first game, I simply recalled some words close to my mind, and when I could not think of any more words off the top of my head, I simply looked around my surroundings, and typed out the words. For the second game, I tried to recall as many prominent words I could from the story I read, and I typed those out. ",
1418,"no strategies, I like that game. I see where each word takes my brain and imagination",
1419,I chose words based on what the previous word represented to me,
1420,wrote what came to mind that was slightly related,
1421,I tried to either make long chains of nouns or deliberately stuff in words that would ruin any sentence I noticed beginning.,
1422,I tried to think of random words,
1423,I didn't really use any strategies. I tried to avoid using words that were too connected to the proceeding word. ,
1424,I did exactly what I was told and typed the words that came to my mind. My only strategy was to truthfully type the words I was thinking.,
1425,I thought about tv shows and the main words associated with them after that I'd think about the words associated with them. Example: I'd write first Milk the write words like whole or percent.,
1426,"I consciously tried to type in unrelated words.  If an association came to mind, I skipped that thought and tried to continue with an unassociated word so as to honor the instructions.",
1427,"I just let my mind wander, and I wrote down just whatever popped into my head.",
1428,maintain the related words.,
1429,thinking wide,
1430,I used words related to each other,
1431,"no, I played it with my recent words",
1432,No strategy,
1433,"Don't think, speak ",
1434,listing out what's in a particular place or event,
1435,I started looking at a random letter on my keyboard and then writing a word based on that letter. ,
1436,The first word was something in front of me. The next word starts with the last letter of the preceding word.,
1437,"During the first round, I looked around the room. In the second, I mostly used my imagination. ",
1438,I didn't have any strategies.,
1439,"The first time, I tried to type associations to the previous word. The second time, I typed associations, but I also typed associations from the story.",
1440,Picking a random topic and finding words associated to it,
1441,I didnt,
1442,Chaining the meaning of the word and what the first next word that comes to mind would be,
1443,I don't know that I had any. did start mentioning some things in the room when mind went blank,
1444,FOLLOWING THE SAME SPECIES,
1445,"Not really any strategies per se honestly. I just came up with whatever words came to mind. Sometimes, I'd think of a topic and write some words like that, such as some travel related.",
1446,"I really just thought about words that are on my mind based on the events that happened beforehand such as the story I just read, I pretty much just typed out negative words for the most part.",
1447,"I sometimes tried to rhyme words or give a chain of words that related to each other, such as a farm and cows or a forest and grass.",
1448,I thought about words that were relevant to my personal life.,
1449,I basically just thought of random words that are around me in my daily life,
1450,i just connected words together i thought went together.,
1451,"I would think of a theme and list several words within the theme, like vegetables, animals, clothing, etc. I also looked around the room for items and branched off themes from there. I also thought of completely random words and I did verbs as well. I also would think of as many words that began with the same letter.",
1452,I just said what came to mind,
1453,I followed the instruction and cleared my thoughts.  I just chose words as unrelated as possible.,
1454,"I used words in my head, and when things weren't flowing I words of things around me.",
1455,I just typed whatever words I thought of,
1456,"I just typed whatever came to my mind.  I let my mind drift between connections in my head, creating a flow of associations to form a chain of words.",
1457,tried to think how words were related,
1458,I tried to make the words actually connect to form a chain but when I couldn't think of one I just used a word that was similar or related and started making a chain again.,
1459,Tried to go with words that rhymed together in the second part. I tried to to go with whatever in the first game.,
1460,Trying to only type more common words and not get stuck picking somethin obscure.,
1461,I would think of one word that led me to another word.,
1462,"I wouldn't call it a strategy, but I did notice that I used words that could be grouped together or linked somehow, like cat and fur or farm and field.",
1463,"I tried to have no strategy whatsoever and just relied on what was in my mind, I guess I tried to not look around the room while doing it",
1464,just randomly selecting words that came to my head ,
1465,I just tried to clear my mind and then type whatever random words popped up.,
1466,At one point I closed my eyes to try and most accurately get the next word that popped into my head.,
1467,I started with typing a word and then any word associated with that word. I then looked around the room I am in to continue when I could not think of a word.,
1468,"I tried to think of words in the same category as the one I had just used. I used mainly nouns or adjectives, so I wasn't making a sentence.",
1469,none,
1470,I didn't have a strategy. I just thought of words. ,
1471,JUST THINK OF RANDOM WORDS,
1472,I mainly thought about words that that related to one another.,
1473,I was using easy to pick words like foods and fruits,
1474,I tried to stay focused and not let my mind wander and start writing as I was thinking.,
1475,I typed the first word that came to my mind after seeing the previous word I typed.,
