participantID,wcg_diff_explanation,wcg_diff_explanation_group
1000,I felt more free to think of words.,
1001,"I actively tried to avoid using words directly associated with the story whereas before, I was freely playing the word game without interference or worry. ",
1002,"initially, word choices were heavily influenced by the text",
1003,change in mood,
1005,I could feel my mood changing with where the words took me. Words with negative associations had a negative impact on my mood and vice versa.,
1006,"Initially, i used words that i relate to myself, but in the second round, i related the words to what i'd read",
1007,"I found the chain slightly easier the second time, maybe that's just down to practice?",
1009,I became more tense because of the story's tone.,
1010,I think i was trying to be quicker the second time ,
1012,I felt connected to the story but fatigued by the activities. ,
1013,i felt a sense of randomness in each task but the story peaked curiosity towards the end although the beginning did confuse me ,
1015,I was trying to control my thoughts or perhaps finding it harder to control my thoughts. Carrying out the task immediately after such a vivid piece of writing and such strong suggestions was certainly intruding into my free thinking,
1016,"my mind was clear but after reading it was fixated on the scenes from the text. Whenever I tried to think of other word other than from the text, I got blocked. ",
1017,"The emotions and memory of the text prior to the second chain game gave more connection to each word as they come to mind. The first chain game felt lacking in any meaning - each word was just an association of the previous word, whereas the second game words felt imbued with an unintentional emotional relationship between each word as they progressed.",
1020,"I felt intrigued by what I read and it definitely peaked my interest. The experience for me was that it is a story that I am reading and just trying to remember as much of the text as I possibly can. Hence, the reason why I did not feel emotionally involved in the story. For me it was a matter of facts I neede to remember.",
1021,It became boring as it was a repetition of the previous task.,
1022,The second time I felt my mind go blank a bit more often and sometimes struggled to have a word follow on from the previous. I think because in the second round the words didn't jump from subject to subject quite as often.,
1023,less focused my mind felt more like it was a series of images,
1024,what i wrote previously,
1026,The second time I took more time thinking of the next word as I realised I had longer than I had initially thought,
1027,Easier to find words the second time as was based on the text just read and the emotional response produced by it,
1028,i felt spaced out a bit coming up with words ,
1030,"I felt more confused in the sense that I wanted to know how the story ended, and this preoccupied my mind.",
1031,It felt like going back to the word game after reading the story was more boring and uninteresting,
1032,"I felt more motivated to think of words and everything came a lot easier to my mind. In the first word game, I struggled to think of words and nothing was really coming to mind, but the text opened my mind to different ways of interpreting things, usually those beyond a base level so I wouldn't just think 'water' about the word 'river' but rather what could happen in a river, like fishing or murder.",
1033,i enjoyed it,
1034,I used more of what was in the passage but still managed to incorporate words from my first word chain,
1035,I used slightly more morbid words as the game went on.,
