participantID,wcg_diff_general,wcg_diff_general_group
1145,I felt sadder and started to choose words that would cheer me up,
1146,"before i had no word bank in my mind, but after reading the story, i had a huge list",
1147,Words from the story were on my mind and I had to think to not use them.,
1148,The second time I felt more comfortable thinking of words.,
1149,more dark,
1150,I came up with words that were relevant to the story when I played the second time,
1151,I felt like the overall mood of the story stuck with me when I went into playing the word chain game for the first time. It almost set a certain tone to this task where things were a bit more eerie than they were when I played during the first word chain game. ,
1152,The first time felt more light hearted so I have a lot more light heard and semi - random terms in the first round. The second round the words are a bit more dark in tone since thats the feeling I got from the story and it just naturally carried over to the word game.,
1153,I had a subject to focus on. I used words from the story to help me play word game the second time. It was easier that way. The first time I just said whatever was relevant to my day maybe.,
1154,Before  reading the story I choose words from my day and after reading the story I chose words I saw from the story.,
1155,"After reading the story, my word choice was much darker. It was very much influenced with the theme of the story, a lot of it had to do with feeling unsafe and death. Whereas before the story, my word choice was pretty typical, standard stuff. ",
1156,not much of a difference,
1157,I felt the correct thing to do after the story was use words that I remembered from the story,
1158,before: i didnt understand After: i understood after reading and typed more shorter words to try to fit more words typed in 3 mins,
1159,no differences,
1160,i felt like this shouldnt be difficult as compared to the first ,
1161,"I was thinking of the story words more in the second round of the word chain game, while trying to avoid thinking of the unfavorable parts of the story",
1162,it opened my mind up more after reading,
1163,I felt more like my mind was drawn to words that pertained to the story after reading it.,
1164,The differences were that the story was in my mind after playing the game the second time compared in the first time it was more easy to make up words because the story was not in my mind. ,
1165,On the second one I was aware that the words I thought of should probably change under the circumstances (guessing what the experiment was about) but I didn't find that they did.,
1166,"I did feel a little different in the words I used my mind felt more inclined to use more viscous words. Especially the Predator, Prey symbolism I felt in the latter half of the story. Also how the woman almost felt like a accomplice to the ordeal which is why she went to the funeral as a way to relieve some of the guilt. ",
1167,it was the same experience for me throughout both times.,
1168,I felt words came easier ,
1169,It was bit more harder to think of words in my mind,
1170,I didn't feel as if there were any differences ,
1171,i wanted to fit in words about the story,
1172,none to speak of.,
1173,"I definitely had fun during the first round trying to make it a goal to write a word for each letter of the alphabet. I felt like I was on a run like trying to do as much as I could and felt my mind flowing through every thought.  On the second round, I felt slowed, heavy, and disturbed like I kept stopping myself from typing words that would remind me of the story. I felt like whenever I did write a word that I saw in the story, I would feel upset like being pulled back to the vivid story. ",
1174,Some words were more associated with the imagery,
1175,It was the same for me. I actually finished up with my alphabet using a word for every letter.  The story had no impact in my random chain of words because I was made aware that it was random.,
1176,not many differences i think,
1177,"It made me drained a little, like I was speeding through parts because my brain was already a little overworked.",
1178,The second time my responses were somewhat darker. I felt physically on edge still from the anticipation of reading the story,
1179,Before I read the story I wasn't focused on anything in particular. The words I came up with were pretty random. After I read the story my thoughts centered around it. So most of the words I thought of were related to the story.,
1180,"It seemed I had a few ""darker"" words come to mind more than the first time. I also seemed to find it easier to come up with a word faster. ",
1181,I wanted to use words that pertained to the story I had just read.,
1182,The story was in my mind ,
1183,"before reading the story. I was very open-minded about typing the words, and after reading the story, I was narrowly mined, words kept on coming into my mind.",
1184,I felt like the words I picked the second time around were darker and more serious.,
