participantID,wcg_diff_explanation,wcg_diff_explanation_group
1000,feelings didn't change but had to isolate and cordon off the story in my head,
1001,"I didn't feel any change, it was pretty normal and easy to finish the task after reading the story.",
1002,"My emotions were much higher, and a lot more words were coming to mind that I had to avoid",
1003,I felt that the game was harder. I felt this way because I had to think about not using certain words.,
1004,I was feeling some sadness but also wanted to know who the killer was and if they were previously mentioned in the story.,
1005,Amazing  experience,
1006,The only change that I felt was that I needed to be more imaginative in coming up with topics for the word chain game after I read the story.,
1007,none.,
1008,I kept the same pattern where I just tried to keep the topics about food and the story out of my head.,
1009,"Since the story was about a young girl who drowned, I naturally thought of my Joshua.",
1010,I wanted to know what happened next but focused on the word chain game instead.,
1011,"Again, I was just glad I could talk about how hungry I was.",
1012,Changes in the words that did come to mind and an increase in difficulty in trying to come up with new words.,
1013,I did not really feel changes. ,
1014,"just a different mindset than earlier, more severe, due to the dramatic content of the text",
1015,"I thought it was easier, in a way, to ""not think of the story"" than it was to ""not think of food,"" because the story is a more abstract entity. A foodstuff is obviously a foodstuff. It was easier for me to not write ""Claire"" than it was to not write ""melon.""",
1016,"I tried to focus in something less harmless, someone that I love and always bring me good thoughts",
1017,The only real change was that being able to use food words made it easier.,
1018,no real changes,
1019,I think really the most specific change I thought about was trying to generate words that would be in categories far removed or not present in the story itself.,
1020,"I didn't feel any big change in my thoughts, except that I needed to stay more focused on finding a word to type in after reading the story.",
1021,i just focused on getting done,
1022,it was a very intense short story,
1023,I felt less bored doing the word chain game after the story but I'm not sure why.,
1024,"I only felt one change which was me thinking of the story during the second word game. During the first word game, it felt normal.",
1025,"I didn't feel any specific changes. The word game was not at all related to the story, so it made no difference.",
1026,"I did not experience any changes, but I forgot what I was doing during the second round of word chain. ",
1027,I felt that coming up with words unrelated to the story was easier than coming up with words unrelated to food in general. I guess that I was thinking about the story as I listed the words to make sure I wasn't accidentally listing words related to the story.,
1028,"While I felt words came easier in the second round, I still felt mentally distracted by the story and how it might end.",
1029,"I was upset with you, the person who created this survey, for subjecting us unwarned to such vulgar material.",
1030,"I did not really have any changes, I just thought of words associated with one another. For the second, I started thinking about fitness items or activities and when it came to dance topics, I eventually moved into music.",
1031,,
1032,N/A ,
1033,thoughts of murder and death,
1034,I felt in game two the words I thought of were more somber.,
1035,No real specific changes. ,
1036,Words got finished in mind. I tried to stay away from the food and story i read.,
1037,I was more mindful ,
1038,I felt more depressed after reading the story and found it harder to come up with the words,
1039,I thought about how it could have ended especially with Claire suspecting her husband.,
1040,No changes,
1041,I wanted to stay on topic with my thoughts so I didn't change what I was typing,
1042,I felt a little pre-occupied the second time,
1043,I felt closely to the instructions. To focus on words unrelated to food. And then focus on words unrelated to the story I had just read.,
1044,I only found it harder to try to avoid certain words because the story involved so many different elements. I had to put more thought into whether a word was ok to write. I had to consider and think about whether the word I was thinking of was relevant to the story.,
1045,I felt that thinking of words was going to be a bit more tricky. The range of words related to the story is more broad than food.,
1046,can't really explain,
1047,I felt a change in my emotions as I went from Round 1 to Round 2 as I had the story on my mind. It was kind of throwing me off in the second word game because of that. I was trying to focus but it was kind of difficult with those lingering emotions of despair and questioning the ending. ,
1048,"The story definitely brought emotions of remorse, pity, suspense, etc. but as a fiction writer myself it was not difficult to see the story as just that. Thus, coming up with unrelated words was not difficult. ",
1049,I felt confused by the story. I felt happy that I got to write about food because I am hungry. I felt unsure why they waited to call the police.,
1050,My emotions more heightened in the second round,
1051,I felt I was slower and my brain was acting slower. I felt I was still kind of thinking about the text I read and I couldn't perform as good as the first part. ,
1052,This didn't occur for me,
1053,i felt like i had to change all the topics after reading the story,
1054,I have not feel any changes,
1055,I just did what I needed to do. I did each section separately ,
1056,I felt no chance while between doing the first and second word games. I just focused on making sure the sets of words were different.,
