participantID,wcg_diff_general,wcg_diff_general_group
1157,my mind was still on the text,lingering
1000,"the 1st time, avoidence  the 2nd time, concentration on a ltetter",concentrate
1001,Both parts weren't any different in my opinion.,no_effect
1002,My words were much more evocative after,other
1003,the second game was hard because I had to think of not using words related to the story that I was just thinking about,harder
1158,I did not notice an differences.,no_effect
1004,I was still thinking about the story during rd 2 of the word chain.,lingering
1005,No difference                                                 ,no_effect
1159,none,no_effect
1006,"Before, I found it quite easy to avoid writing words about food or eating. After reading the text, I found the word game a bit harder because the story covered many topics and scenes and I couldn't mention any words related to any part of the story.",harder
1093,"I was more unsure in the first word chain game vs the second one. It was easier to come up with words in the second, although I ended up using food words.",easier
1007,none. just that i could use food now,no_effect
1077,"It was hard to not think about the story, I wanted to know what happens next.","lingering,harder"
1160,no differences,no_effect
1161,It was hard to not think of words relating to the story after investing time into reading it,"lingering,harder"
1008,I felt more restricted when playing the second time,harder
1162,It was easier to avoid food words than words about the story.,harder
1163,trying to not think about story,lingering
1164,The word chain was more engaging,other
1009,The words that were to be avoided were different.,no_effect
1010,It was difficult to not think about the things I was told not to think about.,"harder,lingering"
1011,relief after reading the text because I could include words about food,easier
1012,I felt the second round was harder because I was still thinking about the story,harder
1165,,other
1013,no difference,no_effect
1166,nothing but treat,other
1167,nothing ,no_effect
1014,afterward there was more of an ominous feeling,emotion
1015,"First, I made a couple of food references right off. Wasn't really intentional, but I thought it was funny. I was trying pretty hard not to think about the story. I allowed myself a couple of ""funnies"" to slip in this time (poodle, noodle, doodle, for anyone who gets the reference).","concentrate,other"
1168,i was indifferent. i was trying to figure out what is going on,no_effect
1169,It was only different in what types of words I was trying to not name. ,no_effect
1016,I felt less confident in my ability to keep the chain going.,other
1017,I felt it was more difficult to suppress food words than words relating to the story,easier
1018,I could add more categories that included food,other
1094,"I almost felt like I had to avoid both categories during the second round, but obviously I could have submitted words related to food.",other
1095,"no differences really, just that in the 2nd game i could list lots of food words",no_effect
1019,"if anything, I think the second time was a bit more challenging due to the larger range of possible words that could potentially relate to the story versus just ""food"" in the first time I had to generate the words",harder
1020,I used the same strategy except avoiding words related to different categories (food for game 1 and anything related to the story for game 2),no_effect
1021,none,no_effect
1022,i was slower after reading,other
1170,I found it easier to thing of words after reading,easier
1023,I didn't really feel any differences though I felt I had to try harder to avoid certain words.,concentrate
1024,none,no_effect
1096,not many differences to be honest,no_effect
1025,,other
1026,I didn't experience any. ,no_effect
1027,I felt like avoiding words about the story was easier than avoiding food,easier
1074,I felt a bit disoriented to be honest. It was hard trying to remember each section individually. I focused so much on the story the word chain game sort of slipped my mind.,"lingering,other"
1028,I felt that the second round of typing words came easier and more naturally than they did in the first round.,easier
1078,I questioned myself more when I was thinking up words. Is this word organic or did I get it from the story?,other
1171,it was hard to focus on things not related to the story,harder
1172,before it felt simple and after it felt a little heavier,emotion
1029,I was very disturbed by the passage. You should have posted a disclaimer on the survey. Upsetting subject.,emotion
1097,"It was bit harder to focus after reading the text, but I employed the same strategy as before.",harder
1030,I did not feel any differences,no_effect
1173,More emotional,emotion
1031,It was harder to concentrate after reading the text,other
1032,uuummm i do not feel i felt anh difference ,no_effect
1174,I was tempted to write few words from the story,lingering
1033,i had much more intrusive thoughts,lingering
1082,"I was focused more on the story, so it kept coming back to mind.",lingering
1175,Trying to not think about the story,concentrate
1176,I can't say I noticed any real difference,no_effect
1177,I felt no differences,no_effect
1034,I was much more aware of the words not to use from the story.,concentrate
1178,"I felt a little more free with the type of words I could use, for some reason food items is one of the main words that came to my mind the entire time.",improvement
1179,There was difference because i followed due instruction for the task.,no_effect
1035,not much difference because the words I used in both chain game were almost the same and weren't related to the story nor food.,no_effect
1036,Thinking wide enough,other
1037,I was a lot more mindful about the words I thought of. I also realized I named off some food items by accident in the first game. ,concentrate
1075,First was normal nice topic and the second was about a murder story ,other
1180,I did not feel any differences.,no_effect
1181,none,no_effect
1182,I was more alert of the words I was picking after reading the text.,concentrate
1098,I felt a little more somber,emotion
1038,It was harder for me the second time around,harder
1039,harder to control my thoughts about the story ending,"harder,lingering"
1040,I wanted to write words having to do with crime and murder afterwards since it was top of mind.,concentrate
1183,none,no_effect
1076,none,no_effect
1041,,other
1042,none,no_effect
1079,"The first one I was focused on not thinking of food, and the second time I was just trying to get the story out of my head.",concentrate
1043,I felt I could not talk about food in the first round and in the last round I felt I could not talk about the story.,other
1184,I did not notice any,no_effect
1044,I was trying harder to not think of certain words.,harder
1099,I didn't notice a difference,no_effect
1083,I had no thoughts before the first game but I couldn't stop thinking about the story before doing the second game.,lingering
1045,"The second one felt way easier, there was less to think about.",easier
1046,none really,no_effect
1047,I felt a bit more sad as the story was strange and kind of heartbreaking so my mind was more on the story afterwards.,emotion
1048,Mentally tying to come up with words not related to the story,other
1049,I didn't feel any differences just words I couldn't use,no_effect
1100,The word game was more fun,other
1084,I actually felt like it was easier to control my thoughts after I read the text versus beforehand.,easier
1185,Nothing really.,no_effect
1085,"I was used to the game, so I could re-use words from the first round if I couldn't think of something, and I was able to use food and animals (which are food-related even though I am vegan).  I felt more confident.  ",improvement
1101,I thought about more concrete topics to be able to think of words not related to the story,concentrate
1050,It was more difficult the after reading the passage,harder
1051,The only difference was trying not to think about certain things described in the instruction. ,no_effect
1052,It felt easier the second time around,easier
1102,none,no_effect
1053,"it was easy to not think about food, but after reading the story it was a bit harder",harder
1054,there were no differences I think,no_effect
1055,none,no_effect
1186,It was easier the second time.,easier
1056,"I didn't feel any difference, but I was trying to think of different words than before.",no_effect
1187,it was a long reading text,other
1057,It was hard both times because my mind kept trying to think OF WHAT I WAS NOT supposed to do! haha!,no_effect
1058,no difference,no_effect
1086,more on edge from reading the story,emotion
1059,Nothing I just have to make sure that I dont mention words that are not related to the stor,no_effect
1060,I don't think I felt any different,no_effect
1087,I was trying to not think about the story.,concentrate
1188,It made me bettter to think of any words I might wanna use,improvement
1189,i focused more on the food items that were mentioned in the story because i thought it was related to the first task,concentrate
1061,"Not many differences. Only thing I can really pick out is how much more limited it was the second time. After reading the story, it was difficult coming up with words that didn't relate to it.",harder
1062,It was a bit harder to come up with words after reading the text due to my mind still being preoccupied and focused on the story that I just read.,"lingering,harder"
1063,"On one I try to avoid writing down anything related to food, and on the other I try to avoid writing down anything that related to the story.",other
1190,I felt no differences playing the word chain game before versus after reading the text.,no_effect
1191,I didn't feel any differences.,no_effect
1064,I found it to be the same both times. It was fun for me,no_effect
1192,"there were no differences in the word chains , I just typed words that came to my mind.",no_effect
1065,I just had something different to NOT focus on.  I was able to type food words the second time which made it easier.,easier
