participantID,wcg_diff_general,wcg_diff_general_group
1005,I didn't notice any difference,no_effect
1006,I found myself trying to avoid words that were commonly used in the story,"lingering,concentrate"
1007,I felt I could now use vulgar words.,other
1008,The beginning of the words I typed were pulled directly from the story.,lingering
1009,"none, particularly ",no_effect
1010,gave me more word ideas,easier
1011,"It felt much harder because I was trying not to repeat words, which made it harder because I had used most of the obvious ones the first time. I also used some of the words from the story the second time. ","lingering,harder"
1012,the story provided words for the game but did not appeal to my word selection ,other
1013,I thought more about the story.,lingering
1014,i felt it in my mind,other
1015,"When playing the word chain game after reading the story, the words I began to type first related to the story that I had just read.",lingering
1016,it enhance my vocabulary and cretivity whiles the story inspired me,easier
1017,i felt the urge  to change the words,other
1018,i felt normal,no_effect
1019,No particular difference except that I started with key words from the story.,lingering
1020,"I wanted to use the words from the story, since they were fresh in my mind and some I had not thought of yet.",lingering
1021,no difference,no_effect
1022,it felt easier and i think i reused words from the first time,easier
1023,Started focused on the story for round 2,lingering
1024,I started the second word chain game with words related to the story rather than a  random word that came to mind in the first study.,lingering
1025,wanted to use words from the story,lingering
1026,exposed to more words after reading the story,other
1027,I felt like it was easier to think of words after reading the story because I was focused on what the words were saying and the imagery the story was generating for me. Before I felt like I was grasping at straws and making things up.,"easier,lingering"
1028,there was not any much difference,no_effect
1029,"THE WORD GAME WAS TO TEST MY TYPING SKILL, WHILE THE STORY READING WAS TO TEST MY READING ABILITY.",other
1030,I felt like after the story I had more words to use in the game. ,easier
1031,Reading the story was interesting and straight while forming words were a little bit tasky,harder
1032,"Before i was just typing random words that came to mind, After reading the story i began typing words linked to the story without noticing at first ",lingering
1033,I felt more emotional afterward,emotion
1034,"After reading the story, most of the words i came up with were either directly from the story, or closely related to words from the story.",lingering
1035,No differences,no_effect
1036,Only difference is that before I created a story but after I went the random route,other
1037,"Before reading the story, playing the word chain game was more focused on maintaining a sequence of words without specific context. After reading the story, there was a heightened awareness of the importance of paying attention to details and avoiding assumptions, as highlighted by the oversight with the dimmable light bulb. This led to a more strategic approach in selecting words that could relate to everyday situations and potential oversights, enhancing the depth and relevance of the game.",concentrate
1038,It was easier to start the word chain game after reading the story because I had a topic to go off of. ,"lingering,easier"
1039,The story seemingly began my second set of word choices because the ideas form the story were still in mind.,lingering
1040,"I attempted to use longer words and try not to have them completely associate with the other words used,",other
1041,"It felt the same to me both times, essentially.",no_effect
1042,I got so many ideas to write more words ,easier
1043,"I was still laughing from the story when starting the second round, so I was in a better mood.",emotion
1044,A difference I felt playing the second word game was my first word choices had to do with lightness and things I remembered from the story,lingering
1045,I felt like I came up with words faster after reading the story than before,easier
1046,exciting,other
1047,"I think after I read the story, I tried hard not to use words that were in the story.","concentrate,lingering"
1048,I had a theme to go off of and it changed my direction of thinking,lingering
1049,I did not feel any difference.,no_effect
1050,normal,no_effect
1051,I felt that at the beginning I was more focused on typing words that related to the story that I just read.,lingering
1052,None for me,no_effect
1053,I felt emotionally stable,other
1054,"I used a different topic after the story, but my topic didn't relate to the story. ",other
1055,It felt like I understood it more.,"other,easier"
1056,I think the story affected my word choices for the second word chain game,lingering
1057,no difference ,no_effect
1058,I used some of the words on the story in the second word game.,lingering
1059,"Like I said, before I was just coming up with random words and writing them down with no rhyme or reason. After the story I wanted to stick with the vibe I thought the story was going to go with (I thought it was going to be a scary story) until it got harder to come up with words so then I went back to my original approach of writing down words as they came to mind.",lingering
1060,I had more ideas for words.,easier
1061,none,no_effect
1062,i felt like the second round made me want to tell a story more than the first round.,other
1063,nothing,no_effect
1064,"Before reading the story, I started with words related to sounds outside my house. After the story, I started with words from the story.",lingering
1065,I felt happy because i have done the same thing that was talked about in the story before.,no_effect
1066,i got more words after reading the story ,easier
1067,My mind felt a little more clear the second time. It was easier to think of things. But I think that is because my (juices) were flowing the second time.,easier
1068,Words from the story filled my mind the second time. I found myself typing out this words against my will.,lingering
1069,"I felt like i had more words to choose from that weren't previously on my mind, after reading the story.",easier
1070,I felt that it was harder to come up with words because I had already exhausted most of my immediate surroundings that I was using to start word chains.,harder
1071,"It didn't feel particularly different, but I think I may have been unknowingly remembering the words from the story. I do remember thinking of light and a couple. ",lingering
1072,I felt no difference,no_effect
1073,slightly easier the second time after chuckling at the silly story ,"easier,emotion"
1074,"I don't think I felt differently at all. The first words I came up with in the second chain definitely arose from the story, but I didn't feel much emotion during either word chain game. I found it sort of fun to associate words, so I enjoyed the game, but I don't think my mood was markedly different during the second chain. ",lingering
1075,just started looking around the room to see what I could bring up that was similar to each other to keep it all going ,no_effect
1076,"Before I just had random words in mind, but after reading the story I remembered words from the story and I used most of them.",lingering
1077,I just stuck with my method of coming up with words that popped up in my head. the story had no effect. ,no_effect
1078,"For some reason, it felt like it was harder to come up with words the second time. I don't know if that's related to the story or not. ",harder
1079,It took me a bit longer to come up with word associations,harder
1080,it was the same for me ,no_effect
1081,"I had a bit more trouble coming up with words the first time around and felt that I needed to look around to think of ideas. After the story, I felt I could start off with some words from the book and take it from there, branching off into separate word clusters.","lingering,easier"
