participantID,wcg_strategy,wcg_strategy_group
1005,I used the meaning of words mostly and sometimes the sound of the words,other
1006,"I tried not to chain together words that were related, like just list off every food item I could think of in a row",categories
1007,looking around the room for ideas,surroundings
1008,"looking around the room I am in, thinking about the area I live in",surroundings
1009,words that go together in general ,no_strategy
1010,KISS method.  Keep it simple stupid.  ,other
1011,"I either associated a new word based on the word I just used (for example, I listed things at a cookout), or I used things around the room I am in for inspiration (keyboard, mouse, fan). ",surroundings
1012,none just what came to mind ,no_strategy
1013,I just let my mind roam,no_strategy
1014,memory word chain,no_strategy
1015,I tried to think of associations between the word I was about to type and the previous word instead of truly typing random words.,no_strategy
1016,i tried using words that are related to the previous one,no_strategy
1017,look at things closed to me,surroundings
1018,just came in mind,no_strategy
1019,I let my mind flow and thought of life events I've lived through and just picked key words.,other
1020,"I tried to just clear my thoughts and let words come to me. Also, I tried not to have similar words in a row, such as cow and horse.",no_strategy
1021,looking around the room I am in,surroundings
1022,looking around my room and out my window and thinking of items in my house,surroundings
1023,Just let my mind go,no_strategy
1024,"My only strategy was word association. If I thought of a word, there was normally a related word that would come to mind, so I would write that next.",no_strategy
1025,random thoughts,no_strategy
1026,memory and things around me,surroundings
1027,I thought of associations with certain words and things that I've been curious about and wanting to do in my life to come up with words.,concerns
1028,i wrote down the first words that came to mind.,no_strategy
1029,FORMING THEM MYSELF,no_strategy
1030,I tried to think of similar words.,no_strategy
1031,i just thought of random stuffs i could find around me,surroundings
1032,Honestly after changing the bulb the 1st time i would have thought the fan light was broken too. Never would have occurred to me to check the remote ,
1033,Thinking of memories or every day life,other
1034,I simply tried to remember the sequence of the story and tried to type out the words,other
1035,Rhymes & story flow,rhyming
1036,"At first, I was using words that made sense to each other as it went on.",no_strategy
1037,"I focused on words that had common ending like ""e"", ""n"", and ""t"" which provided more options for the next word, making it easier to continue the chain. I also used everyday common words.",other
1038,I was thinking about relevant things happening in my life. We recently bought a home so I was almost summing up our experiences in a few keywords. I was also just letting my mind wander and writing out the first things that came to my head.,concerns
1039,Most of my words were associated with places I find myself regularly or related to previous words.,other
1040,Associating words and ideas that came to mind.,no_strategy
1041,"I mostly thought about items in my house and outside around my neighborhood at first, but then allowed my mind to wander a bit and then just began typing whatever came into my mind. ",surroundings
1042,Series and sequences of words that came to my head,no_strategy
1043,Looked around at objects in the room I was in,surroundings
1044,"Looking at things around me, or picking a word and thinking about words associated with it.",surroundings
1045,No strategy,no_strategy
1046,random,no_strategy
1047,"Whatever words popped into my mind, and with some words I thought of homophones.",no_strategy
1048,typed what was related to the original thought,no_strategy
1049,I thought a lot about tiktok and what I see on there a lot.,other
1050,focused on the words ,no_strategy
1051,"While playing the word chain game, I tried to think of words that somehow related to the previous word I had stated.",no_strategy
1052,Word association ,no_strategy
1053,Wrote any word that came in mind,no_strategy
1054,I thought of a topic and used words that went along with that topic.  When my ideas ran out I worked off the last word I typed. ,categories
1055,I would have used a strategy that conveys a pattern.,other
1056,"No strategies, just chose random words",no_strategy
1057,rhyme ,rhyming
1058,I typed the word of things around me.,surroundings
1059,"Before the story I was going with whatever words the came to mind, but with no real theme. After the story I did the same thing, but with the impression the story gave me, but that started falling apart after a while so I just went back to writing down random words that came to mind.",no_strategy
1060,Stream of consciousness effected by my surroundings.,surroundings
1061,just letting my mind go blank and letting the words come,no_strategy
1062,"opposites, relevant words, things in my life","concerns,categories"
1063,nothing,no_strategy
1064,I was typing words that vaguely associated with each other in my mind the first round. The second round was the same strategy with the addition of words from the story and related thoughts.,no_strategy
1065,random subjects over and over,no_strategy
1066,trying to remember as many words as possible ,no_strategy
1067,"One of the things I did, was look around my room, and name the things I see. And for some of the words, I thought about how I was feeling, or my favorite things.",surroundings
1068,I looked at my surroundings for inspiration on words to type.,surroundings
1069,"I am unfamiliar with the ""word chain game"" so I am hoping I did it right. I just typed in what word came into my mind next, based on images I had going on, and looking at the keyboard and thinking of words that begin with whichever letter I decided to look at.",categories
1070,I tried to think of other words that were related to the last word or perhaps used similar letters. I also looked around my room to get inspiration to start a different word chain.,surroundings
1071,"If I thought of one word, there was typically multiple words that followed that were similar or went with it. Such as tree and leaf, or milk and tea. I created word pairs, but that was naturally where my mind went in the moment.",no_strategy
1072,I tried to think of the show that used to be on air about word chains,other
1073,"things are me, random categories",no_strategy
1074,"I basically just free associated and typed the first thing that came through my head. I tried not to think much about it and generally left less than a second between words, if possible. If I misspelled something, I attempted to correct the spelling. Occasionally, I hit a certain topic and it became a bit of a list that I went through. And I definitely started the second word chain with words that resonated from the story.",no_strategy
1075,looking around my office for things to bring up,surroundings
1076,I remembered a few lines from the story,no_strategy
1077,I just thought of words and put them in off the top of my head I was thinking about. ,no_strategy
1078,"I try not to think too long as thinking too much makes you stumble and blank out, so I just associate the first or second thing that pops into my mind, and I've been reading the news a lot the past week so I'm sure there's quite an amount of some sad, anxious, kinda depressing themes. This is exactly why I'm trying to read a lot less news and just focus more on my life. But word association is a lot of fun, I wouldn't mind doing more of that. I just tie anything into it that's somewhat relatable. For example, eagle, falcon, they eat small game, but I thought of worms, nutrition, so I just kept rolling with it. ",no_strategy
1079,I just used the next word which I associated with the previous,no_strategy
1080,pick a simple word and build off of it ,no_strategy
1081,"looking at my surroundings, thinking of related words to those I had just thought about, thinking about how I feel, thinking about the story I read",surroundings
