participantID,exclusion,spr_char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl,suppress_probe_excl
1239,excluded,False,True,False,True,False,False,False,False,False,False
1279,excluded,False,False,False,False,False,False,False,True,False,False
1240,excluded,True,False,False,False,False,False,False,True,True,False
1085,excluded,False,False,False,True,False,False,False,False,False,False
1241,included,False,False,False,False,False,False,False,False,False,False
1280,included,False,False,False,False,False,False,False,False,False,False
1242,excluded,True,True,False,False,True,False,False,True,True,True
1298,excluded,False,True,False,False,False,False,False,True,True,True
1243,included,False,False,False,False,False,False,False,False,False,False
1281,excluded,False,False,False,False,False,False,False,True,False,False
1282,excluded,True,False,False,False,False,False,False,False,False,False
1283,included,False,False,False,False,False,False,False,False,False,False
1672,excluded,True,False,False,False,False,False,False,False,False,False
1023,excluded,False,False,False,False,False,False,False,True,False,False
1081,included,False,False,False,False,False,False,False,False,False,False
1244,excluded,False,True,False,False,False,False,False,True,False,False
1284,included,False,False,False,False,False,False,False,False,False,False
1245,included,False,False,False,False,False,False,False,False,False,False
1285,included,False,False,False,False,False,False,False,False,False,False
1286,excluded,False,True,False,False,False,False,False,False,False,False
1287,included,False,False,False,False,False,False,False,False,False,False
1379,included,False,False,False,False,False,False,False,False,False,False
1299,excluded,True,False,False,True,False,False,False,True,False,False
1041,excluded,False,True,False,False,False,False,False,True,False,False
1300,excluded,False,False,False,False,False,False,False,True,True,False
1301,included,False,False,False,False,False,False,False,False,False,False
1288,excluded,True,True,False,True,False,False,False,True,False,True
1619,excluded,True,True,False,True,False,False,True,True,True,True
1246,excluded,True,False,False,False,False,False,False,False,False,True
1289,included,False,False,False,False,False,False,False,False,False,False
1302,included,False,False,False,False,False,False,False,False,False,False
1380,included,False,False,False,False,False,False,False,False,False,False
1381,included,False,False,False,False,False,False,False,False,False,False
1290,excluded,False,False,False,False,False,False,False,False,False,True
1230,included,False,False,False,False,False,False,False,False,False,False
1382,included,False,False,False,False,False,False,False,False,False,False
1303,included,False,False,False,False,False,False,False,False,False,False
1291,included,False,False,False,False,False,False,False,False,False,False
1383,included,False,False,False,False,False,False,False,False,False,False
1292,included,False,False,False,False,False,False,False,False,False,False
1231,included,False,False,False,False,False,False,False,False,False,False
1293,included,False,False,False,False,False,False,False,False,False,False
1294,excluded,False,False,False,True,False,False,False,True,True,False
