participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,acc_button_press_food,freq_button_press_food,repetition_button_press_food,acc_button_press_story,freq_button_press_story,repetition_button_press_story,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,guess_suppress_1,guess_suppress_2,guess_experiment,wcg_diff_general,linger_rating,success_suppress_1,success_suppress_2,wcg_diff_suppress,wcg_strategy_after_fail,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,total_double_press_count_post,total_double_press_count_pre,free_association_post_stage_start,free_association_pre_stage_start,q_double_press_post_stage_start,q_double_press_pre_stage_start,q_experience1_stage_start,q_experience2_stage_start,q_experience3_stage_start,q_experience4_stage_start,q_open_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_transportation_stage_start,reading_stage_start,wcg_practice_stage_start,free_association_post_stage_end,free_association_pre_stage_end,q_double_press_post_stage_end,q_double_press_pre_stage_end,q_experience1_stage_end,q_experience2_stage_end,q_experience3_stage_end,q_experience4_stage_end,q_open_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_transportation_stage_end,reading_stage_end,wcg_practice_stage_end,free_association_pre_task_start,free_association_pre_task_end,reading_task_start,reading_task_end,free_association_post_task_start,free_association_post_task_end,spr_time,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre,te_count_post,te_count_pre,exp_time_away,spr/char,spr-wcg-break,rt_max,rt_mean,time away (m),focusevents,spr time away (m),wcg time away (m),attncheck
1239,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,False,True,18,0.75,0.75,0.75,1.0,1,never,N,1,never,N,USA,09:28,50-54,F,Right,Y,,Y,,White,1,N,4,8,N,7,I could have used word sequence to track words,sound,equal,food,The story,The accuracy of words in stories,I came up with more words,7,7,7,It is more easier to suppress food-related thoughts more than story-related,I was able to suppress  them successfully,intentional,I felt what the experience will really feel like if it happening to me,3.0,7.0,7.0,5.0,5.0,5.0,4.0,4.0,Words are powerful and can make you imagine the reality of what is being said or described,N,,7.0,,None,5,7,6,7,6,7,5,5,6,5,4,6,6,69,75,57,0.8214285714285714,0.8241758241758241,0.8142857142857143,0,0,1707228404235.0,1707226907907.0,1707228587049.0,1707227091300.0,1707229101255.0,1707229260182.0,1707229384035.0,1707229486007.0,1707229734027.0,1707228699506.0,1707229625965.0,1707228618454.0,1707227165235.0,1707226729753.0,1707228587045.0,1707227091295.0,1707228611146.0,1707227128076.0,1707229260180.0,1707229384032.0,1707229486005.0,1707229619135.0,1707229757062.0,1707229101251.0,1707229734024.0,1707228699502.0,1707228327397.0,1707226844958.0,1707226907907.0,1707227091295.0,1707227165235.0,1707228327397.0,1707228404235.0,1707228587045.0,1162162,2.3942557442557444,3.237915440775853,6092.233333333334,8334.363636363636,1.9575757575757573,2.6,8176.0,6744.5,0,0,0.0,0.7349626239508671,76838,43632.0,7763.0,0.23583333333333334,2.0,0.0,0.0,1
1279,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,7,never,Y,7,never,Y,USA,11:18,55-59,M,Right,Y,,Y,,White,1,N,5,7,N,5,Avoiding the things I wasn't supposed to think about. ,equal,sound,food,The story,I have no idea. ,None,4,6,5,"It was easier to suppress food thoughts, ","I told myself ""STOP!""",unintentional,Details of the murder kept coming to mind,4.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,I felt fixated on the details of the murder. But I was able to put it aside during the second exercise. ,N,,6.0,,None,7,1,7,6,4,6,5,7,2,2,2,6,4,55,59,45,0.6547619047619048,0.6483516483516484,0.6428571428571429,4,2,1707234594103.0,1707233985838.0,1707234775937.0,1707234168807.0,1707236056310.0,1707236165576.0,1707236211543.0,1707236242950.0,1707236358054.0,1707234834348.0,1707236315890.0,1707234790606.0,1707234194998.0,1707233932471.0,1707234775936.0,1707234168806.0,1707234787067.0,1707234181578.0,1707236165573.0,1707236211540.0,1707236242947.0,1707236312980.0,1707236372214.0,1707236056308.0,1707236358052.0,1707234834345.0,1707234570642.0,1707233959931.0,1707233985838.0,1707234168806.0,1707234194998.0,1707234570642.0,1707234594103.0,1707234775936.0,375644,2.3653965984678287,2.1509981044596427,3496.019230769231,4157.386363636364,2.188685556867375,2.083857808857809,2371.5833333333335,3941.714285714286,4,2,13.921933333333333,0.6431655159948173,23461,15862.0,3699.5849056603774,13.921933333333333,4.0,0.0,0.0,1
1240,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,6,never,Y,6,never,N,USA,10:01,30-34,F,Right,Y,,Y,,Asian,1,N,4,6,N,2,just think freely of any words that come to mind,none,none,food,the story,how people react,none in particular,1,5,7,Food is random and the story is very specific,just let my head run with words and not focus on individual food or story thoughts,,,,,,,,,,,,N,,7.0,,,4,4,4,4,4,3,3,3,4,3,2,3,3,40,44,34,0.47619047619047616,0.4835164835164835,0.4857142857142857,1,3,1707230814740.0,1707228970125.0,1707230996351.0,1707229152687.0,1707231593216.0,1707231633332.0,,,1707231734437.0,1707231092086.0,1707231681806.0,1707231068987.0,1707229171743.0,1707228926365.0,1707230996350.0,1707229152686.0,1707231066688.0,1707229165777.0,1707231633331.0,1707231678838.0,,,1707231740580.0,1707231593214.0,1707231734436.0,1707231092084.0,1707230799899.0,1707228946766.0,1707228970125.0,1707229152686.0,1707229171743.0,1707230799899.0,1707230814740.0,1707230996350.0,1628156,2.6928415406104196,2.5361732844061033,2087.1494252873563,2684.3382352941176,2.732076619033141,2.43636075036075,2045.7857142857142,1966.4666666666667,1,3,15.947383333333333,0.32023270078529176,14841,6208.0,2330.3515151515153,55.4978,272.0,11.211083333333333,11.211083333333333,1
1085,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,7,never,Y,7,never,Y,USA,23:34,30-34,M,Right,Y,,Y,,White,1,N,3,8,N,6,"I tried to think of settings, subcultures, and above all else, categories of words, that are completely unrelated to the thing that I'm supposed to not think about.  I first started typing many words, ignoring how the box ignored my single spacebar input to separate the words, so perhaps a character limit on that field could be useful, just in case any future participant makes the same mistake.  I have a friend who practices the art of freestyle rap, and I have spent many hours doing this activity myself, so the ""No Food Words"" requirement was not new to me.  Thus, it's difficult to say exactly how my background may affect my word choices in this study.  ",meaning,meaning,food,related to the story,"I don't know exactly what it's trying to measure, but something related to the word associations that people make, or the paths their minds go down when trying to think of random words.  ","I felt slightly more focused after reading the story.  Because I had just been focusing intensely, it was easier to allow my mind to wander.  ",3,4,3,"Most objects that surround me are tangentially related to growing or cooking food, even things like ""brick"" and ""table"", so it was hard to suppress thoughts which are ""related to food in a secondary or tertiary way"".  I found it slightly easier to suppress thoughts related to the story, and I thought that would be more difficult, because I've watched a lot of YouTube content related to murder mysteries and police interrogations.  However, I had to engage my mind to remind myself which things are related to the story, because there are a bunch of unrelated objects that I couldn't use as words, like ""rope"" and ""breakfast"".  ","I tried to think of categories of things that are specific to a certain task or field or industry that is not related to food.  For the story, I tried to avoid thinking about anything grim, and then I asked myself if the word is somehow related to the story even if it is not related to death.  ",both,"It was always unintentional at first, but then, I realized that I need to avoid a list of unrelated words, and this requires me to keep the most important details of the story in mind.  ",3.0,5.0,2.0,3.0,5.0,5.0,1.0,4.0,"I didn't notice any specific changes.  I have played other ""timed language puzzle challenge"" games in the past and my brain feels similar to how it feels after playing one of those.  Perhaps more energized and focused in the moment, but more tired in terms of how much energy I have until my next break.  ",N,,7.0,,"For the first ~minute of the study, I was typing words without hitting enter, and then I erased all of them, and began to type them individually.  I hope this doesn't affect my data too much.  ",7,1,7,7,3,1,5,1,1,5,5,4,2,46,49,40,0.5476190476190477,0.5384615384615384,0.5714285714285714,10,7,1707236042049.0,1707234886967.0,1707236226089.0,1707235071101.0,1707236492639.0,1707236823725.0,1707237107226.0,1707237162850.0,1707237314972.0,1707236301660.0,1707237263096.0,1707236242875.0,1707235125990.0,1707234697932.0,1707236226088.0,1707235071100.0,1707236239883.0,1707235089385.0,1707236823724.0,1707237107224.0,1707237162849.0,1707237260661.0,1707237380544.0,1707236492638.0,1707237314971.0,1707236301658.0,1707236000715.0,1707234835851.0,1707234886967.0,1707235071100.0,1707235125990.0,1707236000715.0,1707236042049.0,1707236226088.0,874725,1.8192307692307692,2.15910491469315,5750.875,4002.5652173913045,1.0333333333333334,2.0463203463203463,3586.75,2758.9,10,7,0.0,0.6305283664656094,41334,115690.0,5750.590909090909,0.015316666666666668,1.0,0.0,0.0,1
1241,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,21,0.875,0.9166666666666666,0.8333333333333334,1.0,7,3to5,Y,7,often,Y,USA,09:21,30-34,F,Right,Y,,Y,,White,1,N,4,0,N,7,i tried not to think of the story and just random words and then go off from those words to other words that include same letters,equal,equal,food,the story,how often you think of something when told not to think of it,i was thinking about the story more than the food after being told not to think about it.,7,4,1,the story was in my mind because i had read it for so long,i tried to think of words but it was hard,unintentional,I was trying to think of words. I was looking at things around me and looking at the keyboard to try to come up with words. It was hard because I kept thinking of words associated with the story,7.0,4.0,6.0,4.0,6.0,1.0,1.0,6.0,I felt changes in the words that I thought of. It was harder to come up with them and each time I did it seemed like it could tie back to the story.,N,,7.0,,,7,1,7,7,2,7,6,6,1,1,1,6,7,57,59,44,0.6785714285714286,0.6483516483516484,0.6285714285714286,19,11,1707228589312.0,1707227641700.0,1707228770118.0,1707227823518.0,1707229000890.0,1707229072417.0,1707229131966.0,1707229192961.0,1707229289901.0,1707228833407.0,1707229250421.0,1707228783432.0,1707227857311.0,1707227583703.0,1707228770117.0,1707227823517.0,1707228779963.0,1707227846323.0,1707229072415.0,1707229131964.0,1707229192959.0,1707229248146.0,1707229300018.0,1707229000889.0,1707229289898.0,1707228833404.0,1707228555873.0,1707227603981.0,1707227641700.0,1707227823517.0,1707227857311.0,1707228555873.0,1707228589312.0,1707228770117.0,698562,2.4225698879647415,2.3425898959797267,3476.3846153846152,3029.5333333333333,2.9364548494983276,2.1252525252525256,3199.4444444444443,3323.777777777778,19,11,0.0,0.7079006243953815,33439,9129.0,3137.7704918032787,0.0,0.0,0.0,0.0,1
1280,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,22,0.9166666666666666,0.8333333333333334,1.0,1.0,6,never,Y,7,never,N,USA,08:00,40-44,M,Right,Y,,Y,,White,1,N,3,9,N,7,"I tried to think of words that had some association to each other, but would not form a sentence when combined.",meaning,meaning,Food,The story that had been read,If being told not to think of a thing would make you think more of it.,I feel like it was easier to keep my mind off the story when choosing words as opposed to the first time I played the word game.,5,5,6,"It was harder to avoid thinking of food, and I found actively trying to not think of it made it even more difficult.  It was much easier with the story, as I just had to find an arrangement of words that was far removed from the story.",I tried to think of things that were far removed from food or the story.,unintentional,"Only certain parts of the story came to mind as I wrote the words, but I was able to put myself on a path of word usage that would allow me to avoid using things that made me think of the story.",4.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,The changes I felt were to come up with a word that would be a starting point that was obviously different from food or for the story I had read.,N,,7.0,,,7,1,5,7,7,7,1,5,1,1,1,5,4,45,52,36,0.5357142857142857,0.5714285714285714,0.5142857142857142,1,5,1707234615477.0,1707233958550.0,1707234795627.0,1707234140042.0,1707234990643.0,1707235047908.0,1707235144076.0,1707235196300.0,1707235290231.0,1707234841024.0,1707235250468.0,1707234807295.0,1707234157668.0,1707233907078.0,1707234795626.0,1707234140041.0,1707234804492.0,1707234151261.0,1707235047907.0,1707235144075.0,1707235196299.0,1707235247024.0,1707235298774.0,1707234990642.0,1707235290231.0,1707234841022.0,1707234578594.0,1707233936034.0,1707233958550.0,1707234140041.0,1707234157668.0,1707234578594.0,1707234615477.0,1707234795626.0,420926,2.9321705117292396,2.3043493553547902,2573.342857142857,2268.275,2.5722727272727273,1.8335177865612646,2643.909090909091,2463.8,1,5,0.0,0.7878366187739605,36883,7168.0,2440.89375,0.05698333333333334,1.0,0.0,0.0,1
1242,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,5,0.20833333333333334,0.3333333333333333,0.08333333333333333,0.5,7,never,Y,2,often,N,USA,10:23,40-44,M,Right,Y,,Y,,Black,1,Y,6,9,N,7,scrabble strategy,equal,none,tree,ocean,It is to measure our level of understanding of words and reading skills.,no difference,6,4,7,no differences,there was  no particular strategy used i only suppressed it with my mind.,both,I Experienced reflections of the stories i read and they were unintentional,7.0,5.0,7.0,6.0,7.0,6.0,6.0,5.0,my experience was great and there was no really specifice change.,N,,5.0,,,6,4,5,5,7,5,7,5,6,5,7,6,6,67,74,55,0.7976190476190477,0.8131868131868132,0.7857142857142857,0,0,1707231757930.0,1707227474844.0,1707231941197.0,1707227655959.0,1707232332668.0,1707232511680.0,1707232728475.0,1707232873201.0,1707233096216.0,1707232079892.0,1707232974218.0,1707232030680.0,1707227737091.0,1707227292810.0,1707231941196.0,1707227655958.0,1707232024727.0,1707227691266.0,1707232511677.0,1707232728469.0,1707232873196.0,1707232967560.0,1707233118843.0,1707232332662.0,1707233096212.0,1707232079884.0,1707231588860.0,1707227363748.0,1707227474844.0,1707227655958.0,1707227737091.0,1707231588860.0,1707231757930.0,1707231941196.0,3851769,2.354105090311987,2.50817977915804,6108.1,5487.69696969697,2.515873015873016,1.5,4754.5,11829.0,0,0,23.050116666666668,0.26102643077946924,169070,16167.0,5962.356164383562,24.904,306.0,19.32876666666667,21.392400000000002,1
1298,True,False,True,True,True,False,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,True,False,True,13,0.5416666666666666,0.6666666666666666,0.4166666666666667,1.0,6,never,N,4,never,N,USA,12:41,35-39,M,Right,Y,,Y,,White,1,N,5,8,N,1,I didn't have any.,none,none,None,None,I have no idea. It was hard to read the story,"I didn't have any differences, but it was harder to not think about the story.",4,7,4,"The story was on my mind, so it was harder to forget",None,unintentional,I sometimes would think of it while i was pausing the word chain,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,No changes in how i felt,N,,5.0,"Nothing really, hard to read.",Hard to read the story,5,6,5,7,6,6,2,4,7,1,1,2,2,48,54,44,0.5714285714285714,0.5934065934065934,0.6285714285714286,4,1,1707244216294.0,1707243192344.0,1707244396505.0,1707243387018.0,1707244767380.0,1707244799735.0,1707244836215.0,1707244869249.0,1707244927885.0,1707244618804.0,1707244893111.0,1707244587040.0,1707243412721.0,1707243147416.0,1707244396503.0,1707243387016.0,1707244406481.0,1707243403075.0,1707244799734.0,1707244836214.0,1707244869248.0,1707244890425.0,1707244945387.0,1707244767379.0,1707244927884.0,1707244618802.0,1707244121977.0,1707243160139.0,1707243192344.0,1707243387016.0,1707243412721.0,1707244121977.0,1707244216294.0,1707244396503.0,709256,3.1426953166556193,3.226701468821034,1385.8692307692309,1663.5470085470085,3.501677489177489,2.9413291925465836,1241.375,985.0,4,1,6.3484,0.5063180685264111,94317,28136.0,1507.8326848249028,6.3484,12.0,1.4089500000000001,3.383666666666667,1
1243,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,21,0.875,0.9166666666666666,0.8333333333333334,1.0,5,never,Y,5,1to2,Y,USA,08:52,55-59,M,Right,Y,,Y,,White,1,N,4,4,N,3,Just tried to think of a word that matched the other word.  Sometimes my mind would go blank though or go in a circle so i had to start somewhere else.,meaning,meaning,Food,The story,"Once told not to think about something, how hard it is to not think about it.  Also, if some story was very disturbing would you think about it more than food",i had a vivid story that was disturbing and couldn't get it out of my mind.,7,5,1,I think it was much easier to supress food related thoughts.  Maybe because i wasn't hungry and it wasn't taking over my mind.,Just tried to concentrate on the current word and the next word.,unintentional,"it was just stuck in my mind, much like a song you can't get rid of.  And knowing i'm not supposed to think about it, made things worse.",7.0,6.0,7.0,5.0,4.0,4.0,5.0,1.0,"Seems like i kept coming back to words that were related to the story, like car or kid.",N,,7.0,,,5,2,6,6,1,5,7,6,2,1,1,4,5,50,51,41,0.5952380952380952,0.5604395604395604,0.5857142857142857,22,7,1707230384138.0,1707229622649.0,1707230564336.0,1707229803023.0,1707230820022.0,1707230921942.0,1707231022442.0,1707231070485.0,1707231171388.0,1707230630655.0,1707231127834.0,1707230579423.0,1707229830980.0,1707229571087.0,1707230564335.0,1707229803022.0,1707230575183.0,1707229820590.0,1707230921940.0,1707231022441.0,1707231070484.0,1707231125034.0,1707231179965.0,1707230820020.0,1707231171386.0,1707230630652.0,1707230347053.0,1707229588223.0,1707229622649.0,1707229803022.0,1707229830980.0,1707230347053.0,1707230384138.0,1707230564335.0,516073,2.5252976974716104,2.5917390942390943,3399.4528301886794,3339.759259259259,2.82000962000962,3.0065800865800867,3264.6666666666665,2396.0833333333335,22,7,0.021666666666666667,0.8287217373295805,37085,7761.0,3227.709401709402,0.3727,3.0,0.021666666666666667,0.021666666666666667,1
1281,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,21,0.875,0.9166666666666666,0.8333333333333334,1.0,7,never,Y,7,never,Y,USA,09:03,20-24,M,Right,Y,,Y,,Asian,1,N,0,4,N,5,"I focused on a thing with many parts or words. Like a computer, or body, And I also focused on themes. Like colors and planets. ",none,none,Food,The story I just read,Memory,Maybe that the story was more prominent in my memory but it's easy to keep my mind on other things. ,5,7,6,For the food related part it was pretty easy as I am also not hungry.  For the story related parts though it was somewhat easy but around the part where I was thinking about themes to focus on I thought about the story. ,Well the one part where I failed in the story related part I immediately forced myself to change focus to some theme. ,unintentional,I experienced the story creeping into my mind while I was in between finishing a theme and thinking of another. ,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,I didn't really feel any changes other than my mind wandering to the story that one time. ,N,,7.0,,I think having the screen not be so bright would help. My eyes were starting to strain reading black text on a white background after a while. ,6,6,3,7,5,4,4,2,1,1,1,5,5,45,50,35,0.5357142857142857,0.5494505494505495,0.5,1,0,1707238078517.0,1707237189188.0,1707238259687.0,1707237370431.0,1707238522032.0,1707238601210.0,1707238837907.0,1707238896610.0,1707239018259.0,1707238316149.0,1707238945949.0,1707238272080.0,1707237395455.0,1707237127067.0,1707238259686.0,1707237370430.0,1707238269652.0,1707237391813.0,1707238601209.0,1707238837905.0,1707238896609.0,1707238943535.0,1707239079482.0,1707238522031.0,1707239018258.0,1707238316147.0,1707238054171.0,1707237163906.0,1707237189188.0,1707237370430.0,1707237395455.0,1707238054171.0,1707238078517.0,1707238259686.0,658716,2.0522025076372903,2.2415666114423876,3696.9591836734694,2323.25641025641,1.625,2.9403002794307143,3517.125,2421.2727272727275,1,0,0.8331666666666667,0.5676207403400056,24346,17994.0,2913.8394160583944,0.8906,3.0,0.0,0.0,1
