participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,pause_explanation,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_pause_testing_stage_start,interference_pause_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,reading_endcard_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_pause_testing_stage_end,interference_pause_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,reading_endcard_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_pause_testing_time,interference_pause_training_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,reading_endcard_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_pause_testing0_task_start,interference_pause_training0_task_start,interference_pause_training1_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_pause_testing0_task_end,interference_pause_training0_task_end,interference_pause_training1_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_pause_testing,time_away_interference_pause_training,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_reading_endcard,time_away_welcome,attncheck,focusevents,spr_max,time_unpressed,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre
1355,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,6,0.25,0.16666666666666666,0.3333333333333333,1.0,5,3,6,4,3,2,4,4,4,4,5,4,4,49,52,41,0.5833333333333334,0.5714285714285714,0.5857142857142857,N,6,none strategies,meaning,sound,narrate the story,academic ,the word selection felt more purposeful. The imagery from the narrative,5,intentional,emotional experience,7.0,7.0,4.0,4.0,3.0,3.0,1.0,1.0,good ,USA,01:57,25-29,F,Right,Y,,Y,,White,1,N,4,9,N,,7.0,,none,294821.0,1728321784298,1728321779461,1728323087936,1728321951896,1728321863642,1728321867369,1728321777850,1728323021229,1728321876099,1728323517796,1728323950921,1728323716785,1728324091655,1728323427492,1728322228642,1728323012396,1728321777886,1728321863641,1728321784297,1728323427487,1728322228641,1728321867368,1728321876099,1728321777886,1728323087935,1728321951896,1728323716783,1728324091653,1728323950918,1728324104317,1728323517794,1728323012396,1728323021228,1728321779460,79343,4836,339551,276745,3726,8730,36,66706,75797,198987,140732,234133,12662,90302,783754,8832,1574,1728323115862.0,1728322030098.0,1728323021229.0,1728321879260.0,,1728322248714.0,1728323427487.0,1728322228641.0,1728323087935.0,1728321898182.0,,1728323012396.0,763682,-0.0855291810584645,103466,132956.0,132956.0,10327.007142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4082.0,290739.0,0.0,0.0,1,5,289480.0,36706,2.655520895770896,2.97093664789317,7418.880952380952,13235.133333333333,2.7113636363636364,3.801964122833688,3615.25,5201.2
1240,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,21,0.875,1.0,0.75,1.0,7,1,6,6,3,7,5,7,1,1,1,7,7,56,59,42,0.6666666666666666,0.6483516483516484,0.6,N,7,I was thinking of just thinking of starting the word with the last letter of the current word.,none,none,I was looking at the spacebar  and wishing that it goes faster.,Reading comprehension and vocabulary.,I was just thinking of words that I dont want to repeat. Plus I think i made it more challenging by only using the last letter as the starting letter. The second time I was using words related to the story.,6,intentional,I was just thinking of the story because it was quite interesting plus I was thinking who killed the young lady. I was also thinking that there will be a comprehension question later on and I should remember all the details. Although it was not hard to remember as the story is quite good.,7.0,5.0,6.0,6.0,6.0,3.0,3.0,5.0,I was just thinking about the story and I was like I can use some of the words I learn in the story for the word change.  Plus I was trying to think what the story is all about.,USA,12:54,50-54,F,Right,N,Tagalog,Y,,Asian,1,N,4,4,N,,7.0,,,0.0,1728145765130,1728145762295,1728146443188,1728145837240,1728145770968,1728145776439,1728145757531,1728146411670,1728145784152,1728146689540,1728147240854,1728146848567,1728147321574,1728146650566,1728146030588,1728146400147,1728145757871,1728145770965,1728145765127,1728146650564,1728146030588,1728145776437,1728145784150,1728145757868,1728146443187,1728145837239,1728146848563,1728147321570,1728147240850,1728147387123,1728146689533,1728146400147,1728146411668,1728145762292,5835,2832,207376,193348,5469,7711,337,31517,53087,159023,80716,392283,65549,38967,369559,11521,4421,1728146467400.0,1728145846667.0,1728146411669.0,1728145786747.0,1728145797425.0,1728146041088.0,1728146650564.0,1728146030588.0,1728146443187.0,1728145794437.0,1728145803261.0,1728146400147.0,359059,0.6485601326256423,67253,10653.0,10653.0,3254.078154425612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4773.0,1518,2.964382426084554,2.1881389101094983,3391.4444444444443,3116.7118644067796,2.20625,2.2770717377860232,2838.8,2113.1428571428573
1200,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,5,1,5,7,3,6,4,5,1,1,1,4,6,46,49,36,0.5476190476190477,0.5384615384615384,0.5142857142857142,Y,6,I just looked around my room when I ran out of words to give and chained it from there. ,meaning,meaning,Thought about what the story meant,Potentially how the story would affect your way of thinking from the first chain game to the second. ,My chain after the story was definitely darker and more focused on things from the story than the random words I tried to come up with before the story.,6,intentional,I definitely tried to come up with random words related to the story in the second chain game. Eventually I moved on to random words but the first half was pretty focused. ,7.0,5.0,3.0,6.0,6.0,1.0,1.0,1.0,The biggest change was the topic of the words. I used words like murder and assault and other darker words in the second game. The first game was just random every day words. ,USA,14:30,35-39,M,Right,Y,,Y,,White,1,N,2,8,N,,7.0,,N/A,0.0,1728151669591,1728151665376,1728152384333,1728151774395,1728151706363,1728151715477,1728151660864,1728152353088,1728151726870,1728152622476,1728153006885,1728152759093,1728153051632,1728152574900,1728151973825,1728152350947,1728151663619,1728151706362,1728151669590,1728152574899,1728151973825,1728151715476,1728151726869,1728151663618,1728152384332,1728151774395,1728152759092,1728153051631,1728153006882,1728153071982,1728152622473,1728152350947,1728152353087,1728151665375,36771,4214,190566,199430,9113,11392,2754,31244,47525,136616,44746,247789,20350,47573,377122,2140,1756,1728152391980.0,1728151789565.0,1728152353088.0,1728151733868.0,,1728151983475.0,1728152574899.0,1728151973825.0,1728152384332.0,1728151739551.0,,1728152350947.0,367472,0.703448414756797,41033,9353.0,9353.0,3726.364848236259,4576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5201.0,1244,4.213265407700191,2.163857808857809,3976.2391304347825,3476.490566037736,5.261119737750172,3.183225108225108,2412.0,2928.5555555555557
1241,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,19,0.7916666666666666,0.9166666666666666,0.6666666666666666,1.0,5,1,5,7,3,7,4,3,1,2,2,6,5,48,51,37,0.5714285714285714,0.5604395604395604,0.5285714285714286,N,5,"When I thought of a specific word, after entering it, I thought of similar words and entered them after.",meaning,meaning,Held the spacebar and waited.,I think it has something to do with measuring people's reading comprehension and how reading a story can influence what words they come up with.,I read an interesting story and found it easier to use words mentioned in the story.,5,unintentional,Getting such an interesting and graphic story out of my mind was rather difficult. The story lingered in my mind well after I read it. I enjoyed this study.,7.0,5.0,4.0,6.0,5.0,1.0,1.0,4.0,I was thinking about the story when I was doing the second word chain so I used words from the story or the setting of the story to make the second word chain easier. I didn't have very strong or weak feelings after reading the story; I was mostly focused and intrigued.,USA,12:02,30-34,M,Right,Y,,Y,,White,1,N,2,6,N,,7.0,,,0.0,1728146048927,1728146043010,1728146948825,1728146163471,1728146086155,1728146093651,1728146041043,1728146917643,1728146113891,1728147196871,1728147748750,1728147363796,1728147800622,1728147145649,1728146361679,1728146914794,1728146041238,1728146086153,1728146048925,1728147145646,1728146361677,1728146093649,1728146113890,1728146041237,1728146948825,1728146163470,1728147363793,1728147800618,1728147748746,1728147815200,1728147196867,1728146914793,1728146917641,1728146043008,37226,5915,196821,198206,7494,20239,194,31182,49579,166922,51868,384950,14578,51218,553114,2847,1770,1728146959985.0,1728146177507.0,1728146917642.0,1728146123202.0,,1728146379029.0,1728147145646.0,1728146361677.0,1728146948824.0,1728146128829.0,,1728146914793.0,535764,0.628564963961219,45192,8227.0,6370.0,3111.858375778155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6910.0,1182,3.384697989208859,2.4378768667230206,2993.6290322580644,3230.0877192982457,4.066873706004141,2.65625,2639.7272727272725,2920.8
1242,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,21,0.875,0.9166666666666666,0.8333333333333334,1.0,5,5,4,7,3,6,5,6,1,1,1,5,4,50,53,41,0.5952380952380952,0.5824175824175825,0.5857142857142857,N,5,I was just looking around the room and thinking about the story and just mentioning random words that popped into my head.,meaning,meaning,stared at the screen,Peoples perception and memory retention associated with recent events.,It was harder to think of words not related to the story which are negative and felt wrong but I had just read.,5,unintentional,It came to me without effort but I was actually trying to ignore the negative words associated with the story.,5.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,It was hard not to associate the word game with the story and it was frustrating at times but it faded with time.,USA,13:16,30-34,M,Right,Y,,Y,,White,1,Y,4,6,N,,7.0,,,58700.0,1728146509561,1728146507068,1728147863708,1728146705929,1728146513551,1728146640634,1728146505865,1728147832931,1728146658445,1728148103962,1728148550978,1728148324896,1728148605791,1728148052429,1728146963433,1728147829429,1728146505963,1728146513550,1728146509559,1728148052428,1728146963432,1728146640633,1728146658444,1728146505962,1728147863708,1728146705928,1728148324895,1728148605789,1728148550976,1728148614829,1728148103960,1728147829429,1728147832930,1728146507068,3989,2491,188720,257503,127082,17810,97,30777,47483,220933,54811,226080,9038,51531,865996,3501,1105,1728147870490.0,1728146782601.0,1728147832931.0,1728146664325.0,,1728147015464.0,1728148052428.0,1728146963432.0,1728147863708.0,1728146669792.0,,1728147829429.0,813965,0.7700703071828996,41061,9517.0,7246.0,2229.5886877828057,0.0,0.0,0.0,58700.0,110999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,112048.0,777,2.391320960073323,2.2500754483611627,2332.153846153846,2127.0235294117647,3.7638833992094862,2.7121985157699444,2012.9285714285713,1775.9375
1243,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,6,0.25,0.25,0.25,0.5,7,5,5,4,5,7,4,6,4,5,7,7,7,68,73,54,0.8095238095238095,0.8021978021978022,0.7714285714285715,N,5,remembering the serial,meaning,meaning,nothing to do,Memories game,I felt change beacuse i do number count word,7,unintentional,I read randomly ,7.0,7.0,6.0,6.0,7.0,3.0,4.0,4.0,I enjoyed this game,USA,12:57,40-44,M,Right,Y,,Y,,White,1,N,5,3,N,,7.0,,,0.0,1728145817577,1728145767002,1728146847159,1728145876018,1728145845486,1728145876017,1728145762479,1728146813793,1728145876017,1728147092173,1728147449008,1728147209679,1728147543528,1728147048487,1728146083359,1728146810149,1728145765096,1728145845481,1728145817575,1728147048485,1728146083358,1728145876015,1728145876017,1728145765094,1728146847158,1728145876017,1728147209673,1728147543525,1728147448925,1728147573341,1728147092167,1728146810149,1728146813790,1728145767000,27904,50573,201326,207340,30529,0,2615,33365,0,117500,94517,239246,29813,43680,726790,3641,1904,1728146866029.0,1728145889247.0,1728146813791.0,,,1728146094439.0,1728147048485.0,1728146083358.0,1728146847158.0,,,1728146810149.0,715710,0.015910879597737463,55880,22207.0,22207.0,5156.01539039039,0.0,41110.0,0.0,0.0,5511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,142655.0,3367,2.6321092700403046,2.4113184364654954,5067.138888888889,5244.891891891892,2.4,1.95,4246.25,4946.666666666667
1244,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,6,6,7,7,6,7,6,7,1,1,1,3,4,56,62,49,0.6666666666666666,0.6813186813186813,0.7,N,6,thinking what is easy and familiar,none,none,looking at the monitor,memory,easier the second tme,7,intentional,thinking about the end of the story,6.0,7.0,1.0,5.0,4.0,2.0,1.0,1.0,still thinking how the story ended,USA,13:01,35-39,M,Right,Y,,Y,,White,1,N,4,6,N,,7.0,,,0.0,1728145781476,1728145775114,1728146935838,1728145913734,1728145821324,1728145840846,1728145769990,1728146903808,1728145864253,1728147208065,1728147659482,1728147421661,1728147738875,1728147137163,1728146128014,1728146891451,1728145770106,1728145821320,1728145781473,1728147137162,1728146128013,1728145840844,1728145864251,1728145770104,1728146935838,1728145913732,1728147421655,1728147738872,1728147659476,1728147752752,1728147208055,1728146891451,1728146903806,1728145775113,39844,6359,201324,214279,19520,23405,114,32030,49479,213590,79390,237815,13877,70892,763437,12355,5007,1728146955372.0,1728145941594.0,1728146903807.0,1728145871158.0,,1728146144943.0,1728147137161.0,1728146128013.0,1728146935837.0,1728145877413.0,,1728146891451.0,746508,0.660445869449057,63921,16422.0,12196.0,4410.583516483516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,26660.0,2030,3.352195423623995,2.595593672631716,3495.5384615384614,5325.628571428571,4.538842975206612,1.8,2585.181818181818,5563.8
1280,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,7,1,7,7,6,7,5,2,1,5,2,5,7,56,62,44,0.6666666666666666,0.6813186813186813,0.6285714285714286,Y,7,"I definitely looked around me a bit to think of words I could use easily (it's definitely easier than forcing your mind to find words). Then I tried not to rely on that as much and instead pivoted to thinking about words that I like, words that I find I enjoy the sound of, and that was harder but somehow more enjoyable, too.",none,none,"I checked a notification on my watch, but that took only a second, so I sat and watched the bar move the rest of the time.",Maybe how the word chain changes after reading the short story? ,"I did notice I thought of sad words a little more in the second round, but I tried not to let them dominate me word chain.",5,neither,I tried not to let the story dominate the words I chose. I think it definitely still seeped in. It didn't seem right to rely on the story completely to come up with words (almost like cheating?),6.0,5.0,4.0,4.0,5.0,1.0,1.0,5.0,"I feel like I was more aware and focused on the word chain game after the store. That story always unsettles me when I read it, I have the book on my bedside table, and this time was no different- I was unsettled and more alert. I think this made me more able to focus on finding a variety of words rather than using things I saw.",USA,11:14,40-44,F,Right,Y,,Y,,White,1,N,6,8,N,,7.0,,"I enjoyed reading the story, even if it is pretty dark.",2234.0,1728312038889,1728312033434,1728313314546,1728312509572,1728312071133,1728312101171,1728312031163,1728313283406,1728312462167,1728313556277,1728314065364,1728313708571,1728314115098,1728313517356,1728312707974,1728313281494,1728312031317,1728312071132,1728312038888,1728313517354,1728312707973,1728312101169,1728312462166,1728312031316,1728313314546,1728312509570,1728313708568,1728314115097,1728314065362,1728314143188,1728313556275,1728313281493,1728313283403,1728312033431,32243,5454,202808,198401,30036,360995,153,31140,47403,152291,49733,356791,28090,38919,573519,1909,2114,1728313332905.0,1728312527327.0,1728313283405.0,1728312469055.0,,1728312717734.0,1728313517354.0,1728312707973.0,1728313314546.0,1728312474684.0,,1728313281493.0,563759,0.5125500546591054,51412,7758.0,7758.0,3184.0733173076924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.0,0.0,0.0,1,1,6234.0,1141,2.586252771618625,2.929372787706121,3546.3653846153848,2821.78125,2.7800000000000002,2.8495535714285714,2492.090909090909,1832.9375
1329,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,7,0.2916666666666667,0.4166666666666667,0.16666666666666666,0.5,7,2,7,6,6,7,5,5,4,1,5,2,2,53,59,49,0.6309523809523809,0.6483516483516484,0.7,N,7,just focus and serious ,meaning,meaning,Nothing ,To understand context based meaning ,Nothing everything look cool,7,intentional,just normal feelings ,4.0,4.0,6.0,6.0,5.0,5.0,6.0,3.0,just normal feelings nothing more ,USA,13:16,30-34,M,Right,Y,,Y,,Black,1,N,4,6,N,,7.0,,nope,2049.0,1728319703393,1728319697093,1728320355907,1728319827735,1728319735744,1728319764040,1728319693151,1728320324423,1728319764041,1728320676557,1728321361427,1728320883161,1728321525948,1728320588651,1728320099442,1728320320092,1728319695136,1728319735742,1728319703391,1728320588648,1728320099441,1728319764038,1728319764040,1728319695133,1728320355906,1728319827733,1728320883157,1728321525943,1728321361418,1728321545990,1728320676552,1728320320092,1728320324420,1728319697091,32349,6298,232741,271706,28294,0,1982,31483,63692,206600,164516,478257,20042,87901,220650,4328,1955,1728320402909.0,1728319863794.0,1728320324422.0,1728319783032.0,,1728320125832.0,1728320588648.0,1728320099440.0,1728320355906.0,1728319790398.0,,1728320320092.0,194260,-0.0490055648648015,82817,235645.0,11947.0,120724.125,0.0,0.0,0.0,0.0,3506.0,0.0,0.0,0.0,22691.0,1030.0,0.0,0.0,0.0,0.0,1019.0,0.0,0.0,1,2,16932.0,1484,2.639284383782135,1.8,5803.25,235645.0,4.269026915113871,,4750.5,
1330,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,7,1,7,7,5,7,3,3,1,1,1,2,3,43,48,38,0.5119047619047619,0.5274725274725275,0.5428571428571428,Y,4,I did not use any strategies that I'm aware of. I just typed whatever word came to mind without trying to think about anything.,none,none,Nothing,I'm not sure. Attention and memory? Or effect of reading something recently on words that arise in your mind?,"I noticed I wanted to use words from the story somewhat more after reading, like ""river,"" ""whiskey,"" ""can.""",4,unintentional,I tried not to think about anything and let words come to mind on their own. I noticed a few of the words were words I had read in the story.,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,I felt very slightly more effort bringing words to mind after spending time reading the story. I noticed more words were related to the story.,USA,13:15,30-34,M,Right,Y,,Y,,White,1,N,2,6,N,,7.0,,,0.0,1728319769641,1728319765821,1728320616148,1728319973682,1728319877746,1728319887026,1728319763787,1728320584666,1728319930898,1728320844488,1728321295926,1728320995863,1728321334841,1728320805529,1728320165981,1728320581607,1728319763883,1728319877745,1728319769640,1728320805527,1728320165981,1728319887026,1728319930897,1728319763882,1728320616147,1728319973682,1728320995862,1728321334840,1728321295924,1728321344100,1728320844486,1728320581606,1728320584664,1728319765820,108104,3819,189379,192299,9280,43871,95,31481,42784,151374,38914,300061,9259,38957,415625,3057,1937,1728320625367.0,1728319982740.0,1728320584665.0,1728319934960.0,,1728320173818.0,1728320805527.0,1728320165981.0,1728320616147.0,1728319940393.0,,1728320581606.0,407788,0.6069185584631122,43761,8345.0,8345.0,2947.4059963341188,0.0,0.0,0.0,0.0,0.0,11395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162.0,1,0,14834.0,1482,2.6348616895718346,2.348046794475366,3160.1403508771928,2734.6716417910447,3.4520537433580913,1.9484593837535016,2705.2727272727275,1703.4117647058824
