participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,triangle_explanation,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_interference,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,complete,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_geometry_testing_stage_start,interference_geometry_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_geometry_testing_stage_end,interference_geometry_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_geometry_testing_time,interference_geometry_training_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_geometry_testing0_task_start,interference_geometry_training0_task_start,interference_geometry_training1_task_start,interference_geometry_training10_task_start,interference_geometry_training11_task_start,interference_geometry_training12_task_start,interference_geometry_training13_task_start,interference_geometry_training14_task_start,interference_geometry_training15_task_start,interference_geometry_training16_task_start,interference_geometry_training17_task_start,interference_geometry_training18_task_start,interference_geometry_training19_task_start,interference_geometry_training2_task_start,interference_geometry_training20_task_start,interference_geometry_training21_task_start,interference_geometry_training22_task_start,interference_geometry_training23_task_start,interference_geometry_training24_task_start,interference_geometry_training25_task_start,interference_geometry_training3_task_start,interference_geometry_training4_task_start,interference_geometry_training5_task_start,interference_geometry_training6_task_start,interference_geometry_training7_task_start,interference_geometry_training8_task_start,interference_geometry_training9_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_geometry_testing0_task_end,interference_geometry_training0_task_end,interference_geometry_training1_task_end,interference_geometry_training10_task_end,interference_geometry_training11_task_end,interference_geometry_training12_task_end,interference_geometry_training13_task_end,interference_geometry_training14_task_end,interference_geometry_training15_task_end,interference_geometry_training16_task_end,interference_geometry_training17_task_end,interference_geometry_training18_task_end,interference_geometry_training19_task_end,interference_geometry_training2_task_end,interference_geometry_training20_task_end,interference_geometry_training21_task_end,interference_geometry_training22_task_end,interference_geometry_training23_task_end,interference_geometry_training24_task_end,interference_geometry_training25_task_end,interference_geometry_training3_task_end,interference_geometry_training4_task_end,interference_geometry_training5_task_end,interference_geometry_training6_task_end,interference_geometry_training7_task_end,interference_geometry_training8_task_end,interference_geometry_training9_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_complete,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_geometry_testing,time_away_interference_geometry_training,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre,answer,correct_answer,answered_correct,answer_time
1360,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,1.0,1.0,1.0,1.0,7,2,7,7,5,7,4,6,4,1,1,5,5,56,61,46,0.6666666666666666,0.6703296703296703,0.6571428571428571,N,7,related words or spellings,meaning,equal,it was easier,cognitive flexibility with different stimuli,It was easier to recall words that reappeared in the story.,6,intentional,It was easier to come up with strings of words since the story was still on my mind,3.0,7.0,6.0,3.0,6.0,7.0,5.0,4.0,2.0,It was easier to recall words but harder to spell,USA,10:28,20-24,F,Right,Y,,Y,,White,1,N,4,8,N,,7.0,,,0.0,,1716299854287.0,1716299851104.0,1716301014115.0,1716300198584.0,1716299950138.0,1716299960069.0,1716299849226.0,1716300988110.0,1716300153116.0,1716301257611.0,1716301673358.0,1716301420305.0,1716301726642.0,1716301212138.0,1716300413812.0,1716299849303.0,1716299950136,1716299854285,1716301212136,1716300413811,1716299960067,1716300153115,1716299849302,1716301014113,1716300198583,1716301420303,1716301726640,1716301673355,1716301738291,1716301257608,1716300988108,1716299851102,95849,3181,198021,215227,9929,193046,76,26003,45467,162692,53282,253050,11649,45470,574296,1799,1716301029098.0,1716300233368.0,1716300988110.0,1716300169321.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716300450299.0,1716301212136.0,1716300413810.0,1716301014113.0,1716300195324.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716300988108.0,537809,0.46786191574238356,40990,5010.0,5010.0,1804.0148057058534,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14981.0,3.3989106046932136,2.585994227994228,1709.6822429906542,1898.3473684210526,4.180832993093863,1.5136363636363637,1408.4285714285713,2277.153846153846,5,6.0,False,3801.0
1361,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,23,0.9583333333333334,0.9166666666666666,1.0,1.0,6,1,4,5,4,7,3,3,2,1,1,5,5,43,47,33,0.5119047619047619,0.5164835164835165,0.4714285714285714,N,7,I just let my mind run blank and then looked around as i typed.,none,equal,It was easy.,How someone thinks after reading a story.,I felt more relaxed after reading the story.,5,neither,I did not think of the story while playing the word game.,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,3.0,I felt like there was not change in how I felt.,USA,10:35,30-34,F,Right,Y,,Y,,White,1,N,2,5,N,,6.0,,,0.0,,1716300378899.0,1716300373729.0,1716301346660.0,1716300538391.0,1716300395680.0,1716300405977.0,1716300370662.0,1716301320635.0,1716300405977.0,1716301634139.0,1716302099910.0,1716301863384.0,1716302166977.0,1716301562821.0,1716300741048.0,1716300370773.0,1716300395679,1716300378898,1716301562819,1716300741047,1716300405976,1716300405977,1716300370772,1716301346659,1716300538390,1716301863382,1716302166975,1716302099902,1716302182505,1716301634136,1716301320633,1716300373727,16780,5169,216159,202656,10296,0,110,26024,132413,229243,67065,236518,15528,71315,579585,2954,1716301379513.0,1716300559612.0,1716301320635.0,1716300425538.0,1716300454409.0,,,,,,,,,,,1716300481973.0,,,,,,,1716300509359.0,,,,,,,1716300754342.0,1716301562819.0,1716300741047.0,1716301346659.0,1716300451550.0,1716300480409.0,,,,,,,,,,,1716300507978.0,,,,,,,1716300535376.0,,,,,,,1716301320633.0,566291,0.7074983492175546,58880,16627.0,9405.0,2990.137365591398,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12546.0,2.5677329761335974,2.9569014319014317,3054.516666666667,2925.7580645161293,2.762063492063492,2.4,2295.153846153846,3386.875,5,6.0,False,4593.0
1362,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,5,2,5,7,4,7,3,4,2,1,1,3,5,45,49,37,0.5357142857142857,0.5384615384615384,0.5285714285714286,N,7,thought of specific categories and named things/places that belonged.,none,none,"I found this portion difficult. my fault, not the study.",memorization,my second round I added words that were related to the story.,6,intentional,"I thought about the dead body in the river, so I put river , die and prison. I wondered what happened in the story and I added those thoughts easily .",1.0,7.0,6.0,4.0,6.0,4.0,1.0,1.0,4.0,the second round was much easier. I felt like my imagination was sparked and I could think of many more words easily.,USA,08:38,35-39,F,Right,Y,,Y,,White,1,N,3,5,N,,7.0,,very interesting study! I really enjoyed this.,0.0,,1716296768405.0,1716296763237.0,1716297994060.0,1716297137260.0,1716296790629.0,1716296797973.0,1716296759000.0,1716297968053.0,1716296812280.0,1716298242103.0,1716298682962.0,1716298420767.0,1716298734184.0,1716298193290.0,1716297336027.0,1716296759895.0,1716296790622,1716296768397,1716298193279,1716297336025,1716296797967,1716296812276,1716296759887,1716297994057,1716297137256,1716298420759,1716298734173,1716298682931,1716298760322,1716298242080,1716297968050,1716296763230,22217,5160,199219,198765,7338,14303,887,26004,324976,178656,51211,262164,26138,48790,632023,3335,1716298009154.0,1716297152948.0,1716297968053.0,1716296837528.0,1716296866040.0,,,,,,,,,,,1716296893385.0,,,,,,,1716296920430.0,1716296947840.0,1716296974853.0,1716297001953.0,1716297029038.0,1716297056137.0,1716297087280.0,1716297342744.0,1716298193278.0,1716297336024.0,1716297994056.0,1716296863531.0,1716296892040.0,,,,,,,,,,,1716296919385.0,,,,,,,1716296946430.0,1716296973841.0,1716297000853.0,1716297027953.0,1716297055038.0,1716297082138.0,1716297113281.0,1716297968050.0,625306,0.7201203987055445,41104,18114.0,9894.0,4346.165032679739,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,51872.0,3.1573113937102595,2.685988031576267,3608.607843137255,5083.722222222223,2.711111111111111,2.603030303030303,4685.0,4092.1666666666665,7,6.0,False,2418.0
1363,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,22,0.9166666666666666,1.0,0.8333333333333334,1.0,7,1,7,7,4,7,5,3,1,1,1,5,5,50,54,40,0.5952380952380952,0.5934065934065934,0.5714285714285714,N,6,I named random things that just popped into my head and then as words became harder to conjure I stated objects from my surroundings.,equal,equal,"For me, no different from the previous triangle counting.",Decision making.,"The story was fresh in my mind so I used words from things that were in the story. When I couldn't think of any more words from the story, I reverted back to random thoughts and objects from my surroundings.",5,intentional,"While playing the word chain game, the story was still very fresh in my mind and therefore it was easy to come up with words from the story. ",3.0,7.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,I felt I could easily come up with words while playing the word chain game after the story because the emotions in the story were strong enough to cross over into my own emotions. I could imagine how the characters were feeling. ,USA,09:53,55-59,F,Right,Y,,Y,,White,1,Y,3,10,N,,7.0,,,0.0,,1716296319830.0,1716296309055.0,1716298014198.0,1716296936054.0,1716296682416.0,1716296696766.0,1716296304880.0,1716297988187.0,1716296819734.0,1716298332562.0,1716299597800.0,1716298739507.0,1716299683396.0,1716298227608.0,1716297156238.0,1716296305875.0,1716296682414,1716296319829,1716298227606,1716297156238,1716296696765,1716296819733,1716296305872,1716298014197,1716296936053,1716298739505,1716299683394,1716299597778,1716299710753,1716298332559,1716297988186,1716296309053,362584,10774,213408,220184,14349,122967,992,26010,116319,406943,85594,858271,27357,104951,831948,3178,1716298040704.0,1716296975151.0,1716297988187.0,1716296840848.0,1716296872440.0,,,,,,,,,,,1716296902799.0,,,,,,,,,,,,,,1716297202470.0,1716298227606.0,1716297156237.0,1716298014197.0,1716296866865.0,1716296898443.0,,,,,,,,,,,1716296928806.0,,,,,,,,,,,,,,1716297988186.0,785716,0.7782068126713834,52518,14020.0,14020.0,4803.701558265582,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12889.0,4.235032793293663,2.8253215383650163,5191.305555555556,4416.09756097561,5.627238612836439,3.0676870748299314,3701.625,4006.8571428571427,5,6.0,False,4742.0
1364,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,7,1,7,7,3,7,4,7,1,4,2,7,7,61,64,47,0.7261904761904762,0.7032967032967034,0.6714285714285714,N,6,I just tried to stay free flowing and stream of consciousness. I tried to write the first word that came into my mind that was connected to the previous word. ,meaning,meaning,I felt focused and was able to count as many triangles as I noticed. I didn't see a difference in my experience or ability after reading.,I believe this experiment was trying to see how various readings and mindsets affects critical thinking.,My word chain clearly started with words that had to do with the story. I believe my first word was murder or something along those lines which was a prominent part of the story. The story clearly was on my mind as I was thinking of words early on. ,6,unintentional,"I don't think I meant to start with a specific word at all. I simply was still thinking of the story and that played out in the word chain. I then free flowed from those initial words, but I found myself recalling the story as I typed words that came to my mind.",6.0,7.0,4.0,5.0,7.0,1.0,1.0,1.0,1.0,"I think the only change I noticed was how I was still thinking about the story. I think that words still came to mind easily and that I had no apparent change in ability. That being said, the topics of the words changed due to me being so focused on the story at the moment. That felt like it dwindled later in the chain as I found different words to use coming off the top of my mind.",USA,13:54,35-39,M,Right,Y,,Y,,White,1,N,6,2,N,,7.0,,This was very interesting. Thanks!,0.0,,1716315826679.0,1716315823384.0,1716316885743.0,1716315930812.0,1716315830114.0,1716315838429.0,1716315822109.0,1716316859734.0,1716315851748.0,1716317109069.0,1716317634873.0,1716317264634.0,1716317687037.0,1716317075342.0,1716316142491.0,1716315822204.0,1716315830112,1716315826678,1716317075339,1716316142490,1716315838428,1716315851746,1716315822203,1716316885742,1716315930811,1716317264632,1716317687036,1716317634868,1716317708520,1716317109064,1716316859732,1716315823382,3433,3294,189596,211678,8314,13317,94,26008,79063,155563,52163,370234,21483,33722,717241,1178,1716316893347.0,1716315960797.0,1716316859734.0,1716315874164.0,1716315902431.0,,,,,,,,,,,,,,,,,,,,,,,,,1716316151889.0,1716317075339.0,1716316142489.0,1716316885742.0,1716315900168.0,1716315928437.0,,,,,,,,,,,,,,,,,,,,,,,,,1716316859732.0,707843,0.7064483811069466,33615,7071.0,5762.0,2615.8706004140786,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,13299.0,3.9011302610433045,2.162106123043623,2636.8840579710145,2594.8571428571427,4.9192857142857145,2.007318322702938,2134.4166666666665,2082.3076923076924,5,6.0,False,2544.0
1365,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,True,False,False,False,True,17,0.7083333333333334,0.8333333333333334,0.5833333333333334,1.0,6,6,6,7,5,7,2,5,1,1,1,4,5,51,56,42,0.6071428571428571,0.6153846153846154,0.6,N,6,"I occasionally used the ending letters of one word to inform the next word. In most cases, though, it was completely random",equal,sound,it was slightly more difficult even though there were fewer triangles to count,"i think this study is trying to measure skill at different kinds of information processing: visual processing, narrative analysis, and accessing one's inner lexicon (the number of given/known words in an individuals linguistic capacity)","the word chain game felt more difficult before reading the story. after the story, it felt easier, as if i had been primed to deal with words and language in general",4,neither,"as a poet, the sounds of words matter more and i used this for the word game exclusively",4.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,i didn't feel any different from this study,USA,09:34,45-49,NEITHER,Left,Y,,Y,,Black,1,N,2,10,N,,7.0,,,0.0,,1716296531991.0,1716296528525.0,1716297644757.0,1716296679032.0,1716296600064.0,1716296614903.0,1716296517732.0,1716297618699.0,1716296626380.0,1716297883131.0,1716298488270.0,1716298084262.0,1716298533065.0,1716297840884.0,1716296881735.0,1716296517845.0,1716296600060,1716296531989,1716297840877,1716296881729,1716296614901,1716296626379,1716296517845,1716297644755,1716296679031,1716298084255,1716298533060,1716298488226,1716298542915,1716297883129,1716297618680,1716296528523,68069,3464,196120,202697,14837,11476,113,26056,52651,201124,44790,403964,9850,42245,736945,10678,1716297659614.0,1716296699432.0,1716297618699.0,1716296649097.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716296895451.0,1716297840876.0,1716296881727.0,1716297644755.0,1716296675126.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716297618680.0,723229,0.5747872073369704,40934,7567.0,6547.0,4107.078760162601,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10198.0,2.140574576938213,2.149363767545586,4418.365853658536,3795.7916666666665,1.961038961038961,1.5431818181818182,3536.625,2870.3333333333335,5,6.0,False,3343.0
1366,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,False,14,0.5833333333333334,0.5,0.6666666666666666,0.5,5,6,4,5,6,6,4,5,3,2,2,4,4,50,56,42,0.5952380952380952,0.6153846153846154,0.6,N,6,i mostly started the next word with the last alphabet,sound,none,great,users alphanumeric,there wasn't much differnce,6,unintentional,because the story was great,5.0,7.0,6.0,5.0,5.0,5.0,3.0,4.0,4.0,i had a change of emotions while playing the word chain game because the story lingered on my mind,USA,12:30,35-39,F,Right,Y,,Y,,Black,1,N,6,8,N,,7.0,,,0.0,,1716310679283.0,1716310673883.0,1716311609920.0,1716310862711.0,1716310688843.0,1716310699279.0,1716310660726.0,1716311583333.0,1716310719650.0,1716311938612.0,1716312583655.0,1716312287758.0,1716312681779.0,1716311874040.0,1716311086135.0,1716310664925.0,1716310688842,1716310679281,1716311874037,1716311086134,1716310699278,1716310719649,1716310664923,1716311609919,1716310862710,1716312287755,1716312681776,1716312583411,1716312692180,1716311938610,1716311583330,1716310673882,9559,5398,264117,223423,10435,20370,4197,26586,143060,349143,98121,295653,10401,64570,497195,8957,1716311692256.0,1716310895324.0,1716311583333.0,1716310747855.0,1716310776530.0,,,,,,,,,,,1716310805952.0,,,,,,,1716310834255.0,,,,,,,1716311125277.0,1716311874037.0,1716311086134.0,1716311609918.0,1716310773858.0,1716310802874.0,,,,,,,,,,,1716310831956.0,,,,,,,1716310860311.0,,,,,,,1716311583330.0,458053,0.3427964267957358,108926,40325.0,12331.0,5775.147619047619,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10523.0,1,0,77570.0,2.5470637947910673,3.135201218534552,5192.828571428571,6357.466666666666,2.0416083916083916,,3608.125,,6,6.0,True,6487.0
1367,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,22,0.9166666666666666,1.0,0.8333333333333334,1.0,7,6,5,7,4,7,2,7,2,1,1,6,4,55,59,45,0.6547619047619048,0.6483516483516484,0.6428571428571429,N,5,words that comes to mind,meaning,equal,good,focus and mindfulness,none,6,neither,"i read the story, confused at first, then when I got the hang of it, I enjoyed the story, but then, I didn't think too much about it because I would be curious about the end of it.",5.0,6.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,"I felt more curious about the story, not really wanting it to end, but then, I wished I could read it in 'passage-form' than in single lines.",USA,10:04,30-34,F,Right,Y,,Y,,Black,1,N,4,7,N,,4.0,,,4916.0,,1716300022676.0,1716300018391.0,1716302921148.0,1716300948203.0,1716300143236.0,1716300153772.0,1716299998852.0,1716302895132.0,1716300380445.0,1716303196841.0,1716303831204.0,1716303373162.0,1716303895048.0,1716303141989.0,1716301143489.0,1716299998992.0,1716300143235,1716300022674,1716303141988,1716301143488,1716300153770,1716300380443,1716299998991,1716302921148,1716300948202,1716303373158,1716303895045,1716303831201,1716303905028,1716303196837,1716302895130,1716300018386,120559,4283,220840,195285,10534,226671,139,26016,567757,176317,63841,458039,9980,54848,1751641,19394,1716302961910.0,1716300960526.0,1716302895132.0,1716300393181.0,1716300422632.0,,,,,,,,,,,1716300456889.0,,,,,,,1716300484890.0,1716300539315.0,1716300566851.0,1716300620804.0,1716300648856.0,1716300754202.0,1716300782864.0,1716301441438.0,1716303141988.0,1716301143487.0,1716302921147.0,1716300419208.0,1716300448648.0,,,,,,,,,,,1716300482891.0,,,,,,,1716300510904.0,1716300565317.0,1716300592879.0,1716300646812.0,1716300674865.0,1716300780219.0,1716300808879.0,1716302895130.0,1453692,0.3303463883942509,66780,37144.0,10814.0,5958.628846153847,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4916.0,0.0,1,1,143552.0,2.967115179902065,2.1,2769.9076923076923,9147.35,3.1163636363636362,,2983.4444444444443,5901.5,5,6.0,False,3078.0
1368,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,False,True,19,0.7916666666666666,0.8333333333333334,0.75,1.0,7,2,7,7,1,5,7,5,1,3,2,7,7,60,61,46,0.7142857142857143,0.6703296703296703,0.6571428571428571,N,7,I used the sound of the words,sound,sound,I was still able ot count them after reading the story,to study peoples ability to multitask,It was almost the same and didn't notice any massive difference between the 2 rounds,6,unintentional,the story would just occur to me randomly whiles playing the word chain game,7.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,5.0,"at some point, I was more interested in how the story would turn out.",USA,13:43,40-44,F,Right,Y,,Y,,Black,1,N,5,4,N,,,,,7205.0,,1716310724972.0,1716310724020.0,1716312675045.0,1716311278336.0,1716310728975.0,1716310743555.0,1716310720080.0,1716312648779.0,1716311190250.0,1716312937275.0,1716313399120.0,1716313091106.0,1716313451839.0,1716312881817.0,1716311464607.0,1716310720820.0,1716310728974,1716310724971,1716312881816,1716311464607,1716310743555,1716311190249,1716310720819,1716312675044,1716311278336,1716313091104,1716313451838,1716313399095,1716313458918,1716312937274,1716312648777,1716310724019,4002,951,206771,186271,14580,446694,739,26265,88086,153829,52718,307989,7079,55457,1184170,3199,1716312699402.0,1716311283776.0,1716312648779.0,1716311230051.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716311480535.0,1716312881816.0,1716311464607.0,1716312675044.0,1716311256078.0,,,,,,,,,,,,,,,,,,,,,,,,,,1716312648777.0,1168242,0.17144841669467328,50625,13184.0,13184.0,4484.887804878049,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845.0,0.0,0.0,0.0,0.0,4360.0,0.0,1,4,61144.0,2.895656565656566,2.5934736559736558,4559.8,4409.975609756098,3.22,2.033333333333333,3321.1111111111113,3622.375,5,6.0,False,3983.0
1369,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,5,1,4,6,2,7,5,3,1,1,1,5,3,42,44,34,0.5,0.4835164835164835,0.4857142857142857,N,6,rhyming words,sound,sound,hated it...never been good at those things,I have no idea,easier after as I realized rhyming words would make it go quicker and I wouldnt have to think so much,5,neither,I was actually trying not to reflect on the story when playing the game as I didn't think it could help and only slow me down in word chain,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,I felt calmer in playing word chain after the story,USA,13:37,60-64,F,Right,Y,,Y,,White,1,N,2,1,N,,5.0,,,0.0,,1716310552472.0,1716310545218.0,1716312255381.0,1716311403981.0,1716310601486.0,1716310627737.0,1716310542859.0,1716312229374.0,1716310645918.0,1716312546823.0,1716313013752.0,1716312742913.0,1716313114347.0,1716312462404.0,1716311610012.0,1716310543222.0,1716310601484,1716310552469,1716312462395,1716311610010,1716310627736,1716310645916,1716310543218,1716312255376,1716311403980,1716312742910,1716313114345,1716313013723,1716313130146,1716312546817,1716312229370,1716310545216,49012,7251,207014,206029,26250,18179,359,26002,758062,196087,100593,270810,15799,84413,619358,1994,1716312281377.0,1716311426539.0,1716312229374.0,1716310665327.0,1716310694403.0,1716310953788.0,1716310981992.0,1716311010564.0,1716311038306.0,1716311066629.0,1716311094474.0,1716311122123.0,1716311149804.0,1716311177184.0,1716311204824.0,1716310722761.0,1716311232331.0,1716311260164.0,1716311287717.0,1716311315385.0,1716311343925.0,1716311372534.0,1716310750961.0,1716310779083.0,1716310806906.0,1716310834579.0,1716310862295.0,1716310890239.0,1716310920585.0,1716311621301.0,1716312462394.0,1716311610008.0,1716312255376.0,1716310691328.0,1716310720403.0,1716310979788.0,1716311007993.0,1716311036564.0,1716311064307.0,1716311092630.0,1716311120475.0,1716311148124.0,1716311175805.0,1716311203185.0,1716311230825.0,1716310748761.0,1716311258332.0,1716311286165.0,1716311313718.0,1716311341386.0,1716311369925.0,1716311398535.0,1716310776962.0,1716310805085.0,1716310832907.0,1716310860579.0,1716310888296.0,1716310916240.0,1716310946586.0,1716312229370.0,608069,0.7480346956905385,52007,8188.0,8188.0,2373.902941176471,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,40387.0,2.6899923409923407,2.1963203463203462,2128.3058823529414,2619.5,2.4337535014005605,2.548636363636364,1547.3157894736842,2719.6,2,6.0,False,4158.0
