participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,pause_explanation,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_pause_testing_stage_start,interference_pause_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_pause_testing_stage_end,interference_pause_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_pause_testing_time,interference_pause_training_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_pause_testing0_task_start,interference_pause_training0_task_start,interference_pause_training1_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_pause_testing0_task_end,interference_pause_training0_task_end,interference_pause_training1_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_pause_testing,time_away_interference_pause_training,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max,time_unpressed,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre
1486,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,7.0,3.0,5.0,4.0,5.0,1.0,1.0,2.0,6.0,6.0,50.0,53.0,38.0,0.5952380952380952,0.5824175824175825,0.5428571428571428,N,5.0,looking at things around me to give me ideas,meaning,meaning,thought about the story,how reading the story affects that strategy and words used in the word chain game,I found it slightly harder to think of words after the reading,4.0,neither,I chose to use things around me as inspiration for words rather than the story,4.0,2.0,2.0,2.0,6.0,3.0,4.0,1.0,The only change I felt was that it was harder to come up with words,USA,16:24,20-24,F,Right,Y,,Y,,White,1,N,4,10,N,,7.0,,,0.0,1710882263695.0,1710882259537.0,1710882931167.0,1710882349691.0,1710882285919.0,1710882292719.0,1710882258182.0,1710882899828.0,1710882305627.0,1710883177153.0,1710883484256.0,1710883308863.0,1710883544868.0,1710883125497.0,1710882541171.0,1710882258306.0,1710882285916.0,1710882263692.0,1710883125494.0,1710882541170.0,1710882292718.0,1710882305625.0,1710882258305.0,1710882931166.0,1710882349689.0,1710883308859.0,1710883544865.0,1710883484245.0,1710883553296.0,1710883177148.0,1710882899826.0,1710882259534.0,22221.0,4155.0,194327.0,191479.0,6799.0,12906.0,123.0,31338.0,44062.0,131706.0,60609.0,175382.0,8428.0,51651.0,358655.0,1228.0,1710882943339.0,1710882360303.0,1710882899827.0,1710882308919.0,,1710882552404.0,1710883125494.0,1710882541170.0,1710882931166.0,1710882315009.0,,1710882899826.0,347422.0,0.8148188924530516,43513.0,9702.0,9702.0,2144.0585797181543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6703.0,1339,2.7109883172383173,2.479521828114891,2364.883116883117,1923.2340425531916,3.1751700680272106,2.1017582417582417,2045.7857142857142,1863.0666666666666
1487,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,8.0,0.3333333333333333,0.4166666666666667,0.25,0.5,5.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,56.0,61.0,49.0,0.6666666666666666,0.6703296703296703,0.7,N,1.0,I just looked around my room and thought of words.,equal,equal,I grabbed a snack,"I have no idea, Maybe memory?",I felt the same really.,2.0,neither,I was focused on the task not the story.,4.0,4.0,3.0,4.0,3.0,5.0,7.0,4.0,I felt bored reading the stories.,USA,15:03,35-39,M,Right,Y,,Y,,White,1,N,4,1,N,,7.0,,,3952793.0,1710870244499.0,1710870243441.0,1710874452347.0,1710870304855.0,1710870248613.0,1710870255012.0,1710870242500.0,1710874421155.0,1710870262729.0,1710874804137.0,1710875002044.0,1710874877091.0,1710875034328.0,1710874778543.0,1710870588294.0,1710870242626.0,1710870248612.0,1710870244498.0,1710874778541.0,1710870588294.0,1710870255011.0,1710870262729.0,1710870242624.0,1710874452347.0,1710870304854.0,1710874877090.0,1710875034327.0,1710875002041.0,1710875044354.0,1710874804136.0,1710874421154.0,1710870243440.0,4113.0,1057.0,326194.0,283439.0,6398.0,7717.0,124.0,31192.0,42125.0,72953.0,32283.0,124950.0,10026.0,25593.0,3832860.0,814.0,1710874459068.0,1710870312110.0,1710874421154.0,1710870263819.0,,1710870594349.0,1710874778541.0,1710870588294.0,1710874452347.0,1710870270616.0,,1710874421154.0,3826805.0,-0.02676705828265907,37914.0,200308.0,142044.0,9927.316666666668,0.0,0.0,249788.0,0.0,0.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703005.0,0.0,1,21,2745959.0,1193,2.131555944055944,3.1717391304347826,10648.833333333334,9205.8,1.9553946053946054,2.1673593073593076,1923.7333333333333,2578.818181818182
1488,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,21.0,0.875,1.0,0.75,1.0,5.0,1.0,3.0,7.0,1.0,7.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,42.0,43.0,39.0,0.5,0.4725274725274725,0.5571428571428572,N,7.0,Most of the words I used were words that ended in the same letters and/or rhymed ,equal,sound,Thought about how the story might end.,This experiment seems to be trying to measure a persons attention span and how well they can focus on a story even if its not all written on the same page.,"I felt more morbid by the time the second word chain came around, i immediately thought of negative words or words from the story i could use,",7.0,intentional,"I started to go over what i remembered from the beginning, middle, and end of the story and tried to think of words that were in the story or reminded me of the story.",7.0,4.0,6.0,7.0,4.0,4.0,1.0,7.0,"I felt my entire mood/attitude change by the end of the story. I found myself more invested and wanting to know every detail i could from it. When I started the story i was hopeful, by the end all i could think about were the what ifs and all the questions I had.",USA,15:13,20-24,F,Right,Y,,Y,,White,1,N,1,9,N,,,,,268697.0,1710878999561.0,1710878992875.0,1710880833940.0,1710879167292.0,1710879020926.0,1710879030608.0,1710878989883.0,1710880802682.0,1710879116376.0,1710882130166.0,1710882824076.0,1710882359170.0,1710882895987.0,1710882073900.0,1710879369640.0,1710878990054.0,1710879020924.0,1710878999559.0,1710882073895.0,1710879369638.0,1710879030607.0,1710879116374.0,1710878990053.0,1710880833939.0,1710879167291.0,1710882359167.0,1710882895985.0,1710882824069.0,1710882904087.0,1710882130163.0,1710880802680.0,1710878992873.0,21363.0,6684.0,1239955.0,202346.0,9681.0,85766.0,170.0,31257.0,50915.0,229001.0,71909.0,464899.0,8100.0,56263.0,1433040.0,2819.0,1710881892928.0,1710879186493.0,1710880802681.0,1710879125162.0,,1710879452119.0,1710882073895.0,1710879369638.0,1710880833939.0,1710879131296.0,,1710880802680.0,1350561.0,0.3754634549005278,1090248.0,8312.0,7524.0,3063.3895019807587,0.0,0.0,268697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,107818.0,1258,3.536675393118081,3.0778072452285348,3173.8596491228072,2952.9193548387098,3.4321828533785053,3.181904761904762,2441.0833333333335,2432.7272727272725
1489,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,18.0,0.75,0.8333333333333334,0.6666666666666666,0.5,5.0,3.0,5.0,6.0,6.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,41.0,47.0,37.0,0.4880952380952381,0.5164835164835165,0.5285714285714286,N,4.0,I thought of what i recently read and what was around me. ,equal,meaning,held the spacebar for 30 sec,How our memory is affected by what we read. ,my word choices felt darker ,2.0,unintentional,The words I thought of were the words that stuck out to me after reading the story. ,4.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,I didnt experaince many changes except the topics I were thinking of ,USA,12:21,20-24,F,Right,Y,,Y,,White,1,N,4,8,N,,7.0,,,0.0,1710863989726.0,1710863987809.0,1710864673798.0,1710864062354.0,1710864007047.0,1710864014555.0,1710863986351.0,1710864642537.0,1710864014556.0,1710864920820.0,1710865280378.0,1710865086045.0,1710865332009.0,1710864873442.0,1710864254372.0,1710863986616.0,1710864007046.0,1710863989724.0,1710864873438.0,1710864254371.0,1710864014555.0,1710864014556.0,1710863986614.0,1710864673797.0,1710864062353.0,1710865086043.0,1710865332007.0,1710865280371.0,1710865341789.0,1710864920817.0,1710864642535.0,1710863987808.0,17320.0,1915.0,199640.0,192017.0,7508.0,1.0,263.0,31260.0,47797.0,165223.0,51629.0,194326.0,9780.0,47375.0,388163.0,1192.0,1710864691736.0,1710864072699.0,1710864642535.0,1710864021044.0,,1710864263108.0,1710864873438.0,1710864254371.0,1710864673797.0,1710864027594.0,,1710864642535.0,379427.0,0.6011532968586742,49201.0,7442.0,7442.0,2384.3150895140666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7071.0,1262,4.123318245215478,2.4454123798279643,2632.3478260869565,2136.2823529411767,5.684057971014493,2.522943722943723,2029.7142857142858,2130.5
1490,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,22.0,0.9166666666666666,0.8333333333333334,1.0,1.0,7.0,1.0,5.0,7.0,7.0,7.0,4.0,5.0,1.0,1.0,1.0,7.0,7.0,53.0,60.0,39.0,0.6309523809523809,0.6593406593406593,0.5571428571428572,N,7.0,"Just tried to think of words as fast as I can. Second round, I started thinking about words from the story, but moved back to general reality words that were around me. Possibly avoiding the thoughts about the story.",none,none,Watched the bar and wanting it to end fast.,"how our mind creates visuals before other information (such as the story) are integrating and whether we focus on the new information, or go back prior to the information. In other words, how the new information affects our immediate thinking.","The first game had my mind set in more current reality with things around me. Once I read the story, my imagination took over, but part way through second round I reverted back to current reality. ",4.0,dontknow,"Story had some dramatically pivots so it was easy to be caught into the imaginary situation of it. I did not intentionally reflect on it once the second game started, but it was fresh in my memory. I was able to switch back to current reality part of the second game, because the story was a little bit disturbing and I didn't want to think about it anymore. ",4.0,1.0,4.0,7.0,1.0,1.0,1.0,4.0,"My thoughts retained the imaginary aspect of the story for a few minutes upon starting the second round, but it was not that long. I did not dwell on the story. Partly too, because the story was not sequential in nature, it kind of bounced all over. ",USA,14:15,55-59,F,Right,Y,,Y,,White,1,N,4,6,N,,7.0,,,0.0,1710870248817.0,1710870244548.0,1710871101988.0,1710870332267.0,1710870257713.0,1710870268005.0,1710870243157.0,1710871069908.0,1710870282215.0,1710871402494.0,1710872086178.0,1710871581340.0,1710872178454.0,1710871306242.0,1710870531018.0,1710870243374.0,1710870257712.0,1710870248816.0,1710871306240.0,1710870531018.0,1710870268004.0,1710870282214.0,1710870243373.0,1710871101988.0,1710870332267.0,1710871581339.0,1710872178453.0,1710872086175.0,1710872187294.0,1710871402491.0,1710871069907.0,1710870244547.0,8895.0,4268.0,204252.0,198751.0,10291.0,14209.0,216.0,32080.0,50052.0,178845.0,92275.0,504835.0,8840.0,96249.0,538889.0,1173.0,1710871124990.0,1710870348571.0,1710871069908.0,1710870290268.0,,1710870544296.0,1710871306240.0,1710870531018.0,1710871101988.0,1710870296058.0,,1710871069907.0,525611.0,0.6688878273302133,55083.0,9415.0,9415.0,2644.473024236038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,45535.0,2080,2.7549452500870273,2.2674188774188777,2482.4383561643835,2806.507692307692,4.218555900621118,1.7198051948051947,2410.25,2851.7
1491,True,True,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,9.0,0.375,0.5,0.25,0.5,6.0,1.0,6.0,6.0,4.0,5.0,6.0,5.0,2.0,1.0,1.0,6.0,5.0,50.0,54.0,39.0,0.5952380952380952,0.5934065934065934,0.5571428571428572,N,5.0,I just typed whatever word popped into my head.,equal,meaning,Just pressed and held the space key.,To see how much people can remember.,I felt like my mind was playing with words off the story.,6.0,unintentional,I was thinking about the woods because of the story.,1.0,5.0,5.0,6.0,5.0,3.0,2.0,1.0,I just felt the same and thought about the story I read.,USA,12:30,35-39,F,Right,Y,,Y,,White,1,N,4,5,N,,6.0,,,1940.0,1710863937591.0,1710863934785.0,1710865200770.0,1710864043506.0,1710863946693.0,1710863988864.0,1710863932814.0,1710865169463.0,1710863997862.0,1710865450549.0,1710865834147.0,1710865678977.0,1710865904793.0,1710865404077.0,1710864241896.0,1710863932975.0,1710863946689.0,1710863937588.0,1710865404073.0,1710864241895.0,1710863988863.0,1710863997861.0,1710863932974.0,1710865200770.0,1710864043505.0,1710865678973.0,1710865904790.0,1710865834141.0,1710865922731.0,1710865450544.0,1710865169461.0,1710863934783.0,9098.0,2803.0,203303.0,198389.0,42170.0,8997.0,160.0,31307.0,45643.0,228424.0,70643.0,155164.0,17938.0,46467.0,927565.0,1808.0,1710865221988.0,1710864059675.0,1710865169462.0,1710864003362.0,,1710864507157.0,1710865404073.0,1710864241894.0,1710865200769.0,1710864009015.0,,1710865169461.0,662304.0,0.5530712778205634,52527.0,11351.0,10309.0,3160.069705882353,0.0,0.0,0.0,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.0,0.0,0.0,1,1,34806.0,1307,2.9081557205502695,2.356745580808081,2676.779411764706,3643.36,4.480638864241349,1.4754545454545454,2088.0,2925.0
1492,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,7.0,1.0,7.0,7.0,7.0,1.0,2.0,1.0,4.0,6.0,54.0,55.0,44.0,0.6428571428571429,0.6043956043956044,0.6285714285714286,N,7.0,"I just typed in the first words that came into my mind and tried not to think very much. I did know that I was using words related to my feelings about reading the story in the second round, but I didn't try to change anything. I still just typed the next thing that came into my head.",meaning,meaning,"I held down the spacebar. If you're asking what I did besides the obvious, I didn't really do anything. I just kind of sat there watching the progress bar on the screen. I felt affected by the story, but I kind of blanked out and wasn't focused on anything in particular.",Maybe how much hearing or reading about an emotionally-charged experience can change our thoughts even after the exposure to that is over.,"I felt like I was using words that very directly related to what I read, felt, and experienced while reading the story. I was still just typing whatever came to mind, but it was definitely less random. My thoughts were affected by what I'd just read.",7.0,dontknow,"I don't think I was intentionally reflecting on the story in the sense that I purposely used words I remembered from the story. But I can't 100% say it was unintentional. As I mentioned, I was AWARE I was using words related to the story, so ""I don't know"" whether it was intentional is the answer that fits best.",7.0,7.0,7.0,7.0,3.0,1.0,5.0,6.0,"The words I were using were definitely more negative. I can't remember for sure, but I feel like I used a lot more words related to emotions and feelings than I did in the first round. I think the first round was more about objects, places, and people.",USA,11:06,40-44,F,Right,Y,,Y,,White,1,Y,2,8,N,,7.0,,This was really interesting!,0.0,1710945119217.0,1710945116007.0,1710946253918.0,1710945320588.0,1710945224346.0,1710945233586.0,1710945112299.0,1710946222553.0,1710945258011.0,1710946518709.0,1710947176313.0,1710946696415.0,1710947229474.0,1710946455631.0,1710945516894.0,1710945112463.0,1710945224344.0,1710945119216.0,1710946455628.0,1710945516894.0,1710945233585.0,1710945258009.0,1710945112462.0,1710946253917.0,1710945320587.0,1710946696413.0,1710947229471.0,1710947176311.0,1710947246270.0,1710946518707.0,1710946222551.0,1710945116005.0,105127.0,3209.0,201710.0,196306.0,9239.0,24423.0,163.0,31364.0,62576.0,177704.0,53158.0,479896.0,16796.0,63076.0,705657.0,3542.0,1710946275328.0,1710945335576.0,1710946222552.0,1710945279784.0,,1710945550263.0,1710946455627.0,1710945516893.0,1710946253917.0,1710945285519.0,,1710946222551.0,672288.0,0.6078860855444951,52777.0,7048.0,6562.0,2600.791407867495,5946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8203.0,1365,4.696792052789496,2.6203442134331167,2574.785714285714,2626.7971014492755,5.407267080745342,2.3365424430641824,2473.3333333333335,2234.3846153846152
1493,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22.0,0.9166666666666666,0.8333333333333334,1.0,1.0,7.0,1.0,6.0,7.0,1.0,7.0,6.0,7.0,1.0,2.0,1.0,7.0,7.0,59.0,60.0,45.0,0.7023809523809523,0.6593406593406593,0.6428571428571429,N,7.0,Looked around the room and outside to come up with words that can be connected.,meaning,meaning,think about the story!!!,How the story can effect an individual's performance on this task,The second time I was focused on the activity but kept thinking about the story.  ,6.0,unintentional,"I was trying to focus on the activity to do better on it.  After the first round, I wanted to score higher.  But my mind kept thinking of the story.",6.0,5.0,6.0,3.0,4.0,2.0,3.0,4.0,I felt more sad and down.  I felt I was doing it but going through the motions.,USA,14:13,35-39,F,Left,Y,,Y,,White,1,N,5,6,N,,7.0,,"thank you, I enjoyed this!",0.0,1710870428723.0,1710870425655.0,1710871366919.0,1710870494737.0,1710870433267.0,1710870438766.0,1710870351325.0,1710871335385.0,1710870448021.0,1710871613577.0,1710871995956.0,1710871776281.0,1710872036237.0,1710871568155.0,1710870694093.0,1710870351446.0,1710870433266.0,1710870428722.0,1710871568152.0,1710870694091.0,1710870438765.0,1710870448020.0,1710870351445.0,1710871366918.0,1710870494737.0,1710871776280.0,1710872036235.0,1710871995951.0,1710872051249.0,1710871613574.0,1710871335382.0,1710870425653.0,4543.0,3067.0,201233.0,199354.0,5498.0,9254.0,120.0,31533.0,46716.0,162703.0,40279.0,219670.0,15012.0,45419.0,641289.0,74207.0,1710871388010.0,1710870509639.0,1710871335382.0,1710870455113.0,,1710870703110.0,1710871568152.0,1710870694091.0,1710871366918.0,1710870460655.0,,1710871335382.0,632272.0,0.6599009039034056,52628.0,15762.0,15762.0,2457.632832080201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,37980.0,1536,2.488176585319443,2.344540013836689,3159.4561403508774,1755.8095238095239,2.937882117882118,2.907357028935976,2295.923076923077,1507.9473684210527
1494,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,6.0,2.0,7.0,6.0,6.0,2.0,1.0,1.0,4.0,5.0,52.0,54.0,43.0,0.6190476190476191,0.5934065934065934,0.6142857142857143,N,6.0,"I mostly just let my mind flow, almost like an association type of thing (e.g., ""mushroom"" --> ""fungi"" --> ""mycorrhizae""). Of course, sometimes I would run out of that flow and just go with whatever entered my mind next and do it again.",meaning,meaning,"I just sat there and wondered if the story was going to continue because I wanted to know how it ended. I was curiously and anxiously awaiting a definitive end to it, but then it ended.",Maybe something to do with how what we take in through different forms of media/writing impacts the words and thoughts that come into our minds. ,"In the first round, I was just using random words that came to mind (using the association strategy that I mentioned previously). In the second round, I felt more conditioned in the sense that I remembered specific details from the story, so the words that came to mind largely had to do with that. However, in the second round, I also felt a bit more distracted because I was still so focused on the story and taken aback that the husband was probably the one who murdered the girl, so it was a bit more difficult to conjure up new words.",6.0,both,"I'm not quite sure. I felt like the story was still in my mind to a large extent, so it was like those details and words came to mind first. When I tried to stray from them a bit and use my previous association strategy (like in the first round), the details of the story still conjured in my mind quite a bit, so I felt like the words I wrote reflected that.",6.0,6.0,6.0,6.0,6.0,2.0,1.0,5.0,"My emotions in the second round changed because I felt more emotionally charged after reading the story. I think a lot of what came to mind reminded me of our stark reality, as well, because these are things that happen, or types of things that happen - women are raped, killed, abused, lied to, etc., as a natural function of our society, and it's really difficult to reconcile with that. I think I felt more distracted, in part, due to this.",USA,16:48,20-24,F,Right,Y,,Y,,White,1,N,4,4,N,,7.0,,Interesting study!,0.0,1710878989298.0,1710878985068.0,1710880097459.0,1710879166405.0,1710879088528.0,1710879096971.0,1710878983924.0,1710880065969.0,1710879116939.0,1710880345490.0,1710881304405.0,1710880598745.0,1710881362352.0,1710880300270.0,1710879368773.0,1710878984018.0,1710879088526.0,1710878989296.0,1710880300266.0,1710879368772.0,1710879096969.0,1710879116938.0,1710878984017.0,1710880097458.0,1710879166404.0,1710880598742.0,1710881362349.0,1710881304393.0,1710881379074.0,1710880345486.0,1710880065967.0,1710878985066.0,99228.0,4228.0,202807.0,202367.0,8441.0,19967.0,93.0,31489.0,49465.0,253252.0,57944.0,705648.0,16722.0,45216.0,697194.0,1048.0,1710880119666.0,1710879187789.0,1710880065968.0,1710879125045.0,,1710879388414.0,1710880300266.0,1710879368772.0,1710880097458.0,1710879130807.0,,1710880065967.0,677553.0,0.5024133293881486,53699.0,5738.0,5738.0,2271.678661219359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12697.0,1490,4.486451725453563,2.658218321310109,2439.810810810811,2103.546511627907,4.934239130434783,2.336861471861472,1951.4285714285713,1639.3333333333333
1495,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,True,True,False,True,16.0,0.6666666666666666,0.8333333333333334,0.5,1.0,6.0,1.0,6.0,7.0,6.0,7.0,4.0,4.0,1.0,2.0,1.0,6.0,6.0,51.0,57.0,39.0,0.6071428571428571,0.6263736263736264,0.5571428571428572,N,5.0,I just thought of a story in my head,meaning,meaning,I stared at the green screen,to see if the story changed my mood,There were no differences ,3.0,neither,"I was focused on the task, not the sory",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,"I already could tell what you were doing.  Other than that, no changes were found",USA,16:50,40-44,M,Right,Y,,Y,,Black,1,N,5,10,N,,7.0,,,80.0,1710878990172.0,1710878987421.0,1710880524114.0,1710879756515.0,1710878994618.0,1710879595168.0,1710878983139.0,1710880491994.0,1710879602576.0,1710880785903.0,1710881448787.0,1710881086010.0,1710881513727.0,1710880713800.0,1710879950511.0,1710878983364.0,1710878994617.0,1710878990169.0,1710880713799.0,1710879950510.0,1710879595166.0,1710879602575.0,1710878983362.0,1710880524114.0,1710879756514.0,1710881086005.0,1710881513725.0,1710881448780.0,1710881523891.0,1710880785898.0,1710880491992.0,1710878987419.0,4445.0,2748.0,189685.0,193995.0,600548.0,7407.0,223.0,32120.0,153938.0,300102.0,64938.0,362770.0,10164.0,72098.0,541481.0,4055.0,1710880530925.0,1710879769059.0,1710880491993.0,1710879703779.0,,1710879964095.0,1710880713798.0,1710879950510.0,1710880524113.0,1710879710825.0,,1710880491992.0,527897.0,0.4968124860226422,38933.0,21164.0,21164.0,3211.440909090909,0.0,0.0,0.0,0.0,590292.0,0.0,0.0,0.0,0.0,80.0,2137.0,0.0,0.0,0.0,0.0,0.0,1,1,24185.0,2120,2.565094905094905,2.409549711891484,4155.431818181818,2267.45,2.3363017934446506,2.7123863636363637,1990.0714285714287,3733.875
