participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,tom_explanation,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_tom_testing_stage_start,interference_tom_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_tom_testing_stage_end,interference_tom_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_tom_testing_time,interference_tom_training_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_tom_testing0_task_start,interference_tom_training0_task_start,interference_tom_training1_task_start,interference_tom_training2_task_start,interference_tom_training3_task_start,interference_tom_training4_task_start,interference_tom_training5_task_start,interference_tom_training6_task_start,interference_tom_training7_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_tom_testing0_task_end,interference_tom_training0_task_end,interference_tom_training1_task_end,interference_tom_training2_task_end,interference_tom_training3_task_end,interference_tom_training4_task_end,interference_tom_training5_task_end,interference_tom_training6_task_end,interference_tom_training7_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_tom_testing,time_away_interference_tom_training,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre,interference_correct,question_index
1608,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,False,True,18,0.75,0.8333333333333334,0.6666666666666666,1.0,5,2,4,7,4,5,3,2,2,2,1,4,5,42,46,33,0.5,0.5054945054945055,0.4714285714285714,N,2,Try to think of a word,none,none,"The story was fine, but I was a bit confused about exactly what was happening at times because of how it was written. It didn't seem that clear to me all the time (a bit disjointed/fragmented), so I was trying to make sense of it, and figure out what what happening and who the characters were.","Measuring memory for a story, and how people think of words.",none,3,unintentional,"I didn't often think of the story after reading it. To the extent that I did, it was involuntary or random. I did not intentionally try to think about it.",3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,"I didn't really feel any changes. I briefly thought about writing words that might relate to the story, but decided to just write random words that came naturally to me instead, as I had in the first round. I mostly felt the same.",USA,10:45,35-39,M,Right,Y,,Y,,White,1,N,4,5,N,,7.0,,Thanks.,7547.0,1712596847772,1712596846259,1712597617946,1712597165196,1712596854489,1712596908820,1712596677297,1712597591926,1712596916486,1712597846624,1712598232191,1712598011112,1712598296708,1712597815214,1712597357823,1712596677504,1712596854488,1712596847771,1712597815212,1712597357823,1712596908819,1712596916485,1712596677503,1712597617945,1712597165195,1712598011110,1712598296707,1712598232188,1712598310293,1712597846622,1712597591925,1712596846257,6716,1512,197266,192627,54330,7665,206,26019,248709,164486,64516,221076,13585,31408,234102,168753,1712597629607.0,1712597176188.0,1712597591926.0,1712596924578.0,1712596951867.0,1712596979341.0,1712597020234.0,1712597047558.0,1712597074804.0,1712597110511.0,1712597137567.0,1712597363361.0,1712597815212.0,1712597357822.0,1712597617945.0,1712596950604.0,1712596977873.0,1712597005353.0,1712597046243.0,1712597073576.0,1712597100820.0,1712597136540.0,1712597163586.0,1712597591925.0,228564,0.6246606193810559,37682,24213.0,18290.0,7983.086956521739,0.0,0.0,841.0,5061.0,45354.0,718.0,0.0,0.0,84184.0,0.0,17117.0,0.0,0.0,1001.0,644.0,163761.0,1,5,4224.0,2.305646853146853,2.6170009574546436,8069.391304347826,7896.782608695652,1.25,2.9123809523809525,6723.5,4418.2,True,3.0
1609,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,21,0.875,0.75,1.0,1.0,7,2,2,5,2,7,1,5,1,1,2,5,6,44,46,33,0.5238095238095238,0.5054945054945055,0.4714285714285714,N,7,I just read stuff around me and named the things that were around me,none,none,I was confused and then I realized that I had to remember it.,Maybe memory of a different story before and after a different story.,I think it was easier after.,4,neither,As soon I started the word game the story went out of mind.,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,"I loved the story, it made me feel mysterious. But when I switched to the word game I felt like rushed to try and get as many words as I possibly could.",USA,19:13,20-24,M,Right,Y,,Y,,White,1,Y,2,0,N,,,,,0.0,1712619825894,1712619823985,1712620929866,1712620214295,1712619836348,1712619844544,1712619821971,1712620903845,1712620168260,1712621165326,1712621586233,1712621355413,1712621624174,1712621118724,1712620409397,1712619822123,1712619836347,1712619825893,1712621118720,1712620409393,1712619844543,1712620168260,1712619822122,1712620929866,1712620214294,1712621355412,1712621624172,1712621586230,1712621629442,1712621165324,1712620903844,1712619823984,10453,1908,188854,195098,8195,323716,151,26021,46034,190086,37939,230817,5268,46600,494447,1861,1712620937944.0,1712620222048.0,1712620903845.0,1712620185105.0,,,,,,,,1712620417731.0,1712621118720.0,1712620409393.0,1712620929866.0,1712620211106.0,,,,,,,,1712620903844.0,486113,0.757317375226732,34100,19551.0,8941.0,1792.7673402255639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8510.0,2.6925001071535726,2.874532904070719,1613.7767857142858,1971.7578947368422,2.9058333333333333,2.9826530612244895,1909.9285714285713,2586.0,False,13.0
1610,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,1.0,1.0,1.0,1.0,6,1,6,7,1,7,5,7,1,1,1,6,7,55,56,42,0.6547619047619048,0.6153846153846154,0.6,N,7,I just looked around at first then I imagined different rooms and named things from there.,meaning,meaning,It stressed me out. I hate being timed like that. It makes me freeze up.,I really have no idea.,I don't think I really did feel any differences between the two. I was just trying not to use the same words I did the first time. I was focusing on that task and not the story anymore.,5,neither,It certainly wasn't intentional. Perhaps I used some words from the story unintentionally. I really put the story aside and focused on coming up with words I didn't use the first time.,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,I literally just stopped thinking about the story after I started the second word chain. I was only focused on going around my house in my head looking for things to type. I felt slightly stressed due to the timed nature of it. ,USA,15:07,45-49,F,Left,Y,,Y,,White,1,N,2,1,N,,7.0,,,0.0,1712427650135,1712427640371,1712429256491,1712428015899,1712427771416,1712427877904,1712427637395,1712429230469,1712427910386,1712429529196,1712430447105,1712429788694,1712430529217,1712429454915,1712428228505,1712427637484,1712427771414,1712427650133,1712429454913,1712428228503,1712427877902,1712427910385,1712427637483,1712429256489,1712428015898,1712429788690,1712430529215,1712430447100,1712430549379,1712429529192,1712429230465,1712427640369,121279,9762,198422,212604,106486,32481,88,26020,105512,259494,82110,658406,20162,74277,1001960,2885,1712429274394.0,1712428045941.0,1712429230469.0,1712427952805.0,1712427984594.0,,,,,,,1712428249079.0,1712429454913.0,1712428228502.0,1712429256489.0,1712427978824.0,1712428010620.0,,,,,,,1712429230465.0,981386,0.674436915235957,43929,12290.0,7095.0,3442.466165413534,3577.0,0.0,0.0,0.0,4237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30055.0,2.1696440596440594,2.470144255330591,3683.1428571428573,3201.7894736842104,2.664047619047619,2.8680072463768114,2864.0,2440.0833333333335,True,3.0
1611,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,22,0.9166666666666666,0.8333333333333334,1.0,1.0,6,1,5,7,4,6,3,5,1,1,1,4,5,45,49,36,0.5357142857142857,0.5384615384615384,0.5142857142857142,N,4,I did not have any strategies while playing word chain.,none,none,"Reading the passage was fine but afterwards coming up with the answer, I don't feel I was given enough time to think about the answer so it was frustrating.",How fast a person can read and answer questions accurately.,I think I could come up with more words after reading the story than before. I could not think of a lot of words but the story gave me some more to use.,4,unintentional,I would think of words while remembering the story. The story helped me come up some words. The story would pop in and out of my mind and what happened in the story without me trying to actively remember it.,6.0,5.0,3.0,6.0,7.0,3.0,4.0,3.0,"It was not boring or hard to come up with words and I felt a bit more determined. I felt like like I could do the game a lot longer because words were popping in my head so I felt more encouraged and happy, that I would do a good job.",USA,11:49,50-54,F,Right,Y,,Y,,Black,1,N,5,5,N,,7.0,,n/a,0.0,1712589456273,1712589451141,1712590519856,1712589560790,1712589462992,1712589470357,1712589449363,1712590493852,1712589484090,1712590757505,1712591370527,1712590969017,1712591418438,1712590712504,1712589762601,1712589449446,1712589462990,1712589456271,1712590712501,1712589762600,1712589470356,1712589484089,1712589449446,1712590519855,1712589560789,1712590969016,1712591418436,1712591370521,1712591433204,1712590757502,1712590493848,1712589451139,6717,5130,192645,201810,7364,13732,83,26003,76699,211511,47909,401504,14766,44998,731247,1693,1712590529772.0,1712589581874.0,1712590493852.0,1712589527976.0,,,,,,,,1712589773690.0,1712590712499.0,1712589762599.0,1712590519855.0,1712589553979.0,,,,,,,,1712590493848.0,720158,0.534910017512119,35924,8582.0,5784.0,2917.726785714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11039.0,3.329878530463569,2.5985449074734785,2609.3285714285716,3226.125,3.01969696969697,2.5752525252525253,2601.181818181818,3297.6666666666665,False,13.0
1612,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,19,0.7916666666666666,0.8333333333333334,0.75,1.0,7,2,4,7,4,7,4,1,1,1,1,1,4,40,44,35,0.47619047619047616,0.4835164835164835,0.5,N,6,I just looked around the room,none,none,"Pretty easy, I felt no emotional thing one way or the other","Attention, maybe? ","I really didn't feel any differences, in both cases I looked around the room for inspiration",4,neither,I wasn't thinking about the story while I played the game,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"I really didn't notice any changes, though I'm sure there were subconscious ones. ",USA,12:39,40-44,F,Right,Y,,Y,,White,1,N,5,10,N,,7.0,,,0.0,1712596684557,1712596679921,1712597450092,1712596863678,1712596691404,1712596772832,1712596678765,1712597424077,1712596772833,1712597703874,1712597974238,1712597857621,1712598000134,1712597654843,1712597064725,1712596678980,1712596691402,1712596684557,1712597654841,1712597064724,1712596772831,1712596772832,1712596678980,1712597450091,1712596863678,1712597857620,1712598000131,1712597974210,1712598006060,1712597703872,1712597424074,1712596679920,6845,4636,204749,201046,81427,0,215,26014,90845,153746,25893,116589,5926,49029,359349,940,1712597470904.0,1712596882273.0,1712597424077.0,1712596791952.0,,,,,,,,1712597144120.0,1712597654840.0,1712597064724.0,1712597450091.0,1712596817968.0,,,,,,,,1712597424074.0,279954,0.6684248650177358,46830,9190.0,9190.0,2140.376358695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,16630.0,2.599857695339737,2.170421496661906,2298.4375,1982.3152173913043,2.2216666666666667,1.8476883116883118,1525.6842105263158,1740.0,False,13.0
1613,False,False,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,17,0.7083333333333334,0.6666666666666666,0.75,1.0,7,1,6,5,7,1,4,1,1,1,1,3,1,32,39,28,0.38095238095238093,0.42857142857142855,0.4,N,4,I thought of words that made me happiest.,none,none,The purple passage was not emotional while the story was.,I don't know.,"I felt few differences, except maybe more sorrow.",4,neither,"I think the story left me with a feeling of longing for something good.  Although I felt sorrow, I mentally reached out to what was good, but was kept in the present more than the first time.",5.0,3.0,6.0,3.0,7.0,4.0,2.0,5.0,"As stated, it was emotional.  The story was a bit effed up eh?  ",USA,13:43,55-59,F,Right,Y,,Y,,Black,1,N,4,9,N,,7.0,,,0.0,1712596688567,1712596683367,1712597482876,1712596777718,1712596696360,1712596707078,1712596681576,1712597456854,1712596719894,1712597728570,1712598156223,1712597899800,1712598219465,1712597679397,1712596976813,1712596681695,1712596696357,1712596688565,1712597679394,1712596976812,1712596707077,1712596719893,1712596681694,1712597482874,1712596777717,1712597899796,1712598219460,1712598156218,1712598228475,1712597728563,1712597456852,1712596683365,7790,5198,196518,199094,10717,12815,118,26020,57823,171226,63237,256418,9010,49166,480039,1670,1712597498172.0,1712596795983.0,1712597456854.0,1712596748952.0,,,,,,,,1712596984781.0,1712597679394.0,1712596976811.0,1712597482873.0,1712596774977.0,,,,,,,,1712597456852.0,472071,0.7561436894604134,41320,14991.0,14991.0,3370.278275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6993.0,2.448416266273409,2.2944294594294594,3623.66,3116.896551724138,2.4508294735567464,2.654040404040404,2390.0,3129.8888888888887,True,3.0
1614,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,7,1,5,6,3,5,1,1,1,1,1,3,7,39,42,29,0.4642857142857143,0.46153846153846156,0.4142857142857143,N,5,Nothing. I went with flow-of-thought,meaning,meaning,I remember nothing about the purple passage,How word association can impact one's working memory,"I was more mentally drained in the second, and wasn't thinking about individual words nearly as much as I had been earlier",5,neither,"I completely shut my brain off and only focused on words. It's something I do somethings for the sake of trying to connect random things I see, kinda like a game",5.0,4.0,7.0,5.0,7.0,7.0,7.0,1.0,"I'm shocked the questions echo exactly how I felt. I was very fatigued after reading the story, perhaps because of the way the lines were broken",USA,15:26,25-29,M,Left,Y,,Y,,White,1,N,2,8,N,,7.0,,"This was a lot of fun, and I'd love to participate in more studies like this in the future. Have a good one!",0.0,1712613860603,1712613858754,1712614528622,1712613920060,1712613864368,1712613868899,1712613857088,1712614502603,1712613876580,1712614764205,1712615163461,1712614939374,1712615212785,1712614717460,1712614108680,1712613857332,1712613864367,1712613860602,1712614717458,1712614108679,1712613868898,1712613876579,1712613857331,1712614528621,1712613920059,1712614939371,1712615212782,1712615163455,1712615264491,1712614764201,1712614502602,1712613858753,3764,1848,188836,188619,4530,7680,243,26018,43479,175166,49321,224081,51706,46741,393922,1421,1712614533969.0,1712613927108.0,1712614502603.0,1712613891807.0,,,,,,,,1712614116855.0,1712614717458.0,1712614108679.0,1712614528621.0,1712613917823.0,,,,,,,,1712614502602.0,385747,0.6299407735508009,31367,23937.0,12589.0,3322.5526229508196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7128.0,2.729067221219925,2.4636595547309836,3669.22,2975.8852459016393,3.1681982872200263,2.797878787878788,2403.1666666666665,1751.25,False,3.0
1615,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23,0.9583333333333334,0.9166666666666666,1.0,1.0,6,1,5,7,5,5,4,4,1,3,1,1,3,41,46,37,0.4880952380952381,0.5054945054945055,0.5285714285714286,N,5,"Noticing things in the room in my line of sight, picturing something in my mind and thinking what else would be near that thing",meaning,meaning,I was confused at first by it,Maybe how certain types of stories change the types of things you're thinking about,I did notice that some words came to mind that were related to the story even though I was trying to not let that influence me,4,unintentional,I was trying to avoid using words that were overly related to the story but a few times I noticed that words popped into my mind that were related,3.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,I noticed that it was more boring/tiring to come up with words and a bit harder to be creative with my choices as opposed to just choosing words that were obviously related to the word that came before it,USA,11:44,40-44,F,Right,Y,,Y,,White,1,N,4,9,N,,5.0,"The transition from the story to the second purple passage was a bit abrupt and I couldn't remember at first what the instructions were for that. Also, I thought the instructions said that there would be multiple purple passages but there was only one each time.",,0.0,1712427617861,1712427607080,1712428436323,1712427734041,1712427651612,1712427663841,1712427601477,1712428410319,1712427680908,1712428686981,1712429069116,1712428831580,1712429121682,1712428631598,1712427931841,1712427601638,1712427651610,1712427617859,1712428631595,1712427931838,1712427663840,1712427680907,1712427601638,1712428436321,1712427734040,1712428831578,1712429121680,1712429069111,1712429172412,1712428686979,1712428410316,1712427607079,33749,10779,195272,197797,12228,17066,161,26002,53132,144597,52564,237531,50730,55381,478475,5441,1712428450344.0,1712427749224.0,1712428410319.0,1712427705412.0,,,,,,,,1712427942958.0,1712428631594.0,1712427931838.0,1712428436321.0,1712427731415.0,,,,,,,,1712428410316.0,467358,0.7215185801469784,40028,4513.0,4376.0,2636.3710084033614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7827.0,2.7061248428990363,2.3064779673100513,2588.2714285714287,2684.470588235294,2.5996556473829204,2.101818181818182,2275.0833333333335,2438.5454545454545,True,3.0
1616,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,6,2,6,7,5,7,5,3,2,2,1,4,6,51,56,41,0.6071428571428571,0.6153846153846154,0.5857142857142857,N,5,I would think of a specific place and generate words that had to do with the place.,meaning,meaning,It's hard to remember the purple passage after the long story that my mind was still thinking about and interested in. I wanted to know what happened.,I think it's trying to decide how much are thoughts are impacted by a story we read.,"Harder to focus, was thinking about the story",6,unintentional,"I kept thinking back to the story, wondering what the ending was. Curious who actually murdered the girl. ",6.0,4.0,6.0,3.0,6.0,2.0,2.0,5.0,I felt much more tense while playing the game the second time. My mind was focused on the themes from the story. I was slightly more anxious and less focused during the second round.,USA,14:49,25-29,F,Right,Y,,Y,,White,1,N,4,8,N,,6.0,,Can I hear the rest of the story please,0.0,1712427633066,1712427628354,1712428622929,1712427746450,1712427653270,1712427664675,1712427624906,1712428596924,1712427679959,1712428893536,1712429341762,1712429104645,1712429385467,1712428834141,1712427948378,1712427625089,1712427653268,1712427633063,1712428834140,1712427948377,1712427664674,1712427679957,1712427625088,1712428622928,1712427746449,1712429104643,1712429385466,1712429341759,1712429407653,1712428893532,1712428596922,1712427628352,20202,4709,211211,201927,11404,15282,182,26004,66490,211107,43704,237114,22186,59391,648544,3263,1712428653646.0,1712427767328.0,1712428596924.0,1712427717759.0,,,,,,,,1712427965879.0,1712428834140.0,1712427948375.0,1712428622928.0,1712427743760.0,,,,,,,,1712428596922.0,631043,0.6151907480832934,56724,5870.0,5870.0,2090.2388316151205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,1,0,9026.0,2.198175119255063,2.4997533094924402,1860.1443298969073,2320.3333333333335,1.4704545454545455,2.8516666666666666,1894.0,2237.3076923076924,True,13.0
1617,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,6,1,5,7,5,7,3,5,2,1,1,4,4,46,51,38,0.5476190476190477,0.5604395604395604,0.5428571428571428,N,4,I let words randomly come to my mind. ,equal,equal,I read the passage and answered a yes or no question. ,Reading skills,I felt like I was faster before reading the story. ,5,unintentional,It was harder to come up with random words because the story kept popping in my mind. ,6.0,5.0,3.0,5.0,7.0,3.0,5.0,1.0,It was harder to come  up with words because my mind was still thinking about the  story. ,USA,10:48,40-44,F,Right,Y,,Y,,White,1,N,4,5,N,,7.0,,,0.0,1712589677676,1712589670748,1712590566069,1712589806215,1712589690551,1712589700650,1712589665448,1712590540066,1712589714428,1712590829038,1712591277290,1712591024798,1712591334285,1712590756953,1712590004153,1712589665806,1712589690548,1712589677674,1712590756948,1712590004151,1712589700649,1712589714424,1712589665804,1712590566068,1712589806214,1712591024788,1712591334277,1712591277266,1712591344333,1712590829032,1712590540064,1712589670745,12872,6926,190879,197936,10098,13774,356,26002,91786,195750,56987,252468,10048,72079,535911,4939,1712590575594.0,1712589821239.0,1712590540066.0,1712589745135.0,1712589775836.0,,,,,,,1712590015976.0,1712590756948.0,1712590004149.0,1712590566068.0,1712589771137.0,1712589801836.0,,,,,,,1712590540064.0,524088,0.6988250628115893,35530,13478.0,13478.0,3379.5536980749744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8645.0,2.350994615140957,2.841250936960319,3857.2978723404253,2901.809523809524,2.2272727272727275,2.6213636363636366,2803.7,2439.25,True,13.0
