participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,wcg_diff_general,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,guess_experiment,read_story,read_enjoy,linger_rating,volition,volition_explanation,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,tran_interference_Q1,tran_interference_Q2,tran_interference_Q3,tran_interference_Q4,tran_interference_Q5,tran_interference_Q6,tran_interference_Q7,tran_interference_Q8,tran_interference_Q9,tran_interference_Q10,tran_interference_Q11,tran_interference_Q12,tran_interference_Q13,tran_interference_raw,tran_interference_raw_all,tran_interference_raw_10,tran_interference_prop,tran_interference_prop_all,tran_interference_prop_10,interference_explanation,read_story_interference,read_enjoy_interference,linger_rating_interference,stories_distinct,volition_interference,volition_interference_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_reading_testing_stage_start,interference_reading_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_comprehension_interference_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_experience_interference_stage_start,questionnaire_explanation_stories_black_stage_start,questionnaire_explanation_stories_purple_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,questionnaire_transportation_interference_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_reading_testing_stage_end,interference_reading_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_comprehension_interference_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_experience_interference_stage_end,questionnaire_explanation_stories_black_stage_end,questionnaire_explanation_stories_purple_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,questionnaire_transportation_interference_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_reading_testing_time,interference_reading_training_time,questionnaire_comprehension_time,questionnaire_comprehension_interference_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_experience_interference_time,questionnaire_explanation_stories_black_time,questionnaire_explanation_stories_purple_time,questionnaire_open_time,questionnaire_transportation_time,questionnaire_transportation_interference_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_reading_testing_task_start,interference_reading_training_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_reading_testing_task_end,interference_reading_training_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_reading_testing,time_away_interference_reading_training,time_away_questionnaire_comprehension,time_away_questionnaire_comprehension_interference,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_experience_interference,time_away_questionnaire_explanation_stories_black,time_away_questionnaire_explanation_stories_purple,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_questionnaire_transportation_interference,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max,comp_Q1_interference,comp_Q2_interference,comp_Q3_interference,comp_Q5_interference,comp_raw_interference,comp_prop_interference,catch_prop_interference,spr/char_interference,spr-wcg-break_interference,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre
1086,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,1.0,1.0,1.0,1.0,7,1,4,7,3,7,4,7,2,1,1,6,6,53,56,41,0.6309523809523809,0.6153846153846154,0.5857142857142857,focused on world animals and locations before reading and focused on home types and things found in the home after reading the story,tried to think of things that were related in some way to the previous word that was used. ,meaning,meaning,how the brain works,N,6,6,dontknow,"I feel like the story mentioned many things found in the home; rooms, food, drink, etc... so I may have focused on that while doing the word chain game. But I'm unsure if it was intentional or not. ",1.0,2.0,5.0,1.0,1.0,1.0,It was easier to come up with words after reading the story.  I didn't realize that the time was up as I never struggled to come up with words like I did the first time. ,4,1,3,5,6,3,1,1,3,1,1,4,5,32,38,23,0.38095238095238093,0.4175824175824176,0.32857142857142857,"It was quick and easy to read, just not captivating nor enjoyable. ",N,1,1,story-start,,,USA,16:35,35-39,F,Left,Y,,Y,,White,1,N,4,10,N,,6.0,,,0.0,1720472957485,1720472951685,1720473811772,1720473137688,1720473067594,1720473072676,1720472949495,1720473782842,1720473084401,1720474054250,1720474486993,1720474535963,1720474210358,1720474501258,1720474005143,1720474435468,1720474575492,1720474018502,1720474440597,1720473334218,1720472949784,1720473067592,1720472957483,1720474005142,1720473334217,1720473072674,1720473084400,1720472949782,1720473811772,1720473137686,1720474210354,1720474501256,1720474575489,1720474435466,1720474535958,1720474018498,1720474440592,1720474587445,1720474054243,1720474486990,1720473782841,1720472951683,110107,5798,193370,196529,5080,11724,287,28930,53285,156104,14263,39526,225108,34700,13355,5124,11953,35741,46393,448623,1899,1720473823924.0,1720473150525.0,1720473782842.0,1720473098400.0,1720473339432.0,1720474005142.0,1720473334216.0,1720473811772.0,1720473135280.0,1720473782841.0,443409,0.5774691421930904,41083,11232.0,11232.0,2933.657142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,11514.0,True,True,True,False,3,0.75,1,0.6702343588934041,12152,2.1790875790875788,1.944144261535566,2588.0285714285715,3279.285714285714,2.458585858585858,1.1727272727272728,3275.0,2129.5833333333335
1087,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,5,1,1,5,7,1,1,1,1,1,1,1,1,20,27,18,0.23809523809523808,0.2967032967032967,0.2571428571428571,No noticeable differences.,No strategies.,none,none,Memory.,N,1,1,,,,,,,,,,4,1,1,2,7,1,1,1,1,1,1,1,1,16,23,14,0.19047619047619047,0.25274725274725274,0.2,It was mildly amusing.,N,2,1,story-start,,,USA,17:50,35-39,M,Right,Y,,Y,,White,1,N,2,0,N,,7.0,,,0.0,1720473143366,1720473136034,1720474478357,1720473324638,1720473194588,1720473213640,1720473131473,1720474411202,1720473236481,1720474795267,1720475310851,1720475403482,1720475105868,1720475347448,1720474692454,1720475229894,1720475470298,1720474716650,1720475254491,1720473566013,1720473131598,1720473194587,1720473143365,1720474692454,1720473566012,1720473213640,1720473236480,1720473131597,1720474478357,1720473324637,1720475105866,1720475347447,1720475470296,1720475229893,1720475403479,1720474716648,1720475254490,1720475498470,1720474795264,1720475310849,1720474411201,1720473136033,51221,7331,214097,241374,19052,22840,124,67155,88156,310599,36596,66814,124025,56031,24194,24596,28172,78614,56358,845188,4435,1720474508033.0,1720473384149.0,1720474411202.0,1720473266790.0,1720473578868.0,1720474692453.0,1720473566012.0,1720474478357.0,1720473321335.0,1720474411201.0,832333,0.8387651829652032,96832,30190.0,30190.0,9396.084210526315,5271.0,0.0,0.0,0.0,3869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,1,0,13253.0,True,True,True,False,3,0.75,1,0.8478881118276631,29676,2.6084554334554335,2.999117965367965,9220.8,9571.368421052632,3.448538961038961,2.0,5595.0,4845.0
1122,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,1.0,1.0,1.0,1.0,7,6,6,7,3,7,3,7,3,1,2,5,7,61,64,49,0.7261904761904762,0.7032967032967034,0.7,"Before playing the word chain game, the words that came to mind were immediate words that had either affected me personally or that had been on my mind recently. Afterwards, most if not all of the words were from the stories I had read, namely the longer one.","Some strategies I used while playing the word chain game would be to link certain words in a particular category, or words that that had temporal relationship. This was heightened after reading the story.",equal,meaning,I think this experiment is trying to measure short-term memory when paired with a traumatic event such as reading a story that elicits certain negative emotions.,N,6,5,intentional,"Since this was the most immediate stimulus that I had encountered, it was more so intentional that these words would spring to the forefront of my mind when choosing words for the word chain game. Also, I was still trying to figure out how the story ended.",5.0,6.0,6.0,3.0,2.0,1.0,There were certainly specific emotional changes I would feel when playing the word chain game. One such chain had to do with heat. Not until this chain started did I even notice that today is very hot and that I had been trying to beat the heat. So there was a respective response to this change that led me to think of the cooler things to hopefully get my mind and body back to a cooler overall temperature.,5,4,3,5,6,2,2,3,5,3,1,1,4,38,44,33,0.4523809523809524,0.4835164835164835,0.4714285714285714,"My experience during the reading of the purple story wasn't as immersive as the reading of the longer, second story. As such, I wasn't as invested in the story, nor was I completely sure if the third story had any relevance to the second story.",N,4,3,story-during,unintentional,"I was still mostly reflecting on the second, longer story during the word chain game. It wasn't until I had exhausted a good bit of what was lingering in my mind of that story did I switch over to the purple story, so it was mostly unintentional. At this point, I had already knew the two stories were completely distinct. After exhausting what I could of the purple story, I went back to words relevant to the second, longer story.",USA,19:06,35-39,M,Right,Y,,Y,,Black,1,N,4,8,N,,7.0,,,0.0,1720477489074,1720477484039,1720478571730,1720477605627,1720477510985,1720477521706,1720477479491,1720478508171,1720477539042,1720478838454,1720479698925,1720479985490,1720479044861,1720479757601,1720478765693,1720479606612,1720480055863,1720478778237,1720479612270,1720477803231,1720477479822,1720477510984,1720477489072,1720478765692,1720477803231,1720477521705,1720477539042,1720477479821,1720478571730,1720477605627,1720479044858,1720479757600,1720480055861,1720479606610,1720479985369,1720478778236,1720479612268,1720480084437,1720478838452,1720479698923,1720478508171,1720477484039,21910,5033,193962,197604,10720,17336,330,63559,66585,206404,58675,70371,561749,227768,12543,5656,28574,60215,86653,704940,4217,1720478582133.0,1720477621813.0,1720478508171.0,1720477559191.0,1720477814709.0,1720478765691.0,1720477803231.0,1720478571730.0,1720477602119.0,1720478508171.0,693462,0.6955773739575042,73962,8025.0,8025.0,2362.807216839292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2038.0,1,0,24285.0,True,True,True,True,4,1.0,1,0.6802161283430077,10403,4.0405661005661,2.5082652919220085,2513.931506849315,2211.682926829268,5.134126984126984,2.296878306878307,2183.3846153846152,1546.3157894736842
1149,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,18,0.75,0.9166666666666666,0.5833333333333334,0.5,2,1,2,5,3,3,2,2,2,3,1,2,2,27,30,23,0.32142857142857145,0.32967032967032966,0.32857142857142857,i felt no difference,i used words from the story,equal,equal,my accuracy in coming up with words,N,3,2,dontknow,i really dont know,1.0,1.0,1.0,1.0,1.0,1.0,i didnt feel any changes,1,1,1,2,2,2,1,2,1,1,1,1,1,15,17,13,0.17857142857142858,0.18681318681318682,0.18571428571428572,interesting,N,2,1,story-start,,,USA,08:40,60-64,M,Right,Y,,Y,,White,1,N,5,1,N,,,,,4330.0,1720534450565,1720534434407,1720535654642,1720534782982,1720534477281,1720534495054,1720534390410,1720535627000,1720534638236,1720536266918,1720539207815,1720539444166,1720538905516,1720539410195,1720535880329,1720539138919,1720539550797,1720536112345,1720539148733,1720535022918,1720534391166,1720534477279,1720534450561,1720535880328,1720535022917,1720534495052,1720534638232,1720534391162,1720535654641,1720534782980,1720538905512,1720539410193,1720539550793,1720539138917,1720539444160,1720536112339,1720539148726,1720539567914,1720536266906,1720539207812,1720535626997,1720534434404,26714,16154,225686,239935,17771,143178,752,27641,144744,2638594,202378,106627,233401,33965,232010,9807,17117,154561,59079,604079,43238,1720535696646.0,1720534841230.0,1720535627000.0,1720534680267.0,1720535059978.0,1720535880327.0,1720535022914.0,1720535654641.0,1720534777903.0,1720535626997.0,567019,0.059397518661784054,69649,15212.0,14223.0,5896.445833333333,0.0,6762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3223.0,0.0,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.0,0.0,22052.0,1,3,76137.0,True,True,False,False,2,0.5,1,-0.1958071914006475,42005,2.9038332038332038,2.8647186147186146,5738.625,6054.266666666666,2.9375,2.8666666666666667,4745.5,8603.333333333334
1150,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,5,1,4,7,4,5,1,1,1,1,1,5,5,37,41,27,0.44047619047619047,0.45054945054945056,0.38571428571428573,"I didn't feel any different, I simply entered random words both times.",I didn't use any specific strategies.,meaning,meaning,I'm honestly not sure.,N,4,4,neither,I wasn't thinking of the story at all. I was simply typing words as they came to me.,1.0,1.0,1.0,1.0,1.0,1.0,I didn't feel any changes. I played the game the second time just as I did the first.,5,1,4,7,7,1,1,1,1,1,1,1,7,31,38,23,0.36904761904761907,0.4175824175824176,0.32857142857142857,"I thought it was a bit odd and jarring, kind of came out of nowhere.",N,1,1,story-during,,,USA,10:36,35-39,F,Right,Y,,Y,,White,1,N,4,10,N,,7.0,,,66.0,1720534446733,1720534444487,1720535088025,1720534518522,1720534454062,1720534459117,1720534440341,1720535067034,1720534467629,1720535335535,1720535719267,1720535783238,1720535513825,1720535745445,1720535278497,1720535670708,1720535833571,1720535286647,1720535676695,1720534711511,1720534440466,1720534454058,1720534446731,1720535278497,1720534711511,1720534459116,1720534467627,1720534440465,1720535088025,1720534518521,1720535513822,1720535745442,1720535833568,1720535670706,1720535783230,1720535286645,1720535676692,1720535846507,1720535335529,1720535719263,1720535067033,1720534444485,7325,2244,190472,192989,5054,8510,124,20991,50892,178287,26175,50330,156881,37785,8148,5984,12936,48882,42568,355522,4019,1720535094890.0,1720534530043.0,1720535067034.0,1720534483015.0,1720534727000.0,1720535278496.0,1720534711510.0,1720535088025.0,1720534516935.0,1720535067033.0,340033,0.7241739942508926,27857,7664.0,6201.0,2335.03245270711,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,6768.0,True,False,True,False,2,0.5,1,0.27821970519907246,6865,2.78966693621283,2.924820226070226,2185.0238095238096,2485.041095890411,1.9273809523809524,2.9416666666666664,2323.6666666666665,2388.6666666666665
1088,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,20,0.8333333333333334,0.75,0.9166666666666666,1.0,7,7,1,7,1,7,5,1,5,1,1,7,7,56,57,42,0.6666666666666666,0.6263736263736264,0.6,"I felt awful and I only wanted to think of negative words. I had to imagine all the other words in my mind rather than putting assault, murder, and vile things.","I tried to link a few words together, max 3. Such as burger, shake, fries then move onto a new topic.",none,none,Maybe how storytelling affects a person's thoughts after? But that would be too on the nose and conflicts with Hawthorne effect.,N,1,4,unintentional,I tried my best NOT to intentionally reflect on it but it would not leave my head.,7.0,7.0,7.0,1.0,4.0,1.0,"I felt more sad. Even though this story had nothing to do with my real life experiences, I felt bad for Claire.",1,1,1,1,1,1,1,1,1,1,1,1,1,12,13,10,0.14285714285714285,0.14285714285714285,0.14285714285714285,I barely remember it. ,N,1,1,story-start,,,USA,17:35,25-29,F,Right,N,Vietnamese,Y,,Asian,1,N,5,8,N,,7.0,,This was really strange. ,68687.0,1720473057367,1720473054074,1720473725416,1720473168294,1720473101842,1720473110174,1720473052747,1720473702696,1720473123324,1720473982407,1720474441253,1720474494571,1720474134012,1720474468409,1720473920194,1720474408575,1720474538250,1720473933750,1720474417119,1720473360995,1720473052831,1720473101842,1720473057366,1720473920194,1720473360994,1720473110174,1720473123324,1720473052830,1720473725416,1720473168294,1720474134010,1720474468408,1720474538248,1720474408575,1720474494569,1720473933749,1720474417118,1720474606401,1720473982405,1720474441252,1720473702696,1720473054074,44475,3292,194778,192700,8332,13150,83,22720,44970,151603,27155,43677,274563,26160,13555,8543,68151,48655,24133,341701,1243,1720473739078.0,1720473180536.0,1720473702696.0,1720473139230.0,1720473376484.0,1720473920194.0,1720473360994.0,1720473725416.0,1720473166341.0,1720473702696.0,326212,0.7086570418638104,36382,14209.0,14209.0,2543.6049783549784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68687.0,0.0,0.0,0.0,40714.0,0.0,0.0,0.0,0.0,1,2,5942.0,False,True,False,False,1,0.25,1,0.9111331544583852,13662,2.4203083466241364,2.506951048951049,2743.9242424242425,2343.285714285714,3.4351648351648354,2.8791666666666664,1856.0,1913.2666666666667
1151,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,21,0.875,0.9166666666666666,0.8333333333333334,1.0,5,1,5,6,7,6,2,6,1,1,1,3,6,43,50,34,0.5119047619047619,0.5494505494505495,0.4857142857142857,none at all ,i just entered words that came to mind,none,none,word retention ,N,4,5,unintentional,i didnt really focus on the story while playing the game,1.0,5.0,3.0,1.0,1.0,1.0,really none ,6,1,7,2,5,3,1,1,1,6,1,4,7,40,45,29,0.47619047619047616,0.4945054945054945,0.4142857142857143,funny relatable ,N,6,3,story-start,neither,really nothing it was a funny story,USA,09:00,60-64,M,Right,Y,,Y,,White,1,N,1,10,N,,7.0,,,0.0,1720538435446,1720538426199,1720539736540,1720538729557,1720538565647,1720538591392,1720538423772,1720539679653,1720538632087,1720540069165,1720540678036,1720540860889,1720540337067,1720540712991,1720539939457,1720540560257,1720540931854,1720539990908,1720540571565,1720538960071,1720538423970,1720538565646,1720538435444,1720539939457,1720538960070,1720538591391,1720538632086,1720538423969,1720539736540,1720538729555,1720540337065,1720540712990,1720540931853,1720540560257,1720540860860,1720539990907,1720540571564,1720540943620,1720540069164,1720540678035,1720539679652,1720538426198,130200,9245,202917,230513,25744,40694,197,56887,97468,267900,34954,70964,223190,147869,51450,11307,11766,78256,106470,719581,2228,1720539758582.0,1720538773232.0,1720539679653.0,1720538664413.0,1720538984627.0,1720539939457.0,1720538960070.0,1720539736539.0,1720538724485.0,1720539679652.0,695025,0.6755980840099833,78930,11228.0,10156.0,5342.176767676768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,19501.0,True,True,False,False,2,0.5,1,0.5687718752054688,22043,3.080375240701328,2.6582106782106782,5023.444444444444,5660.909090909091,1.55,2.266666666666667,5068.4,7039.25
1214,True,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,11,0.4583333333333333,0.5833333333333334,0.3333333333333333,1.0,5,1,5,7,5,6,1,3,1,1,1,5,5,41,46,31,0.4880952380952381,0.5054945054945055,0.44285714285714284,"I struggled to think of words that were similar after reading the story. Before, I had no problem thinking of words. ",I tried my best to associate the words with the prior words and just kept going from there. ,meaning,sound,This experiment is probably trying to measure if people's strategy changed in the word chain game after/before reading the short story.,N,5,3,unintentional,"I thought about it a couple times, unintentionally. It just came to my mind because I was thinking about what happened in the story and wanted to know what would happen next after the man undressed her blouse.",1.0,2.0,6.0,1.0,1.0,1.0,"I noticed it was difficult to come up with words while playing the word chain game after reading the story, I'm not sure why though. ",1,1,1,2,1,1,1,1,1,1,1,1,4,16,17,11,0.19047619047619047,0.18681318681318682,0.15714285714285714,It was interesting but not as interesting as the second (black text) story.,N,2,1,now,,,USA,13:27,25-29,F,Right,Y,,Y,,White,1,Y,3,10,N,,7.0,,,747003.0,1720542420508,1720542418002,1720544937510,1720543932568,1720542596442,1720542679805,1720542415302,1720544921680,1720543888108,1720545330345,1720545964420,1720546013527,1720545700982,1720545978603,1720545158597,1720545922381,1720546046029,1720545301020,1720545926582,1720544628884,1720542415559,1720542596442,1720542420507,1720545158596,1720544628883,1720542679805,1720543888108,1720542415559,1720544937509,1720543932568,1720545700981,1720545978603,1720546046028,1720545922381,1720546013515,1720545301019,1720545926581,1720546056423,1720545330344,1720545964419,1720544921680,1720542418001,175934,2505,221086,696315,83363,1208303,257,15829,44460,370636,14183,32501,221399,34912,142422,4200,10394,29324,37837,292796,2442,1720544973909.0,1720544445895.0,1720544921680.0,1720543904842.0,1720544633170.0,1720545158596.0,1720544628883.0,1720544937509.0,1720543930692.0,1720544921680.0,288510,0.6361907400928944,52229,11380.0,11380.0,3100.894841269841,157275.0,1803.0,30414.0,503836.0,79790.0,1183787.0,0.0,0.0,2185.0,48026.0,0.0,0.0,74575.0,0.0,90152.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,8002.0,False,False,True,False,1,0.25,1,0.2572214858891423,36400,2.5935232192050375,2.4232142857142853,3297.535714285714,2904.253968253968,2.7386946386946387,3.6730880230880225,2241.230769230769,2384.75
1152,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,7,1,5,7,1,7,7,4,1,3,2,7,4,55,56,44,0.6547619047619048,0.6153846153846154,0.6285714285714286,"Before reading the story I was typing words relevant to my life. After reading the story, I was typing words relative to the story.",I didn't have any strategies. I just typed whatever word came to my mind.,none,none,I am not really sure. Possibly memory.,N,7,7,both,"The story was still on my mind, so most of the words that came to mind were based on the story. When I was stuck, or my mind went blank, I would search my memory for words from the story.",7.0,2.0,7.0,1.0,1.0,1.0,"I felt a sense of mystery, intrigue and curiosity about the story and was wanting to read more.",5,1,4,6,7,4,3,1,1,4,1,4,7,41,48,30,0.4880952380952381,0.5274725274725275,0.42857142857142855,I found it humorous,N,5,1,story-start,,,USA,09:48,50-54,F,Right,Y,,Y,,White,1,N,2,8,N,,7.0,,Very interesting study. I still want to know how the long story ends.,0.0,1720534456684,1720534447654,1720535641506,1720534724501,1720534615441,1720534621174,1720534446106,1720535593658,1720534634124,1720535904570,1720536451964,1720536524876,1720536096165,1720536482396,1720535834105,1720536357008,1720536586857,1720535848692,1720536368174,1720534932196,1720534446355,1720534615439,1720534456682,1720535834105,1720534932195,1720534621173,1720534634122,1720534446354,1720535641506,1720534724499,1720536096162,1720536482394,1720536586855,1720536357007,1720536524870,1720535848690,1720536368170,1720536622884,1720535904565,1720536451960,1720535593658,1720534447653,158755,9028,192599,207694,5732,12948,248,47848,90375,191592,30430,61979,260842,42474,14585,11162,36027,55873,83786,661462,1298,1720535653790.0,1720534746381.0,1720535593658.0,1720534655917.0,1720534940964.0,1720535834104.0,1720534932195.0,1720535641505.0,1720534721956.0,1720535593658.0,652694,0.7104290424899312,60132,13318.0,13318.0,3439.0533333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10564.0,True,True,True,True,4,1.0,1,0.3531518566193003,12285,4.420484944567948,2.193275391275391,3162.6666666666665,3715.44,4.714896480331263,1.9946969696969699,2754.9,3963.4285714285716
1123,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,0.9166666666666666,0.8333333333333334,1.0,1.0,6,2,6,7,1,4,6,4,2,3,4,5,4,53,54,44,0.6309523809523809,0.5934065934065934,0.6285714285714286,"The first time, my mind just wandered through my day, picking about random items and thoughts. The second time around, I kept thinking about the story. It had hold on my imagination.","I started by picking something I could see around me or something I had done or heard during the day. I then jumped to something related to that term, but not a close relation. (I tried to make more than one connecting jump between each pair of words.) I found myself mostly ending on nouns, but occasionally adjectives showed up. Rarely did I think of verbs or adverbs.",meaning,meaning,"How deeply emotive, first person narration triggers our language recall? ",N,5,7,both,"I did intentionally think how the evidence looked and if Stuart was the actual murderer.  I couldn't shake the emotional bond I felt with Claire, her journey in the deep waters of her marriage and of her realization, and the position that life leaves us in sometimes. ",5.0,5.0,2.0,4.0,2.0,2.0,"It felt darker. The first game, it felt like a word puzzle that I would play with my morning coffee. The second game, it felt like I was part of a psychological study that someone was trying to play on my emotions. ",7,2,7,6,5,3,1,2,2,7,1,3,7,48,53,38,0.5714285714285714,0.5824175824175825,0.5428571428571428,It was a light piece of fluff. No one died. It was everyday humor.,N,4,2,story-start,neither,"I remembered it only as a throwaway; I figured I should because you had assigned me to read it. I was still stuck on the second story and its turns, not on what sounded like a bit in a magazine column.",USA,19:04,55-59,F,Right,Y,,Y,,White,1,N,4,7,N,,6.0,,"I had the impression that I would be reading two stories interspersed at the same time (i.e., one line from one, the next line from another).  I have no idea where I got that mistaken impression from. ",0.0,1720477473573,1720477470855,1720478545216,1720477844705,1720477713278,1720477769314,1720477469573,1720478510304,1720477798392,1720478805133,1720479638314,1720479846683,1720478999421,1720479657183,1720478742856,1720479597220,1720479896145,1720478757234,1720479605040,1720478049745,1720477469779,1720477713277,1720477473572,1720478742855,1720478049745,1720477769314,1720477798392,1720477469777,1720478545216,1720477844705,1720478999420,1720479657182,1720479896144,1720479597220,1720479846639,1720478757233,1720479605040,1720479974329,1720478805132,1720479638313,1720478510303,1720477470855,239704,2717,197639,205040,56036,29078,204,34912,46313,194287,18868,49461,597799,189456,14377,7820,78184,47898,33273,460558,1076,1720478561219.0,1720477864946.0,1720478510304.0,1720477808876.0,1720478058161.0,1720478742855.0,1720478049745.0,1720478545216.0,1720477841321.0,1720478510303.0,452142,0.5813445144652545,50916,10343.0,7920.0,3740.735416666667,9832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,10737.0,True,True,True,False,3,0.75,1,0.637160507074295,16003,3.180685467038408,2.2123189439959625,3632.2,3849.2708333333335,4.812714932126696,1.6484848484848484,3712.1428571428573,2902.8888888888887
