participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2360,included,False,False,False,False,False,False,False,False,False,False,False
2361,excluded,False,False,False,False,False,False,False,False,False,True,False
2362,included,False,False,False,False,False,False,False,False,False,False,False
2363,excluded,False,False,False,False,False,False,False,False,False,True,False
2364,included,False,False,False,False,False,False,False,False,False,False,False
2365,excluded,False,False,False,False,False,False,False,True,True,False,False
2366,included,False,False,False,False,False,False,False,False,False,False,False
2367,excluded,False,False,False,True,False,False,False,False,False,True,False
2368,included,False,False,False,False,False,False,False,False,False,False,False
2369,included,False,False,False,False,False,False,False,False,False,False,False
2370,included,False,False,False,False,False,False,False,False,False,False,False
2371,included,False,False,False,False,False,False,False,False,False,False,False
2372,included,False,False,False,False,False,False,False,False,False,False,False
2373,excluded,False,False,False,True,False,False,False,False,False,False,False
2374,included,False,False,False,False,False,False,False,False,False,False,False
2375,excluded,False,False,False,False,False,False,True,False,False,False,False
2376,included,False,False,False,False,False,False,False,False,False,False,False
2377,excluded,False,False,False,False,False,False,True,False,False,False,False
2378,excluded,False,True,False,False,False,False,False,False,False,True,False
2379,excluded,False,False,False,False,False,False,False,False,False,True,False
2380,included,False,False,False,False,False,False,False,False,False,False,False
2381,included,False,False,False,False,False,False,False,False,False,False,False
2382,excluded,False,False,False,True,False,False,False,False,False,False,False
2383,included,False,False,False,False,False,False,False,False,False,False,False
2384,included,False,False,False,False,False,False,False,False,False,False,False
2385,included,False,False,False,False,False,False,False,False,False,False,False
2386,included,False,False,False,False,False,False,False,False,False,False,False
2387,excluded,False,False,False,True,False,False,False,False,False,True,False
2388,excluded,False,True,False,False,False,False,False,True,False,False,False
2389,excluded,False,False,False,False,False,False,False,False,False,True,False
1593,included,False,False,False,False,False,False,False,False,False,False,False
2390,excluded,True,False,False,False,False,False,False,False,False,False,False
2391,excluded,False,False,False,False,False,False,False,False,False,True,False
2392,included,False,False,False,False,False,False,False,False,False,False,False
2393,excluded,False,False,False,False,True,False,False,False,False,False,False
2394,included,False,False,False,False,False,False,False,False,False,False,False
2395,included,False,False,False,False,False,False,False,False,False,False,False
2396,excluded,False,False,False,False,False,False,False,False,True,False,False
2397,excluded,False,False,False,False,False,False,False,False,False,True,False
1545,excluded,False,False,False,True,False,False,False,False,False,False,False
2398,excluded,False,False,False,False,False,False,True,False,False,False,False
2399,included,False,False,False,False,False,False,False,False,False,False,False
2400,included,False,False,False,False,False,False,False,False,False,False,False
2401,included,False,False,False,False,False,False,False,False,False,False,False
2402,included,False,False,False,False,False,False,False,False,False,False,False
2403,excluded,False,False,True,True,False,False,False,True,True,False,False
2404,included,False,False,False,False,False,False,False,False,False,False,False
2405,included,False,False,False,False,False,False,False,False,False,False,False
2406,included,False,False,False,False,False,False,False,False,False,False,False
1398,included,False,False,False,False,False,False,False,False,False,False,False
2407,included,False,False,False,False,False,False,False,False,False,False,False
2408,excluded,False,True,False,False,False,False,False,False,False,False,False
2409,included,False,False,False,False,False,False,False,False,False,False,False
2410,included,False,False,False,False,False,False,False,False,False,False,False
1151,included,False,False,False,False,False,False,False,False,False,False,False
