participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_prop_excl,read_story_excl,time_exp_excl,focusevents_excl
1983,excluded,True,False,False,True,False,False,False,False,False
1984,included,False,False,False,False,False,False,False,False,False
1985,included,False,False,False,False,False,False,False,False,False
1986,excluded,False,True,False,True,False,False,False,True,False
1987,included,False,False,False,False,False,False,False,False,False
1988,included,False,False,False,False,False,False,False,False,False
1989,included,False,False,False,False,False,False,False,False,False
1990,included,False,False,False,False,False,False,False,False,False
1991,included,False,False,False,False,False,False,False,False,False
1992,excluded,False,True,False,True,False,False,False,False,False
1993,included,False,False,False,False,False,False,False,False,False
1343,included,False,False,False,False,False,False,False,False,False
1994,excluded,True,False,False,False,False,False,False,False,False
1995,included,False,False,False,False,False,False,False,False,False
1996,included,False,False,False,False,False,False,False,False,False
1997,included,False,False,False,False,False,False,False,False,False
1998,included,False,False,False,False,False,False,False,False,False
1999,included,False,False,False,False,False,False,False,False,False
2000,excluded,True,False,False,False,True,False,False,False,False
2001,included,False,False,False,False,False,False,False,False,False
2002,included,False,False,False,False,False,False,False,False,False
2003,included,False,False,False,False,False,False,False,False,False
2004,excluded,False,False,True,True,False,False,False,False,False
2005,included,False,False,False,False,False,False,False,False,False
2006,excluded,True,True,False,False,False,True,False,False,False
2007,included,False,False,False,False,False,False,False,False,False
2008,included,False,False,False,False,False,False,False,False,False
2009,included,False,False,False,False,False,False,False,False,False
2010,included,False,False,False,False,False,False,False,False,False
2011,included,False,False,False,False,False,False,False,False,False
2012,included,False,False,False,False,False,False,False,False,False
2013,excluded,False,False,False,False,False,False,True,False,False
2014,included,False,False,False,False,False,False,False,False,False
2015,included,False,False,False,False,False,False,False,False,False
2016,included,False,False,False,False,False,False,False,False,False
2017,included,False,False,False,False,False,False,False,False,False
2018,included,False,False,False,False,False,False,False,False,False
2019,included,False,False,False,False,False,False,False,False,False
2020,included,False,False,False,False,False,False,False,False,False
2021,included,False,False,False,False,False,False,False,False,False
2022,included,False,False,False,False,False,False,False,False,False
2023,included,False,False,False,False,False,False,False,False,False
2024,included,False,False,False,False,False,False,False,False,False
2025,included,False,False,False,False,False,False,False,False,False
