participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,tom_explanation,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,interference_tom_testing_stage_start,interference_tom_training_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,interference_tom_testing_stage_end,interference_tom_training_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,interference_tom_testing_time,interference_tom_training_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,interference_tom_testing0_task_start,interference_tom_training0_task_start,interference_tom_training1_task_start,interference_tom_training2_task_start,interference_tom_training3_task_start,interference_tom_training4_task_start,interference_tom_training5_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,interference_tom_testing0_task_end,interference_tom_training0_task_end,interference_tom_training1_task_end,interference_tom_training2_task_end,interference_tom_training3_task_end,interference_tom_training4_task_end,interference_tom_training5_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_interference_tom_testing,time_away_interference_tom_training,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre,interference_correct,question_index
1983,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,True,8.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.5,5.0,4.0,7.0,6.0,3.0,7.0,5.0,5.0,5.0,3.0,4.0,6.0,7.0,64.0,67.0,51.0,0.7619047619047619,0.7362637362637363,0.7285714285714285,N,5.0,n/a,none,none,It was very long but interesting.,n/a,"It put ideas in my head for words to use, but I forgot a lot of it. I have a terrible memory.",3.0,unintentional,"I remembered bits and pieces of the story, but it was hard for me to remember most of it.",4.0,2.0,5.0,3.0,3.0,6.0,7.0,3.0,n/a,USA,12:05,35-39,M,Right,Y,,Y,,White,1,N,3,4,N,,7.0,,,0.0,1713113444583.0,1713113442890.0,1713113842832.0,1713113515237.0,1713113459794.0,1713113472064.0,1713113440943.0,1713113816808.0,1713113476990.0,1713114085081.0,1713114299960.0,1713114146447.0,1713114379852.0,1713114046892.0,1713113738227.0,1713113441056.0,1713113459793.0,1713113444583.0,1713114046892.0,1713113738227.0,1713113472063.0,1713113476989.0,1713113441056.0,1713113842832.0,1713113515236.0,1713114146446.0,1713114379851.0,1713114299959.0,1713114388515.0,1713114085080.0,1713113816808.0,1713113442889.0,15210.0,1693.0,204060.0,222990.0,12269.0,4925.0,113.0,26024.0,38246.0,61365.0,79891.0,153512.0,8663.0,38188.0,78581.0,1833.0,1713113854273.0,1713113523049.0,1713113816808.0,1713113480737.0,,,,,,1713113746733.0,1713114046892.0,1713113738227.0,1713113842831.0,1713113506746.0,,,,,,1713113816808.0,70075.0,-0.0816872879267097,37465.0,51490.0,51490.0,4738.056277056277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4757.0,0.0,0.0,0.0,0.0,0.0,1,0,4099.0,2.5831659541286873,2.67168611691339,4585.976190476191,4890.136363636364,2.6863134450090973,2.4026052735143644,1947.6,2650.818181818182,False,7.0
1984,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,22.0,0.9166666666666666,1.0,0.8333333333333334,1.0,7.0,1.0,7.0,7.0,2.0,7.0,5.0,7.0,1.0,5.0,1.0,7.0,7.0,62.0,64.0,48.0,0.7380952380952381,0.7032967032967034,0.6857142857142857,N,7.0,I just went with what I felt came first into my mind.,none,meaning,I didnt think much of the purple passage. It was odd. I wanted to know more of how the story ended and found myself frustrated that I was told to concentrate on something else.,Memory after reading something that is engaging.,"I felt like the 2nd round I wanted more ""dark"" words, words that didn't exhibit happiness. ",7.0,dontknow,I dont think I was intentionally thinking of the story but I felt a darkness and I felt my words in the chain showed that.,7.0,7.0,5.0,6.0,6.0,2.0,3.0,3.0,Change was just wanting to use or being drawn to darker words. It felt like I wanted to keep talking about sickness and death.,USA,15:38,45-49,F,Right,Y,,Y,,NONE,1,Y,5,10,N,,7.0,,This was so good! Thank you for really jogging my mind and giving me a great story to read.,0.0,1712866528735.0,1712866523860.0,1712867306235.0,1712866619240.0,1712866532885.0,1712866540009.0,1712866522483.0,1712867280217.0,1712866546935.0,1712867543746.0,1712867915397.0,1712867690388.0,1712867960867.0,1712867500554.0,1712866814820.0,1712866522747.0,1712866532883.0,1712866528732.0,1712867500551.0,1712866814819.0,1712866540008.0,1712866546933.0,1712866522746.0,1712867306234.0,1712866619239.0,1712867690384.0,1712867960865.0,1712867915389.0,1712867988878.0,1712867543740.0,1712867280215.0,1712866523846.0,4148.0,4872.0,194316.0,195579.0,7123.0,6924.0,263.0,26017.0,72304.0,146638.0,45468.0,225001.0,28011.0,43186.0,465395.0,1099.0,1712867319707.0,1712866634331.0,1712867280217.0,1712866589343.0,,,,,,1712866823035.0,1712867500551.0,1712866814818.0,1712867306234.0,1712866615354.0,,,,,,1712867280215.0,457180.0,0.6768405385644903,39492.0,12971.0,8357.0,2660.220322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12414.0,2.3603100503100505,2.6937144554791614,2410.36,2910.0806451612902,1.9451336898395724,2.3393939393939394,1735.6470588235295,2799.7,False,7.0
1985,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,21.0,0.875,0.9166666666666666,0.8333333333333334,1.0,7.0,1.0,7.0,7.0,6.0,7.0,2.0,7.0,2.0,5.0,1.0,1.0,2.0,49.0,55.0,46.0,0.5833333333333334,0.6043956043956044,0.6571428571428571,N,7.0,I just let my mind wander,meaning,meaning,I was anxious reading the purple passages because I knew that I was going to have to remember them. I think that I remembered the purple passage better before reading the story than I did after.,Reading comprehension,"After reading the story didn't feel much different than before, maybe darker.",3.0,neither,I was intentionally trying not to reflect on the story while I was playing the word game.,6.0,2.0,1.0,2.0,5.0,6.0,7.0,1.0,I felt that I was coming up with more words relating to the story but intentionally not using the words that I came up with because of the story.,USA,17:21,18-19,F,Right,Y,,Y,,White,1,N,0,7,N,,7.0,,,0.0,1712786211319.0,1712786207053.0,1712786984684.0,1712786292092.0,1712786218554.0,1712786233037.0,1712786205820.0,1712786958678.0,1712786242691.0,1712787251691.0,1712787657474.0,1712787412362.0,1712787736477.0,1712787190515.0,1712786485640.0,1712786205989.0,1712786218552.0,1712786211316.0,1712787190511.0,1712786485639.0,1712786233035.0,1712786242690.0,1712786205987.0,1712786984683.0,1712786292090.0,1712787412358.0,1712787736474.0,1712787657467.0,1712787745840.0,1712787251686.0,1712786958676.0,1712786207051.0,7233.0,4263.0,205827.0,193547.0,14481.0,9653.0,167.0,26005.0,49399.0,160667.0,79000.0,245105.0,9363.0,61171.0,473036.0,1062.0,1712787005178.0,1712786305145.0,1712786958678.0,1712786264243.0,,,,,,1712786495528.0,1712787190511.0,1712786485638.0,1712786984682.0,1712786290248.0,,,,,,1712786958676.0,463148.0,0.8255110743189419,46502.0,7815.0,7815.0,2405.970735930736,0.0,0.0,0.0,0.0,4416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8869.0,3.490315844568376,2.4521403602148943,2406.194805194805,2405.7466666666664,4.75071926003603,2.450279973649539,1931.9333333333334,2129.5384615384614,True,0.0
1986,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,21.0,0.875,0.9166666666666666,0.8333333333333334,1.0,7.0,1.0,7.0,7.0,2.0,7.0,4.0,7.0,1.0,1.0,1.0,7.0,7.0,57.0,59.0,43.0,0.6785714285714286,0.6483516483516484,0.6142857142857143,N,7.0,I JUST WROTE WORDS I THOUGHT WERE FUN,equal,equal,It was fun and fast paced. I loved the little breaks in sentences.,"I have no idea, probably the attitude of the words we used before and after, how jovial and how remorse followed.",no difference.,6.0,intentional,"I figure most murders are sexual, so I used some sexual words in the second round.",7.0,7.0,7.0,5.0,6.0,2.0,4.0,1.0,"There was a for sure mood shift, but really nothing too wild.",USA,11:20,30-34,M,Right,Y,,Y,,White,1,N,5,10,N,,7.0,,,201664.0,1713193000025.0,1713192998347.0,1713193745823.0,1713193120159.0,1713193007101.0,1713193015668.0,1713192989395.0,1713193719795.0,1713193022249.0,1713194057974.0,1713194409601.0,1713194227685.0,1713194444805.0,1713194011281.0,1713193352300.0,1713192989541.0,1713193007100.0,1713193000023.0,1713194011279.0,1713193352299.0,1713193015667.0,1713193022248.0,1713192989540.0,1713193745823.0,1713193120158.0,1713194227683.0,1713194444804.0,1713194409597.0,1713194449648.0,1713194057971.0,1713193719794.0,1713192998346.0,7075.0,1676.0,265456.0,232140.0,8566.0,6580.0,145.0,26028.0,97909.0,169709.0,35203.0,181912.0,4843.0,46690.0,367494.0,8805.0,1713193830233.0,1713193132792.0,1713193719795.0,1713193032971.0,1713193060284.0,1713193090765.0,,,,1713193359759.0,1713194011279.0,1713193352299.0,1713193745822.0,1713193058984.0,1713193086309.0,1713193116786.0,,,,1713193719794.0,360035.0,0.3733916041516528,110439.0,92994.0,34813.0,3793.2808586762076,0.0,0.0,117882.0,83782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,43086.0,2.0620320855614973,2.3960223861979717,4210.023255813953,3376.5384615384614,1.8779220779220778,2.221875,2967.125,1553.7368421052631,False,0.0
1987,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,7.0,4.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,7.0,49.0,53.0,38.0,0.5833333333333334,0.5824175824175825,0.5428571428571428,N,6.0,I just really wrote down words as they came to me or used words in my environment,none,none,It was horrifying to read the story. You were thrown into hell and then ripped out into the ridiculous .,Emotional response to the story and recalling memories,It was easier the second time. My mind was focused but I also didn't put too much pressure on myself the second time because it felt meaningless.,6.0,both,I was focusing on the meaningless task of writing down words. But I mostly let the words flow to me without effort and so words from the story also popped up.,3.0,6.0,4.0,3.0,7.0,1.0,1.0,7.0,I felt horrified by the story. I felt the word game was meaningless. But I also was able to do it faster the second time. I,USA,15:21,50-54,F,Right,Y,,Y,,White,1,N,5,7,N,,3.0,,,0.0,1712865058088.0,1712865052617.0,1712866122113.0,1712865321871.0,1712865095505.0,1712865105242.0,1712865049572.0,1712866096103.0,1712865118019.0,1712866384544.0,1712866902979.0,1712866576670.0,1712866963009.0,1712866317920.0,1712865526134.0,1712865050266.0,1712865095500.0,1712865058082.0,1712866317910.0,1712865526130.0,1712865105238.0,1712865118015.0,1712865050262.0,1712866122110.0,1712865321869.0,1712866576659.0,1712866963002.0,1712866902955.0,1712866976734.0,1712866384529.0,1712866096095.0,1712865052612.0,37412.0,5465.0,195797.0,204259.0,9733.0,12773.0,690.0,26007.0,203850.0,192115.0,60023.0,326285.0,13725.0,66609.0,569961.0,2346.0,1712866136879.0,1712865345793.0,1712866096103.0,1712865135947.0,1712865167374.0,1712865198577.0,1712865228235.0,1712865260005.0,1712865291392.0,1712865543282.0,1712866317910.0,1712865526128.0,1712866122109.0,1712865161953.0,1712865193377.0,1712865224580.0,1712865254238.0,1712865286008.0,1712865317394.0,1712866096095.0,552813.0,0.7487039439935436,40784.0,7790.0,7790.0,3187.3735912275356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,63391.0,2.504889932762273,2.5678424606878374,3688.8367346938776,2685.910447761194,2.4612121212121214,2.686363636363636,2507.090909090909,2039.857142857143,True,0.0
1988,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23.0,0.9583333333333334,0.9166666666666666,1.0,1.0,6.0,1.0,6.0,7.0,1.0,7.0,5.0,7.0,1.0,2.0,1.0,5.0,7.0,55.0,56.0,43.0,0.6547619047619048,0.6153846153846154,0.6142857142857143,N,7.0,I let my mind drift into words and try to stay one word ahead so I could keep coming up with words. Mostly I just relaxed my mind.,meaning,meaning,I cannot even remember what the purple passage said.  I'm really sorry!!,I have ZERO idea...maybe something having to do with memory?  Memory combined with a traumatic story?  I hope I havent messed up your experiment by forgetting.,My mind kept drifting back to the story so I had to work a little harder to clear my mind. I'd find it drift whenever a word I came up with had something to do with the story.  Then I'd have to pull my mind back. ,7.0,unintentional,"While doing the word chain game, if I did water, my mind immediately went to the story. My brain started trying to sort out what happened in the story.  Then I'd think, man, I'd like to read that again.  Then, I'd pull my brain away from that and back to the word chain.  ",7.0,7.0,6.0,7.0,7.0,1.0,7.0,1.0,"When I read above the statement on being bored, I realized that I was in fact less bored the second time!  That made me recall how long it seemed the first time when I played the game.  In fact, it was so long (boringish) that I wondered if I was doing something wrong.  The second time it FLEW past.  My mind may have been filled with the story and causing me trouble in my task, but the time didnt seem hard or slow...I wasnt bored!",USA,13:50,50-54,F,Right,Y,,Y,,White,1,N,3,10,N,,7.0,,I gotta read that book!!!,18011.0,1712859769191.0,1712859763875.0,1712860620869.0,1712859845644.0,1712859774549.0,1712859779504.0,1712859760638.0,1712860594866.0,1712859790730.0,1712860893590.0,1712861423638.0,1712861080559.0,1712861474468.0,1712860850236.0,1712860061932.0,1712859761227.0,1712859774547.0,1712859769187.0,1712860850233.0,1712860061932.0,1712859779502.0,1712859790729.0,1712859761225.0,1712860620868.0,1712859845643.0,1712861080557.0,1712861474466.0,1712861423629.0,1712861490633.0,1712860893586.0,1712860594863.0,1712859763873.0,5356.0,5312.0,229364.0,216288.0,4953.0,11225.0,587.0,26002.0,54913.0,186967.0,50828.0,343070.0,16165.0,43350.0,532931.0,2646.0,1712860667486.0,1712859880412.0,1712860594866.0,1712859816571.0,,,,,,1712860095745.0,1712860850232.0,1712860061929.0,1712860620868.0,1712859842575.0,,,,,,1712860594863.0,499118.0,0.8681148654602092,72623.0,7355.0,7355.0,2380.0686090225563,0.0,0.0,0.0,18011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,17732.0,2.6699131132025866,2.6973123977471802,2372.5714285714284,2387.565789473684,2.2452521837137223,3.257936507936508,2199.230769230769,2368.5833333333335,False,7.0
1989,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,17.0,0.7083333333333334,0.6666666666666666,0.75,1.0,6.0,2.0,5.0,6.0,5.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,40.0,45.0,34.0,0.47619047619047616,0.4945054945054945,0.4857142857142857,N,5.0,"First round, objects around me mostly, out the window, and just random words that popped into my head. Second round, kind of picked works alphabetically to help give me ideas.",none,none,It kind of seemed irrelevant. Maybe to throw you off a bit from the story. Give you other details so the story isn't as fresh in your mind.,Maybe what words people may subconsciously relate to a reading.,"I felt like I ran out of ideas for words quicker, like I used up many words that came to mind in the first round so it was harder to think of words that weren't repeats.",4.0,unintentional,I thought of it and considered using words that related to the story more but figured more random words were preferred so went with that.,4.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,"I think I felt a bit affected by the story, as it was kind of interesting. But once I started the word chain game, I kind of put the story out of my head and was focused on the game, although thoughts of the story did slightly linger in my mind.",USA,10:18,35-39,F,Right,Y,,Y,,Asian,1,N,4,8,N,,7.0,,,0.0,1713192835168.0,1713192828035.0,1713193474526.0,1713192900914.0,1713192839366.0,1713192846851.0,1713192824997.0,1713193448224.0,1713192853481.0,1713193738986.0,1713194309349.0,1713193954613.0,1713194349911.0,1713193667952.0,1713193094943.0,1713192825267.0,1713192839364.0,1713192835167.0,1713193667951.0,1713193094943.0,1713192846851.0,1713192853481.0,1713192825265.0,1713193474525.0,1713192900913.0,1713193954611.0,1713194349909.0,1713194309279.0,1713194359874.0,1713193738985.0,1713193448222.0,1713192828033.0,4196.0,7132.0,193425.0,194029.0,7485.0,6630.0,268.0,26301.0,47432.0,215625.0,40560.0,354666.0,9963.0,71033.0,353279.0,2766.0,1713193486184.0,1713192913779.0,1713193448224.0,1713192872965.0,,,,,,1713193101271.0,1713193667951.0,1713193094943.0,1713193474524.0,1713192899161.0,,,,,,1713193448222.0,346951.0,0.7256116202156436,37962.0,9808.0,9808.0,3750.7039641943734,0.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,19568.0,2.361823593073593,2.3917537501258432,3563.6470588235293,3937.7608695652175,2.0472727272727274,2.321818181818182,2893.0,2728.3,True,7.0
1990,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,21.0,0.875,0.9166666666666666,0.8333333333333334,1.0,6.0,1.0,6.0,7.0,5.0,7.0,4.0,5.0,1.0,3.0,1.0,6.0,6.0,53.0,58.0,41.0,0.6309523809523809,0.6373626373626373,0.5857142857142857,N,6.0,Just letting my mind wander.,meaning,meaning,I felt confused and slow mentally. I'm not good at those kinds of memory tests.,I'm not sure.,I was more down because of the story and not being fast enough to answer the purple question.,6.0,unintentional,I was trying to put it out of my mind but it was still there. I tried to forget it and just let the words flow naturally.,6.0,6.0,6.0,6.0,4.0,3.0,1.0,1.0,I had a more grim feeling. I felt some sadness.,USA,16:45,45-49,M,Right,Y,,Y,,White,1,N,4,10,N,,7.0,,,0.0,1712866280398.0,1712866273014.0,1712867438580.0,1712866459700.0,1712866293347.0,1712866311600.0,1712866271267.0,1712867412555.0,1712866336731.0,1712867704556.0,1712868247306.0,1712867922600.0,1712868304698.0,1712867652122.0,1712866665710.0,1712866271367.0,1712866293347.0,1712866280397.0,1712867652121.0,1712866665710.0,1712866311599.0,1712866336731.0,1712866271366.0,1712867438580.0,1712866459700.0,1712867922599.0,1712868304697.0,1712868247305.0,1712868338060.0,1712867704555.0,1712867412555.0,1712866273013.0,12949.0,7383.0,213541.0,206010.0,18252.0,25131.0,99.0,26025.0,122969.0,218043.0,57391.0,324705.0,33362.0,52433.0,746845.0,1646.0,1712867470903.0,1712866483413.0,1712867412555.0,1712866396515.0,1712866428970.0,,,,,1712866686460.0,1712867652121.0,1712866665709.0,1712867438580.0,1712866422541.0,1712866454998.0,,,,,1712867412555.0,726095.0,0.7157794251248624,58348.0,7876.0,5762.0,3230.988970588235,5396.0,0.0,0.0,0.0,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,14491.0,3.3728745957599715,2.95484735123033,2664.6029411764707,3797.375,3.35,3.567175417175417,2957.6,3172.3333333333335,False,0.0
1991,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,20.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,7.0,1.0,4.0,7.0,4.0,5.0,6.0,7.0,1.0,1.0,1.0,4.0,4.0,48.0,52.0,40.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,N,5.0,I just wrote whatever word came to mind.,equal,equal,It was easier for me to remember and be engaged in it because it was one line at a time. This allowed me to respond to the questions easier. ,I'm not sure but my memory maybe. ,It felt like it was easier the second time.,5.0,neither,I did not reflect on the story at all when playing the word game.,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,There were no changes in my thoughts.,USA,16:18,45-49,F,Right,Y,,Y,,White,1,N,4,6,N,,7.0,,,0.0,1712867127475.0,1712867124468.0,1712869388594.0,1712868366185.0,1712867172913.0,1712867187831.0,1712867121180.0,1712869362568.0,1712868277785.0,1712869671199.0,1712870266191.0,1712870011530.0,1712870331381.0,1712869600184.0,1712868607886.0,1712867121267.0,1712867172912.0,1712867127474.0,1712869600176.0,1712868607885.0,1712867187831.0,1712868277780.0,1712867121266.0,1712869388593.0,1712868366183.0,1712870011528.0,1712870331378.0,1712870266175.0,1712870344050.0,1712869671196.0,1712869362554.0,1712867124467.0,45437.0,3006.0,211582.0,241700.0,14918.0,1089949.0,86.0,26025.0,88398.0,340329.0,65187.0,254645.0,12669.0,71012.0,754668.0,3200.0,1712869417535.0,1712868425052.0,1712869362568.0,1712868306516.0,1712868337382.0,,,,,1712868625944.0,1712869600176.0,1712868607885.0,1712869388593.0,1712868332540.0,1712868363404.0,,,,,1712869362554.0,736610.0,0.7075451446231077,54981.0,12139.0,12139.0,4347.758398656215,23516.0,0.0,0.0,0.0,0.0,1043533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,24651.0,2.82708251344615,3.0863107263107263,4805.921052631579,3889.595744680851,2.164285714285714,3.009259259259259,3451.5,2910.1111111111113,False,7.0
1992,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,False,False,True,17.0,0.7083333333333334,0.6666666666666666,0.75,1.0,5.0,5.0,5.0,7.0,3.0,6.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,56.0,59.0,48.0,0.6666666666666666,0.6483516483516484,0.6857142857142857,N,7.0,I thought of a letter first then went with it.,equal,equal,I thought the story was great but a bit hard to follow.,I'm not certain.,I felt I  was able to more quickly type words.,5.0,neither,I did not. They were separate to me.,4.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,I felt slightly more melancholy and at easy,USA,16:27,35-39,M,Right,Y,,Y,,White,1,NONE,2,4,Y,listening to music then I had to take a call,7.0,,great study! thanks for sharing,2612.0,1712865627356.0,1712865625224.0,1712866436232.0,1712865700465.0,1712865658094.0,1712865661357.0,1712865621409.0,1712866410212.0,1712865668183.0,1712866874609.0,1712867209964.0,1712867048622.0,1712867256242.0,1712866830740.0,1712865893337.0,1712865621673.0,1712865658092.0,1712865627354.0,1712866830738.0,1712865893336.0,1712865661355.0,1712865668182.0,1712865621668.0,1712866436231.0,1712865700464.0,1712867048619.0,1712867256238.0,1712867209958.0,1712867281391.0,1712866874605.0,1712866410210.0,1712865625223.0,30736.0,2130.0,394506.0,192871.0,3261.0,6825.0,259.0,26019.0,32281.0,174010.0,46274.0,161336.0,25149.0,43865.0,516873.0,3550.0,1712866548496.0,1712865713193.0,1712866410212.0,1712865672419.0,,,,,,1712865898602.0,1712866830738.0,1712865893335.0,1712866436231.0,1712865698432.0,,,,,,1712866410210.0,511608.0,0.7802840535894643,138286.0,115226.0,115226.0,3788.510281690141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2612.0,0.0,0.0,0.0,0.0,1,2,27237.0,2.639815269074,2.730743006993007,3974.760563380282,3602.26,2.85625,3.2299999999999995,2876.4,4052.1428571428573,False,0.0
