,exclusion,reason
1705,included
1706,included
1707,included
1708,included
1709,included
1710,included
1711,included
1712,excluded
1713,included
1714,included
1715,included
1716,excluded
1717,included
1718,included
1719,included
1720,included
1721,included
1722,included
1723,included
1724,excluded
1725,included
1726,excluded
1727,included
1728,included
1729,included
1730,included
1731,excluded
1732,included
1733,excluded
1734,excluded
1735,included
1736,included
1737,excluded
1738,included
1739,included
1740,excluded
1741,excluded
1742,included
1743,included
1744,included
1745,excluded
1746,excluded
1800,included
1801,excluded
1802,included
1803,included
1804,excluded
1805,excluded
1806,excluded
1807,excluded
1808,excluded
1809,excluded
1810,excluded
1811,included
1812,included
1813,included
1814,included
1815,excluded
1816,excluded
1817,included
1818,excluded
1819,included
1820,excluded
1821,included
1822,excluded
1823,excluded
1824,excluded
1825,included
1826,included
1827,included
1828,excluded
1829,excluded
1830,included
1831,included
1832,included
1833,excluded
1834,excluded
1835,included
1836,included
1837,included
1838,excluded
1839,excluded
1840,included
1841,included
1842,included
1843,excluded
1844,included
1845,included
1846,excluded
1847,excluded
1848,included
1849,excluded
1850,excluded
1851,excluded
1852,included
1853,excluded
1854,included
1923,included
1924,included
1925,included
1926,excluded
1927,included
1928,included
1929,included
1930,excluded
1931,excluded
1932,excluded
1933,included
1934,excluded
1935,included
1936,included
1937,included
1938,excluded
1939,excluded
1940,included
1941,included
1942,excluded
1943,included
1944,excluded
1945,included
1946,excluded
1947,included
1948,included
1949,included
1950,excluded
1951,included
1952,included
1953,included
1954,included
1955,included
1956,included
1957,excluded
1958,excluded
1959,excluded
1960,excluded
1961,included
1962,included
1963,included
1964,included
1965,excluded
1966,excluded
1967,excluded
1968,included
1969,included
1970,included
1971,included
1972,excluded
1973,excluded
1974,excluded
1975,included
1976,excluded
1977,included
1980,included
1981,excluded
1982,excluded
1983,included
2012,included
2013,excluded
2014,included
2015,included
2016,included
2017,included
2018,excluded
2019,included
2020,excluded
2021,included
2022,included
2023,excluded
2024,excluded
2025,excluded
2026,excluded
2027,included
2028,excluded
2029,excluded
2030,included
2031,excluded
2032,included
2033,included
2034,included
2035,included
2036,included
2037,included
2038,excluded
2039,included
2040,excluded
2041,excluded
2042,included
2043,excluded
1858,included
1748,excluded
1859,excluded
1749,excluded
1675,excluded
1985,included
1860,included
1861,excluded
1680,included
1678,excluded
1691,included
1693,included
1862,included
1863,included
1750,included
1683,included
1864,included
1751,excluded
1703,excluded
1752,included
1753,included
1865,excluded
1866,included
1867,excluded
1984,excluded
1868,excluded
1869,excluded
1870,excluded
1689,excluded
1871,included
1672,excluded
1986,excluded
1701,excluded
1747,excluded
1855,excluded
1872,included
1754,included
1873,excluded
1874,excluded
1987,included
1755,excluded
1756,included
1757,included
1988,excluded
1758,included
1989,excluded
1875,included
1990,excluded
1695,excluded
1991,included
1876,included
1978,included
1979,included
1877,excluded
1759,included
1878,excluded
1879,excluded
1760,excluded
1880,excluded
1881,excluded
1882,included
1761,excluded
1762,excluded
1686,excluded
1883,excluded
1884,included
1674,excluded
1763,excluded
1857,excluded
1764,excluded
1694,excluded
1687,included
1885,included
1765,included
1766,included
1767,excluded
1886,included
1700,included
1887,included
1685,included
1888,excluded
1768,included
1889,included
1769,included
1770,excluded
1992,included
1771,included
1772,included
1773,included
1774,included
1890,excluded
1891,included
1892,included
1775,excluded
1893,excluded
1894,included
1673,included
1856,included
1895,included
1896,included
1699,included
1776,excluded
1897,excluded
1777,included
1668,included
1898,included
1993,excluded
1778,excluded
1779,excluded
1780,included
1899,included
1900,included
1702,included
1781,excluded
1901,excluded
1902,included
1994,excluded
1903,included
1995,excluded
1996,included
1904,included
1698,excluded
1692,included
1905,included
1906,included
1676,included
1907,included
1684,excluded
1908,excluded
1909,excluded
1782,included
1783,included
1704,included
1784,included
1670,included
1682,included
1681,included
1671,included
1910,excluded
1911,excluded
1669,included
1688,included
1785,included
1912,excluded
1786,excluded
1787,excluded
1788,excluded
1789,excluded
1677,included
1697,excluded
1913,excluded
1790,excluded
1791,included
1792,excluded
1793,excluded
1696,included
1679,excluded
1914,excluded
1690,included
1915,excluded
1794,excluded
1916,excluded
1795,included
1796,included
1917,included
1918,excluded
1997,included
1919,included
1797,excluded
1798,excluded
1920,included
1799,excluded
1921,excluded
1998,included
1922,included
1999,excluded
2000,excluded
2001,included
2002,excluded
2003,included
2004,included
2005,excluded
2006,excluded
2007,included
2008,included
2009,included
2010,included
2011,included
2053,included
2052,included
2047,included
2044,excluded
2045,included
2056,included
2051,included
2049,included
