participantID,spr/char,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_hispanic,demographics_education,demographics_reading,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,guess_experiment,wcg_diff_general,linger_rating,volition_explanation,volition,wcg_diff_explanation,wcg_diff_ease,wcg_diff_bored,wcg_diff_tired,wcg_diff_topics,wcg_diff_emotion,wcg_diff_thoughts,open_box,content_attention,content_attention_text,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,DASS21_5_stage_end,DASS21_5_stage_start,RRS_6_stage_end,RRS_6_stage_start,free_association_post_stage_end,free_association_post_stage_start,free_association_pre_stage_end,free_association_pre_stage_start,id_submit_stage_end,id_submit_stage_start,keywords_stage_end,keywords_stage_start,math_stage_end,math_stage_start,postquestionnaire_1_stage_end,postquestionnaire_1_stage_start,postquestionnaire_2_stage_end,postquestionnaire_2_stage_start,postquestionnaire_3_stage_end,postquestionnaire_3_stage_start,postquestionnaire_4_stage_end,postquestionnaire_4_stage_start,postquestionnaire_7_stage_end,postquestionnaire_7_stage_start,questionnaire_comprehension_stage_end,questionnaire_comprehension_stage_start,questionnaire_transportation_stage_end,questionnaire_transportation_stage_start,reading_stage_end,reading_stage_start,spr_time,spr-wcg-break,rt_max,rt_mean,time away (m),focusevents,spr time away (m),wcg time away (m),5D_Q1,5D_Q2,5D_Q8,5D_Q9,5D_Q11,5D_Q13,5D_Q16,5D_Q17,5D_Q18,5D_Q19,5D_Q23,5D_Q25,5D_Q3,5D_Q4,5D_Q5,5D_Q6,5D_Q10,5D_Q12,5D_Q14,5D_Q15,5D_Q20,5D_Q22,5D_Q24,5D_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,mean_sr_pre,mean_rt_pre,mean_sr_pre_30s,mean_rt_pre_30s,mean_sr_post,mean_rt_post,mean_sr_post_30s,mean_rt_post_30s
1000,0.7128230808867466,GBR,22:06,40-44,F,Right,Y,,Y,,White,N,4,9,N,6,Trying not to think too much.,meaning,meaning,People's attention and information retention.,I felt more confident completing the task.,5,I was emotionally invested in the text so it lingered afterwards.,unintentional,I felt more free to think of words.,5.0,2.0,1.0,4.0,6.0,3.0,,N,,6,2,5,7,3,6,6,4,2,1,1,4,4,48,51,40,0.5714285714285714,0.5604395604395604,0.5714285714285714,1641247905397.0,1641247806733.0,1641247948587.0,1641247905404.0,1641247141895.0,1641246844717.0,1641246318259.0,1641246021742.0,1641245919024.0,1641245903760.0,1641247307646.0,1641247151955.0,1641245994284.0,1641245951306.0,1641247700709.0,1641247553896.0,1641247724430.0,1641247700724.0,1641247762008.0,1641247724437.0,1641247803437.0,1641247762018.0,1641247958154.0,1641247948596.0,1641247553870.0,1641247373819.0,1641247373810.0,1641247307656.0,1641246822375.0,1641246338028.0,484347.0,22342,14261.0,3529.6,0.03675,2.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,2.828781846173151,4345.217391304348,2.231606488749346,3996.285714285714,2.6980490937633794,3000.21,2.9739993339993336,2260.076923076923
1001,0.6761500699065435,GBR,15:56,35-39,M,Right,Y,,Y,,White,N,4,3,N,4,I used words that were associated with the previous word,none,none,"Attention, use of words used in the word chain game after reading the passage of the story. ",Conciously aware of the story and actively tried to avoid using any words that were associated with it. ,3,"I was picturing the scenes of her being stopped by the overtaking car, the men at the river discovering the body. The beer & whiskey. I was pondering these scenes especially as I was playing the wordchain game and actively tried to avoid using any words directly associated with the story",both,"I actively tried to avoid using words directly associated with the story whereas before, I was freely playing the word game without interference or worry. ",2.0,6.0,4.0,7.0,6.0,7.0,,N,,7,1,1,7,2,7,6,5,3,1,2,5,7,52,54,40,0.6190476190476191,0.5934065934065934,0.5714285714285714,1641485029553.0,1641484963633.0,1641485071549.0,1641485029572.0,1641483880706.0,1641483590417.0,1641483082722.0,1641482787582.0,1641482677544.0,1641482668725.0,1641484042902.0,1641483885856.0,1641482753986.0,1641482706413.0,1641484739654.0,1641484570961.0,1641484771629.0,1641484739682.0,1641484875939.0,1641484771648.0,1641484959197.0,1641484875975.0,1641485081327.0,1641485071569.0,1641484570926.0,1641484113998.0,1641484113979.0,1641484042927.0,1641483562772.0,1641483111248.0,451524.0,27645,15618.0,4138.462068965518,0.0,0.0,0.0,0.0,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,17,0.7083333333333334,0.75,0.6666666666666666,0.5,2.5572854844685833,3856.842105263158,2.9166666666666665,4721.0,2.5717122638931897,4308.4029850746265,1.9472222222222222,3988.4285714285716
1002,0.7283325869666797,IRL,15:12,35-39,F,Right,Y,,Y,,White,N,5,8,N,7,"Sticking with topics or themes e.g. meals, kitchen items, body parts etc.",none,none,"attention, influence of specific text on word association and word generation",darker words,7,"Words related to the text entered mind first, at the beginning of the text",unintentional,"initially, word choices were heavily influenced by the text",1.0,1.0,1.0,4.0,4.0,5.0,,N,,7,1,3,7,2,7,7,7,2,1,1,2,3,48,50,43,0.5714285714285714,0.5494505494505495,0.6142857142857143,1641482241800.0,1641482158508.0,1641482290756.0,1641482241817.0,1641481585576.0,1641481288772.0,1641480800277.0,1641480503575.0,1641480404310.0,1641480382472.0,1641481646865.0,1641481594524.0,1641480466872.0,1641480427681.0,1641482061475.0,1641481901192.0,1641482074122.0,1641482061495.0,1641482102343.0,1641482074138.0,1641482153278.0,1641482102356.0,1641482301236.0,1641482290773.0,1641481901180.0,1641481716253.0,1641481716241.0,1641481646890.0,1641481270667.0,1641480818707.0,451960.0,18105,6243.0,2158.4208633093526,0.3966166666666667,10.0,0.0,0.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,21,0.875,0.8333333333333334,0.9166666666666666,1.0,2.574318743435153,2278.022900763359,2.11900826446281,2307.076923076923,2.721673423195162,2061.862068965517,4.103030303030303,2704.7272727272725
1003,0.7944556885880683,GBR,21:00,40-44,F,Right,Y,,Y,,NONE,N,3,8,N,4,thinking widely,meaning,meaning,memory and understanding ,dark thoughts following reading the text - mood change,6,my thoughts were enveloped about the story,intentional,change in mood,5.0,1.0,6.0,7.0,7.0,1.0,Great experiment,N,,7,1,6,7,2,6,5,5,6,1,1,6,6,57,59,45,0.6785714285714286,0.6483516483516484,0.6428571428571429,1641330638438.0,1641330480536.0,1641330713979.0,1641330638449.0,1641329538338.0,1641329241701.0,1641328367861.0,1641328077962.0,1641327921195.0,1641327833234.0,1641329593514.0,1641329545697.0,1641328029730.0,1641327973879.0,1641330270368.0,1641329992041.0,1641330332673.0,1641330270381.0,1641330400039.0,1641330332683.0,1641330475412.0,1641330400071.0,1641330771081.0,1641330713990.0,1641329992018.0,1641329703790.0,1641329703782.0,1641329593526.0,1641329208949.0,1641328394326.0,814623.0,32752,11456.0,4000.3733333333334,0.17095,4.0,0.0,0.0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,22,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,2.4642572043341273,4348.36231884058,1.7688311688311689,4079.5714285714284,4.28947295458165,3703.938271604938,5.459213250517599,2701.909090909091
1005,0.725752011846354,GBR,15:12,50-54,F,Right,Y,,Y,,White,N,1,10,N,5,,none,none,I don't know,The story impacted on the words I picked as it was still very fresh in my memory.,5,Some of the key words stayed in my mind but I didn't focus on them in particular. I chose the words that first came to mind.,unintentional,I could feel my mood changing with where the words took me. Words with negative associations had a negative impact on my mood and vice versa.,6.0,3.0,1.0,5.0,6.0,1.0,,N,,5,2,5,7,2,4,2,1,1,1,1,4,6,39,41,29,0.4642857142857143,0.45054945054945056,0.4142857142857143,1641482365742.0,1641482212302.0,1641482413845.0,1641482365748.0,1641481533639.0,1641481242293.0,1641480737563.0,1641480440139.0,1641480341818.0,1641480334953.0,1641481592623.0,1641481539680.0,1641480416641.0,1641480366425.0,1641482039933.0,1641481906275.0,1641482073629.0,1641482039941.0,1641482124684.0,1641482073634.0,1641482208314.0,1641482124694.0,1641482424069.0,1641482413851.0,1641481906180.0,1641481679752.0,1641481679731.0,1641481592629.0,1641481211597.0,1641480755802.0,455795.0,30696,26368.0,5084.847457627118,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,3.2043863251373135,4322.611940298508,3.436304347826087,2943.1,3.2861454608193736,6036.183673469388,5.218478260869565,3666.5
1006,0.6307939803803544,GBR,16:02,20-24,F,Right,Y,,Y,,White,N,2,1,N,7,Treated it like a story,meaning,meaning,How our environment changes our thoughts,"Afterwards, I related it to the text I'd read",7,I enjoyed the passage and wanted to recall my thoughts on it through the word association game,intentional,"Initially, i used words that i relate to myself, but in the second round, i related the words to what i'd read",6.0,2.0,2.0,7.0,7.0,1.0,,N,,7,1,7,7,1,7,7,7,1,1,2,6,7,60,61,47,0.7142857142857143,0.6703296703296703,0.6714285714285714,1641485341235.0,1641485200320.0,1641485398209.0,1641485341245.0,1641484320381.0,1641484025024.0,1641483173708.0,1641482876028.0,1641482760780.0,1641482755790.0,1641484396349.0,1641484326304.0,1641482824523.0,1641482779890.0,1641485056436.0,1641484913359.0,1641485080607.0,1641485056447.0,1641485125405.0,1641485080617.0,1641485197209.0,1641485125419.0,1641485407520.0,1641485398217.0,1641484913340.0,1641484501327.0,1641484501319.0,1641484396361.0,1641483999700.0,1641483195774.0,803926.0,25324,36839.0,4545.787878787879,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,2.993740794864937,3815.730769230769,3.644635798983625,2948.0,4.35786398881028,5753.057692307692,4.516977225672878,3256.6666666666665
1007,0.5953696268424606,GBR,17:52,45-49,M,Right,Y,,Y,,White,N,4,1,N,5,Just word association.,meaning,meaning,cognative ability vs demographics?,,3,"I don't think it was a major influence, if at all.",dontknow,"I found the chain slightly easier the second time, maybe that's just down to practice?",2.0,1.0,1.0,1.0,1.0,1.0,"Everything went well, no technical issues.",N,,5,1,5,6,3,6,4,2,2,1,1,5,6,44,47,33,0.5238095238095238,0.5164835164835165,0.4714285714285714,1641491950088.0,1641491875691.0,1641492000640.0,1641491950093.0,1641491069758.0,1641490773528.0,1641489931419.0,1641489633787.0,1641489494049.0,1641489488373.0,1641491242208.0,1641491087620.0,1641489575689.0,1641489520617.0,1641491726679.0,1641491554912.0,1641491746279.0,1641491726686.0,1641491803408.0,1641491746284.0,1641491872496.0,1641491803414.0,1641492026024.0,1641492000646.0,1641491554905.0,1641491306411.0,1641491306408.0,1641491242214.0,1641490735944.0,1641489961097.0,774847.0,37584,18288.0,4800.192,0.8563666666666666,4.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,2.5273429597517953,4816.0,1.831904761904762,2619.2,2.18239898989899,4873.180327868852,2.616414141414141,4040.0
1009,0.8175196939561026,DEU,17:32,25-29,F,Left,Y,,Y,,MORE,Y,4,5,N,7,Simply typing the first word that came to mind.,meaning,meaning,Level of literacy.,"The passage was fresh in my mind, so I believe the words were more related to it.",7,"The text was interesting to me and it was quite fresh in my mind, so I could not help thinking of it.",unintentional,I became more tense because of the story's tone.,1.0,4.0,2.0,6.0,5.0,2.0,,N,,7,2,6,7,5,7,5,7,2,3,2,6,6,60,65,48,0.7142857142857143,0.7142857142857143,0.6857142857142857,1641487343662.0,1641487165770.0,1641487442478.0,1641487343667.0,1641486261645.0,1641485965599.0,1641485146844.0,1641484849120.0,1641484695667.0,1641484684688.0,1641486409500.0,1641486296217.0,1641484794535.0,1641484736923.0,1641487004437.0,1641486730942.0,1641487041869.0,1641487004445.0,1641487088701.0,1641487041875.0,1641487156797.0,1641487088708.0,1641487455741.0,1641487442484.0,1641486730934.0,1641486468849.0,1641486468845.0,1641486409507.0,1641485923022.0,1641485202851.0,720171.0,42577,13989.0,4477.731343283582,0.0,0.0,0.0,0.0,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,21,0.875,0.75,1.0,1.0,3.239393215480172,4534.348484848485,3.119175949215475,2723.090909090909,3.5626461773520597,4477.731343283582,4.7,4073.5714285714284
1010,0.4998107581411173,GBR,15:21,25-29,F,Right,Y,,Y,,Asian,N,4,9,N,4,"what i am feeling at the moment, things around me",meaning,equal,maybe attention and if the word chain changes after reading the passage , i might have used some words from the text itself ,5,most times it was unintentional - few words lingered on in my mind ,unintentional,I think i was trying to be quicker the second time ,3.0,4.0,4.0,4.0,6.0,5.0,,N,"I was just doing the study, looking around once in a while outside and saw one text message ",5,3,4,5,6,6,3,4,3,3,4,5,4,49,55,40,0.5833333333333334,0.6043956043956044,0.5714285714285714,1641482741585.0,1641482679710.0,1641482776432.0,1641482741600.0,1641482206977.0,1641481911989.0,1641481527913.0,1641481233226.0,1641481140373.0,1641481136032.0,1641482261709.0,1641482214996.0,1641481207935.0,1641481167042.0,1641482592091.0,1641482477253.0,1641482608580.0,1641482592108.0,1641482643215.0,1641482608590.0,1641482677727.0,1641482643229.0,1641482801207.0,1641482776444.0,1641482477233.0,1641482343412.0,1641482343404.0,1641482261721.0,1641481894475.0,1641481544027.0,350448.0,17514,31632.0,3773.9056603773583,0.0,0.0,0.0,0.0,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,2.3892645329354187,3371.044943820225,2.3796203796203796,3745.625,2.6906346878927523,4324.376811594203,3.6896825396825395,3089.3333333333335
1012,0.7668189632305953,GBR,15:31,25-29,F,Left,Y,,Y,,White,N,4,5,N,4,Connected words ,meaning,meaning,Association and cognitive capacity ,After was related to the passage. ,6,It related to the text initially and then organically changed to other subjects. ,unintentional,I felt connected to the story but fatigued by the activities. ,4.0,3.0,6.0,7.0,5.0,1.0,,N,,7,1,6,7,4,6,5,3,2,2,1,4,4,48,52,40,0.5714285714285714,0.5714285714285714,0.5714285714285714,1641483775947.0,1641483594154.0,1641483853790.0,1641483775956.0,1641482631147.0,1641482334494.0,1641481582205.0,1641481284645.0,1641481167107.0,1641481149854.0,1641482677803.0,1641482637166.0,1641481240636.0,1641481196017.0,1641483282929.0,1641483008261.0,1641483363152.0,1641483282935.0,1641483453532.0,1641483363158.0,1641483588083.0,1641483453539.0,1641483863160.0,1641483853792.0,1641483008243.0,1641482749079.0,1641482749077.0,1641482677807.0,1641482309753.0,1641481598186.0,711567.0,24741,11457.0,3846.1666666666665,0.05226666666666667,2.0,0.0,0.0,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,21,0.875,0.75,1.0,1.0,2.474428571428571,3735.7,2.15,2614.2727272727275,3.8669418419418418,4052.3783783783783,4.2,3525.625
