participantID,condition,counterbalance,comp_raw,comp_prop,general_prop,specific_prop,tran_raw,tran_prop,tran_raw_linger,tran_prop_linger,linger_rating,fa2_delay,story_version
1000,neutralcue,1,23,0.958333333,1,0.916666667,56,0.615384615,5,0.714285714,5,19.499,Carver (Original w/ Neutral cue)
1001,neutralcue,1,17,0.708333333,0.75,0.666666667,60,0.659340659,6,0.857142857,3,17.884,Carver (Original w/ Neutral cue)
1002,neutralcue,1,21,0.875,0.833333333,0.916666667,58,0.637362637,6,0.857142857,7,14.898,Carver (Original w/ Neutral cue)
1003,neutralcue,1,22,0.916666667,0.916666667,0.916666667,59,0.648351648,6,0.857142857,6,29.37,Carver (Original w/ Neutral cue)
1005,neutralcue,1,23,0.958333333,1,0.916666667,49,0.538461538,6,0.857142857,5,22.04,Carver (Original w/ Neutral cue)
1006,neutralcue,1,23,0.958333333,1,0.916666667,72,0.791208791,7,1,7,20.659,Carver (Original w/ Neutral cue)
1007,neutralcue,1,23,0.958333333,1,0.916666667,54,0.593406593,5,0.714285714,3,33.808,Carver (Original w/ Neutral cue)
1009,neutralcue,1,21,0.875,0.75,1,68,0.747252747,3,0.428571429,7,38.615,Carver (Original w/ Neutral cue)
1010,neutralcue,1,8,0.333333333,0.333333333,0.333333333,53,0.582417582,2,0.285714286,5,12.474,Carver (Original w/ Neutral cue)
1012,neutralcue,1,21,0.875,0.75,1,58,0.637362637,4,0.571428571,6,21.392,Carver (Original w/ Neutral cue)
1013,neutralcue,1,20,0.833333333,0.833333333,0.833333333,60,0.659340659,5,0.714285714,5,38.347,Carver (Original w/ Neutral cue)
1015,neutralcue,1,23,0.958333333,0.916666667,1,73,0.802197802,6,0.857142857,7,18.794,Carver (Original w/ Neutral cue)
1016,neutralcue,1,21,0.875,1,0.75,66,0.725274725,4,0.571428571,5,40.267,Carver (Original w/ Neutral cue)
1017,neutralcue,1,23,0.958333333,1,0.916666667,71,0.78021978,5,0.714285714,7,26.347,Carver (Original w/ Neutral cue)
1020,neutralcue,1,22,0.916666667,1,0.833333333,59,0.648351648,6,0.857142857,5,64.177,Carver (Original w/ Neutral cue)
1021,neutralcue,1,21,0.875,0.833333333,0.916666667,60,0.659340659,2,0.285714286,3,31.12,Carver (Original w/ Neutral cue)
1022,neutralcue,1,20,0.833333333,0.75,0.916666667,63,0.692307692,5,0.714285714,7,33.483,Carver (Original w/ Neutral cue)
1023,neutralcue,1,12,0.5,0.416666667,0.583333333,44,0.483516484,4,0.571428571,4,19.232,Carver (Original w/ Neutral cue)
1024,neutralcue,1,22,0.916666667,0.916666667,0.916666667,60,0.659340659,6,0.857142857,6,22.541,Carver (Original w/ Neutral cue)
1026,neutralcue,1,22,0.916666667,0.833333333,1,40,0.43956044,5,0.714285714,3,15.841,Carver (Original w/ Neutral cue)
1027,neutralcue,1,23,0.958333333,1,0.916666667,62,0.681318681,3,0.428571429,5,29.254,Carver (Original w/ Neutral cue)
1028,neutralcue,1,22,0.916666667,0.916666667,0.916666667,54,0.593406593,4,0.571428571,5,30.486,Carver (Original w/ Neutral cue)
1030,neutralcue,1,21,0.875,0.833333333,0.916666667,64,0.703296703,7,1,7,15.327,Carver (Original w/ Neutral cue)
1031,neutralcue,1,21,0.875,0.916666667,0.833333333,56,0.615384615,7,1,3,19.124,Carver (Original w/ Neutral cue)
1032,neutralcue,1,18,0.75,0.75,0.75,55,0.604395604,5,0.714285714,6,18.524,Carver (Original w/ Neutral cue)
1033,neutralcue,1,23,0.958333333,0.916666667,1,64,0.703296703,4,0.571428571,5,18.727,Carver (Original w/ Neutral cue)
1034,neutralcue,1,21,0.875,0.916666667,0.833333333,37,0.406593407,3,0.428571429,3,26.583,Carver (Original w/ Neutral cue)
1035,neutralcue,1,21,0.875,0.833333333,0.916666667,53,0.582417582,1,0.142857143,5,23.905,Carver (Original w/ Neutral cue)
1036,neutralcue,1,22,0.916666667,0.833333333,1,49,0.538461538,6,0.857142857,3,15.052,Carver (Original w/ Neutral cue)
1037,neutralcue,1,20,0.833333333,0.916666667,0.75,47,0.516483516,4,0.571428571,7,30.287,Carver (Original w/ Neutral cue)
1038,neutralcue,1,24,1,1,1,49,0.538461538,7,1,5,21.832,Carver (Original w/ Neutral cue)
1039,neutralcue,1,23,0.958333333,0.916666667,1,61,0.67032967,3,0.428571429,2,13.644,Carver (Original w/ Neutral cue)
1040,neutralcue,1,21,0.875,0.75,1,62,0.681318681,3,0.428571429,7,27.134,Carver (Original w/ Neutral cue)
1041,neutralcue,1,20,0.833333333,0.75,0.916666667,47,0.516483516,4,0.571428571,4,28.666,Carver (Original w/ Neutral cue)
1042,neutralcue,1,17,0.708333333,0.75,0.666666667,46,0.505494505,2,0.285714286,3,21.682,Carver (Original w/ Neutral cue)
1044,neutralcue,1,18,0.75,0.916666667,0.583333333,39,0.428571429,3,0.428571429,1,23.567,Carver (Original w/ Neutral cue)
1046,neutralcue,1,20,0.833333333,1,0.666666667,68,0.747252747,5,0.714285714,5,25.879,Carver (Original w/ Neutral cue)
1047,neutralcue,1,21,0.875,0.75,1,57,0.626373626,3,0.428571429,5,26.213,Carver (Original w/ Neutral cue)
1048,neutralcue,1,17,0.708333333,0.75,0.666666667,47,0.516483516,2,0.285714286,2,26.369,Carver (Original w/ Neutral cue)
1049,neutralcue,1,22,0.916666667,0.916666667,0.916666667,56,0.615384615,4,0.571428571,7,20.036,Carver (Original w/ Neutral cue)
1050,neutralcue,1,24,1,1,1,66,0.725274725,5,0.714285714,7,24.407,Carver (Original w/ Neutral cue)
1051,neutralcue,1,12,0.5,0.666666667,0.333333333,54,0.593406593,3,0.428571429,5,35.584,Carver (Original w/ Neutral cue)
1052,neutralcue,1,23,0.958333333,1,0.916666667,63,0.692307692,4,0.571428571,3,16.38,Carver (Original w/ Neutral cue)
1053,neutralcue,1,13,0.541666667,0.583333333,0.5,77,0.846153846,7,1,5,17.644,Carver (Original w/ Neutral cue)
1055,neutralcue,1,24,1,1,1,70,0.769230769,4,0.571428571,5,13.979,Carver (Original w/ Neutral cue)
1056,neutralcue,1,24,1,1,1,62,0.681318681,4,0.571428571,6,32.458,Carver (Original w/ Neutral cue)
1057,neutralcue,1,21,0.875,0.833333333,0.916666667,67,0.736263736,6,0.857142857,4,19.777,Carver (Original w/ Neutral cue)
1058,neutralcue,1,24,1,1,1,58,0.637362637,7,1,7,62.407,Carver (Original w/ Neutral cue)
1060,neutralcue,1,23,0.958333333,1,0.916666667,50,0.549450549,5,0.714285714,5,61.216,Carver (Original w/ Neutral cue)
1061,neutralcue,1,23,0.958333333,1,0.916666667,43,0.472527473,1,0.142857143,2,33.616,Carver (Original w/ Neutral cue)
1062,neutralcue,1,14,0.583333333,0.583333333,0.583333333,58,0.637362637,6,0.857142857,6,32.798,Carver (Original w/ Neutral cue)
1063,neutralcue,1,18,0.75,0.833333333,0.666666667,50,0.549450549,3,0.428571429,4,22.733,Carver (Original w/ Neutral cue)
1066,neutralcue,1,18,0.75,0.833333333,0.666666667,57,0.626373626,6,0.857142857,7,17.001,Carver (Original w/ Neutral cue)
1067,neutralcue,1,23,0.958333333,1,0.916666667,59,0.648351648,4,0.571428571,4,14.03,Carver (Original w/ Neutral cue)
1068,neutralcue,1,11,0.458333333,0.5,0.416666667,42,0.461538462,2,0.285714286,2,16.357,Carver (Original w/ Neutral cue)
1069,neutralcue,1,16,0.666666667,0.833333333,0.5,63,0.692307692,7,1,7,12.08,Carver (Original w/ Neutral cue)
1070,neutralcue,1,22,0.916666667,0.916666667,0.916666667,61,0.67032967,1,0.142857143,5,28.246,Carver (Original w/ Neutral cue)
1071,neutralcue,1,23,0.958333333,0.916666667,1,62,0.681318681,6,0.857142857,7,16.902,Carver (Original w/ Neutral cue)
1072,neutralcue,1,22,0.916666667,0.833333333,1,63,0.692307692,5,0.714285714,5,26.499,Carver (Original w/ Neutral cue)
1073,neutralcue,1,23,0.958333333,1,0.916666667,54,0.593406593,5,0.714285714,6,30.41,Carver (Original w/ Neutral cue)
1074,neutralcue,1,23,0.958333333,1,0.916666667,64,0.703296703,5,0.714285714,6,35.828,Carver (Original w/ Neutral cue)
1075,neutralcue,1,24,1,1,1,41,0.450549451,3,0.428571429,4,69.517,Carver (Original w/ Neutral cue)
1077,neutralcue,1,24,1,1,1,52,0.571428571,5,0.714285714,6,34.532,Carver (Original w/ Neutral cue)
1078,neutralcue,1,23,0.958333333,1,0.916666667,61,0.67032967,5,0.714285714,6,39.951,Carver (Original w/ Neutral cue)
