participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl
2097,excluded,False,False,True,True,False,False,False,False,False
2098,included,False,False,False,False,False,False,False,False,False
2099,included,False,False,False,False,False,False,False,False,False
2100,excluded,False,False,False,False,False,False,True,False,False
2101,excluded,True,False,False,True,True,False,False,False,False
2102,included,False,False,False,False,False,False,False,False,False
2103,excluded,True,False,False,False,False,False,False,False,False
2104,included,False,False,False,False,False,False,False,False,False
2105,excluded,False,True,False,True,False,False,False,True,True
2106,included,False,False,False,False,False,False,False,False,False
2107,included,False,False,False,False,False,False,False,False,False
2108,included,False,False,False,False,False,False,False,False,False
2109,included,False,False,False,False,False,False,False,False,False
2110,included,False,False,False,False,False,False,False,False,False
2111,included,False,False,False,False,False,False,False,False,False
2112,included,False,False,False,False,False,False,False,False,False
2113,included,False,False,False,False,False,False,False,False,False
2114,included,False,False,False,False,False,False,False,False,False
2115,included,False,False,False,False,False,False,False,False,False
2116,included,False,False,False,False,False,False,False,False,False
2117,included,False,False,False,False,False,False,False,False,False
2118,excluded,False,True,True,False,False,False,False,False,False
2119,included,False,False,False,False,False,False,False,False,False
2120,excluded,False,False,False,True,False,False,False,False,False
2122,included,False,False,False,False,False,False,False,False,False
2123,excluded,True,True,False,True,False,False,False,True,False
2124,excluded,False,False,False,True,False,False,False,False,False
2125,included,False,False,False,False,False,False,False,False,False
2126,included,False,False,False,False,False,False,False,False,False
2127,excluded,True,False,False,True,False,False,False,False,False
2128,excluded,True,True,False,True,False,False,False,False,False
2129,included,False,False,False,False,False,False,False,False,False
2130,excluded,True,True,False,False,False,False,False,False,False
2131,included,False,False,False,False,False,False,False,False,False
2132,excluded,True,False,True,True,True,False,True,False,False
2133,excluded,False,False,False,False,False,False,False,True,False
2134,included,False,False,False,False,False,False,False,False,False
2135,included,False,False,False,False,False,False,False,False,False
2136,excluded,False,False,True,True,False,False,False,False,False
2137,excluded,False,False,False,False,False,False,True,False,False
2138,included,False,False,False,False,False,False,False,False,False
2139,included,False,False,False,False,False,False,False,False,False
2140,included,False,False,False,False,False,False,False,False,False
2141,included,False,False,False,False,False,False,False,False,False
2142,included,False,False,False,False,False,False,False,False,False
2143,included,False,False,False,False,False,False,False,False,False
2144,included,False,False,False,False,False,False,False,False,False
