participantID,comp_Q1,comp_Q2,comp_Q8,comp_Q9,comp_Q11,comp_Q13,comp_Q16,comp_Q17,comp_Q18,comp_Q19,comp_Q23,comp_Q25,comp_Q3,comp_Q4,comp_Q5,comp_Q6,comp_Q10,comp_Q12,comp_Q14,comp_Q15,comp_Q20,comp_Q22,comp_Q24,comp_Q26,comp_raw,comp_prop,specific_prop,general_prop,catch_prop,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,guess_suppress_1,guess_suppres_2,guess_experiment,wcg_diff_general,linger_rating,success_suppress_1,success_suppress_2,volition,volition_explanation,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,clarity_rating,clarity_explanation,open_box,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw_10,tran_prop_10,free_association_post_stage_start,free_association_pre_stage_start,q_experience1_stage_start,q_experience2_stage_start,q_experience3_stage_start,q_experience4_stage_start,q_open_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_transportation_stage_start,reading_stage_start,free_association_post_stage_end,free_association_pre_stage_end,q_experience1_stage_end,q_experience2_stage_end,q_experience3_stage_end,q_experience4_stage_end,q_open_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_transportation_stage_end,reading_stage_end,free_association_pre_task_start,free_association_pre_task_end,reading_task_start,reading_task_end,free_association_post_task_start,free_association_post_task_end,spr_time,mean_sr_post,mean_sr_pre,mean_rt_post,mean_rt_pre,mean_sr_30s_post,mean_sr_30s_pre,mean_rt_30s_post,mean_rt_30s_pre,exp_time_away,spr/char,spr-wcg-break,rt_max,rt_mean,time away (m),focusevents,spr time away (m),wcg time away (m),attncheck
1157,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,USA,14:41,45-49,F,Right,Y,,Y,,Black,1,N,4,8,N,6,i tried thinking of regular things,sound,equal,thoughts about food,thoughts about the story,memory,my mind was still on the text,6,7,4,unintentional,the story kept coming back to mind as I wanted to know  how it ended,5.0,4.0,6.0,2.0,1.0,1.0,there was no change in my mind,7.0,,,6,1,6,6,6,7,4,5,3,5,3,5,5,46,0.6571428571428571,1696877969502.0,1696873491751.0,1696878622747.0,1696878708239.0,1696878753301.0,1696878814204.0,1696879050250.0,1696878534926.0,1696878862527.0,1696878458546.0,1696873688986.0,1696878445734.0,1696873675469.0,1696878708236.0,1696878753300.0,1696878814203.0,1696878854103.0,1696879055409.0,1696878622743.0,1696879050249.0,1696878534924.0,1696877948564.0,1696873491751.0,1696873675469.0,1696873688986.0,1696877948564.0,1696877969502.0,1696878445734.0,4259578,2.317794705294705,2.3218339236521053,10352.347826086956,3222.5087719298244,1.9666666666666668,2.0636363636363635,4734.833333333333,2486.25,68.3641,0.10548536709903576,20938,296390.0,6406.708737864078,81.38383333333333,5.0,63.66575,68.3641,1
1000,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,1.0,1.0,1.0,1.0,USA,12:25,55-59,M,Right,Y,,Y,,White,1,N,2,6,N,1,"1st time, avoid food 2nd time, concentrate on the letter c",none,none,food,the story,don't know,"the 1st time, avoidence  the 2nd time, concentration on a ltetter",4,5,5,intentional,"creative process of thinking of words, trying to walk away from the story",4.0,4.0,5.0,1.0,1.0,1.0,feelings didn't change but had to isolate and cordon off the story in my head,7.0,,none,5,1,4,6,3,5,5,4,2,1,1,3,3,34,0.4857142857142857,1696954224630.0,1696953498635.0,1696954743496.0,1696954859228.0,1696954942194.0,1696955018479.0,1696955207062.0,1696954494987.0,1696955108768.0,1696954414670.0,1696953700298.0,1696954411868.0,1696953686404.0,1696954859226.0,1696954942193.0,1696955018478.0,1696955103925.0,1696955223004.0,1696954743494.0,1696955207061.0,1696954494985.0,1696954189568.0,1696953498635.0,1696953686404.0,1696953700298.0,1696954189568.0,1696954224630.0,1696954411868.0,489270,1.6042657342657343,2.857169279995367,7801.166666666667,6258.566666666667,1.5634615384615385,2.9588278388278386,7089.0,5955.6,0.0,0.702457982577304,35062,22127.0,6944.166666666667,0.0,0.0,0.0,0.0,1
1001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,0.5,USA,10:43,50-54,M,Right,Y,,Y,,White,1,N,5,1,N,5,I didn't use any strategy.,sound,equal,I was instructed to suppress any thoughts about food,I was instructed to suppress any thoughts about the story I read.,How easily people tend to put out a story tout of their minds after reading it.,Both parts weren't any different in my opinion.,3,7,7,neither,I could easily forget about it and focus on the words chain in the second part.,1.0,2.0,1.0,1.0,1.0,2.0,"I didn't feel any change, it was pretty normal and easy to finish the task after reading the story.",7.0,,,7,1,6,7,5,5,7,3,1,1,3,1,1,41,0.5857142857142857,1696865234495.0,1696863320256.0,1696865815477.0,1696865982987.0,1696866038227.0,1696866077537.0,1696866221589.0,1696865516800.0,1696866151240.0,1696865451743.0,1696863621376.0,1696865425890.0,1696863503971.0,1696865982986.0,1696866038226.0,1696866077536.0,1696866148276.0,1696866226484.0,1696865815476.0,1696866221588.0,1696865516798.0,1696865208843.0,1696863320256.0,1696863503971.0,1696863621376.0,1696865208843.0,1696865234495.0,1696865425890.0,1587467,2.2695680206318505,2.1846403596403596,4071.8297872340427,3113.135593220339,2.658080808080808,2.2800000000000002,3203.1111111111113,2929.4,0.17018333333333333,0.7110867683875868,25652,12575.0,3538.2169811320755,0.33755,2.0,0.0,0.0,1
1002,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,21,0.875,0.9166666666666666,0.8333333333333334,1.0,USA,17:37,20-24,F,Right,Y,,Y,,White,1,N,4,9,N,7,"Associated words, rhyming",equal,meaning,food,the story,whether it's easier to avoid thoughts about a category or an emotionally effecting story,My words were much more evocative after,7,5,4,unintentional,I kept accidentally thinking of water or grim words that might not be directly related but came from the text,6.0,7.0,5.0,3.0,4.0,1.0,"My emotions were much higher, and a lot more words were coming to mind that I had to avoid",6.0,,,6,2,4,7,2,7,6,3,2,3,3,4,3,43,0.6142857142857143,1696631283144.0,1696630757242.0,1696631646181.0,1696631702328.0,1696631720255.0,1696631750071.0,1696631856614.0,1696631504687.0,1696631795118.0,1696631466630.0,1696630942300.0,1696631463894.0,1696630937304.0,1696631702325.0,1696631720250.0,1696631750069.0,1696631792369.0,1696631860098.0,1696631646178.0,1696631856612.0,1696631504680.0,1696631259571.0,1696630757242.0,1696630937304.0,1696630942300.0,1696631259571.0,1696631283144.0,1696631463894.0,317271,2.1025573018530768,2.7093949789341094,2544.8169014084506,2399.96,2.0492578849721705,3.105614697802198,2128.9285714285716,1809.0,0.0,0.7116338284610338,23573,6333.0,2470.404109589041,0.0,0.0,0.0,0.0,1
1003,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,USA,11:04,55-59,F,Right,Y,,Y,,White,1,N,4,9,N,6,tried to list things around or near me,none,none,food,the story,the experiment is trying to measure how hard it is for people to come up with words when given a suggestion of words to avoid,the second game was hard because I had to think of not using words related to the story that I was just thinking about,7,7,7,intentional,I found myself examining each word to make sure it was not related to the story,1.0,7.0,4.0,2.0,1.0,1.0,I felt that the game was harder. I felt this way because I had to think about not using certain words.,7.0,,,7,1,6,7,2,7,4,6,1,1,1,4,4,41,0.5857142857142857,1696863178839.0,1696862333777.0,1696863612180.0,1696863727413.0,1696863768316.0,1696863805187.0,1696863924356.0,1696863426394.0,1696863873674.0,1696863363603.0,1696862520250.0,1696863360977.0,1696862514128.0,1696863727411.0,1696863768315.0,1696863805186.0,1696863869550.0,1696863929090.0,1696863612178.0,1696863924355.0,1696863426393.0,1696863147715.0,1696862333777.0,1696862514128.0,1696862520250.0,1696863147715.0,1696863178839.0,1696863360977.0,627465,1.5845854145854146,2.3835803130792077,4922.0,3056.0169491525426,1.2666666666666666,2.714377651334173,4956.666666666667,2129.6923076923076,0.0,0.6856140009347695,31124,14686.0,3775.1979166666665,0.0,0.0,0.0,0.0,1
1158,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,23,0.9583333333333334,1.0,0.9166666666666666,1.0,USA,14:15,55-59,M,Right,Y,,Y,,White,1,N,1,4,N,4,I liked words that rhymed,equal,equal,food,the story,memory skills,I did not notice an differences.,7,7,7,neither,I did not think about the text too much but did have an idea of which words to avoid.,1.0,3.0,1.0,1.0,1.0,1.0,I didn't notice any changes,7.0,,Enjoyed it!!!!!,7,1,7,7,1,7,7,1,1,1,1,7,7,40,0.5714285714285714,1696960949331.0,1696960177856.0,1696961386221.0,1696961445950.0,1696961474967.0,1696961519138.0,1696961629913.0,1696961197718.0,1696961570812.0,1696961137714.0,1696960367312.0,1696961130220.0,1696960359545.0,1696961445949.0,1696961474965.0,1696961519137.0,1696961568267.0,1696961642059.0,1696961386219.0,1696961629911.0,1696961197716.0,1696960927489.0,1696960177856.0,1696960359545.0,1696960367312.0,1696960927489.0,1696960949331.0,1696961130220.0,560177,2.6631395120031485,2.5760708439562197,3288.581818181818,2522.8194444444443,2.3600000000000003,2.3102231102231103,5687.4,1996.4666666666667,0.5008166666666667,0.6379064917724383,21842,46536.0,2854.448818897638,0.5008166666666667,2.0,0.0,0.5008166666666667,1
1004,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,USA,14:33,55-59,M,Right,Y,,Y,,White,1,N,1,8,N,5,looked around my room,none,none,food,the story I just read,memory and comprehension.,I was still thinking about the story during rd 2 of the word chain.,6,6,6,unintentional,"While I was coming up with words, I was remembering parts of the story. Probably due to the way the story was presented, line by line.",4.0,5.0,5.0,5.0,5.0,5.0,I was feeling some sadness but also wanted to know who the killer was and if they were previously mentioned in the story.,7.0,,Not sure what the study is about but it was presented in a way which was easy to complete. It was not boring like so many others. Thank you!,4,1,4,5,5,6,3,5,3,1,1,1,1,33,0.4714285714285714,1696965675744.0,1696964825352.0,1696966136520.0,1696966212178.0,1696966265813.0,1696966330344.0,1696966481163.0,1696965941085.0,1696966416821.0,1696965869456.0,1696965025164.0,1696965858604.0,1696965007652.0,1696966212177.0,1696966265811.0,1696966330342.0,1696966413580.0,1696966556852.0,1696966136518.0,1696966481161.0,1696965941082.0,1696965650385.0,1696964825352.0,1696965007652.0,1696965025164.0,1696965650385.0,1696965675744.0,1696965858604.0,625221,2.068882098293863,2.3301074065288114,5078.666666666667,4557.05,1.85,2.48768115942029,5029.0,4348.666666666667,0.0,0.5086720507851549,25359,9992.0,4804.131578947368,0.0,0.0,0.0,0.0,1
1005,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False,True,19,0.7916666666666666,1.0,0.5833333333333334,1.0,USA,16:00,35-39,M,Right,Y,,Y,,Asian,1,N,5,8,N,5,Mind,meaning,meaning,Food ,story,Memory Recall,No difference                                                 ,5,5,6,intentional,Amazing ,3.0,5.0,3.0,3.0,3.0,5.0,Amazing  experience,7.0,,,7,7,7,7,7,7,5,5,3,3,5,2,2,56,0.8,1696967058945.0,1696965954047.0,1696967597812.0,1696967694896.0,1696967779409.0,1696967819837.0,1696968012341.0,1696967312152.0,1696967869954.0,1696967246579.0,1696966152422.0,1696967241892.0,1696966139630.0,1696967694895.0,1696967779407.0,1696967819836.0,1696967867087.0,1696968023219.0,1696967597810.0,1696968012339.0,1696967312150.0,1696967036856.0,1696965954047.0,1696966139630.0,1696966152422.0,1696967036856.0,1696967058945.0,1696967241892.0,884434,5.112754435946136,3.381005411255411,7953.782608695652,8068.130434782609,4.780793650793651,3.3412698412698414,7831.666666666667,6951.333333333333,0.0,0.6674965597373005,22089,19551.0,8010.95652173913,0.6107,2.0,0.0,0.0,1
1159,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0.16666666666666666,0.25,0.08333333333333333,0.5,USA,15:09,45-49,F,Right,Y,,Y,,Black,1,N,4,8,N,7,none,none,none,aliments,aliments,i dont know,none,1,7,7,,,,,,,,,,7.0,,,7,1,7,7,7,7,1,1,1,1,1,4,4,34,0.4857142857142857,1696978905777.0,1696978573714.0,1696979309031.0,1696979357291.0,,,1696979431687.0,1696979177600.0,1696979378425.0,1696979103088.0,1696978763586.0,1696979086796.0,1696978754521.0,1696979357290.0,1696979374988.0,,,1696979436764.0,1696979309028.0,1696979431685.0,1696979177597.0,1696978869324.0,1696978573714.0,1696978754521.0,1696978763586.0,1696978869324.0,1696978905777.0,1696979086796.0,105738,1.7416472416472415,1.6390803790803792,3850.723404255319,4203.813953488372,1.567857142857143,3.34,2669.6666666666665,2362.75,0.4891833333333333,-0.014892593420042878,36453,25695.0,4019.4222222222224,0.4891833333333333,4.0,0.0,0.4891833333333333,1
1006,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,USA,14:39,35-39,F,Right,Y,,Y,,White,1,N,4,6,N,4,I tried to think about things that were completely unrelated to the topics I was told to avoid which were food and the story I just read.,meaning,meaning,food and eating,the story that I just read,I think this experiment is trying to determine how memorable the story is.,"Before, I found it quite easy to avoid writing words about food or eating. After reading the text, I found the word game a bit harder because the story covered many topics and scenes and I couldn't mention any words related to any part of the story.",4,7,6,neither,I experienced trying to pretend that I had forgotten the story. I also was trying to make up a new unrelated story in my mind and just choose random words from it to use in the word chain game.,5.0,6.0,4.0,1.0,1.0,1.0,The only change that I felt was that I needed to be more imaginative in coming up with topics for the word chain game after I read the story.,7.0,,,5,1,7,7,4,5,4,2,1,1,1,3,3,34,0.4857142857142857,1696962316283.0,1696961543143.0,1696962827794.0,1696962936691.0,1696963002647.0,1696963066461.0,1696963228783.0,1696962553155.0,1696963181547.0,1696962506802.0,1696961733240.0,1696962503300.0,1696961725207.0,1696962936687.0,1696963002643.0,1696963066456.0,1696963178996.0,1696963233510.0,1696962827786.0,1696963228780.0,1696962553151.0,1696962293316.0,1696961543143.0,1696961725207.0,1696961733240.0,1696962293316.0,1696962316283.0,1696962503300.0,560076,2.253965478965479,2.9001280449897053,5052.8378378378375,5353.0,2.6035547785547783,3.8688537549407114,4850.333333333333,4193.333333333333,0.02565,0.6283253107175041,22967,23571.0,5196.577464788732,0.02565,1.0,0.0,0.0,1
