participantID,condition,counterbalance,comp_raw,comp_prop,general_prop,specific_prop,tran_raw,tran_prop,tran_raw_linger,tran_prop_linger,linger_rating,fa2_delay,probe_acc,probe_hits,story_version
3004,word_scrambled,1,10,0.384615385,0.333333333,0.333333333,63,0.692307692,4,0.571428571,6,17.417,0.893939394,59,Carver (Original)
3006,word_scrambled,0,12,0.461538462,0.5,0.333333333,23,0.252747253,1,0.142857143,1,17.658,0.909090909,60,Carver (Original)
3007,word_scrambled,0,11,0.423076923,0.583333333,0.166666667,30,0.32967033,1,0.142857143,1,17.273,0.924242424,61,Carver (Original)
3009,word_scrambled,0,10,0.384615385,0.333333333,0.333333333,25,0.274725275,1,0.142857143,1,13.941,0.909090909,60,Carver (Original)
3016,word_scrambled,0,13,0.5,0.666666667,0.25,22,0.241758242,1,0.142857143,1,15.876,0.96969697,64,Carver (Original)
3017,word_scrambled,0,9,0.346153846,0.416666667,0.166666667,24,0.263736264,1,0.142857143,1,17.761,0.878787879,58,Carver (Original)
3024,word_scrambled,1,14,0.538461538,0.666666667,0.333333333,50,0.549450549,3,0.428571429,5,76.521,0.924242424,61,Carver (Original)
3026,word_scrambled,1,10,0.384615385,0.416666667,0.25,54,0.593406593,5,0.714285714,3,45.055,0.787878788,52,Carver (Original)
3028,word_scrambled,0,13,0.5,0.5,0.416666667,27,0.296703297,1,0.142857143,3,17.348,0.924242424,61,Carver (Original)
3029,word_scrambled,1,10,0.384615385,0.5,0.166666667,31,0.340659341,2,0.285714286,1,31.781,0.924242424,61,Carver (Original)
3031,word_scrambled,1,5,0.192307692,0.166666667,0.083333333,56,0.615384615,3,0.428571429,5,22.231,0.757575758,50,Carver (Original)
3033,word_scrambled,1,11,0.423076923,0.5,0.25,60,0.659340659,6,0.857142857,5,12.729,0.939393939,62,Carver (Original)
3035,word_scrambled,1,19,0.730769231,0.916666667,0.5,18,0.197802198,1,0.142857143,4,30.483,0.939393939,62,Carver (Original)
3036,word_scrambled,0,13,0.5,0.666666667,0.25,27,0.296703297,2,0.285714286,3,42.832,0.787878788,52,Carver (Original)
3040,word_scrambled,0,9,0.346153846,0.25,0.333333333,42,0.461538462,1,0.142857143,1,26.309,0.863636364,57,Carver (Original)
3041,word_scrambled,0,10,0.384615385,0.416666667,0.25,25,0.274725275,1,0.142857143,1,25.526,0.863636364,57,Carver (Original)
3043,word_scrambled,1,11,0.423076923,0.5,0.25,44,0.483516484,4,0.571428571,2,12.065,0.893939394,59,Carver (Original)
3046,word_scrambled,0,3,0.115384615,0.083333333,0,25,0.274725275,4,0.571428571,1,26.874,0.924242424,61,Carver (Original)
3049,word_scrambled,1,11,0.423076923,0.416666667,0.333333333,46,0.505494505,3,0.428571429,4,14.054,0.96969697,64,Carver (Original)
3050,word_scrambled,1,12,0.461538462,0.583333333,0.25,36,0.395604396,1,0.142857143,1,63.377,0.818181818,54,Carver (Original)
3052,word_scrambled,1,10,0.384615385,0.333333333,0.333333333,32,0.351648352,1,0.142857143,2,15.949,0.863636364,57,Carver (Original)
3053,word_scrambled,0,17,0.653846154,0.666666667,0.583333333,30,0.32967033,1,0.142857143,1,15.32,0.863636364,57,Carver (Original)
3060,word_scrambled,1,13,0.5,0.583333333,0.333333333,37,0.406593407,5,0.714285714,3,27.257,0.909090909,60,Carver (Original)
3061,word_scrambled,1,14,0.538461538,0.666666667,0.333333333,64,0.703296703,7,1,5,37.698,0.909090909,60,Carver (Original)
3063,word_scrambled,1,13,0.5,0.583333333,0.333333333,33,0.362637363,1,0.142857143,3,17.216,0.878787879,58,Carver (Original)
3066,word_scrambled,1,11,0.423076923,0.5,0.25,31,0.340659341,1,0.142857143,1,20.172,0.863636364,57,Carver (Original)
3067,word_scrambled,0,7,0.269230769,0.25,0.166666667,57,0.626373626,3,0.428571429,7,21.478,0.545454545,36,Carver (Original)
3068,word_scrambled,1,16,0.615384615,0.583333333,0.583333333,29,0.318681319,1,0.142857143,2,23.948,0.984848485,65,Carver (Original)
3071,word_scrambled,0,13,0.5,0.666666667,0.25,40,0.43956044,4,0.571428571,3,17.188,0.803030303,53,Carver (Original)
3075,word_scrambled,1,15,0.576923077,0.666666667,0.416666667,37,0.406593407,2,0.285714286,2,19.752,0.954545455,63,Carver (Original)
3076,word_scrambled,0,17,0.653846154,0.75,0.5,27,0.296703297,1,0.142857143,1,30.577,0.848484848,56,Carver (Original)
3077,word_scrambled,0,10,0.384615385,0.333333333,0.333333333,53,0.582417582,4,0.571428571,5,29.388,0.772727273,51,Carver (Original)
3078,word_scrambled,0,9,0.346153846,0.416666667,0.166666667,46,0.505494505,1,0.142857143,2,18.391,0.878787879,58,Carver (Original)
3082,word_scrambled,0,8,0.307692308,0.25,0.25,28,0.307692308,6,0.857142857,1,23.941,0.803030303,53,Carver (Original)
3084,word_scrambled,1,8,0.307692308,0.333333333,0.25,52,0.571428571,4,0.571428571,6,13.644,0.636363636,42,Carver (Original)
3086,word_scrambled,1,7,0.269230769,0.166666667,0.25,54,0.593406593,4,0.571428571,1,15.603,0.924242424,61,Carver (Original)
3088,word_scrambled,1,12,0.461538462,0.666666667,0.166666667,27,0.296703297,3,0.428571429,2,25.135,0.924242424,61,Carver (Original)
3090,word_scrambled,1,11,0.423076923,0.583333333,0.166666667,45,0.494505495,2,0.285714286,5,22.794,0.863636364,57,Carver (Original)
3091,word_scrambled,1,12,0.461538462,0.5,0.333333333,35,0.384615385,2,0.285714286,2,14.112,0.848484848,56,Carver (Original)
