participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl,spr_max_excl,spr_time_excl
1027,included,False,False,False,False,False,False,False,False,False,False,False
1028,excluded,False,False,False,False,False,False,False,False,False,True,False
1005,excluded,True,False,True,True,False,False,False,False,False,False,False
1006,excluded,True,False,False,False,False,False,False,False,False,False,False
1065,included,False,False,False,False,False,False,False,False,False,False,False
1029,excluded,False,False,False,False,False,False,False,False,False,True,False
1007,included,False,False,False,False,False,False,False,False,False,False,False
1066,included,False,False,False,False,False,False,False,False,False,False,False
1030,included,False,False,False,False,False,False,False,False,False,False,False
1067,included,False,False,False,False,False,False,False,False,False,False,False
1068,excluded,False,False,False,False,False,False,False,False,False,True,False
1008,included,False,False,False,False,False,False,False,False,False,False,False
1031,excluded,True,False,False,False,False,False,False,False,False,False,False
1009,included,False,False,False,False,False,False,False,False,False,False,False
1032,included,False,False,False,False,False,False,False,False,False,False,False
1033,included,False,False,False,False,False,False,False,False,False,False,False
1010,excluded,False,False,False,False,False,False,False,False,False,True,False
1011,included,False,False,False,False,False,False,False,False,False,False,False
1069,included,False,False,False,False,False,False,False,False,False,False,False
1034,excluded,False,False,False,True,False,False,False,False,False,False,False
1035,included,False,False,False,False,False,False,False,False,False,False,False
1036,included,False,False,False,False,False,False,False,False,False,False,False
1070,included,False,False,False,False,False,False,False,False,False,False,False
1037,excluded,False,True,False,False,False,False,False,False,True,True,False
1038,included,False,False,False,False,False,False,False,False,False,False,False
1071,included,False,False,False,False,False,False,False,False,False,False,False
1072,excluded,False,False,True,True,False,False,False,False,False,False,False
1039,excluded,False,False,False,False,True,False,False,False,False,False,False
1073,included,False,False,False,False,False,False,False,False,False,False,False
1040,included,False,False,False,False,False,False,False,False,False,False,False
1074,included,False,False,False,False,False,False,False,False,False,False,False
1041,included,False,False,False,False,False,False,False,False,False,False,False
1042,excluded,False,False,False,False,False,False,False,False,False,True,False
1043,included,False,False,False,False,False,False,False,False,False,False,False
1012,excluded,False,False,True,True,False,False,False,False,False,False,False
1044,included,False,False,False,False,False,False,False,False,False,False,False
1075,excluded,False,False,False,False,False,False,False,True,False,False,False
1045,excluded,False,False,True,True,False,False,False,False,False,True,False
1046,excluded,False,True,True,True,False,False,False,False,False,True,False
1047,excluded,False,False,True,True,False,False,False,False,False,True,False
1013,excluded,False,False,False,True,False,False,False,True,False,False,False
1048,excluded,False,False,False,True,False,False,False,False,False,True,False
1014,excluded,False,False,False,True,True,False,False,False,False,False,False
1015,included,False,False,False,False,False,False,False,False,False,False,False
1049,excluded,False,False,False,True,False,False,False,False,False,False,False
1050,excluded,True,False,False,False,False,False,False,False,False,True,False
1016,excluded,False,False,True,False,False,False,False,False,False,True,False
1017,excluded,False,False,False,False,False,False,False,False,False,True,False
1051,excluded,False,True,False,False,False,False,False,False,False,False,False
1018,excluded,False,False,True,False,False,False,False,False,False,True,False
1019,included,False,False,False,False,False,False,False,False,False,False,False
1052,included,False,False,False,False,False,False,False,False,False,False,False
1077,included,False,False,False,False,False,False,False,False,False,False,False
1054,included,False,False,False,False,False,False,False,False,False,False,False
1055,excluded,True,False,False,True,True,False,False,False,False,True,False
1056,excluded,False,False,False,True,False,False,False,False,False,False,False
1020,included,False,False,False,False,False,False,False,False,False,False,False
1057,excluded,False,False,False,False,True,False,False,False,False,False,False
1078,excluded,False,False,False,False,False,False,False,False,False,True,False
1021,excluded,False,False,False,False,False,False,True,False,False,False,False
1058,included,False,False,False,False,False,False,False,False,False,False,False
1059,included,False,False,False,False,False,False,False,False,False,False,False
1022,included,False,False,False,False,False,False,False,False,False,False,False
1023,included,False,False,False,False,False,False,False,False,False,False,False
1060,included,False,False,False,False,False,False,False,False,False,False,False
1061,included,False,False,False,False,False,False,False,False,False,False,False
1062,included,False,False,False,False,False,False,False,False,False,False,False
1079,included,False,False,False,False,False,False,False,False,False,False,False
1063,excluded,True,False,True,True,False,False,True,False,False,False,False
1080,excluded,False,False,True,True,False,False,False,False,False,False,False
1024,included,False,False,False,False,False,False,False,False,False,False,False
1064,included,False,False,False,False,False,False,False,False,False,False,False
1025,excluded,False,False,False,False,True,False,False,False,False,True,False
1026,included,False,False,False,False,False,False,False,False,False,False,False
1081,included,False,False,False,False,False,False,False,False,False,False,False
