participantID,comp_Q1,comp_Q2,comp_Q3,comp_Q5,comp_raw,comp_prop,catch_prop,tran_Q1,tran_Q2,tran_Q3,tran_Q4,tran_Q5,tran_Q6,tran_Q7,tran_Q8,tran_Q9,tran_Q10,tran_Q11,tran_Q12,tran_Q13,tran_raw,tran_raw_all,tran_raw_10,tran_prop,tran_prop_all,tran_prop_10,read_story,read_enjoy,wcg_strategy,wcg1_sound_meaning,wcg2_sound_meaning,guess_experiment,wcg_diff_general,linger_rating,volition,volition_explanation,linger_rating_start,linger_rating_end,wcg_diff_emotion,wcg_diff_topics,wcg_diff_ease,wcg_diff_tired,wcg_diff_bored,wcg_diff_thoughts,wcg_diff_explanation,demographics_country,demographics_currenttime,demographics_age,demographics_gender,demographics_hand,demographics_nativelang,demographics_nativelang_text,demographics_fluency,demographics_fluency_text,demographics_race,demographics_attncheck,demographics_hispanic,demographics_education,demographics_reading,content_attention,content_attention_text,clarity_rating,clarity_explanation,open_box,exp_time_away,complete,consent_stage_start,content_warning_stage_start,free_association_post_stage_start,free_association_pre_stage_start,fullscreen_stage_start,general_instructions_stage_start,initializing_stage_start,questionnaire_comprehension_stage_start,questionnaire_demographics_stage_start,questionnaire_experience_stage_start,questionnaire_keywords_stage_start,questionnaire_open_stage_start,questionnaire_transportation_stage_start,reading_stage_start,welcome_stage_start,consent_stage_end,content_warning_stage_end,free_association_post_stage_end,free_association_pre_stage_end,fullscreen_stage_end,general_instructions_stage_end,initializing_stage_end,questionnaire_comprehension_stage_end,questionnaire_demographics_stage_end,questionnaire_experience_stage_end,questionnaire_keywords_stage_end,questionnaire_open_stage_end,questionnaire_transportation_stage_end,reading_stage_end,welcome_stage_end,consent_time,content_warning_time,free_association_post_time,free_association_pre_time,fullscreen_time,general_instructions_time,initializing_time,questionnaire_comprehension_time,questionnaire_demographics_time,questionnaire_experience_time,questionnaire_keywords_time,questionnaire_open_time,questionnaire_transportation_time,reading_time,welcome_time,free_association_post_task_start,free_association_pre_task_start,reading_task_start,free_association_post_task_end,free_association_pre_task_end,reading_task_end,spr_time,spr/char,spr-wcg-break,rt_max,rt_max_post,rt_mean,time_away_complete,time_away_consent,time_away_content_warning,time_away_free_association_post,time_away_free_association_pre,time_away_fullscreen,time_away_general_instructions,time_away_initializing,time_away_questionnaire_comprehension,time_away_questionnaire_demographics,time_away_questionnaire_experience,time_away_questionnaire_keywords,time_away_questionnaire_open,time_away_questionnaire_transportation,time_away_reading,time_away_welcome,attncheck,focusevents,spr_max
1027,True,True,True,True,4.0,1.0,1.0,7.0,7.0,7.0,7.0,4.0,7.0,5.0,7.0,3.0,7.0,3.0,7.0,7.0,74.0,78.0,60.0,0.8809523809523809,0.8571428571428571,0.8571428571428571,N,7.0,I thought of associations with certain words and things that I've been curious about and wanting to do in my life to come up with words.,meaning,equal,Word associations and generation before and after reading a narrative.,I felt like it was easier to think of words after reading the story because I was focused on what the words were saying and the imagery the story was generating for me. Before I felt like I was grasping at straws and making things up.,7.0,intentional,I was thinking about the common themes and words in the story and started off with those words before continuing on to more random ones.,7.0,6.0,7.0,5.0,7.0,1.0,3.0,4.0,I wasn't bored by the game as I'm used to playing with words. But I did feel a lot more relaxed after the story since it had a humorous conclusion and it's a relatable experience. I felt at ease trying to come up with more words even if they had no connections to each other.,USA,10:08,30-34,F,Right,Y,,Y,,Black,1,N,5,8,N,,7.0,,,0.0,,1719841928544.0,1719841920398.0,1719842307778.0,1719842054983.0,1719842027326.0,1719842039127.0,1719841918926.0,1719842593835.0,1719842901905.0,1719842615684.0,1719842498498.0,1719842955596.0,1719842550549.0,1719842249129.0,1719841919057.0,1719842027323.0,1719841928541.0,1719842498497.0,1719842249128.0,1719842039126.0,1719842054982.0,1719841919056.0,1719842615683.0,1719842955593.0,1719842901834.0,1719842550546.0,1719842970601.0,1719842593834.0,1719842307776.0,1719841920397.0,98779.0,8143.0,190719.0,194145.0,11800.0,15855.0,130.0,21848.0,53688.0,286150.0,52048.0,15005.0,43285.0,58647.0,1340.0,1719842315973.0,1719842066673.0,1719842259781.0,1719842498497.0,1719842249128.0,1719842307776.0,47995.0,0.7251144670318591,8197.0,8744.0,8653.0,2268.248687055916,,5022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5522.0
1028,True,True,True,False,3.0,0.75,1.0,7.0,2.0,6.0,7.0,3.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,7.0,66.0,69.0,53.0,0.7857142857142857,0.7582417582417582,0.7571428571428571,N,7.0,i wrote down the first words that came to mind.,sound,equal,ability to give words on demand,there was not any much difference,5.0,unintentional,i still had the story in mind when i was playing the word game.,5.0,3.0,5.0,4.0,4.0,6.0,2.0,5.0,after reading the story i was now easy for me to come up with new words.,USA,10:12,50-54,M,Right,Y,,Y,,Black,1,N,4,6,N,,,,,2005.0,,1719842044234.0,1719842040101.0,1719842516383.0,1719842096917.0,1719842056739.0,1719842080574.0,1719842036231.0,1719842876789.0,1719843114830.0,1719842903701.0,1719842766596.0,1719843194312.0,1719842827346.0,1719842292051.0,1719842037190.0,1719842056738.0,1719842044233.0,1719842766594.0,1719842292051.0,1719842080574.0,1719842096916.0,1719842037189.0,1719842903699.0,1719843194311.0,1719843114828.0,1719842827344.0,1719843207293.0,1719842876787.0,1719842516383.0,1719842040099.0,12504.0,4132.0,250211.0,195134.0,23835.0,16342.0,958.0,26910.0,79481.0,211127.0,60748.0,12981.0,49441.0,224332.0,2909.0,1719842585858.0,1719842107340.0,1719842301009.0,1719842766594.0,1719842292050.0,1719842516383.0,215374.0,0.332685491521136,69475.0,26130.0,11450.0,3267.8441890166027,,0.0,0.0,0.0,2005.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,89896.0
1005,False,False,True,True,2.0,0.5,1.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,53.0,59.0,44.0,0.6309523809523809,0.6483516483516484,0.6285714285714286,N,3.0,I used the meaning of words mostly and sometimes the sound of the words,equal,equal,Use of word play,I didn't notice any difference,3.0,neither,"I was focused on trying to solve the word chain, so I almost forgot about the story I read.",2.0,1.0,3.0,3.0,5.0,2.0,3.0,1.0,"I didn't notice any difference other than I took the word play as a challenge, though I was confused in the first round but I was able to do better in the second round.",USA,18:38,30-34,M,Right,Y,,Y,,Black,1,N,5,8,N,,6.0,,,0.0,,1719775159657.0,1719775157650.0,1719775462199.0,1719775182848.0,1719775170517.0,1719775176424.0,1719775145408.0,1719775881645.0,1719776280912.0,1719775915702.0,1719775662173.0,1719776345404.0,1719775766783.0,1719775410096.0,1719775147255.0,1719775170515.0,1719775159655.0,1719775662170.0,1719775410095.0,1719775176423.0,1719775182847.0,1719775147253.0,1719775915699.0,1719776345400.0,1719776280904.0,1719775766780.0,1719776357032.0,1719775881643.0,1719775462199.0,1719775157648.0,10858.0,2005.0,199971.0,227247.0,5906.0,6423.0,1845.0,34054.0,64488.0,365202.0,104607.0,11628.0,114860.0,52103.0,10393.0,1719775481966.0,1719775213872.0,1719775419006.0,1719775662170.0,1719775410094.0,1719775462199.0,43193.0,0.10412629488252258,19767.0,48950.0,23050.0,12916.982456140353,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7942.0
1006,True,True,True,True,4.0,1.0,1.0,6.0,7.0,6.0,6.0,7.0,4.0,1.0,3.0,2.0,5.0,1.0,4.0,7.0,52.0,59.0,41.0,0.6190476190476191,0.6483516483516484,0.5857142857142857,N,5.0,"I tried not to chain together words that were related, like just list off every food item I could think of in a row",meaning,meaning,If the words I used after the story would relate more to the themes in it,I found myself trying to avoid words that were commonly used in the story,2.0,unintentional,"I wanted to use words like ""lamp"" and ""bulb"" but I didn't because I had the funny feeling that's what you wanted me to do",3.0,1.0,3.0,5.0,4.0,6.0,5.0,4.0,I felt like i got the general idea of the study a little more after the story ,USA,15:49,25-29,M,Right,Y,,Y,,White,1,N,1,8,N,,7.0,,"cool survey, I am curious too see what I actually typed during the word game because I was just going as fast as I could",0.0,,1719776104324.0,1719776099604.0,1719776425059.0,1719776163838.0,1719776140795.0,1719776155067.0,1719776097657.0,1719776714816.0,1719776966581.0,1719776732523.0,1719776617751.0,1719777020237.0,1719776671873.0,1719776359134.0,1719776098291.0,1719776140793.0,1719776104323.0,1719776617744.0,1719776358814.0,1719776155065.0,1719776163837.0,1719776098290.0,1719776732521.0,1719777020235.0,1719776966355.0,1719776671871.0,1719777069238.0,1719776714813.0,1719776425059.0,1719776099603.0,36469.0,4719.0,192685.0,194976.0,14270.0,8770.0,633.0,17705.0,53654.0,233832.0,54120.0,49001.0,42940.0,65925.0,1312.0,1719776434709.0,1719776175125.0,1719776366588.0,1719776617744.0,1719776358814.0,1719776425059.0,58471.0,0.18552587395884942,9650.0,10340.0,10340.0,4957.418128654971,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8447.0
1065,False,True,True,False,2.0,0.5,1.0,7.0,1.0,7.0,7.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,7.0,45.0,48.0,31.0,0.5357142857142857,0.5274725274725275,0.44285714285714284,N,7.0,random subjects over and over,equal,none,Peoples vocabulary ,I felt happy because i have done the same thing that was talked about in the story before.,4.0,intentional,A walk down memory lane. I have done the same thing before with the remote and everything. Glad to hear others have had it happen to him so im not alone.,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,I just felt humor cause i know exactly how ticked off the person in the story was cause i have been there before.,USA,12:49,35-39,M,Right,Y,,Y,,White,1,N,1,2,N,,7.0,,,0.0,,1719941574186.0,1719941568738.0,1719941868434.0,1719941622804.0,1719941579416.0,1719941585747.0,1719941556631.0,1719942203302.0,1719942517614.0,1719942231972.0,1719942114992.0,1719942563440.0,1719942158604.0,1719941816634.0,1719941556709.0,1719941579415.0,1719941574185.0,1719942114991.0,1719941816634.0,1719941585747.0,1719941622803.0,1719941556708.0,1719942231972.0,1719942563439.0,1719942517612.0,1719942158603.0,1719942575249.0,1719942203301.0,1719941868434.0,1719941568738.0,5229.0,5447.0,246557.0,193830.0,6331.0,37056.0,77.0,28670.0,45825.0,285640.0,43611.0,11809.0,44697.0,51800.0,12029.0,1719941933744.0,1719941635225.0,1719941825597.0,1719942114991.0,1719941816633.0,1719941868434.0,42837.0,0.41677669035213627,65310.0,11222.0,11222.0,3403.5305263157893,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6446.0
1029,True,True,True,True,4.0,1.0,1.0,6.0,7.0,7.0,7.0,4.0,7.0,1.0,5.0,5.0,5.0,7.0,7.0,7.0,71.0,75.0,57.0,0.8452380952380952,0.8241758241758241,0.8142857142857143,N,6.0,FORMING THEM MYSELF,meaning,meaning,COGNITIVE AND PSYCHOMOTOR ORIENTATION OF A HUMAN BRAIN,"THE WORD GAME WAS TO TEST MY TYPING SKILL, WHILE THE STORY READING WAS TO TEST MY READING ABILITY.",6.0,intentional,"AFTER READING THE STORY, IT KEPT REFLECTING IN MY MIND EVEN AFTERTHE SECOND WORD GAME. I FORMED SOME WORDS FROM THE STORY LINE.",7.0,7.0,4.0,7.0,6.0,5.0,5.0,6.0,"I FELT I WAS GOING TO FORM MY OWN STORY, EITHER RELATED TO THE FORMER OR NOT.",USA,11:11,45-49,M,Right,Y,,Y,,Black,1,N,5,9,N,,7.0,,"NOT REALLY BUT I HAD A GREAT TIME ON THE STUDY, THANKS.",0.0,,1719842072443.0,1719842053384.0,1719843520845.0,1719842579503.0,1719842549209.0,1719842579502.0,1719842050096.0,1719844113106.0,1719844897182.0,1719844176457.0,1719843750984.0,1719845470010.0,1719843976250.0,1719842814880.0,1719842050170.0,1719842549206.0,1719842072442.0,1719843750982.0,1719842814879.0,1719842579501.0,1719842579502.0,1719842050169.0,1719844176455.0,1719845470008.0,1719844897176.0,1719843976247.0,1719845537019.0,1719844113103.0,1719843520845.0,1719842053383.0,476763.0,19058.0,230137.0,235376.0,30292.0,0.0,73.0,63349.0,572826.0,720719.0,225263.0,67009.0,136853.0,705965.0,3213.0,1719843561950.0,1719842633797.0,1719842863158.0,1719843750982.0,1719842814878.0,1719843520845.0,657687.0,0.7748743438977198,41105.0,19766.0,19766.0,5383.160050675676,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,97613.0
1007,True,False,True,False,2.0,0.5,1.0,7.0,1.0,7.0,7.0,6.0,5.0,2.0,5.0,1.0,5.0,1.0,7.0,7.0,55.0,61.0,41.0,0.6547619047619048,0.6703296703296703,0.5857142857142857,N,3.0,looking around the room for ideas,none,none,memory,I felt I could now use vulgar words.,1.0,,,,,,,,,,,,USA,15:35,55-59,F,Right,Y,,Y,,White,1,N,3,10,N,,7.0,,,0.0,,1719775399938.0,1719775393783.0,1719775685235.0,1719775444543.0,1719775427849.0,1719775434300.0,1719775389038.0,1719775987344.0,1719776095403.0,1719776017036.0,1719775876165.0,1719776152589.0,1719775930630.0,1719775639980.0,1719775389463.0,1719775427846.0,1719775399934.0,1719775876161.0,1719775639978.0,1719775434298.0,1719775444541.0,1719775389459.0,1719776017032.0,1719776152584.0,1719776095394.0,1719775930624.0,1719776163519.0,1719775987339.0,1719775685233.0,1719775393778.0,27908.0,6151.0,190926.0,195435.0,6449.0,10241.0,421.0,29688.0,57181.0,78358.0,54459.0,10930.0,56709.0,45253.0,4315.0,1719775694009.0,1719775458323.0,1719775647833.0,1719775876161.0,1719775639977.0,1719775685233.0,37400.0,0.4414318792016617,8776.0,6691.0,6691.0,2972.301834130781,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4776.0
1066,True,True,True,True,4.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,4.0,7.0,7.0,69.0,70.0,55.0,0.8214285714285714,0.7692307692307693,0.7857142857142857,N,7.0,trying to remember as many words as possible ,equal,equal,my recollection ,i got more words after reading the story ,7.0,unintentional,aspects of the story come to mind,7.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,it was a very fun task i felt like i was having fun playing a game ,USA,12:52,45-49,M,Right,Y,,Y,,Black,1,N,5,6,N,,7.0,,,0.0,,1719941641999.0,1719941630560.0,1719942005382.0,1719941661734.0,1719941650598.0,1719941661733.0,1719941602231.0,1719942366732.0,1719942680990.0,1719942431211.0,1719942199563.0,1719942786674.0,1719942285917.0,1719941922617.0,1719941602769.0,1719941650597.0,1719941641997.0,1719942199561.0,1719941922616.0,1719941661732.0,1719941661733.0,1719941602767.0,1719942431208.0,1719942786671.0,1719942680984.0,1719942285914.0,1719942802479.0,1719942366730.0,1719942005382.0,1719941630558.0,8598.0,11437.0,194179.0,260882.0,11134.0,0.0,536.0,64476.0,105681.0,249773.0,86351.0,15805.0,80813.0,82765.0,27789.0,1719942017225.0,1719941736653.0,1719941936116.0,1719942199560.0,1719941922614.0,1719942005382.0,69266.0,0.5910443891269979,11843.0,20949.0,20949.0,5127.255417956657,,0.0,8332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2969.0,1,0,7636.0
1030,True,True,True,False,3.0,0.75,1.0,6.0,1.0,4.0,7.0,5.0,7.0,5.0,6.0,2.0,4.0,2.0,7.0,7.0,58.0,63.0,44.0,0.6904761904761905,0.6923076923076923,0.6285714285714286,N,7.0,I tried to think of similar words.,equal,sound,How a story impacts creativity?,I felt like after the story I had more words to use in the game. ,5.0,intentional,I used the story to help me think of words for the game.,7.0,1.0,5.0,7.0,6.0,3.0,4.0,4.0,"In the first game, I felt like my choices were really random. In the second game, I had some word ideas to play off of. By the end of the game I felt lost again.",USA,08:51,30-34,F,Right,Y,,Y,,White,1,N,5,9,N,,6.0,,,0.0,,1719841147039.0,1719841142456.0,1719841446865.0,1719841200234.0,1719841150754.0,1719841190984.0,1719841141454.0,1719841723434.0,1719841883988.0,1719841747239.0,1719841641344.0,1719841922337.0,1719841689037.0,1719841395402.0,1719841141557.0,1719841150753.0,1719841147038.0,1719841641342.0,1719841395401.0,1719841190983.0,1719841200233.0,1719841141556.0,1719841747238.0,1719841922335.0,1719841883986.0,1719841689036.0,1719841934852.0,1719841723433.0,1719841446864.0,1719841142455.0,3714.0,4582.0,194477.0,195167.0,40229.0,9249.0,102.0,23804.0,38347.0,136747.0,47692.0,12515.0,34396.0,51462.0,898.0,1719841460949.0,1719841214518.0,1719841400632.0,1719841641341.0,1719841395400.0,1719841446864.0,46232.0,0.8184299054315903,14085.0,7677.0,7677.0,2580.580267892843,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5178.0
1067,True,False,True,True,3.0,0.75,1.0,7.0,7.0,7.0,5.0,6.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,47.0,53.0,38.0,0.5595238095238095,0.5824175824175825,0.5428571428571428,N,4.0,"One of the things I did, was look around my room, and name the things I see. And for some of the words, I thought about how I was feeling, or my favorite things.",equal,equal,I am not quite sure what this is trying to measure.,My mind felt a little more clear the second time. It was easier to think of things. But I think that is because my (juices) were flowing the second time.,3.0,neither,I only kept a few things in my mind from the story. But that was because I knew it was going to ask me question about it later. It did not have any effect on my choice of words for the word chain game.,2.0,3.0,1.0,2.0,5.0,5.0,5.0,7.0,My mind seemed to be a little more clear and I was able to think of more words at a faster pace.,USA,13:52,35-39,M,Right,Y,,Y,,Black,1,N,1,8,N,,7.0,,This was fun. I want more of these.,0.0,,1719941583874.0,1719941577686.0,1719941917865.0,1719941629408.0,1719941594977.0,1719941617230.0,1719941576131.0,1719942238586.0,1719942724549.0,1719942281688.0,1719942113984.0,1719942788862.0,1719942178266.0,1719941837803.0,1719941576251.0,1719941594976.0,1719941583873.0,1719942113984.0,1719941837803.0,1719941617230.0,1719941629408.0,1719941576251.0,1719942281688.0,1719942788861.0,1719942724535.0,1719942178265.0,1719942818423.0,1719942238584.0,1719941917865.0,1719941577686.0,11102.0,6187.0,196119.0,208395.0,22253.0,12178.0,120.0,43102.0,64312.0,442847.0,64281.0,29561.0,60318.0,80062.0,1435.0,1719941931033.0,1719941651585.0,1719941851168.0,1719942113984.0,1719941837802.0,1719941917865.0,66697.0,0.7397615925131666,13168.0,12995.0,11744.0,5230.4930232558145,,0.0,0.0,0.0,0.0,12713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7568.0
