,exclusion,reason
2957,included,
2976,included,
2991,included,
2891,included,
2904,included,
2881,included,
2969,included,
2940,excluded,
2946,included,
2855,included,
2923,included,
2989,excluded,
2917,included,
2922,included,
2915,included,
2948,included,
2850,included,
2872,included,
2974,included,
2925,excluded,
2888,included,
2959,excluded,
2983,included,
2956,included,
2862,included,
2886,included,
2920,excluded,
2912,included,
2934,excluded,
2876,excluded,
2970,included,
2961,included,
2880,excluded,
2906,included,
2944,included,
2890,excluded,
2947,excluded,
2942,included,
2979,included,
2889,included,
2977,excluded,
2949,excluded,
2853,included,
2857,excluded,
2858,included,
2868,included,
2871,excluded,
2874,excluded,
2875,excluded,
2877,excluded,
2878,excluded,
2884,excluded,
2893,excluded,
2894,included,
2895,included,
2897,included,
2898,included,
2901,excluded,
2902,excluded,
2903,included,
2905,excluded,
2907,included,
2909,excluded,
2910,included,
2916,excluded,
2927,excluded,
2929,excluded,
2930,included,
2931,included,
2937,included,
2941,excluded,
2943,excluded,
2945,included,
2950,included,
2952,included,
2953,excluded,
2962,excluded,
2965,included,
2967,included,
2973,included,
2975,excluded,
2980,excluded,
2984,included,
2985,included,
2986,included,
2992,excluded,
2993,included,
2996,included,
2999,excluded,
3000,excluded,
3001,included,
3002,excluded,
3003,excluded,
3005,excluded,
3006,included,
3008,excluded,
3009,included,
2849,included,
2851,included,
2854,included,
2859,excluded,
2860,included,
2863,included,
2865,included,
2867,excluded,
2869,excluded,
2870,excluded,
2873,included,
2879,excluded,
2883,included,
2887,included,
2899,included,
2900,excluded,
2908,excluded,
2913,included,
2914,included,
2918,excluded,
2924,included,
2928,excluded,
2932,included,
2933,excluded,
2939,included,
2954,included,
2955,included,
2958,excluded,
2960,included,
2963,included,
2964,included,
2971,included,
2972,included,
2981,included,
2982,excluded,
2987,excluded,
2988,excluded,
2990,excluded,
2994,included,
2995,included,
2997,included,
2998,included,
3007,excluded,
3010,excluded,
3011,excluded,
3012,included,
3014,included,
3015,included,
3017,included,
3018,excluded,
3019,excluded,
3021,excluded,
3022,included,
3023,excluded,
3024,included,
2852,included,
2882,excluded,
2951,excluded,
3020,included,
2856,included,
2861,excluded,
2864,included,
2866,included,
2885,included,
2892,included,
2896,excluded,
2911,included,
2919,excluded,
2921,included,
2926,included,
2935,excluded,
2936,excluded,
2938,excluded,
2966,excluded,
2968,included,
2978,excluded,
3004,excluded,
3013,included,
3016,excluded,
3025,included,
3026,included,
3027,included,
3028,included,
3029,included,
3030,included,
3031,excluded,
3032,included,
3033,excluded,
3034,excluded,
3035,included,
3036,excluded,
2648,included,
2649,excluded,
2651,excluded,
2652,excluded,
2653,excluded,
2654,included,
2655,included,
2656,excluded,
2657,included,
2658,excluded,
2660,included,
2661,included,
2662,included,
2663,included,
2664,included,
2665,included,
2666,included,
2667,excluded,
2668,excluded,
2669,included,
2670,included,
2671,excluded,
2672,included,
2673,excluded,
2674,excluded,
2675,excluded,
2676,excluded,
2677,excluded,
2678,excluded,
2679,included,
2680,excluded,
2681,excluded,
2683,excluded,
2684,excluded,
2685,excluded,
2686,included,
2687,included,
2688,excluded,
2689,excluded,
2691,included,
2692,excluded,
2693,included,
2694,included,
2695,excluded,
2697,included,
2698,excluded,
2699,included,
2700,excluded,
2701,excluded,
2702,included,
2703,included,
2704,included,
2705,included,
2706,excluded,
2707,included,
2708,excluded,
2709,excluded,
2710,excluded,
2711,excluded,
2712,excluded,
2713,included,
2714,excluded,
2715,excluded,
2716,excluded,
2718,excluded,
2719,included,
2720,excluded,
2721,excluded,
2722,excluded,
2723,excluded,
2724,excluded,
2725,included,
2726,included,
2727,included,
2728,included,
2729,excluded,
2730,included,
2731,included,
2732,included,
2733,included,
2734,excluded,
2735,included,
2736,included,
2737,included,
2738,excluded,
2739,included,
2740,included,
2741,included,
2742,included,
2743,included,
2744,excluded,
2745,included,
2746,included,
2747,excluded,
2748,excluded,
2749,included,
2750,included,
2751,included,
2752,included,
2753,included,
2754,included,
2755,excluded,
2757,excluded,
2758,included,
2759,included,
2760,included,
2761,excluded,
2762,excluded,
2763,excluded,
2764,included,
2765,included,
2766,included,
2767,included,
2768,excluded,
2769,excluded,
2770,included,
2771,excluded,
2772,included,
2773,excluded,
2774,included,
2775,included,
2776,excluded,
2777,included,
2778,included,
2779,included,
2780,included,
2781,included,
2782,excluded,
2783,excluded,
2784,excluded,
2785,included,
2786,included,
2787,included,
2788,included,
2789,included,
2790,included,
2791,included,
2792,included,
2793,excluded,
2794,excluded,
2795,included,
2796,included,
2797,included,
2798,excluded,
2800,excluded,
2801,excluded,
2802,excluded,
2804,excluded,
2805,included,
2806,excluded,
2807,excluded,
2808,excluded,
2809,included,
2810,excluded,
2811,excluded,
2812,included,
2813,excluded,
2814,excluded,
2815,included,
2816,excluded,
2817,excluded,
2818,excluded,
2819,included,
2820,included,
2821,included,
2822,excluded,
2823,included,
2824,included,
2825,excluded,
2826,excluded,
2827,included,
2828,excluded,
2830,excluded,
2831,included,
2832,included,
2833,excluded,
2834,excluded,
2835,included,
2836,excluded,
2837,included,
2838,included,
2839,excluded,
2840,excluded,
2843,included,
2844,included,
2845,included,
2846,included,
2847,included,
2829,included,
2803,included,
2690,included,
2650,excluded,
2659,included,
2848,included,
2799,included,
2717,included,
2756,excluded,
2696,excluded,
2841,excluded,
2682,excluded,
2842,excluded,
