word,mean_rating
1,1.0
100meter,1.4
1960s,2.5
1968,1.4
24hours,3.9
3d,1.0
4 wheel drive,2.3
4th,1.4
7,4.6
70s,2.5
80s,1.1
911,5.5
AC,1.1
Alaska,1.2
Albania,1.0909090909090908
Alcohol,5.909090909090909
Algonquian,1.0
Andrew,2.0
April,1.5714285714285714
Athens,1.0
Australia,1.5
Baileys,1.4545454545454546
Beckham,1.0
Bedouin,1.0
Beige,1.0
Bella,1.9
Beta,1.2
CFL,1.0
Can't,3.2
Canada,1.0
Canada I guess,1.0909090909090908
Christmas,1.1
DC,1.1
Daniella,1.4
Danny,2.3
Davey,1.4545454545454546
Dijan Lovren,1.5
DnD,1.2
Don't,3.2857142857142856
Ender's game,1.0909090909090908
English,4.4
Evelyn,1.7
FALSE,2.3
Fabinho,1.0
Farmer's market,1.8
Finland,1.0
Ford,1.6
Friday,1.5
Georginio Winjnaldum,1.0
Germany,1.1
Guyana,1.0
Harry,1.4
Honda,1.5
Hopkins,1.4
Hudson's bay,1.8
Hyundai,1.0
I think it's a hundred yards,2.6
IVs,1.0
Ibrahima Konate,1.0
Isa,1.1
Jack,3.5454545454545454
Jog,1.1
LED,1.1
LeBron James,1.0
M seven,1.0
MRI,1.0
MTA,1.0
Macy's,1.0
Marta,1.2
McDonald,1.2
McDonalds,1.0
Mexico,1.3
Miami,1.0666666666666667
Minecraft,1.0
Minnesota,1.7
Monday,1.5
Moving,2.1
Netflix,1.0
Nissan,1.3
Oscars,1.0
Peabody,1.0
Philip,1.9
Pregabalin,1.1
Putin,1.1
Q-tips,1.0
Rogers centre,1.0
SI,1.4
SUV,2.272727272727273
Shirley,2.2
Shiva,1.0
Smithsonian,1.1
Spain,1.0
Sparta,1.0
Squint,1.4
Sweden,1.1
TRUE,3.1
TV,2.8
TV channels,2.1
Tesla’s,1.1
Thursday,1.3
Tim Hortons,1.0952380952380953
Timbits,1.2
Toyota,1.1
UFO,1.4
US,1.2727272727272727
UV,1.8
Udons,1.1
Ukraine,1.0
Vacation,3.4
Valentine's day,1.0
Vancouver,1.2
Washington DC,1.0
Washington monument,1.0
Wednesday,2.0
Weird,3.9047619047619047
Winners,1.3
Winston,1.6
Yellowstone,1.7
`,1.6
a,2.3
a balloon,1.4
a cross,2.6
a hundred,1.9
a lot,2.4
a-frame,1.0
aardvark,1.2
abandon,3.3636363636363638
abandonment,5.6
abatement,1.1
abba,1.2
abbott,1.4
abby,1.1
abdomen,3.0
abe,1.0
abel,1.5
abet,2.2
abide,1.5
ability,1.7
abject,2.3
able,3.0
abolish,1.2
abomination,3.5
abortion,1.6
about,2.4
above,1.9
abrasive,4.05
abs,1.1
absence,3.8
absent,2.3
absolutely,3.0
abstract,1.5
absurd,2.7
abuse,5.2
abusive,4.5
abut,1.0
abyss,1.5
abyssal,2.4
ac,1.0
academic,1.6
academics,1.2
academy,1.0
academyawards,1.1
accent,1.2
accept,3.45
acceptance,3.4
access,2.6
accessible,2.0
accessories,2.0
accessory,2.2
accident,3.55
accidental,3.05
accidents,4.090909090909091
acclaim,2.0
accompanied,5.4
accomplice,5.1
accomplices,5.65
accomplish,2.0
accomplishment,1.7
accord,2.7
according,3.0
account,1.8181818181818181
accountable,3.8
accountant,1.2
accounting,1.3
accounts,2.3
accurate,2.3
accusation,4.6
accused,5.5
ace,1.6
acer,1.1
aces,1.6
acetone,1.9
ache,3.0
aches,2.6
achieve,1.2
achievement,1.3636363636363635
achieving,2.0
achoo,1.0909090909090908
acidification,2.3
acidophilus,1.0
acids,2.6
acknowledge,3.4761904761904763
acne,1.0
acorn,1.0
acorns,1.6
acquaintance,4.714285714285714
acquiesce,2.3
acquire,1.3636363636363635
acre,1.8
acrid,1.2
acrobat,1.0
acrobatics,1.0
across,2.5
acrylic,1.0
act,3.55
acting,2.4
action,4.75
actionfigure,1.6
actions,4.25
activate,1.2
active,3.1
activists,1.3
activities,4.65
activity,3.5
actor,1.4
actors,1.8
actress,1.7
actresses,1.5
actual,2.3333333333333335
actually,2.3
acuity,1.0
adam,1.1
adapt,3.05
adapter,2.1
adapting,3.1
add,1.5454545454545454
adderall,1.0
addiction,3.9
adding,1.4
addition,1.7272727272727273
additional,1.8
address,2.0
adept,2.2
adhere,2.1
adhesive,1.1
adidas,1.0
adieu,1.1
adirondack chairs,3.0
adjective,2.7
adjectives,2.6
adjourn,1.6363636363636365
adjourning,1.5
adjudication,2.1
adjust,2.1
admin,1.0
administration,1.2
admiral,1.0
admired,1.6
admission,4.5
admissions,2.5454545454545454
admit,4.2727272727272725
ado,1.0
adobe,1.0909090909090908
adopt,1.1
adopting,1.3
adoption,1.4
adorn,2.272727272727273
adrenaline,3.8
