word,mean_rating
1,1.0
100meter,1.3
1960s,2.7
1968,1.3
24hours,3.0
3d,1.0
4 wheel drive,1.3
4th,1.4
7,4.6
70s,2.4
80s,1.1
911,2.95
AC,1.1
Alaska,1.2
Albania,1.0909090909090908
Alcohol,4.909090909090909
Algonquian,1.0
Andrew,2.0
April,1.4285714285714286
Athens,1.0
Australia,1.4
Baileys,1.0909090909090908
Beckham,1.0
Bedouin,1.0
Beige,1.5
Bella,1.7
Beta,1.4
CFL,1.0
Can't,2.7
Canada,1.1
Canada I guess,1.0909090909090908
Christmas,1.2
DC,1.1
Daniella,1.2
Danny,1.3
Davey,1.0909090909090908
Dijan Lovren,1.0
DnD,1.2
Don't,2.6666666666666665
Ender's game,1.2727272727272727
English,2.7
Evelyn,1.8
FALSE,2.0
Fabinho,1.0
Farmer's market,1.3
Finland,1.0
Ford,1.4
Friday,1.3
Georginio Winjnaldum,1.0
Germany,1.0
Guyana,1.0
Harry,1.5
Honda,1.0
Hopkins,1.2
Hudson's bay,1.7
Hyundai,1.0
I think it's a hundred yards,1.4
IVs,1.0
Ibrahima Konate,1.0
Isa,1.4
Jack,3.0
Jog,1.1
LED,1.1
LeBron James,1.0
M seven,1.1
MRI,1.0
MTA,1.0
Macy's,1.0
Marta,1.3
McDonald,1.3
McDonalds,1.0
Mexico,1.3
Miami,1.0666666666666667
Minecraft,1.0
Minnesota,1.5
Monday,1.5
Moving,2.2
Netflix,1.4
Nissan,1.2
Oscars,1.0
Peabody,1.0
Philip,1.2
Pregabalin,1.1
Putin,1.3
Q-tips,1.0
Rogers centre,1.0
SI,1.4
SUV,1.8181818181818181
Shirley,1.8
Shiva,1.0
Smithsonian,1.3
Spain,1.0
Sparta,1.1
Squint,1.4
Sweden,1.2
TRUE,2.8
TV,1.5
TV channels,1.1
Tesla’s,1.1
Thursday,1.1
Tim Hortons,1.0
Timbits,1.2
Toyota,1.1
UFO,1.0
US,1.2727272727272727
UV,1.6
Udons,1.1
Ukraine,1.0
Vacation,2.8
Valentine's day,1.1
Vancouver,1.6
Washington DC,1.2
Washington monument,1.0
Wednesday,2.0
Weird,4.190476190476191
Winners,1.2
Winston,1.2
Yellowstone,1.3
`,1.0
a,1.6
a balloon,1.4
a cross,1.3
a hundred,1.7
a lot,2.4
a-frame,1.0
aardvark,1.2
abandon,3.3636363636363638
abandonment,4.5
abatement,1.1
abba,1.1
abbott,1.4
abby,1.0
abdomen,1.9
abe,1.0
abel,1.4
abet,2.0
abide,1.9
ability,1.5
abject,2.5
able,2.4
abolish,1.3
abomination,2.8
abortion,1.1
about,2.7
above,1.6
abrasive,2.8
abs,1.0
absence,4.6
absent,2.3
absolutely,2.7
abstract,2.0
absurd,2.3
abuse,4.4
abusive,4.5
abut,1.0
abyss,1.6
abyssal,2.1
ac,1.0
academic,1.8
academics,1.2
academy,1.0
academyawards,1.1
accent,1.2
accept,2.85
acceptance,3.0
access,2.4
accessible,1.8
accessories,1.6
accessory,2.7
accident,3.5
accidental,2.15
accidents,3.4545454545454546
acclaim,2.0
accompanied,3.3
accomplice,4.6
accomplices,4.75
accomplish,2.090909090909091
accomplishment,1.7
accord,2.7
according,2.6
account,2.090909090909091
accountable,3.3
accountant,1.0
accounting,1.2
accounts,2.0
accurate,1.8
accusation,5.1
accused,4.5
ace,1.1
acer,1.1
aces,1.3
acetone,1.4
ache,3.6
aches,2.3
achieve,1.4
achievement,1.2727272727272727
achieving,1.8
achoo,1.0
acidification,1.8
acidophilus,1.0
acids,2.4
acknowledge,2.8095238095238093
acne,1.0
acorn,1.0
acorns,1.1
acquaintance,3.9047619047619047
acquiesce,2.6
acquire,1.3636363636363635
acre,1.5
acrid,1.4
acrobat,1.0
acrobatics,1.1
across,2.0
acrylic,1.6
act,2.85
acting,2.7
action,4.3
actionfigure,1.0
actions,4.15
activate,1.1
active,2.65
activists,1.5
activities,3.25
activity,2.7
actor,1.4
actors,1.9
actress,1.4
actresses,1.3
actual,1.8333333333333333
actually,2.0
acuity,1.0
adam,1.1
adapt,2.85
adapter,2.0
adapting,2.1
add,1.4545454545454546
adderall,1.0
addiction,3.6
adding,1.1
addition,1.6363636363636365
additional,1.5
address,1.5
adept,2.0
adhere,2.3
adhesive,1.0
adidas,1.0
adieu,1.4
adirondack chairs,1.9
adjective,2.7
adjectives,3.1
adjourn,1.3636363636363635
adjourning,1.5
adjudication,1.7
adjust,1.7
admin,1.0
administration,1.1
admiral,1.0
admired,1.3
admission,3.9
admissions,1.5454545454545454
admit,3.3636363636363638
ado,1.0
adobe,1.0909090909090908
adopt,1.1
adopting,1.4
adoption,1.0
adorn,1.6363636363636365
adrenaline,3.8
ads,1.0
adult,5.0
adultery,2.3
adults,4.8
advance,1.6
advanced,1.9090909090909092
advances,2.5
advancing,1.6
advantage,2.3
advent,1.2
adventure,3.727272727272727
adventures,2.9
adventurous,2.9
adverb,1.3
adversary,2.6
advertising,1.1
advice,2.4
advise,2.5
advisor,1.2
aerie,1.0
aerobic,1.7
aerobics,1.0
aeroplane,1.0
aerosmith,1.0
aesthetic,1.1
afar,1.5
affair,2.2
affect,2.8181818181818183
affection,2.85
affluent,1.5
afghan,1.0
afghanistan,1.1
afraid,4.8
africa,1.3
afro,1.0
afte,1.3
after,3.35
after ten,1.4545454545454546
afternoon,2.3
afterwards,3.55
again,3.380952380952381
against,2.8
age,2.3636363636363638
ageing,2.3
ageless,1.8
agency,2.1
agenda,2.2
agent,1.4
ages,2.7
aggravated,4.1
aggression,4.65
aggressive,3.15
aggro,2.3
agile,1.8
aging,1.9090909090909092
agitate,4.1
agitated,4.1
agitated emotions,5.0
aglet ,1.0
agnostic,1.6
ago,2.4
agony,3.7
agree,2.5
agreement,3.0952380952380953
agriculture,1.0
ah,1.6
ahead,2.4
ai,1.0
aid,2.0
aidan,1.3636363636363635
aide,2.1
aids,1.1
ailment,1.8
ailments,1.0
aim,2.2
aiming,2.1
aint,1.2
air,1.6
air conditioner,1.4
air conditioning,1.1
air plane,1.0
airborne,1.2
airbus,1.0909090909090908
aircraft,1.1
airflow,1.1
airforce,1.0
airline,1.1
airpit,1.1
airplane,1.1
airplanes,1.0
airport,1.0
airports,1.0
airsoft rifles,1.0
airtime,1.1
airy,1.9090909090909092
aisle,1.6
aisles,1.3
ajax,1.1
alabama,1.4
alabaster,1.6363636363636365
alarm,2.6
alarming,3.4
alaska,1.8
albatross,1.9
alberta,1.0
alcohol,3.9
alcohol cabinet,2.8333333333333335
alcoholic,4.65
alcoholism,4.285714285714286
ale,3.0833333333333335
alert,3.2
alexa,1.0
alexander,1.1
alexander arnold,1.1
alf,1.0
alfred,1.0
alfredo,1.0
algae,1.3
algebra,1.0
algeria,1.0
algorithm,1.1
alice,1.2
alien,1.2
alienation,3.6
aliens,1.0
alight,1.0
align,1.2
alignment,1.7
alike,2.3636363636363638
alimony,1.3
alisson becker,1.0
alive,3.75
all,2.6
all men are creeps,3.5
all those characters,3.8
allen keys,1.5454545454545454
allergic,1.0
allergy,1.2
alleviate,2.5
alley,1.1
alliance,2.090909090909091
alligator,2.0
alligators,1.0
allotment,1.1
allow,3.1
allowance,1.5
allure,2.4
ally,1.9090909090909092
almighty,1.1
almond,1.1
almonds,1.0
almost,3.5
aloe,1.3
