word,rating
depress,4
7,1
coolwater,4
hearth,3
horrendous,4
mountain,4
frail,3
limping,1
girl,7
halls,1
fish tank,2
eye,4
baker,3
burden,6
manipulator,1
glued,1
business,5
camping,7
brutality,6
morning,3
exhale,1
beat,1
text,1
outlaw,1
linping,1
neck,3
frok,1
cool water,4
mama,3
there,1
needs,4
deadwood,1
whiskey,6
houses,3
sandwich,2
together,6
mysteries,5
can,2
horrible,4
bowls,3
landscape,4
lunatic,1
abuse,5
looking,6
nieghbor,3
act,5
lgiths,1
negative,2
creak,2
grounds,4
flower,5
full,1
necessary,5
lemon,1
cans,5
hip,3
movie,1
clesr,1
cord,3
grumpy,1
one,1
husband,7
drown,6
curtains,3
nail polish,4
freedom,2
dog,1
floaty,3
extreme,1
dancing,1
hold,4
cried,5
oat,2
blond,2
organ,6
brother,6
now,1
frighten,3
drier,3
farm,3
nylon,3
pears,1
forests,4
memories,5
fish,7
musicians,1
crops,2
bank,5
bench,4
moody,1
hardship,1
sore,1
neigbor,3
entice,1
maybe,3
fat,1
type,1
miles,5
machine,1
emphasis,1
falsely,4
finger,4
daughters,5
plant,1
clear,4
lie,6
mischief,1
cereal,2
brifge,1
napkin,3
moment,4
ham,1
dryer,3
effects,4
nailpolish,4
intentions,6
storm,1
24hours,2
free,1
head.,5
hang,2
barbarian,1
erie,2
courage,1
comedy,1
musix,1
neighbor,5
candy,3
headlight,1
hats,1
afternoon,2
breakfast,4
head,5
his,3
nurse,1
meter,2
fenders,2
bridge,5
nasty,2
my,2
croak,1
friday,2
hunt,1
expressing,1
live,2
eagle,1
elicit,1
forks,3
crowd,5
housewife,4
highlight,1
hips,3
fingers,4
leading,1
missed,4
911,1
station,4
horn,3
foot,1
television,3
bundle,1
daring,1
creek,7
neighborhood,5
egg,2
dad,4
marnie,4
body,7
playing,5
bodey,1
drain,4
lady,3
memorable,1
fishing,7
aggravated,4
measurements,5
break,4
good,1
measure,4
eliminate,2
pay,4
human,3
goodmorning,2
adventure,2
mirror,5
markets,2
happening,3
critical,5
names,6
tent,4
leg,2
dean,5
fire,4
hair,4
crossing,4
lost,5
group,6
opportunity,1
exciting,1
malicious,4
aggression,5
suit,3
grow,1
missing,5
orchards,2
loom,4
alarm,4
mature,1
muscles,3
miserable,4
cutting,5
horrid,4
lean,1
naill,1
theater,1
fuck,2
banks,4
gasping,1
fraile,1
lawn,2
bind,4
mortgage,1
medicine,1
naybe,1
killed,7
adult,4
brothers,6
tiny,1
bodies,6
laws,5
crockery,4
order,4
fearsome,1
drifting,5
running,1
agression,3
cookies,4
fazed,1
when,1
owl,1
maniac,1
copulate,1
corsage,1
darkness,5
elm,3
nature,5
rich,1
maddox,6
eyres,1
age,1
manslaughter,5
heaf,1
dealth,1
branches,5
offensive,2
drayer,1
daughter,5
edition,4
mably,1
limpin,1
dawn,2
trail,3
cloths,1
dads,6
murder,7
detained,5
cutlery,2
ride,3
canvas,3
creepy,3
gentlemen,6
trash,1
hesitate,6
account,5
right,3
girlfriend,1
light,4
me,3
badly,1
manicure,4
dustpan,3
branch,5
moss,5
neighbors,6
had,1
obedience,1
woman,6
knots,4
lights,4
cords,3
helpme,1
again,3
fishtank,1
out,2
malicious.,4
oats,2
nail,3
fork,3
tupperware,1
coulleges,1
motorboat,2
guesswork,3
vamps,1
tanker,1
parquet,1
pepe,1
huckleberry,1
online,1
san,1
laptop,1
sappy,2
fishandchips,2
alligator,1
uphold,3
palntain,1
besides,1
pontificate,3
dismissal,6
alchemy,1
kyeboard,1
bead,1
aerobic,1
tampons,1
protest,2
strong,2
cussed,3
brood,4
choclate,1
approach,3
yalp,1
giver,1
utterly,1
stbernard,1
assistance,4
chipscookiescake,1
millennia,1
doors,1
pils,2
lantern,2
butt,1
northeast,1
libra,1
melatonin,2
wetlands,3
blake,1
pirate,1
dexterous,2
sealing,3
hustpapuppies,1
headaches,1
communion,3
reporters,6
grandson,1
seasame,1
partygate,1
challenges,3
underhanded,4
flush,1
pith,1
cyborg,1
evenings,2
relaxed,2
discourse,4
thrashing,2
waterway,6
serisouly,1
relent,4
exaggerate,3
message board,1
bustle,2
larger,1
pastures,3
duo,2
ream,1
hotmail,1
fixing,3
macaroni,1
stye,1
kat,1
tabbit,1
doggy,1
happeness,1
motivated,3
scholarship,1
earrings,1
iceskater,1
recollection,5
phd,1
corks,2
inward,4
skateboard,1
genuine,3
amidst,1
kane,1
garage,1
flatulent,1
accompolish,1
paydyas,1
thirst,2
boardshorts,1
lustrous,1
dialtone,2
leavemy,1
fulfilment,2
investor,1
ambience,3
finals,1
fact,4
siegfried,1
retire,1
needed,2
gardenia,1
sentences,3
neopolitan,1
nightie,2
atheist,1
nada,2
doctorate,1
interwoven,3
extrovert,1
fibia,1
wisconsin,1
chore,2
prado,1
centimetre,1
vaxe,1
asterisk,1
climax,2
wr,1
dictation,2
complet,1
eyeglasses,1
alonf,1
fiddlehead,1
silent,6
hinges,1
these,1
fist,2
victoria,1
nicest,1
barrier,3
protests,2
alas,2
handwriting,2
curler,2
calculation,4
unty,1
shrub,1
pandemmic,1
coroner,7
sherlock,3
protective,5
crule,2
antiques,1
astonishing,2
lightbulb,2
angels,2
nightmare,3
factual,4
prune,1
sharper,1
medecine,3
pianiwt,1
nokia,1
bronzer,1
priceless,1
born,2
flirtation,2
divergent,2
triumph,1
malignant,4
unsettle,4
empathy,6
robotics,1
adapter,1
u-boat,1
emotional,6
poppyseeds,1
keybaord,1
uncontrolled,3
papercut,1
frosted,1
civilrights,1
struggle,5
statefair,1
tracker,2
talkative,3
volcanio,1
throws,3
nets,4
procrastination,5
stardew valley,1
illustration,2
huwai,1
nifty,1
hopeful,2
moll,1
primate,1
cabana,1
mashup,1
strategize,3
northwest,2
americans,1
spyglass,3
their,1
unattractive,2
showers,1
lowering,2
resipients,1
ashore,7
rabies,1
wed,1
woodlands,4
companion,5
mallarchy,1
calligraphy,1
zesty,1
proxac,1
smil,1
alcholic,3
pick,2
oy,1
sleep couch,2
rater,1
dwelling,3
revolting,4
may,1
herculaneum,1
pedestrian,2
foul,4
granola,1
oceanliner,1
part,1
lightpen,1
wade,6
incest,1
makers,1
prosthetic,1
article,5
lurid,5
clans,2
limestone,1
tart,2
disorganized,1
guests,3
challenging,3
ragna,1
keyboards,1
ageless,1
bodyscub,2
popping,1
plants,1
incompetent,4
scope,3
wright,1
stalk,1
defeat,2
serendepity,1
pizza bomb,1
emergencyroom,2
fighr,1
boondocks,3
wjem,1
squiggle,1
stripped,3
correct,2
toboggan,1
wednessday,1
ricer,1
refurbished,1
horoscope,1
stocking,1
nineth,1
chances,3
aromatic,1
boxing,1
twizzlers,1
primerib,1
ore,1
repertoire,2
muisc,2
entity,1
canes,1
upl,1
icorrect,1
her,3
balancing,3
futures,3
okonomiyaki,1
elapse,2
unbalanced,4
nightfall,2
fust,1
birdlike,1
crumple,2
camaraderi,5
bobbing,5
liquor,5
denimhideouspopping,1
immaculate,1
vocabular,1
tenant,1
tubing,1
sexes,2
mournful,6
invited,2
burqa,1
ingredient,1
statue,1
train,2
marmite,1
field trip,2
intervene,6
hairless,1
patrol,2
rides,2
padres,1
angr,2
footprints,3
textiles,1
tuber,1
suits,3
trowsers,2
pe,1
pilfer,2
cooperation,4
tampa,1
linrs,1
notpad,1
incise,2
litmus,1
icebox,2
tyranosaur,1
febreze,1
refusal,5
narration,3
raichu,1
oderless,2
guided,2
campervan,3
crazed,3
roastbeef,1
fop,1
spotlight,3
nolan,1
summe,3
tuck,2
aling,1
rewriye,1
commander,1
venosaur,1
umbrela,1
natural sciences,2
polena,1
beadyeyed,2
biking,1
always,2
debonaire,1
render,2
dammit,4
jabber,2
machete,1
spires,1
elocution,1
takingnotes,2
lobster,1
squatter,1
sammamish,2
signs,3
miserly,1
stinger,1
bastio,1
nomenclature,1
cater,2
mote,2
sever,4
video,2
lightning,1
dies,7
cars,3
crustacean,1
poorly,2
liens,1
misses,2
ineedtoeat,3
spiky,1
trowel,1
cocoon,2
twelve,1
instincts,5
knoww,1
droll,1
itshard,2
knuckle,2
happpening,2
briefs,1
serious,4
concrete,2
sho,1
fierce,2
fullied,1
borning,1
goon,3
stimulating,1
rolex,1
argentina,1
pistachio,1
croquet,1
freelance,1
cheesy,1
sasdness,5
flavinoid,1
awaken,3
prior,2
excess,3
abbey,1
mj,1
soca,1
favre,1
ironic,5
salery,1
unique,2
chocice,3
walleye,2
modestmouse,1
dishonesty,6
insider,3
sprain,1
veneer,6
