participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
1282,piano,0,3603,"[1695, 223, 118, 228, 269, 1070]","['P', 'I', 'A', 'N', 'O', '\r']","[80, 73, 65, 78, 79, 13]",3606,1710879165337,1695,1695,1.2
1282,red,1,2333,"[1481, 220, 250, 382]","['R', 'E', 'D', '\r']","[82, 69, 68, 13]",5940,1710879167671,1481,5087,2.1
1282,look,2,1997,"[842, 422, 152, 223, 358]","['L', 'O', 'O', 'K', '\r']","[76, 79, 79, 75, 13]",7938,1710879169669,842,6782,4.545454545454546
1282,wonder,3,2585,"[1492, 197, 212, 121, 193, 150, 220]","['W', 'O', 'N', 'D', 'E', 'R', '\r']","[87, 79, 78, 68, 69, 82, 13]",10524,1710879172255,1492,9430,2.0
1282,five,4,2228,"[1496, 125, 151, 158, 298]","['F', 'I', 'V', 'E', '\r']","[70, 73, 86, 69, 13]",12753,1710879174484,1496,12020,
1282,new,5,2117,"[1373, 167, 243, 334]","['N', 'E', 'W', '\r']","[78, 69, 87, 13]",14871,1710879176602,1373,14126,2.272727272727273
1282,dolphin,6,3623,"[1421, 396, 220, 271, 515, 169, 187, 443]","['D', 'O', 'L', 'P', 'H', 'I', 'N', '\r']","[68, 79, 76, 80, 72, 73, 78, 13]",18495,1710879180226,1421,16292,1.0
1282,pain,7,2323,"[1416, 153, 142, 198, 414]","['P', 'A', 'I', 'N', '\r']","[80, 65, 73, 78, 13]",20818,1710879182549,1416,19911,5.25
1282,sad,8,2388,"[1570, 228, 243, 347]","['S', 'A', 'D', '\r']","[83, 65, 68, 13]",23206,1710879184937,1570,22388,5.2
1282,sun,9,2432,"[1633, 188, 223, 388]","['S', 'U', 'N', '\r']","[83, 85, 78, 13]",25639,1710879187370,1633,24839,3.5238095238095237
1282,cloud,10,2468,"[1129, 146, 307, 178, 361, 347]","['C', 'L', 'O', 'U', 'D', '\r']","[67, 76, 79, 85, 68, 13]",28107,1710879189838,1129,26768,2.0
1282,ice,11,2626,"[1107, 169, 208, 1142]","['I', 'C', 'E', '\r']","[73, 67, 69, 13]",30733,1710879192464,1107,29214,1.0
1282,fire,12,2294,"[1062, 155, 169, 179, 729]","['F', 'I', 'R', 'E', '\r']","[70, 73, 82, 69, 13]",33027,1710879194758,1062,31795,3.75
1282,soon,13,2984,"[2118, 148, 174, 235, 309]","['S', 'O', 'O', 'N', '\r']","[83, 79, 79, 78, 13]",36011,1710879197742,2118,35145,2.6
1282,runner,14,4436,"[3424, 135, 222, 123, 130, 186, 216]","['R', 'U', 'N', 'N', 'E', 'R', '\r']","[82, 85, 78, 78, 69, 82, 13]",40448,1710879202179,3424,39435,1.9090909090909092
1282,table,15,2511,"[1322, 266, 130, 222, 122, 449]","['T', 'A', 'B', 'L', 'E', '\r']","[84, 65, 66, 76, 69, 13]",42959,1710879204690,1322,41770,4.095238095238095
1282,chair,16,2241,"[1135, 176, 138, 156, 166, 469]","['C', 'H', 'A', 'I', 'R', '\r']","[67, 72, 65, 73, 82, 13]",45201,1710879206932,1135,44094,3.64
1282,wallet,17,2681,"[1067, 221, 145, 152, 149, 256, 691]","['W', 'A', 'L', 'L', 'E', 'T', '\r']","[87, 65, 76, 76, 69, 84, 13]",47883,1710879209614,1067,46268,1.1
