participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
2648,car,0,2022,"[1478, 127, 207, 209]","['C', 'A', 'R', '\r']","[67, 65, 82, 13]",2025,1772309103920,1478,1478,3.0
2648,lot,1,2479,"[1904, 183, 175, 217]","['L', 'O', 'T', '\r']","[76, 79, 84, 13]",4505,1772309106400,1904,3929,1.0
2648,dodge,2,1765,"[788, 105, 288, 168, 120, 295]","['D', 'O', 'D', 'G', 'E', '\r']","[68, 79, 68, 71, 69, 13]",6273,1772309108168,788,5293,1.0
2648,salesman,3,4926,"[999, 392, 279, 56, 137, 143, 177, 159, 112, 953, 144, 160, 144, 599, 137, 79, 256]","['C', '\x08', 'S', 'A', 'L', 'E', 'M', 'A', 'N', '\x08', '\x08', '\x08', 'S', 'M', 'A', 'N', '\r']","[67, 8, 83, 65, 76, 69, 77, 65, 78, 8, 8, 8, 83, 77, 65, 78, 13]",11200,1772309113095,999,7272,1.0
2648,negotiate,4,2544,"[799, 385, 191, 153, 319, 216, 121, 143, 33, 184]","['N', 'E', 'G', 'O', 'T', 'I', 'A', 'T', 'E', '\r']","[78, 69, 71, 79, 84, 73, 65, 84, 69, 13]",13745,1772309115640,799,11999,2.0
2648,money,5,3695,"[2839, 177, 88, 168, 135, 288]","['M', 'O', 'N', 'E', 'Y', '\r']","[77, 79, 78, 69, 89, 13]",17440,1772309119335,2839,16584,2.0
2648,testdrive,6,1975,"[527, 120, 183, 97, 295, 145, 144, 120, 191, 153]","['T', 'E', 'S', 'T', 'D', 'R', 'I', 'V', 'E', '\r']","[84, 69, 83, 84, 68, 82, 73, 86, 69, 13]",19417,1772309121312,527,17967,
2648,purchase,7,4767,"[3422, 312, 152, 305, 120, 127, 65, 159, 105]","['P', 'U', 'R', 'C', 'H', 'A', 'S', 'E', '\r']","[80, 85, 82, 67, 72, 65, 83, 69, 13]",24185,1772309126080,3422,22839,2.0
2648,taxes,8,1872,"[871, 176, 233, 240, 176, 176]","['T', 'A', 'X', 'E', 'S', '\r']","[84, 65, 88, 69, 83, 13]",26057,1772309127952,871,25056,1.0
2648,spin,9,3239,"[2567, 111, 256, 49, 256]","['S', 'P', 'I', 'N', '\r']","[83, 80, 73, 78, 13]",29297,1772309131192,2567,28624,3.0
2648,carwash,10,6455,"[5326, 64, 209, 103, 193, 40, 152, 368]","['C', 'A', 'R', 'W', 'A', 'S', 'H', '\r']","[67, 65, 82, 87, 65, 83, 72, 13]",35753,1772309137648,5326,34623,1.0
2648,drive,11,2384,"[1712, 159, 136, 144, 80, 153]","['D', 'R', 'I', 'V', 'E', '\r']","[68, 82, 73, 86, 69, 13]",38137,1772309140032,1712,37465,4.0
2648,share,12,1560,"[888, 184, 104, 167, 65, 152]","['S', 'H', 'A', 'R', 'E', '\r']","[83, 72, 65, 82, 69, 13]",39697,1772309141592,888,39025,3.0
