participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
2849,grass,0,5385,"[2469, 239, 556, 480, 241, 1400]","['G', 'R', 'A', 'S', 'S', '\r']","[71, 82, 65, 83, 83, 13]",5386,1772393582234,2469,2469,3.0
2849,cats,1,4049,"[1423, 314, 271, 315, 1726]","['C', 'A', 'T', 'S', '\r']","[67, 65, 84, 83, 13]",9438,1772393586286,1423,6809,1.0
2849,nails,2,3891,"[1448, 212, 262, 295, 306, 1368]","['N', 'A', 'I', 'L', 'S', '\r']","[78, 65, 73, 76, 83, 13]",13330,1772393590178,1448,10886,3.0
2849,breakfast,3,5897,"[1042, 203, 263, 609, 1229, 1023, 259, 305, 171, 793]","['B', 'R', 'E', 'A', 'K', 'F', 'A', 'S', 'T', '\r']","[66, 82, 69, 65, 75, 70, 65, 83, 84, 13]",19228,1772393596076,1042,14372,4.0
2849,lunch,4,3747,"[1258, 324, 296, 548, 180, 1141]","['L', 'U', 'N', 'C', 'H', '\r']","[76, 85, 78, 67, 72, 13]",22976,1772393599824,1258,20486,1.0
2849,why,5,4108,"[1533, 203, 1218, 1154]","['W', 'H', 'Y', '\r']","[87, 72, 89, 13]",27085,1772393603933,1533,24509,1.0
2849,yes,6,1783,"[833, 239, 277, 434]","['Y', 'E', 'S', '\r']","[89, 69, 83, 13]",28870,1772393605718,833,27918,1.0
2849,give,7,3529,"[2071, 213, 425, 211, 609]","['G', 'I', 'V', 'E', '\r']","[71, 73, 86, 69, 13]",32400,1772393609248,2071,30941,1.0
2849,take,8,1881,"[535, 294, 376, 271, 405]","['T', 'A', 'K', 'E', '\r']","[84, 65, 75, 69, 13]",34281,1772393611129,535,32935,2.0
2849,sound,9,4926,"[3105, 222, 262, 295, 364, 678]","['S', 'O', 'U', 'N', 'D', '\r']","[83, 79, 85, 78, 68, 13]",39208,1772393616056,3105,37386,2.0
2849,hair,10,5228,"[894, 278, 285, 1718, 820, 293, 940]","['H', 'A', 'O', '\x08', 'I', 'R', '\r']","[72, 65, 79, 8, 73, 82, 13]",44437,1772393621285,894,40102,4.0
2849,feet,11,3080,"[1064, 426, 234, 181, 1175]","['F', 'E', 'E', 'T', '\r']","[70, 69, 69, 84, 13]",47517,1772393624365,1064,45501,2.0
