participantID,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,word_text,timestamp_absolute,timestamp
1000,1,2843,"[1994, 114, 190]","[""S"",""U"",""N""]","[83,85,78]",sun,1641246844717,2843
1000,2,1351,"[600, 152, 119, 152, 137]","[""S"",""H"",""I"",""N"",""E""]","[83,72,73,78,69]",shine,1641246846068,4194
1000,3,2121,"[1217, 159, 168, 153, 119, 113]","[""B"",""R"",""I"",""G"",""H"",""T""]","[66,82,73,71,72,84]",bright,1641246848189,6315
1000,4,1824,"[672, 215, 225, 264, 143, 129]","[""C"",""L"",""E"",""V"",""E"",""R""]","[67,76,69,86,69,82]",clever,1641246850013,8139
1000,5,1752,"[774, 153, 193, 328, 120]","[""C"",""L"",""O"",""G"",""S""]","[67,76,79,71,83]",clogs,1641246851765,9891
1000,6,1816,"[1056, 119, 169, 119, 217]","[""S"",""H"",""O"",""E"",""S""]","[83,72,79,69,83]",shoes,1641246853581,11707
1000,7,1671,"[1064, 264, 111]","[""F"",""I"",""T""]","[70,73,84]",fit,1641246855252,13378
1000,8,2089,"[1265, 208, 192, 143]","[""W"",""E"",""L"",""L""]","[87,69,76,76]",well,1641246857341,15467
1000,9,1720,"[898, 222, 144, 215, 41]","[""W"",""A"",""T"",""E"",""R""]","[87,65,84,69,82]",water,1641246859061,17187
1000,10,2616,"[2056, 183, 241]","[""L"",""O"",""G""]","[76,79,71]",log,1641246861677,19803
1000,11,4993,"[4385, 168, 144, 120]","[""W"",""O"",""O"",""D""]","[87,79,79,68]",wood,1641246866670,24796
1000,12,2201,"[1392, 200, 264, 176]","[""T"",""R"",""E"",""E""]","[84,82,69,69]",tree,1641246868871,26997
1000,13,2384,"[1191, 192, 120, 360, 264]","[""H"",""O"",""U"",""S"",""E""]","[72,79,85,83,69]",house,1641246871255,29381
1000,14,2480,"[1199, 200, 145, 791]","[""R"",""O"",""O"",""F""]","[82,79,79,70]",roof,1641246873735,31861
1000,15,2672,"[737, 190, 328, 248, 193, 175, 144]","[""C"",""H"",""I"",""M"",""N"",""E"",""Y""]","[67,72,73,77,78,69,89]",chimney,1641246876407,34533
1000,16,1960,"[551, 240, 313, 160, 120]","[""S"",""W"",""E"",""E"",""P""]","[83,87,69,69,80]",sweep,1641246878367,36493
1000,17,1776,"[679, 195, 190, 151, 217]","[""B"",""R"",""O"",""O"",""M""]","[66,82,79,79,77]",broom,1641246880143,38269
1000,18,1927,"[750, 216, 225, 257, 151]","[""S"",""T"",""I"",""C"",""K""]","[83,84,73,67,75]",stick,1641246882070,40196
1000,19,2400,"[849, 216, 407, 545, 110, 144]","[""F"",""U"",""\b"",""I"",""R"",""E""]","[70,85,8,73,82,69]",fire,1641246884470,42596
1000,20,1353,"[664, 152, 249]","[""H"",""O"",""T""]","[72,79,84]",hot,1641246885823,43949
1000,21,3896,"[1128, 151, 201, 184, 720, 200, 520, 304, 160, 143]","[""C"",""L"",""O"",""D"",""\b"",""\b"",""\b"",""O"",""L"",""D""]","[67,76,79,68,8,8,8,79,76,68]",cold,1641246889719,47845
1000,22,1824,"[944, 352, 168, 144]","[""S"",""N"",""O"",""W""]","[83,78,79,87]",snow,1641246891543,49669
1000,23,2392,"[1880, 136, 96]","[""M"",""A"",""N""]","[77,65,78]",man,1641246893935,52061
1000,24,3815,"[1536, 167, 377, 552, 592, 168, 80]","[""W"",""O"",""A"",""\b"",""M"",""A"",""N""]","[87,79,65,8,77,65,78]",woman,1641246897750,55876
1000,25,1905,"[1165, 131, 169, 96, 128]","[""F"",""I"",""G"",""H"",""T""]","[70,73,71,72,84]",fight,1641246899655,57781
1000,26,3777,"[2897, 190, 177, 136]","[""F"",""I"",""S"",""T""]","[70,73,83,84]",fist,1641246903432,61558
1000,27,2328,"[1071, 184, 168, 528, 120]","[""G"",""L"",""O"",""V"",""E""]","[71,76,79,86,69]",glove,1641246905760,63886
1000,28,1488,"[673, 206, 168, 168]","[""W"",""O"",""O"",""L""]","[87,79,79,76]",wool,1641246907248,65374
1000,29,4201,"[2600, 368, 159, 208, 128, 208]","[""N"",""E"",""E"",""D"",""L"",""E""]","[78,69,69,68,76,69]",needle,1641246911449,69575
1000,30,3815,"[2791, 167, 193, 248, 160]","[""P"",""O"",""I"",""N"",""T""]","[80,79,73,78,84]",point,1641246915264,73390
1000,31,2913,"[2000, 232, 272, 167]","[""V"",""I"",""E"",""W""]","[86,73,69,87]",view,1641246918177,76303
1000,32,2391,"[1495, 232, 152, 160, 136]","[""S"",""C"",""E"",""N"",""E""]","[83,67,69,78,69]",scene,1641246920568,78694
1000,33,1392,"[576, 168, 168, 136]","[""P"",""L"",""A"",""Y""]","[80,76,65,89]",play,1641246921960,80086
1000,34,3024,"[2157, 202, 201, 112, 212]","[""L"",""I"",""N"",""E"",""S""]","[76,73,78,69,83]",lines,1641246924984,83110
1000,35,3296,"[2352, 152, 183, 89, 224]","[""T"",""R"",""A"",""I"",""N""]","[84,82,65,73,78]",train,1641246928280,86406
1000,36,1888,"[951, 96, 177, 136, 48, 152, 72]","[""T"",""H"",""O"",""U"",""G"",""H"",""T""]","[84,72,79,85,71,72,84]",thought,1641246930168,88294
1000,37,2952,"[2025, 230, 185, 336]","[""I"",""D"",""E"",""A""]","[73,68,69,65]",idea,1641246933120,91246
1000,38,3025,"[2169, 174, 129, 136, 104, 112]","[""B"",""R"",""I"",""G"",""H"",""T""]","[66,82,73,71,72,84]",bright,1641246936145,94271
1000,39,1806,"[1152, 127, 120, 98]","[""S"",""T"",""A"",""R""]","[83,84,65,82]",star,1641246937951,96077
1000,40,1561,"[754, 190, 201, 80, 153]","[""L"",""I"",""G"",""H"",""T""]","[76,73,71,72,84]",light,1641246939512,97638
1000,41,2497,"[1585, 120, 127, 120]","[""S"",""H"",""O"",""W""]","[83,72,79,87]",show,1641246942009,100135
1000,42,3432,"[2399, 145, 119, 88]","[""S"",""T"",""A"",""R""]","[83,84,65,82]",star,1641246945441,103567
1000,43,5303,"[4625, 143, 143, 65, 136]","[""N"",""I"",""G"",""H"",""T""]","[78,73,71,72,84]",night,1641246950744,108870
1000,44,1481,"[617, 191, 161, 192]","[""M"",""O"",""O"",""N""]","[77,79,79,78]",moon,1641246952225,110351
1000,45,4167,"[929, 1015, 1720, 152, 72]","[""M"",""\b"",""M"",""A"",""N""]","[77,8,77,65,78]",man,1641246956392,114518
1000,46,7413,"[6869, 119, 209]","[""T"",""O"",""P""]","[84,79,80]",top,1641246963805,121931
1000,47,3640,"[2320, 240, 224, 176, 152, 184]","[""B"",""O"",""T"",""T"",""O"",""M""]","[66,79,84,84,79,77]",bottom,1641246967445,125571
1000,48,6008,"[1184, 136, 888, 216, 208, 176, 136, 80, 584, 199, 145, 176, 184, 680, 192, 224, 136, 128]","[""T"",""R"",""O"",""A"",""S"",""E"",""R"",""S"",""\b"",""\b"",""\b"",""\b"",""\b"",""U"",""S"",""E"",""R"",""S""]","[84,82,79,65,83,69,82,83,8,8,8,8,8,85,83,69,82,83]",trousers,1641246973453,131579
1000,49,2288,"[857, 375, 160, 312, 128]","[""S"",""K"",""I"",""R"",""T""]","[83,75,73,82,84]",skirt,1641246975741,133867
1000,50,3216,"[1544, 200, 216, 240, 176]","[""F"",""R"",""I"",""L"",""L""]","[70,82,73,76,76]",frill,1641246978957,137083
1000,51,3496,"[2728, 192, 160, 144]","[""L"",""A"",""C"",""E""]","[76,65,67,69]",lace,1641246982453,140579
1000,52,4353,"[2169, 151, 136, 128, 1313, 143, 112]","[""T"",""R"",""A"",""I"",""N"",""E"",""R""]","[84,82,65,73,78,69,82]",trainer,1641246986806,144932
1000,53,2937,"[1688, 176, 552]","[""R"",""U"",""N""]","[82,85,78]",run,1641246989743,147869
1000,54,2295,"[1199, 143, 224, 153, 175, 104]","[""F"",""I"",""N"",""I"",""S"",""H""]","[70,73,78,73,83,72]",finish,1641246992038,150164
1000,55,4944,"[3833, 143, 88, 216, 216, 120, 184]","[""R"",""E"",""F"",""I"",""N"",""E"",""D""]","[82,69,70,73,78,69,68]",refined,1641246996982,155108
1000,56,2744,"[1856, 184, 119, 249]","[""R"",""I"",""C"",""H""]","[82,73,67,72]",rich,1641246999726,157852
1000,57,7123,"[5363, 296, 160, 352, 144, 144]","[""V"",""E"",""L"",""V"",""E"",""T""]","[86,69,76,86,69,84]",velvet,1641247006849,164975
1000,58,2536,"[903, 153, 248, 176, 184, 136, 224]","[""C"",""U"",""R"",""T"",""A"",""I"",""N""]","[67,85,82,84,65,73,78]",curtain,1641247009385,167511
1000,59,2353,"[1672, 136, 232, 112]","[""P"",""O"",""L"",""E""]","[80,79,76,69]",pole,1641247011738,169864
1000,60,1984,"[1047, 216, 144, 200, 193]","[""V"",""A"",""U"",""L"",""T""]","[86,65,85,76,84]",vault,1641247013722,171848
1000,61,3328,"[1552, 255, 480, 207, 201, 104, 160]","[""G"",""Y"",""M"",""N"",""A"",""S"",""T""]","[71,89,77,78,65,83,84]",gymnast,1641247017050,175176
1000,62,5584,"[3264, 192, 551, 1081, 151, 136]","[""T"",""U"",""M"",""B"",""L"",""E""]","[84,85,77,66,76,69]",tumble,1641247022634,180760
1000,63,1552,"[752, 280, 176, 224]","[""W"",""E"",""E"",""D""]","[87,69,69,68]",weed,1641247024186,182312
1000,64,4200,"[1712, 320, 511, 209, 176, 1056]","[""G"",""A"",""R"",""D"",""E"",""N""]","[71,65,82,68,69,78]",garden,1641247028386,186512
1000,65,1448,"[745, 152, 151, 208]","[""R"",""O"",""S"",""E""]","[82,79,83,69]",rose,1641247029834,187960
1000,66,1936,"[776, 151, 177, 240, 272]","[""C"",""L"",""I"",""M"",""B""]","[67,76,73,77,66]",climb,1641247031770,189896
1000,67,3136,"[2440, 160, 184, 168]","[""T"",""R"",""E"",""E""]","[84,82,69,69]",tree,1641247034906,193032
1000,68,3160,"[1832, 240, 264, 272, 184, 56]","[""B"",""R"",""A"",""N"",""C"",""H""]","[66,82,65,78,67,72]",branch,1641247038066,196192
1000,69,1960,"[896, 192, 432, 232]","[""L"",""I"",""N"",""E""]","[76,73,78,69]",line,1641247040026,198152
1000,70,3112,"[2648, 176]","[""U"",""P""]","[85,80]",up,1641247043138,201264
1000,71,4657,"[3248, 449, 271, 128, 128, 111]","[""J"",""\b"",""H"",""I"",""G"",""H""]","[74,8,72,73,71,72]",high,1641247047795,205921
1000,72,3152,"[1895, 176, 241, 222]","[""J"",""U"",""M"",""P""]","[74,85,77,80]",jump,1641247050947,209073
1000,73,1600,"[799, 171, 221, 105]","[""L"",""E"",""A"",""P""]","[76,69,65,80]",leap,1641247052547,210673
1000,74,2192,"[1359, 161, 160, 400]","[""F"",""R"",""O"",""G""]","[70,82,79,71]",frog,1641247054739,212865
1000,75,2600,"[1888, 200, 168, 184]","[""T"",""O"",""A"",""D""]","[84,79,65,68]",toad,1641247057339,215465
1000,76,2240,"[839, 167, 257, 177, 176]","[""S"",""T"",""O"",""O"",""L""]","[83,84,79,79,76]",stool,1641247059579,217705
1000,77,3032,"[1888, 223, 153, 208, 88, 159]","[""W"",""O"",""O"",""D"",""E"",""N""]","[87,79,79,68,69,78]",wooden,1641247062611,220737
1000,78,3064,"[1744, 152, 168, 511, 153]","[""S"",""T"",""I"",""F"",""F""]","[83,84,73,70,70]",stiff,1641247065675,223801
