participantID,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,word_text,timestamp_absolute,timestamp
1000,1.0,3494,"[2664, 151, 96, 121]","[""S"",""T"",""A"",""R""]","[83,84,65,82]",star,1641246021742,3494
1000,2.0,3986,"[2815, 210, 183, 106, 144]","[""L"",""I"",""G"",""H"",""T""]","[76,73,71,72,84]",light,1641246025728,7480
1000,3.0,7557,"[6604, 136, 152, 184, 240, 104]","[""S"",""H"",""O"",""W"",""E"",""R""]","[83,72,79,87,69,82]",shower,1641246033285,15037
1000,4.0,2488,"[1640, 159, 112, 232]","[""R"",""A"",""I"",""N""]","[82,65,73,78]",rain,1641246035773,17525
1000,5.0,3272,"[2472, 151, 152, 168]","[""C"",""O"",""A"",""T""]","[67,79,65,84]",coat,1641246039045,20797
1000,6.0,5296,"[4337, 72, 176, 304, 112]","[""S"",""T"",""A"",""N"",""D""]","[83,84,65,78,68]",stand,1641246044341,26093
1000,7.0,1881,"[1250, 167]","[""U"",""P""]","[85,80]",up,1641246046222,27974
1000,8.0,3408,"[2617, 144, 143, 231]","[""D"",""O"",""W"",""N""]","[68,79,87,78]",down,1641246049630,31382
1000,9.0,3441,"[2120, 151, 185, 200, 256, 128]","[""S"",""T"",""A"",""I"",""R"",""S""]","[83,84,65,73,82,83]",stairs,1641246053071,34823
1000,10.0,8363,"[5883, 152, 111, 393, 792, 520, 176, 144]","[""C"",""A"",""R"",""E"",""\b"",""P"",""E"",""T""]","[67,65,82,69,8,80,69,84]",carpet,1641246061434,43186
1000,11.0,2280,"[1703, 209, 208]","[""B"",""A"",""G""]","[66,65,71]",bag,1641246063714,45466
1000,12.0,7980,"[6870, 159, 192, 584]","[""C"",""A"",""S"",""E""]","[67,65,83,69]",case,1641246071694,53446
1000,13.0,4482,"[2082, 207, 232, 504, 392, 144]","[""N"",""O"",""Y"",""\b"",""T"",""E""]","[78,79,89,8,84,69]",note,1641246076176,57928
1000,14.0,1744,"[886, 249, 152, 152]","[""B"",""O"",""O"",""K""]","[66,79,79,75]",book,1641246077920,59672
1000,15.0,2464,"[1496, 151, 104, 128]","[""C"",""A"",""S"",""E""]","[67,65,83,69]",case,1641246080384,62136
1000,16.0,5368,"[1976, 239, 224, 216, 344, 536, 696, 160, 136, 249, 208]","[""S"",""E"",""N"",""S"",""T"",""\b"",""I"",""T"",""I"",""V"",""E""]","[83,69,78,83,84,8,73,84,73,86,69]",sensitive,1641246085752,67504
1000,17.0,4768,"[1776, 280, 287, 136, 320, 121, 248, 567, 128, 135, 305]","[""I"",""N"",""F"",""O"",""R"",""M"",""A"",""T"",""I"",""O"",""N""]","[73,78,70,79,82,77,65,84,73,79,78]",information,1641246090520,72272
1000,18.0,4856,"[1232, 223, 265, 304, 704, 440, 215, 225, 176, 191, 248, 144]","[""T"",""E"",""C"",""N"",""\b"",""H"",""N"",""O"",""L"",""O"",""G"",""Y""]","[84,69,67,78,8,72,78,79,76,79,71,89]",technology,1641246095376,77128
1000,19.0,4840,"[3456, 264, 191, 313, 120, 120]","[""C"",""E"",""N"",""T"",""R"",""E""]","[67,69,78,84,82,69]",centre,1641246100216,81968
1000,20.0,2432,"[1424, 232, 159, 177, 80]","[""R"",""I"",""G"",""H"",""T""]","[82,73,71,72,84]",right,1641246102648,84400
1000,21.0,1497,"[800, 224]","[""O"",""N""]","[79,78]",on,1641246104145,85897
1000,22.0,1815,"[1191, 328, 120]","[""O"",""F"",""F""]","[79,70,70]",off,1641246105960,87712
1000,23.0,2792,"[2120, 240, 288]","[""K"",""E"",""Y""]","[75,69,89]",key,1641246108752,90504
1000,24.0,2175,"[896, 232, 216, 128, 192]","[""B"",""O"",""A"",""R"",""D""]","[66,79,65,82,68]",board,1641246110927,92679
1000,25.0,4760,"[3903, 169, 176, 208]","[""R"",""O"",""O"",""M""]","[82,79,79,77]",room,1641246115687,97439
1000,26.0,4642,"[3762, 120, 119, 145]","[""R"",""A"",""T"",""E""]","[82,65,84,69]",rate,1641246120329,102081
1000,27.0,9368,"[8417, 119, 200, 288]","[""F"",""I"",""L"",""M""]","[70,73,76,77]",film,1641246129697,111449
1000,28.0,10144,"[9034, 110, 185, 184, 112, 328]","[""C"",""A"",""M"",""E"",""R"",""A""]","[67,65,77,69,82,65]",camera,1641246139841,121593
1000,29.0,3201,"[2178, 455, 200, 217]","[""C"",""A"",""S"",""E""]","[67,65,83,69]",case,1641246143042,124794
1000,30.0,14261,"[13308, 153, 143, 96]","[""S"",""U"",""I"",""T""]","[83,85,73,84]",suit,1641246157303,139055
1000,31.0,3000,"[1832, 191, 193, 248, 135, 137]","[""H"",""A"",""N"",""G"",""E"",""R""]","[72,65,78,71,69,82]",hanger,1641246160303,142055
1000,32.0,2240,"[782, 212, 190, 600, 191]","[""P"",""L"",""A"",""N"",""E""]","[80,76,65,78,69]",plane,1641246162543,144295
1000,33.0,2488,"[1480, 334, 177, 161, 127]","[""P"",""A"",""P"",""E"",""R""]","[80,65,80,69,82]",paper,1641246165031,146783
1000,34.0,4952,"[2040, 327, 144, 297, 136, 192, 184, 616, 224, 304, 232]","[""A"",""E"",""R"",""O"",""P"",""L"",""E"",""\b"",""A"",""N"",""E""]","[65,69,82,79,80,76,69,8,65,78,69]",aeroplane,1641246169983,151735
1000,35.0,4736,"[4072, 103, 192, 160]","[""M"",""E"",""A"",""L""]","[77,69,65,76]",meal,1641246174719,156471
1000,36.0,3848,"[3104, 135, 232, 136]","[""T"",""I"",""M"",""E""]","[84,73,77,69]",time,1641246178567,160319
1000,37.0,2503,"[1584, 175, 175, 145, 112]","[""T"",""A"",""B"",""L"",""E""]","[84,65,66,76,69]",table,1641246181070,162822
1000,38.0,2577,"[1401, 159, 225, 239, 145]","[""C"",""L"",""O"",""T"",""H""]","[67,76,79,84,72]",cloth,1641246183647,165399
1000,39.0,9535,"[8823, 144, 151, 113]","[""D"",""I"",""S"",""H""]","[68,73,83,72]",dish,1641246193182,174934
1000,40.0,2272,"[1273, 247, 128, 208, 112, 120]","[""W"",""A"",""S"",""H"",""E"",""R""]","[87,65,83,72,69,82]",washer,1641246195454,177206
1000,41.0,2016,"[803, 199, 278, 192, 136]","[""W"",""O"",""M"",""A"",""N""]","[87,79,77,65,78]",woman,1641246197470,179222
1000,42.0,4016,"[2784, 320, 224, 159, 193, 160]","[""F"",""E"",""M"",""A"",""L"",""E""]","[70,69,77,65,76,69]",female,1641246201486,183238
1000,43.0,1784,"[1112, 167, 129, 200]","[""M"",""A"",""L"",""E""]","[77,65,76,69]",male,1641246203270,185022
1000,44.0,3552,"[1768, 112, 200, 184, 160, 488, 256, 112]","[""C"",""H"",""A"",""N"",""G"",""I"",""N"",""G""]","[67,72,65,78,71,73,78,71]",changing,1641246206822,188574
1000,45.0,2311,"[1432, 184, 152, 224]","[""R"",""O"",""O"",""M""]","[82,79,79,77]",room,1641246209133,190885
1000,46.0,5658,"[4338, 224, 368, 160, 215, 65]","[""I"",""N"",""S"",""I"",""D"",""E""]","[73,78,83,73,68,69]",inside,1641246214791,196543
1000,47.0,5399,"[3847, 264, 248, 440, 144]","[""S"",""P"",""O"",""R"",""T""]","[83,80,79,82,84]",sport,1641246220190,201942
1000,48.0,5394,"[4762, 144, 104, 152, 144]","[""P"",""A"",""P"",""E"",""R""]","[80,65,80,69,82]",paper,1641246225584,207336
1000,49.0,3304,"[2336, 184, 312, 231]","[""N"",""O"",""T"",""E""]","[78,79,84,69]",note,1641246228888,210640
1000,50.0,3392,"[2624, 248, 152, 127]","[""B"",""O"",""O"",""K""]","[66,79,79,75]",book,1641246232280,214032
1000,51.0,4844,"[4157, 120, 129, 143]","[""W"",""O"",""R"",""M""]","[87,79,82,77]",worm,1641246237124,218876
1000,52.0,4942,"[4253, 136, 168, 216]","[""H"",""O"",""L"",""E""]","[72,79,76,69]",hole,1641246242066,223818
1000,53.0,5071,"[4143, 160, 104, 216, 192]","[""B"",""L"",""A"",""C"",""K""]","[66,76,65,67,75]",black,1641246247137,228889
1000,54.0,2880,"[1744, 222, 170, 192, 168]","[""B"",""O"",""A"",""R"",""D""]","[66,79,65,82,68]",board,1641246250017,231769
1000,55.0,8807,"[8079, 151, 144, 200]","[""R"",""O"",""O"",""M""]","[82,79,79,77]",room,1641246258824,240576
1000,56.0,4128,"[2312, 158, 441, 272, 192, 296, 168, 112]","[""M"",""A"",""K"",""E"",""O"",""V"",""E"",""R""]","[77,65,75,69,79,86,69,82]",makeover,1641246262952,244704
1000,57.0,4120,"[1376, 175, 160, 232, 1329, 119, 120, 152, 305]","[""G"",""L"",""A"",""M"",""O"",""R"",""O"",""U"",""S""]","[71,76,65,77,79,82,79,85,83]",glamorous,1641246267072,248824
1000,58.0,4800,"[3040, 167, 127, 209, 432, 329, 184, 192]","[""F"",""A"",""B"",""U"",""L"",""O"",""U"",""S""]","[70,65,66,85,76,79,85,83]",fabulous,1641246271872,253624
1000,59.0,6208,"[2024, 231, 177, 207, 545, 440, 208, 200, 1511, 161, 103, 209]","[""A"",""B"",""S"",""I"",""\b"",""\b"",""\b"",""\b"",""H"",""A"",""I"",""R""]","[65,66,83,73,8,8,8,8,72,65,73,82]",hair,1641246278080,259832
1000,60.0,1920,"[856, 288, 144, 271, 152]","[""S"",""T"",""Y"",""L"",""E""]","[83,84,89,76,69]",style,1641246280000,261752
1000,61.0,11115,"[9476, 158, 377, 208, 255, 89, 241]","[""S"",""E"",""C"",""T"",""I"",""O"",""N""]","[83,69,67,84,73,79,78]",section,1641246291115,272867
1000,62.0,5169,"[4194, 232, 144, 144, 144, 142]","[""D"",""I"",""V"",""I"",""D"",""E""]","[68,73,86,73,68,69]",divide,1641246296285,278036
1000,63.0,3617,"[2961, 190, 73, 241]","[""H"",""A"",""L"",""F""]","[72,65,76,70]",half,1641246299901,281653
1000,64.0,1904,"[1352, 216, 104]","[""C"",""U"",""T""]","[67,85,84]",cut,1641246301805,283557
1000,65.0,2264,"[1696, 159, 81, 176]","[""H"",""A"",""I"",""R""]","[72,65,73,82]",hair,1641246304069,285821
1000,66.0,2208,"[1168, 200, 159, 305, 135]","[""S"",""T"",""Y"",""L"",""E""]","[83,84,89,76,69]",style,1641246306277,288029
1000,67.0,3096,"[2312, 176, 176, 136]","[""G"",""U"",""R"",""U""]","[71,85,82,85]",guru,1641246309373,291125
1000,68.0,4016,"[1913, 207, 208, 144, 192, 559, 241, 183, 169]","[""K"",""N"",""O"",""W"",""L"",""E"",""D"",""G"",""E""]","[75,78,79,87,76,69,68,71,69]",knowledge,1641246313389,295141
1000,69.0,4679,"[3528, 190, 170, 207, 120]","[""S"",""T"",""U"",""D"",""Y""]","[83,84,85,68,89]",study,1641246318068,299820
1001,1.0,4888,"[3303, 114, 212, 146, 177]","[""H"",""E"",""L"",""L"",""O""]","[72,69,76,76,79]",hello,1641482787582,4888
1001,2.0,11217,"[3536, 215, 87, 975, 205, 151, 182, 830, 119, 155, 86, 1921, 222, 119, 182, 1380, 93, 143, 145, 74]","[""H"",""O"",""W"",""\b"",""\b"",""\b"",""\b"",""G"",""O"",""O"",""D"",""\b"",""\b"",""\b"",""\b"",""H"",""A"",""P"",""P"",""Y""]","[72,79,87,8,8,8,8,71,79,79,68,8,8,8,8,72,65,80,80,89]",happy,1641482798799,16105
1001,3.0,2553,"[1924, 96, 125]","[""S"",""A"",""D""]","[83,65,68]",sad,1641482801352,18658
1001,4.0,2609,"[2035, 91, 103, 109]","[""D"",""O"",""W"",""N""]","[68,79,87,78]",down,1641482803961,21267
1001,5.0,1845,"[1154, 352]","[""U"",""P""]","[85,80]",up,1641482805806,23112
1001,6.0,5214,"[3965, 183, 182, 55, 148, 92, 112, 85]","[""S"",""T"",""R"",""A"",""I"",""G"",""H"",""T""]","[83,84,82,65,73,71,72,84]",straight,1641482811020,28326
1001,7.0,2814,"[1867, 78, 136, 156, 80, 112]","[""N"",""A"",""R"",""R"",""O"",""W""]","[78,65,82,82,79,87]",narrow,1641482813834,31140
1001,8.0,3559,"[2149, 265, 263, 189, 69, 149, 199]","[""A"",""W"",""K"",""W"",""A"",""R"",""D""]","[65,87,75,87,65,82,68]",awkward,1641482817393,34699
1001,9.0,4171,"[3614, 76, 178, 73]","[""F"",""L"",""O"",""W""]","[70,76,79,87]",flow,1641482821564,38870
1001,10.0,3845,"[1212, 400, 674, 427, 494, 290]","[""R"",""H"",""Y"",""T"",""H"",""M""]","[82,72,89,84,72,77]",rhythm,1641482825409,42715
1001,11.0,2633,"[1563, 225, 214, 93]","[""B"",""L"",""U"",""E""]","[66,76,85,69]",blue,1641482828042,45348
1001,12.0,5185,"[4407, 61, 76, 112, 109, 106]","[""B"",""R"",""I"",""G"",""H"",""T""]","[66,82,73,71,72,84]",bright,1641482833227,50533
1001,13.0,3191,"[1378, 211, 161, 69, 152, 131, 191, 192, 97, 90, 132, 72]","[""I"",""N"",""T"",""E"",""L"",""L"",""I"",""G"",""I"",""E"",""N"",""T""]","[73,78,84,69,76,76,73,71,73,69,78,84]",intelligient,1641482836418,53724
1001,14.0,2136,"[1384, 137, 220, 154]","[""D"",""U"",""M"",""B""]","[68,85,77,66]",dumb,1641482838554,55860
1001,15.0,2297,"[1349, 127, 222, 158, 162]","[""D"",""U"",""M"",""B"",""O""]","[68,85,77,66,79]",dumbo,1641482840851,58157
1001,16.0,1834,"[790, 115, 77, 152, 186, 204]","[""D"",""I"",""S"",""N"",""E"",""Y""]","[68,73,83,78,69,89]",disney,1641482842685,59991
1001,17.0,4335,"[2519, 298, 205, 199, 102, 207, 86, 163, 167]","[""A"",""N"",""I"",""M"",""A"",""T"",""I"",""O"",""N""]","[65,78,73,77,65,84,73,79,78]",animation,1641482847020,64326
1001,18.0,1956,"[699, 463, 197, 201, 101]","[""A"",""N"",""I"",""M"",""E""]","[65,78,73,77,69]",anime,1641482848976,66282
1001,19.0,1592,"[545, 193, 160, 169, 230]","[""M"",""A"",""N"",""G"",""A""]","[77,65,78,71,65]",manga,1641482850568,67874
1001,20.0,2294,"[623, 127, 138, 90, 182, 514, 168, 130]","[""J"",""A"",""P"",""A"",""N"",""E"",""S"",""E""]","[74,65,80,65,78,69,83,69]",japanese,1641482852863,70168
1001,21.0,2216,"[1058, 275, 220, 121, 132, 108, 86]","[""C"",""U"",""L"",""T"",""U"",""R"",""E""]","[67,85,76,84,85,82,69]",culture,1641482855078,72384
1001,22.0,6750,"[5138, 164, 736, 90, 188]","[""A"",""S"",""\b"",""R"",""T""]","[65,83,8,82,84]",art,1641482861828,79134
1001,23.0,3382,"[1823, 190, 226, 350, 128, 165, 153]","[""M"",""U"",""I"",""\b"",""S"",""I"",""C""]","[77,85,73,8,83,73,67]",music,1641482865210,82516
1001,24.0,1839,"[1040, 230, 133, 132]","[""L"",""I"",""F"",""E""]","[76,73,70,69]",life,1641482867049,84355
1001,25.0,1752,"[789, 209, 98, 197, 96]","[""D"",""E"",""A"",""T"",""H""]","[68,69,65,84,72]",death,1641482868801,86107
1001,26.0,2692,"[1742, 128, 159, 215, 129]","[""M"",""E"",""T"",""A"",""L""]","[77,69,84,65,76]",metal,1641482871493,88799
