participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,story_relatedness
1000,college,0,9114,"[None, 852, 300, 136, 584, 768, 316]","['C', 'O', 'L', 'L', 'E', 'G', 'E']","[67, 79, 76, 76, 69, 71, 69]",9114,1696954233744,1.1538461538461537
1000,collage,1,7171,"[3388, 817, 539, 116, 692, 1356, 356]","['C', 'O', 'L', 'L', 'A', 'G', 'E']","[67, 79, 76, 76, 65, 71, 69]",16286,1696954240916,1.1
1000,carriage,2,8131,"[3460, 420, 572, 136, 844, 536, 977, 435]","['C', 'A', 'R', 'R', 'I', 'A', 'G', 'E']","[67, 65, 82, 82, 73, 65, 71, 69]",24418,1696954249048,1.9
1000,carp,3,3940,"[2712, 436, 712, 964]","['C', 'A', 'R', 'P']","[67, 65, 82, 80]",28358,1696954252988,2.1
1000,carry,4,4088,"[2008, 416, 784, 128, 752]","['C', 'A', 'R', 'R', 'Y']","[67, 65, 82, 82, 89]",32446,1696954257076,3.64
1000,congac,5,13275,"[1944, 744, 844, 500, 508, 824, 2168, 168, 136, 1220, 740, 2600, 152, 132]","['C', 'O', 'M', 'G', 'A', 'C', '%', '%', '%', '\x08', 'N', ""'"", ""'"", ""'""]","[67, 79, 77, 71, 65, 67, 37, 37, 37, 8, 78, 39, 39, 39]",45722,1696954270352,
1000,cord,6,5396,"[3656, 692, 616, 200]","['C', 'O', 'R', 'D']","[67, 79, 82, 68]",51118,1696954275748,1.9
1000,cram,7,3904,"[3352, 280, 324, 1017]","['C', 'R', 'A', 'M']","[67, 82, 65, 77]",55022,1696954279652,1.8
1000,careen,8,6988,"[3323, 448, 780, 616, 164, 1628]","['C', 'A', 'R', 'E', 'E', 'N']","[67, 65, 82, 69, 69, 78]",62010,1696954286640,1.5
1000,canteen,9,6204,"[3301, 343, 856, 372, 416, 140, 888]","['C', 'A', 'N', 'T', 'E', 'E', 'N']","[67, 65, 78, 84, 69, 69, 78]",68214,1696954292844,1.8
1000,cork,10,7404,"[5017, 651, 496, 920]","['C', 'O', 'R', 'K']","[67, 79, 82, 75]",75618,1696954300248,1.0
1000,carriage,11,9583,"[5479, 408, 620, 140, 784, 532, 820, 328]","['C', 'A', 'R', 'R', 'I', 'A', 'G', 'E']","[67, 65, 82, 82, 73, 65, 71, 69]",85202,1696954309832,1.9
1000,center,12,6536,"[5164, 416, 748, 368, 296, 168]","['C', 'E', 'N', 'T', 'E', 'R']","[67, 69, 78, 84, 69, 82]",91738,1696954316368,1.6
1000,cyst,13,6164,"[4573, 763, 408, 548]","['C', 'Y', 'S', 'T']","[67, 89, 83, 84]",97902,1696954322532,1.0909090909090908
1000,clover,14,8712,"[6644, 836, 164, 524, 348, 160]","['C', 'L', 'O', 'V', 'E', 'R']","[67, 76, 79, 86, 69, 82]",106614,1696954331244,1.2
1000,canter,15,5659,"[3232, 352, 880, 384, 320, 156]","['C', 'A', 'N', 'T', 'E', 'R']","[67, 65, 78, 84, 69, 82]",112273,1696954336903,1.6
1000,comb,16,5372,"[3104, 692, 312, 729]","['C', 'O', 'M', 'B']","[67, 79, 77, 66]",117646,1696954342276,1.2
1000,cool,17,2849,"[2799, 480, 140, 180]","['C', 'O', 'O', 'L']","[67, 79, 79, 76]",120495,1696954345125,2.2
1000,crack,18,5935,"[2541, 264, 351, 340, 1056, 632, 848]","['C', 'R', 'A', 'X', '\x08', 'C', 'K']","[67, 82, 65, 88, 8, 67, 75]",126430,1696954351060,1.9090909090909092
1000,clack,19,6507,"[3552, 621, 579, 1004, 804]","['C', 'L', 'A', 'C', 'K']","[67, 76, 65, 67, 75]",132938,1696954357568,1.1
1000,clambour,20,22127,"[2185, 391, 1133, 576, 807, 324, 344, 2597, 147, 853, 4791, 164, 156, 148, 385, 1072, 1967, 180, 165, 160, 1087, 1620]","['C', 'A', 'M', 'B', 'O', 'U', 'R', '\x08', '\x08', 'R', '%', '%', '%', '%', '%', 'L', ""'"", ""'"", ""'"", ""'"", 'U', ""'""]","[67, 65, 77, 66, 79, 85, 82, 8, 8, 82, 37, 37, 37, 37, 37, 76, 39, 39, 39, 39, 85, 39]",155066,1696954379696,
1000,cartilage,21,13167,"[4873, 348, 971, 188, 312, 1177, 615, 784, 388, 1665, 156, 151, 532, 748, 547]","['C', 'A', 'R', 'T', 'E', 'L', 'A', 'G', 'E', '%', '%', '%', '%', '\x08', 'I']","[67, 65, 82, 84, 69, 76, 65, 71, 69, 37, 37, 37, 37, 8, 73]",168234,1696954392864,1.4
1000,clog,22,11687,"[10452, 753, 199, 560]","['C', 'L', 'O', 'G']","[67, 76, 79, 71]",179922,1696954404552,1.0
1000,croc,23,7315,"[5064, 268, 800, 508]","['C', 'R', 'O', 'C']","[67, 82, 79, 67]",187238,1696954411868,1.2
1001,Play,0,4650,"[None, 33, 32, 34, 38, 26, 33, 33, 32, 33, 33, 33, 32, 33, 32, 36, 29, 33, 33, 32, 34, 32, 34, 32, 33, 33, 36, 28, 33, 32, 32, 34, 32, 40, 26, 33, 32, 41, 25, 33, 32, 33, 32, 33, 33, 33, 32, 33, 35, 30, 33, 33, 32, 33, 32, 33, 33, 33, 32, 38, 27, 34, 31, 33, 33, 33, 33, 32, 33, 33, 37, 28, 32, 33, 33, 34, 31, 34, 32, 33, 32, 38, 28, 32, 33, 33, 32, 33, 33, 33, 31, 34, 34, 31, 33, 33, 26, 6, 33, 32, 33, 33, 16, 16, 33, 31, 7, 28, 33, 32, 33, 33, 25, 7, 33, 32, 33, 32, 7, 31, 28, 33, 32, 33, 32, 33, 33, 33, 32, 33, 37, 2, 26, 33, 33, 32, 33, 34, 32, 32, 33, 32, 34, 32, 32, 33, 33, 33]","['ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', '\x14', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'P', 'ÿ', 'ÿ', '\x14', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'L', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'A', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'Y', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ']","[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 20, 255, 255, 255, 255, 255, 80, 255, 255, 20, 255, 255, 255, 255, 255, 255, 76, 255, 255, 255, 255, 255, 65, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 89, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",4651,1696865239146,2.7
1001,say,1,2247,"[32, 33, 34, 31, 33, 37, 29, 32, 33, 32, 33, 33, 32, 33, 32, 33, 37, 29, 32, 33, 33, 32, 34, 32, 32, 33, 33, 34, 31, 33, 33, 33, 32, 33, 33, 32, 33, 32, 37, 29, 32, 33, 32, 33, 34, 32, 12, 21, 32, 33, 39, 26, 33, 0, 32, 33, 33, 30, 3, 32, 34, 31, 35, 33, 30, 33, 32, 33, 33, 33, 33, 32]","['ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'S', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'A', 'ÿ', 'ÿ', 'ÿ', 'Y', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ']","[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 83, 255, 255, 255, 255, 255, 255, 65, 255, 255, 255, 89, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]",6899,1696865241394,2.3
1001,pay,2,3967,"[32, 33, 33, 32, 34, 32, 32, 33, 33, 32, 33, 33, 32, 36, 29, 33, 34, 32, 33, 32, 33, 33, 32, 33, 36, 29, 33, 33, 33, 32, 32, 33, 33, 32, 33, 32, 34, 33, 32, 33, 32, 33, 33, 32, 33, 33, 34, 31, 33, 32, 33, 33, 33, 32, 33, 32, 33, 35, 30, 34, 32, 33, 32, 33, 33, 32, 33, 32, 36, 30, 33, 32, 33, 33, 33, 33, 31, 33, 34, 32, 33, 33, 32, 32, 33, 33, 32, 33, 32, 33, 35, 31, 33, 33, 32, 32, 4, 30, 35, 30, 33, 33, 36, 29, 31, 1, 34, 32, 32, 33, 33, 32, 33, 32, 33, 33, 33, 32, 14, 19, 32, 33, 33, 33, 32]","['ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'P', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'A', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'Y', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ']","[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 80, 255, 255, 255, 255, 255, 255, 255, 65, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 89, 255, 255, 255, 255, 255, 255]",10867,1696865245362,1.4545454545454546
1001,lay,3,1863,"[33, 38, 27, 33, 33, 32, 33, 33, 32, 33, 33, 32, 39, 26, 33, 33, 32, 33, 33, 33, 33, 32, 33, 38, 28, 32, 33, 32, 33, 32, 33, 33, 33, 32, 36, 30, 33, 0, 32, 32, 34, 22, 10, 33, 32, 33, 33, 38, 27, 33, 32, 33, 33, 16, 17, 32, 33, 32, 33]","['ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'L', 'ÿ', 'ÿ', 'ÿ', 'A', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'Y', 'ÿ', 'ÿ', 'ÿ', 'ÿ', 'ÿ']","[255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 76, 255, 255, 255, 65, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 89, 255, 255, 255, 255, 255]",12731,1696865247226,4.45
