participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp
1005,young,0,8669,"[6217, 169, 1276, 459, 229, 319]","['Y', 'O', 'U', 'N', 'G', '\r']","[89, 79, 85, 78, 71, 13]",8669,1719775490635,6217,6217
1005,kid,1,1504,"[747, 229, 319, 209]","['K', 'I', 'D', '\r']","[75, 73, 68, 13]",10174,1719775492140,747,9416
1005,glove,2,15210,"[9702, 1032, 1735, 189, 190, 398, 180, 1784]","['L', '\x08', 'G', 'L', 'O', 'V', 'E', '\r']","[76, 8, 71, 76, 79, 86, 69, 13]",25385,1719775507351,9702,19876
1005,ball,3,17028,"[14862, 518, 259, 600, 397, 150, 242]","['B', 'A', 'A', '\x08', 'L', 'L', '\r']","[66, 65, 65, 8, 76, 76, 13]",42414,1719775524380,14862,40247
1005,point,4,7423,"[933, 1436, 4077, 199, 190, 209, 169, 209]","['B', '\x08', 'P', 'O', 'I', 'N', 'T', '\r']","[66, 8, 80, 79, 73, 78, 84, 13]",49838,1719775531804,933,43347
1005,point,5,5536,"[1715, 209, 189, 250, 239, 2934]","['P', 'O', 'I', 'N', 'T', '\r']","[80, 79, 73, 78, 84, 13]",55374,1719775537340,1715,51553
1005,blank,6,4691,"[883, 618, 139, 330, 219, 468, 210, 169, 170, 708, 139, 190, 179, 269]","['B', 'A', 'L', 'N', 'K', '\x08', '\x08', '\x08', '\x08', 'L', 'A', 'N', 'K', '\r']","[66, 65, 76, 78, 75, 8, 8, 8, 8, 76, 65, 78, 75, 13]",60066,1719775542032,883,56257
1005,space,7,9789,"[1146, 1386, 488, 5260, 522, 289, 279, 419]","['B', '\x08', 'S', 'P', 'A', 'C', 'E', '\r']","[66, 8, 83, 80, 65, 67, 69, 13]",69856,1719775551822,1146,61212
1005,jam,8,7845,"[7098, 169, 199, 379]","['J', 'A', 'M', '\r']","[74, 65, 77, 13]",77702,1719775559668,7098,76954
1005,soap,9,23050,"[21654, 628, 239, 200, 329]","['S', 'O', 'A', 'P', '\r']","[83, 79, 65, 80, 13]",100753,1719775582719,21654,99356
1005,bar,10,2182,"[1355, 139, 359, 329]","['B', 'A', 'R', '\r']","[66, 65, 82, 13]",102936,1719775584902,1355,102108
1005,code,11,11336,"[9851, 497, 399, 210, 379]","['C', 'O', 'D', 'E', '\r']","[67, 79, 68, 69, 13]",114273,1719775596239,9851,112787
1005,scanner,12,3001,"[688, 249, 279, 678, 160, 339, 179, 429]","['S', 'C', 'A', 'N', 'N', 'E', 'R', '\r']","[83, 67, 65, 78, 78, 69, 82, 13]",117274,1719775599240,688,114961
1005,machine,13,12593,"[9621, 419, 698, 548, 260, 279, 339, 429]","['M', 'A', 'C', 'H', 'I', 'N', 'E', '\r']","[77, 65, 67, 72, 73, 78, 69, 13]",129868,1719775611834,9621,126895
1005,gun,14,9292,"[8056, 698, 259, 279]","['G', 'U', 'N', '\r']","[71, 85, 78, 13]",139161,1719775621127,8056,137924
1005,boat,15,2662,"[977, 349, 499, 418, 419]","['B', 'O', 'A', 'T', '\r']","[66, 79, 65, 84, 13]",141824,1719775623790,977,140138
1005,ride,16,9043,"[7717, 448, 359, 180, 339]","['R', 'I', 'D', 'E', '\r']","[82, 73, 68, 69, 13]",150868,1719775632834,7717,149541
1005,plus,17,20600,"[19005, 248, 539, 458, 350]","['P', 'L', 'U', 'S', '\r']","[80, 76, 85, 83, 13]",171469,1719775653435,19005,169873
1005,size,18,8735,"[6990, 448, 389, 320, 588]","['S', 'I', 'Z', 'E', '\r']","[83, 73, 90, 69, 13]",180204,1719775662170,6990,178459
1006,gorilla,0,3115,"[1521, 142, 252, 204, 176, 198, 215, 407]","['G', 'O', 'R', 'I', 'L', 'L', 'A', '\r']","[71, 79, 82, 73, 76, 76, 65, 13]",3118,1719776437827,1521,1521
1006,sleep,1,2799,"[1794, 214, 185, 160, 100, 346]","['S', 'L', 'E', 'E', 'P', '\r']","[83, 76, 69, 69, 80, 13]",5919,1719776440628,1794,4912
