participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp
1005,word,0,12401,"[2719, 617, 548, 886, 7631]","['W', 'O', 'R', 'D', '\r']","[87, 79, 82, 68, 13]",12404,1719775226276,2719,2719
1005,play,1,2802,"[910, 289, 547, 528, 528]","['P', 'L', 'A', 'Y', '\r']","[80, 76, 65, 89, 13]",15211,1719775229083,910,13314
1005,boy,2,2937,"[885, 578, 408, 1066]","['B', 'O', 'Y', '\r']","[66, 79, 89, 13]",18149,1719775232021,885,16096
1005,scout,3,19062,"[16562, 458, 608, 328, 270, 836]","['S', 'C', 'O', 'U', 'T', '\r']","[83, 67, 79, 85, 84, 13]",37212,1719775251084,16562,34711
1005,guide,4,48950,"[44835, 667, 219, 2521, 239, 469]","['G', 'U', 'I', 'D', 'E', '\r']","[71, 85, 73, 68, 69, 13]",86163,1719775300035,44835,82047
1005,map,5,14224,"[12571, 548, 538, 567]","['M', 'A', 'P', '\r']","[77, 65, 80, 13]",100388,1719775314260,12571,98734
1005,plan,6,18679,"[17563, 199, 279, 259, 379]","['P', 'L', 'A', 'N', '\r']","[80, 76, 65, 78, 13]",119068,1719775332940,17563,117951
1005,a,7,7841,"[6814, 1027]","['A', '\r']","[65, 13]",126910,1719775340782,6814,125882
1005,team,8,2300,"[1045, 239, 339, 230, 447]","['T', 'E', 'A', 'M', '\r']","[84, 69, 65, 77, 13]",129211,1719775343083,1045,127955
1005,player,9,2182,"[647, 170, 209, 279, 329, 249, 299]","['P', 'L', 'A', 'Y', 'E', 'R', '\r']","[80, 76, 65, 89, 69, 82, 13]",131394,1719775345266,647,129858
