participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
2648,shool,0,2994,"[1858, 384, 72, 145, 175, 360]","['S', 'H', 'O', 'O', 'L', '\r']","[83, 72, 79, 79, 76, 13]",2996,1772415630074,1858,1858,1.0
2648,school,1,1847,"[743, 240, 80, 216, 160, 176, 232]","['S', 'C', 'H', 'O', 'O', 'L', '\r']","[83, 67, 72, 79, 79, 76, 13]",4844,1772415631922,743,3739,2.0
2648,stool,2,2279,"[847, 177, 102, 152, 616, 384]","['S', 'T', 'O', 'O', 'L', '\r']","[83, 84, 79, 79, 76, 13]",7124,1772415634202,847,5691,1.0
2648,spool,3,3574,"[2647, 79, 256, 168, 176, 248]","['S', 'P', 'O', 'O', 'L', '\r']","[83, 80, 79, 79, 76, 13]",10700,1772415637778,2647,9771,
2648,cruel,4,6224,"[4560, 424, 688, 200, 80, 272]","['C', 'R', 'U', 'E', 'L', '\r']","[67, 82, 85, 69, 76, 13]",16924,1772415644002,4560,15260,1.0
2648,mean,5,4648,"[3647, 168, 105, 111, 617]","['M', 'E', 'A', 'N', '\r']","[77, 69, 65, 78, 13]",21573,1772415648651,3647,20571,2.0
2648,dean,6,3031,"[1903, 328, 96, 192, 512]","['D', 'E', 'A', 'N', '\r']","[68, 69, 65, 78, 13]",24604,1772415651682,1903,23476,1.0
2648,lean,7,2591,"[1439, 223, 120, 200, 608]","['L', 'E', 'A', 'N', '\r']","[76, 69, 65, 78, 13]",27196,1772415654274,1439,26043,2.0
2648,leap,8,2895,"[1864, 151, 96, 232, 552]","['L', 'E', 'A', 'P', '\r']","[76, 69, 65, 80, 13]",30092,1772415657170,1864,29060,2.0
2648,heap,9,4536,"[3472, 280, 344, 143, 296]","['H', 'E', 'A', 'P', '\r']","[72, 69, 65, 80, 13]",34628,1772415661706,3472,33564,1.0
2648,steep,10,4903,"[1863, 216, 256, 144, 424, 2000]","['S', 'T', 'E', 'E', 'P', '\r']","[83, 84, 69, 69, 80, 13]",39532,1772415666610,1863,36491,1.0
2648,jeep,11,5031,"[3567, 552, 224, 120, 152, 80, 336]","['K', '\x08', 'J', 'E', 'E', 'P', '\r']","[75, 8, 74, 69, 69, 80, 13]",44564,1772415671642,3567,43099,1.0
2648,car,12,2743,"[1879, 208, 240, 416]","['C', 'A', 'R', '\r']","[67, 65, 82, 13]",47308,1772415674386,1879,46443,2.0
