participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
2849,day,0,4380,"[2465, 239, 358, 1318]","['D', 'A', 'Y', '\r']","[68, 65, 89, 13]",4384,1772312853284,2465,2465,1.0
2849,wrong,1,5167,"[2846, 394, 395, 274, 273, 985]","['W', 'R', 'O', 'N', 'G', '\r']","[87, 82, 79, 78, 71, 13]",9555,1772312858455,2846,7230,3.0
2849,trouble,2,4303,"[1133, 230, 365, 234, 580, 737, 235, 789]","['T', 'R', 'O', 'U', 'B', 'L', 'E', '\r']","[84, 82, 79, 85, 66, 76, 69, 13]",13858,1772312862758,1133,10688,3.0
2849,light,3,2634,"[728, 242, 400, 199, 286, 779]","['L', 'I', 'G', 'H', 'T', '\r']","[76, 73, 71, 72, 84, 13]",16493,1772312865393,728,14586,2.0
2849,help,4,3155,"[1278, 230, 416, 254, 977]","['H', 'E', 'L', 'P', '\r']","[72, 69, 76, 80, 13]",19649,1772312868549,1278,17771,5.0
2849,joy,5,2386,"[688, 241, 384, 1073]","['J', 'O', 'Y', '\r']","[74, 79, 89, 13]",22037,1772312870937,688,20337,3.0
2849,create,6,4286,"[1880, 173, 242, 305, 241, 297, 1148]","['C', 'R', 'E', 'A', 'T', 'E', '\r']","[67, 82, 69, 65, 84, 69, 13]",26323,1772312875223,1880,23917,1.0
2849,love,7,2971,"[1505, 210, 384, 235, 637]","['L', 'O', 'V', 'E', '\r']","[76, 79, 86, 69, 13]",29295,1772312878195,1505,27828,5.0
2849,car,8,3202,"[2130, 202, 222, 648]","['C', 'A', 'R', '\r']","[67, 65, 82, 13]",32498,1772312881398,2130,31425,2.0
2849,flower,9,4742,"[2181, 240, 234, 281, 529, 314, 963]","['F', 'L', 'O', 'W', 'E', 'R', '\r']","[70, 76, 79, 87, 69, 82, 13]",37241,1772312886141,2181,34679,3.0
2849,mind,10,3493,"[1428, 259, 265, 500, 1041]","['M', 'I', 'N', 'D', '\r']","[77, 73, 78, 68, 13]",40735,1772312889635,1428,38669,3.0
2849,dear,11,4154,"[1973, 189, 586, 257, 1149]","['D', 'E', 'A', 'R', '\r']","[68, 69, 65, 82, 13]",44890,1772312893790,1973,42708,1.0
2849,horse,12,5424,"[2873, 627, 406, 525, 425, 568]","['H', 'O', 'R', 'S', 'E', '\r']","[72, 79, 82, 83, 69, 13]",50315,1772312899215,2873,47763,1.0
2849,peace,13,4999,"[2719, 252, 566, 283, 255, 924]","['P', 'E', 'A', 'C', 'E', '\r']","[80, 69, 65, 67, 69, 13]",55315,1772312904215,2719,53034,5.0
