"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"1","1000",14,1643118787810,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 1, ""word_submit_time"": 5041, ""word"": ""drip"", ""key_ids"": [""D"", ""R"", ""I"", ""P""], ""key_codes"": [68, 82, 73, 80], ""key_onsets"": [2737, 3249, 3697, 4177]}","emotion",0,"FA1","drip",5041,"[2737,3249,3697,4177]","[""D"",""R"",""I"",""P""]"," WATER",1,"[68,82,73,80]",1643118782769,"carver_proofreadxemotion"
"2","1000",15,1643118794522,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 2, ""word_submit_time"": 11753, ""word"": ""drop"", ""key_ids"": [""D"", ""R"", ""O"", ""P""], ""key_codes"": [68, 82, 79, 80], ""key_onsets"": [9505, 9857, 10337, 10753]}","emotion",0,"FA1","drop",11753,"[9505,9857,10337,10753]","[""D"",""R"",""O"",""P""]"," WATER",2,"[68,82,79,80]",1643118782769,"carver_proofreadxemotion"
"3","1000",16,1643118798722,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 3, ""word_submit_time"": 15953, ""word"": ""splash"", ""key_ids"": [""S"", ""P"", ""L"", ""A"", ""S"", ""H""], ""key_codes"": [83, 80, 76, 65, 83, 72], ""key_onsets"": [12585, 13545, 13865, 14217, 14609, 14928]}","emotion",0,"FA1","splash",15953,"[12585,13545,13865,14217,14609,14928]","[""S"",""P"",""L"",""A"",""S"",""H""]"," WATER",3,"[83,80,76,65,83,72]",1643118782769,"carver_proofreadxemotion"
"4","1000",17,1643118803122,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 4, ""word_submit_time"": 20353, ""word"": ""wash"", ""key_ids"": [""W"", ""A"", ""S"", ""H""], ""key_codes"": [87, 65, 83, 72], ""key_onsets"": [17625, 17817, 18265, 18649]}","emotion",0,"FA1","wash",20353,"[17625,17817,18265,18649]","[""W"",""A"",""S"",""H""]"," WATER",4,"[87,65,83,72]",1643118782769,"carver_proofreadxemotion"
"5","1000",18,1643118808538,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 5, ""word_submit_time"": 25769, ""word"": ""clean"", ""key_ids"": [""C"", ""L"", ""E"", ""A"", ""N""], ""key_codes"": [67, 76, 69, 65, 78], ""key_onsets"": [23137, 23432, 23849, 24233, 24649]}","emotion",0,"FA1","clean",25769,"[23137,23432,23849,24233,24649]","[""C"",""L"",""E"",""A"",""N""]"," WATER",5,"[67,76,69,65,78]",1643118782769,"carver_proofreadxemotion"
"6","1000",19,1643118813130,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 6, ""word_submit_time"": 30361, ""word"": ""shower"", ""key_ids"": [""S"", ""H"", ""O"", ""W"", ""E"", ""R"", ""E"", ""\b""], ""key_codes"": [83, 72, 79, 87, 69, 82, 69, 8], ""key_onsets"": [26737, 27121, 27409, 27665, 27921, 28113, 28114, 29497]}","emotion",0,"FA1","shower",30361,"[26737,27121,27409,27665,27921,28113,28114,29497]","[""S"",""H"",""O"",""W"",""E"",""R"",""E"",""\b""]"," WATER",6,"[83,72,79,87,69,82,69,8]",1643118782769,"carver_proofreadxemotion"
"7","1000",20,1643118835906,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 7, ""word_submit_time"": 53137, ""word"": ""bath"", ""key_ids"": [""B"", ""A"", ""T"", ""H""], ""key_codes"": [66, 65, 84, 72], ""key_onsets"": [31545, 31833, 32088, 32545]}","emotion",0,"FA1","bath",53137,"[31545,31833,32088,32545]","[""B"",""A"",""T"",""H""]"," WATER",7,"[66,65,84,72]",1643118782769,"carver_proofreadxemotion"
"8","1000",21,1643118842162,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 8, ""word_submit_time"": 59393, ""word"": ""tea"", ""key_ids"": [""T"", ""E"", ""A""], ""key_codes"": [84, 69, 65], ""key_onsets"": [57985, 58144, 58401]}","emotion",0,"FA1","tea",59393,"[57985,58144,58401]","[""T"",""E"",""A""]"," WATER",8,"[84,69,65]",1643118782769,"carver_proofreadxemotion"
"9","1000",22,1643118843802,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 9, ""word_submit_time"": 61033, ""word"": ""sea"", ""key_ids"": [""S"", ""E"", ""A""], ""key_codes"": [83, 69, 65], ""key_onsets"": [60137, 60297, 60617]}","emotion",0,"FA1","sea",61033,"[60137,60297,60617]","[""S"",""E"",""A""]"," WATER",9,"[83,69,65]",1643118782769,"carver_proofreadxemotion"
"10","1000",23,1643118848514,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 10, ""word_submit_time"": 65745, ""word"": ""juice"", ""key_ids"": [""J"", ""U"", ""I"", ""C"", ""E""], ""key_codes"": [74, 85, 73, 67, 69], ""key_onsets"": [63793, 63953, 64145, 64913, 65265]}","emotion",0,"FA1","juice",65745,"[63793,63953,64145,64913,65265]","[""J"",""U"",""I"",""C"",""E""]"," WATER",10,"[74,85,73,67,69]",1643118782769,"carver_proofreadxemotion"
"11","1000",24,1643118851626,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 11, ""word_submit_time"": 68857, ""word"": ""life"", ""key_ids"": [""L"", ""I"", ""F"", ""E""], ""key_codes"": [76, 73, 70, 69], ""key_onsets"": [66617, 66841, 67385, 68121]}","emotion",0,"FA1","life",68857,"[66617,66841,67385,68121]","[""L"",""I"",""F"",""E""]"," WATER",11,"[76,73,70,69]",1643118782769,"carver_proofreadxemotion"
"12","1000",25,1643118863402,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 12, ""word_submit_time"": 80633, ""word"": ""dilute"", ""key_ids"": [""D"", ""I"", ""L"", ""U"", ""R"", ""T"", ""E"", ""\b"", ""\b"", ""\b"", ""T"", ""E""], ""key_codes"": [68, 73, 76, 85, 82, 84, 69, 8, 8, 8, 84, 69], ""key_onsets"": [74985, 75145, 75401, 75657, 75985, 75986, 76241, 77297, 77425, 78545, 79161, 79545]}","emotion",0,"FA1","dilute",80633,"[74985,75145,75401,75657,75985,75986,76241,77297,77425,78545,79161,79545]","[""D"",""I"",""L"",""U"",""R"",""T"",""E"",""\b"",""\b"",""\b"",""T"",""E""]"," WATER",12,"[68,73,76,85,82,84,69,8,8,8,84,69]",1643118782769,"carver_proofreadxemotion"
"13","1000",26,1643118872514,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 13, ""word_submit_time"": 89745, ""word"": ""river"", ""key_ids"": [""R"", ""I"", ""V"", ""E"", ""R""], ""key_codes"": [82, 73, 86, 69, 82], ""key_onsets"": [87529, 87721, 88169, 88369, 88529]}","emotion",0,"FA1","river",89745,"[87529,87721,88169,88369,88529]","[""R"",""I"",""V"",""E"",""R""]"," WATER",13,"[82,73,86,69,82]",1643118782769,"carver_proofreadxemotion"
"14","1000",27,1643118875498,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 14, ""word_submit_time"": 92729, ""word"": ""lake"", ""key_ids"": [""L"", ""A"", ""K"", ""E""], ""key_codes"": [76, 65, 75, 69], ""key_onsets"": [90193, 90673, 91057, 91441]}","emotion",0,"FA1","lake",92729,"[90193,90673,91057,91441]","[""L"",""A"",""K"",""E""]"," WATER",14,"[76,65,75,69]",1643118782769,"carver_proofreadxemotion"
"15","1000",28,1643118877906,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 15, ""word_submit_time"": 95137, ""word"": ""stream"", ""key_ids"": [""S"", ""T"", ""R"", ""E"", ""A"", ""M""], ""key_codes"": [83, 84, 82, 69, 65, 77], ""key_onsets"": [93145, 93337, 93529, 93721, 93977, 94457]}","emotion",0,"FA1","stream",95137,"[93145,93337,93529,93721,93977,94457]","[""S"",""T"",""R"",""E"",""A"",""M""]"," WATER",15,"[83,84,82,69,65,77]",1643118782769,"carver_proofreadxemotion"
"16","1000",29,1643118881562,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 16, ""word_submit_time"": 98793, ""word"": ""fish"", ""key_ids"": [""F"", ""I"", ""S"", ""H""], ""key_codes"": [70, 73, 83, 72], ""key_onsets"": [96545, 96897, 97345, 97705]}","emotion",0,"FA1","fish",98793,"[96545,96897,97345,97705]","[""F"",""I"",""S"",""H""]"," WATER",16,"[70,73,83,72]",1643118782769,"carver_proofreadxemotion"
"17","1000",30,1643118883970,"{""phase"": ""fa1"", ""condition"": ""Emotion"", ""start_cue"": ""WATER"", ""fa_start_time"": 1643118782769, ""word_count"": 17, ""word_submit_time"": 101201, ""word"": ""canal"", ""key_ids"": [""C"", ""A"", ""N"", ""A"", ""L""], ""key_codes"": [67, 65, 78, 65, 76], ""key_onsets"": [99561, 99913, 100105, 100233, 100681]}","emotion",0,"FA1","canal",101201,"[99561,99913,100105,100233,100681]","[""C"",""A"",""N"",""A"",""L""]"," WATER",17,"[67,65,78,65,76]",1643118782769,"carver_proofreadxemotion"
