"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"5431","2000",14,1643119191468,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 1, ""word_submit_time"": 5305, ""word"": ""image"", ""key_ids"": [""I"", ""M"", ""A"", ""G"", ""E""], ""key_codes"": [73, 77, 65, 71, 69], ""key_onsets"": [2648, 2881, 3107, 3391, 3604]}","proofread",1,"FA1","image",5305,"[2648,2881,3107,3391,3604]","[""I"",""M"",""A"",""G"",""E""]"," BODY",1,"[73,77,65,71,69]",1643119186163,"carver_proofreadxemotion"
"5432","2000",15,1643119196172,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 2, ""word_submit_time"": 10009, ""word"": ""picture"", ""key_ids"": [""P"", ""I"", ""C"", ""T"", ""U"", ""R"", ""E""], ""key_codes"": [80, 73, 67, 84, 85, 82, 69], ""key_onsets"": [8487, 8718, 9062, 9321, 9412, 9497, 9698]}","proofread",1,"FA1","picture",10009,"[8487,8718,9062,9321,9412,9497,9698]","[""P"",""I"",""C"",""T"",""U"",""R"",""E""]"," BODY",2,"[80,73,67,84,85,82,69]",1643119186163,"carver_proofreadxemotion"
"5433","2000",16,1643119201096,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 3, ""word_submit_time"": 14933, ""word"": ""frame"", ""key_ids"": [""F"", ""R"", ""A"", ""M"", ""E""], ""key_codes"": [70, 82, 65, 77, 69], ""key_onsets"": [13821, 13910, 14236, 14381, 14575]}","proofread",1,"FA1","frame",14933,"[13821,13910,14236,14381,14575]","[""F"",""R"",""A"",""M"",""E""]"," BODY",3,"[70,82,65,77,69]",1643119186163,"carver_proofreadxemotion"
"5434","2000",17,1643119204284,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 4, ""word_submit_time"": 18121, ""word"": ""lense"", ""key_ids"": [""L"", ""E"", ""N"", ""S"", ""E""], ""key_codes"": [76, 69, 78, 83, 69], ""key_onsets"": [17120, 17248, 17400, 17778, 17879]}","proofread",1,"FA1","lense",18121,"[17120,17248,17400,17778,17879]","[""L"",""E"",""N"",""S"",""E""]"," BODY",4,"[76,69,78,83,69]",1643119186163,"carver_proofreadxemotion"
"5435","2000",18,1643119210202,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 5, ""word_submit_time"": 24039, ""word"": ""camera"", ""key_ids"": [""C"", ""A"", ""M"", ""E"", ""R"", ""A""], ""key_codes"": [67, 65, 77, 69, 82, 65], ""key_onsets"": [22494, 22717, 22969, 23171, 23325, 23595]}","proofread",1,"FA1","camera",24039,"[22494,22717,22969,23171,23325,23595]","[""C"",""A"",""M"",""E"",""R"",""A""]"," BODY",5,"[67,65,77,69,82,65]",1643119186163,"carver_proofreadxemotion"
"5436","2000",19,1643119216521,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 6, ""word_submit_time"": 30358, ""word"": ""window"", ""key_ids"": [""W"", ""I"", ""N"", ""D"", ""O"", ""W""], ""key_codes"": [87, 73, 78, 68, 79, 87], ""key_onsets"": [28986, 29124, 29257, 29739, 29844, 29993]}","proofread",1,"FA1","window",30358,"[28986,29124,29257,29739,29844,29993]","[""W"",""I"",""N"",""D"",""O"",""W""]"," BODY",6,"[87,73,78,68,79,87]",1643119186163,"carver_proofreadxemotion"
"5437","2000",20,1643119222401,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 7, ""word_submit_time"": 36238, ""word"": ""house"", ""key_ids"": [""H"", ""O"", ""U"", ""S"", ""E""], ""key_codes"": [72, 79, 85, 83, 69], ""key_onsets"": [35255, 35395, 35556, 35882, 35987]}","proofread",1,"FA1","house",36238,"[35255,35395,35556,35882,35987]","[""H"",""O"",""U"",""S"",""E""]"," BODY",7,"[72,79,85,83,69]",1643119186163,"carver_proofreadxemotion"
"5438","2000",21,1643119227841,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 8, ""word_submit_time"": 41678, ""word"": ""chimney"", ""key_ids"": [""C"", ""H"", ""I"", ""M"", ""N"", ""E"", ""Y""], ""key_codes"": [67, 72, 73, 77, 78, 69, 89], ""key_onsets"": [39278, 39449, 39589, 39779, 40046, 40178, 40800]}","proofread",1,"FA1","chimney",41678,"[39278,39449,39589,39779,40046,40178,40800]","[""C"",""H"",""I"",""M"",""N"",""E"",""Y""]"," BODY",8,"[67,72,73,77,78,69,89]",1643119186163,"carver_proofreadxemotion"
"5439","2000",22,1643119232003,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 9, ""word_submit_time"": 45840, ""word"": ""pot"", ""key_ids"": [""P"", ""O"", ""T""], ""key_codes"": [80, 79, 84], ""key_onsets"": [45057, 45203, 45653]}","proofread",1,"FA1","pot",45840,"[45057,45203,45653]","[""P"",""O"",""T""]"," BODY",9,"[80,79,84]",1643119186163,"carver_proofreadxemotion"
"5440","2000",23,1643119235553,"{""phase"": ""fa1"", ""condition"": ""Proofread"", ""start_cue"": ""BODY"", ""fa_start_time"": 1643119186163, ""word_count"": 10, ""word_submit_time"": 49390, ""word"": ""flower"", ""key_ids"": [""F"", ""L"", ""O"", ""W"", ""E"", ""R""], ""key_codes"": [70, 76, 79, 87, 69, 82], ""key_onsets"": [48088, 48212, 48399, 48546, 48791, 49001]}","proofread",1,"FA1","flower",49390,"[48088,48212,48399,48546,48791,49001]","[""F"",""L"",""O"",""W"",""E"",""R""]"," BODY",10,"[70,76,79,87,69,82]",1643119186163,"carver_proofreadxemotion"
