"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"1","1002","15",1.552e+12,"{""word"": ""bottle"", ""word_submit_time"": 3719, ""key_onsets"": [1340, 1438, 1758, 1938, 2168, 2268], ""key_ids"": [""B"", ""O"", ""T"", ""T"", ""L"", ""E""], ""start_cue"": ""WATER"", ""word_count"": 1, ""key_codes"": [66, 79, 84, 84, 76, 69], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","bottle",3719,"[1340,1438,1758,1938,2168,2268]","[""B"",""O"",""T"",""T"",""L"",""E""]","WATER",1,"[66,79,84,84,76,69]",1551999531943,"carver_orig"
"2","1002","16",1.552e+12,"{""word"": ""cap"", ""word_submit_time"": 6268, ""key_onsets"": [5527, 5648, 5808], ""key_ids"": [""C"", ""A"", ""P""], ""start_cue"": ""WATER"", ""word_count"": 2, ""key_codes"": [67, 65, 80], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","cap",6268,"[5527,5648,5808]","[""C"",""A"",""P""]","WATER",2,"[67,65,80]",1551999531943,"carver_orig"
"3","1002","17",1.552e+12,"{""word"": ""lid"", ""word_submit_time"": 27467, ""key_onsets"": [19388, 19498, 19758, 20498, 21278, 21398, 22357, 22579, 23067, 23247, 23438, 23607, 24746, 24967, 25657], ""key_ids"": [""H"", ""O"", ""L"", ""D"", ""E"", ""R"", ""\b"", ""\b"", ""\b"", ""\b"", ""\b"", ""\b"", ""L"", ""I"", ""D""], ""start_cue"": ""WATER"", ""word_count"": 3, ""key_codes"": [72, 79, 76, 68, 69, 82, 8, 8, 8, 8, 8, 8, 76, 73, 68], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","lid",27467,"[19388,19498,19758,20498,21278,21398,22357,22579,23067,23247,23438,23607,24746,24967,25657]","[""H"",""O"",""L"",""D"",""E"",""R"",""\b"",""\b"",""\b"",""\b"",""\b"",""\b"",""L"",""I"",""D""]","WATER",3,"[72,79,76,68,69,82,8,8,8,8,8,8,76,73,68]",1551999531943,"carver_orig"
"4","1002","18",1.552e+12,"{""word"": ""pot"", ""word_submit_time"": 28827, ""key_onsets"": [28127, 28296, 28407], ""key_ids"": [""P"", ""O"", ""T""], ""start_cue"": ""WATER"", ""word_count"": 4, ""key_codes"": [80, 79, 84], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","pot",28827,"[28127,28296,28407]","[""P"",""O"",""T""]","WATER",4,"[80,79,84]",1551999531943,"carver_orig"
"5","1002","19",1.552e+12,"{""word"": ""pie"", ""word_submit_time"": 31787, ""key_onsets"": [31007, 31207, 31307], ""key_ids"": [""P"", ""I"", ""E""], ""start_cue"": ""WATER"", ""word_count"": 5, ""key_codes"": [80, 73, 69], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","pie",31787,"[31007,31207,31307]","[""P"",""I"",""E""]","WATER",5,"[80,73,69]",1551999531943,"carver_orig"
"6","1002","20",1.552e+12,"{""word"": ""apple"", ""word_submit_time"": 34117, ""key_onsets"": [32507, 32717, 32857, 33147, 33206], ""key_ids"": [""A"", ""P"", ""P"", ""L"", ""E""], ""start_cue"": ""WATER"", ""word_count"": 6, ""key_codes"": [65, 80, 80, 76, 69], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","apple",34117,"[32507,32717,32857,33147,33206]","[""A"",""P"",""P"",""L"",""E""]","WATER",6,"[65,80,80,76,69]",1551999531943,"carver_orig"
"7","1002","21",1.552e+12,"{""word"": ""cider"", ""word_submit_time"": 36327, ""key_onsets"": [34767, 34836, 35027, 35298, 35377], ""key_ids"": [""C"", ""I"", ""D"", ""E"", ""R""], ""start_cue"": ""WATER"", ""word_count"": 7, ""key_codes"": [67, 73, 68, 69, 82], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","cider",36327,"[34767,34836,35027,35298,35377]","[""C"",""I"",""D"",""E"",""R""]","WATER",7,"[67,73,68,69,82]",1551999531943,"carver_orig"
"8","1002","22",1.552e+12,"{""word"": ""hard"", ""word_submit_time"": 40177, ""key_onsets"": [39267, 39387, 39586, 39876], ""key_ids"": [""H"", ""A"", ""R"", ""D""], ""start_cue"": ""WATER"", ""word_count"": 8, ""key_codes"": [72, 65, 82, 68], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","hard",40177,"[39267,39387,39586,39876]","[""H"",""A"",""R"",""D""]","WATER",8,"[72,65,82,68]",1551999531943,"carver_orig"
"9","1002","23",1.552e+12,"{""word"": ""boiled"", ""word_submit_time"": 42247, ""key_onsets"": [41067, 41196, 41338, 41567, 41667, 41876], ""key_ids"": [""B"", ""O"", ""I"", ""L"", ""E"", ""D""], ""start_cue"": ""WATER"", ""word_count"": 9, ""key_codes"": [66, 79, 73, 76, 69, 68], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","boiled",42247,"[41067,41196,41338,41567,41667,41876]","[""B"",""O"",""I"",""L"",""E"",""D""]","WATER",9,"[66,79,73,76,69,68]",1551999531943,"carver_orig"
"10","1002","24",1.552e+12,"{""word"": ""eggs"", ""word_submit_time"": 47147, ""key_onsets"": [45247, 45466, 45607, 45817], ""key_ids"": [""E"", ""G"", ""G"", ""S""], ""start_cue"": ""WATER"", ""word_count"": 10, ""key_codes"": [69, 71, 71, 83], ""fa_start_time"": 1551999531943, ""phase"": ""fa1"", ""condition"": ""intact""}","intact",0,"FA1","eggs",47147,"[45247,45466,45607,45817]","[""E"",""G"",""G"",""S""]","WATER",10,"[69,71,71,83]",1551999531943,"carver_orig"
