"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"1","1000",352,1641246844717,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 1, ""fa_start_time"": 1641246841874, ""word_submit_time"": 2843, ""word"": ""sun"", ""key_ids"": [""S"", ""U"", ""N""], ""key_codes"": [83, 85, 78], ""key_onsets"": [1994, 2108, 2298]}","intact",1,"FA2","sun",2843,"[1994,2108,2298]","[""S"",""U"",""N""]"," Enter a word to begin!",1,"[83,85,78]",1641246841874,"carver_neutralcue"
"2","1000",353,1641246846068,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 2, ""fa_start_time"": 1641246841874, ""word_submit_time"": 4194, ""word"": ""shine"", ""key_ids"": [""S"", ""H"", ""I"", ""N"", ""E""], ""key_codes"": [83, 72, 73, 78, 69], ""key_onsets"": [3443, 3595, 3714, 3866, 4003]}","intact",1,"FA2","shine",4194,"[3443,3595,3714,3866,4003]","[""S"",""H"",""I"",""N"",""E""]"," Enter a word to begin!",2,"[83,72,73,78,69]",1641246841874,"carver_neutralcue"
"3","1000",354,1641246848189,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 3, ""fa_start_time"": 1641246841874, ""word_submit_time"": 6315, ""word"": ""bright"", ""key_ids"": [""B"", ""R"", ""I"", ""G"", ""H"", ""T""], ""key_codes"": [66, 82, 73, 71, 72, 84], ""key_onsets"": [5411, 5570, 5738, 5891, 6010, 6123]}","intact",1,"FA2","bright",6315,"[5411,5570,5738,5891,6010,6123]","[""B"",""R"",""I"",""G"",""H"",""T""]"," Enter a word to begin!",3,"[66,82,73,71,72,84]",1641246841874,"carver_neutralcue"
"4","1000",355,1641246850013,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 4, ""fa_start_time"": 1641246841874, ""word_submit_time"": 8139, ""word"": ""clever"", ""key_ids"": [""C"", ""L"", ""E"", ""V"", ""E"", ""R""], ""key_codes"": [67, 76, 69, 86, 69, 82], ""key_onsets"": [6987, 7202, 7427, 7691, 7834, 7963]}","intact",1,"FA2","clever",8139,"[6987,7202,7427,7691,7834,7963]","[""C"",""L"",""E"",""V"",""E"",""R""]"," Enter a word to begin!",4,"[67,76,69,86,69,82]",1641246841874,"carver_neutralcue"
"5","1000",356,1641246851765,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 5, ""fa_start_time"": 1641246841874, ""word_submit_time"": 9891, ""word"": ""clogs"", ""key_ids"": [""C"", ""L"", ""O"", ""G"", ""S""], ""key_codes"": [67, 76, 79, 71, 83], ""key_onsets"": [8913, 9066, 9259, 9587, 9707]}","intact",1,"FA2","clogs",9891,"[8913,9066,9259,9587,9707]","[""C"",""L"",""O"",""G"",""S""]"," Enter a word to begin!",5,"[67,76,79,71,83]",1641246841874,"carver_neutralcue"
"6","1000",357,1641246853581,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 6, ""fa_start_time"": 1641246841874, ""word_submit_time"": 11707, ""word"": ""shoes"", ""key_ids"": [""S"", ""H"", ""O"", ""E"", ""S""], ""key_codes"": [83, 72, 79, 69, 83], ""key_onsets"": [10947, 11066, 11235, 11354, 11571]}","intact",1,"FA2","shoes",11707,"[10947,11066,11235,11354,11571]","[""S"",""H"",""O"",""E"",""S""]"," Enter a word to begin!",6,"[83,72,79,69,83]",1641246841874,"carver_neutralcue"
"7","1000",358,1641246855252,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 7, ""fa_start_time"": 1641246841874, ""word_submit_time"": 13378, ""word"": ""fit"", ""key_ids"": [""F"", ""I"", ""T""], ""key_codes"": [70, 73, 84], ""key_onsets"": [12771, 13035, 13146]}","intact",1,"FA2","fit",13378,"[12771,13035,13146]","[""F"",""I"",""T""]"," Enter a word to begin!",7,"[70,73,84]",1641246841874,"carver_neutralcue"
"8","1000",359,1641246857341,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 8, ""fa_start_time"": 1641246841874, ""word_submit_time"": 15467, ""word"": ""well"", ""key_ids"": [""W"", ""E"", ""L"", ""L""], ""key_codes"": [87, 69, 76, 76], ""key_onsets"": [14643, 14851, 15043, 15186]}","intact",1,"FA2","well",15467,"[14643,14851,15043,15186]","[""W"",""E"",""L"",""L""]"," Enter a word to begin!",8,"[87,69,76,76]",1641246841874,"carver_neutralcue"
"9","1000",360,1641246859061,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 9, ""fa_start_time"": 1641246841874, ""word_submit_time"": 17187, ""word"": ""water"", ""key_ids"": [""W"", ""A"", ""T"", ""E"", ""R""], ""key_codes"": [87, 65, 84, 69, 82], ""key_onsets"": [16365, 16587, 16731, 16946, 16987]}","intact",1,"FA2","water",17187,"[16365,16587,16731,16946,16987]","[""W"",""A"",""T"",""E"",""R""]"," Enter a word to begin!",9,"[87,65,84,69,82]",1641246841874,"carver_neutralcue"
"10","1000",361,1641246861677,"{""phase"": ""fa2"", ""condition"": ""intact"", ""start_cue"": ""Enter a word to begin!"", ""word_count"": 10, ""fa_start_time"": 1641246841874, ""word_submit_time"": 19803, ""word"": ""log"", ""key_ids"": [""L"", ""O"", ""G""], ""key_codes"": [76, 79, 71], ""key_onsets"": [19243, 19426, 19667]}","intact",1,"FA2","log",19803,"[19243,19426,19667]","[""L"",""O"",""G""]"," Enter a word to begin!",10,"[76,79,71]",1641246841874,"carver_neutralcue"
