"","ID","Trial","Timestamp","Datastring","condition","counterbalance","phase","word","submit_time","key_onsets","key_ids","start_cue","word_count","key_codes","start_time","experiment"
"5325","2000","380",1.55216e+12,"{""word"": ""dead"", ""word_submit_time"": 4306, ""key_onsets"": [2405, 2613, 2808, 3044], ""key_ids"": [""D"", ""E"", ""A"", ""D""], ""start_cue"": ""BODY"", ""word_count"": 1, ""key_codes"": [68, 69, 65, 68], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","dead",4306,"[2405,2613,2808,3044]","[""D"",""E"",""A"",""D""]","BODY",1,"[68,69,65,68]",1552163467032,"carver_orig"
"5326","2000","381",1.55216e+12,"{""word"": ""girl"", ""word_submit_time"": 6198, ""key_onsets"": [5218, 5398, 5520, 5705], ""key_ids"": [""G"", ""I"", ""R"", ""L""], ""start_cue"": ""BODY"", ""word_count"": 2, ""key_codes"": [71, 73, 82, 76], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","girl",6198,"[5218,5398,5520,5705]","[""G"",""I"",""R"",""L""]","BODY",2,"[71,73,82,76]",1552163467032,"carver_orig"
"5327","2000","382",1.55216e+12,"{""word"": ""water"", ""word_submit_time"": 7938, ""key_onsets"": [6908, 7131, 7288, 7480, 7552], ""key_ids"": [""W"", ""A"", ""T"", ""E"", ""R""], ""start_cue"": ""BODY"", ""word_count"": 3, ""key_codes"": [87, 65, 84, 69, 82], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","water",7938,"[6908,7131,7288,7480,7552]","[""W"",""A"",""T"",""E"",""R""]","BODY",3,"[87,65,84,69,82]",1552163467032,"carver_orig"
"5328","2000","383",1.55216e+12,"{""word"": ""head"", ""word_submit_time"": 11992, ""key_onsets"": [10795, 10927, 11083, 11649], ""key_ids"": [""H"", ""E"", ""A"", ""D""], ""start_cue"": ""BODY"", ""word_count"": 4, ""key_codes"": [72, 69, 65, 68], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","head",11992,"[10795,10927,11083,11649]","[""H"",""E"",""A"",""D""]","BODY",4,"[72,69,65,68]",1552163467032,"carver_orig"
"5329","2000","384",1.55216e+12,"{""word"": ""fish"", ""word_submit_time"": 15489, ""key_onsets"": [14112, 14609, 14811, 14985], ""key_ids"": [""F"", ""I"", ""S"", ""H""], ""start_cue"": ""BODY"", ""word_count"": 5, ""key_codes"": [70, 73, 83, 72], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","fish",15489,"[14112,14609,14811,14985]","[""F"",""I"",""S"",""H""]","BODY",5,"[70,73,83,72]",1552163467032,"carver_orig"
"5330","2000","385",1.55216e+12,"{""word"": ""cold"", ""word_submit_time"": 19442, ""key_onsets"": [17943, 18800, 19034, 19134], ""key_ids"": [""C"", ""O"", ""L"", ""D""], ""start_cue"": ""BODY"", ""word_count"": 6, ""key_codes"": [67, 79, 76, 68], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","cold",19442,"[17943,18800,19034,19134]","[""C"",""O"",""L"",""D""]","BODY",6,"[67,79,76,68]",1552163467032,"carver_orig"
"5331","2000","386",1.55216e+12,"{""word"": ""spring"", ""word_submit_time"": 22890, ""key_onsets"": [21718, 21914, 22065, 22261, 22477, 22638], ""key_ids"": [""S"", ""P"", ""R"", ""I"", ""N"", ""G""], ""start_cue"": ""BODY"", ""word_count"": 7, ""key_codes"": [83, 80, 82, 73, 78, 71], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","spring",22890,"[21718,21914,22065,22261,22477,22638]","[""S"",""P"",""R"",""I"",""N"",""G""]","BODY",7,"[83,80,82,73,78,71]",1552163467032,"carver_orig"
"5332","2000","387",1.55216e+12,"{""word"": ""river"", ""word_submit_time"": 24278, ""key_onsets"": [23301, 23483, 23643, 23838, 23938], ""key_ids"": [""R"", ""I"", ""V"", ""E"", ""R""], ""start_cue"": ""BODY"", ""word_count"": 8, ""key_codes"": [82, 73, 86, 69, 82], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","river",24278,"[23301,23483,23643,23838,23938]","[""R"",""I"",""V"",""E"",""R""]","BODY",8,"[82,73,86,69,82]",1552163467032,"carver_orig"
"5333","2000","388",1.55216e+12,"{""word"": ""decent"", ""word_submit_time"": 27284, ""key_onsets"": [25802, 26015, 26297, 26516, 26773, 26871], ""key_ids"": [""D"", ""E"", ""C"", ""E"", ""N"", ""T""], ""start_cue"": ""BODY"", ""word_count"": 9, ""key_codes"": [68, 69, 67, 69, 78, 84], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","decent",27284,"[25802,26015,26297,26516,26773,26871]","[""D"",""E"",""C"",""E"",""N"",""T""]","BODY",9,"[68,69,67,69,78,84]",1552163467032,"carver_orig"
"5334","2000","389",1.55216e+12,"{""word"": ""family"", ""word_submit_time"": 29842, ""key_onsets"": [28308, 28478, 28867, 29055, 29251, 29536], ""key_ids"": [""F"", ""A"", ""M"", ""I"", ""L"", ""Y""], ""start_cue"": ""BODY"", ""word_count"": 10, ""key_codes"": [70, 65, 77, 73, 76, 89], ""fa_start_time"": 1552163467032, ""phase"": ""fa2"", ""condition"": ""full_scramble""}","full_scramble",0,"FA2","family",29842,"[28308,28478,28867,29055,29251,29536]","[""F"",""A"",""M"",""I"",""L"",""Y""]","BODY",10,"[70,65,77,73,76,89]",1552163467032,"carver_orig"
